"Site","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","Si","S","Cl","K","Ca","Ti","V","Mn","Fe","Ni","Cu","Zn","Br","Rb","Sr","Zr","Mo_inc","Mo_coh"
"HER44L","HER44L_2A_43",3.25,612.22,6.49,1,29320,89258,1.43,17,48,57,144,781,369,31,273,25709,145,162,111,3087,198,638,788,48028,7859
"HER44L","HER44L_2A_44",3.3,613.88,6.5,1,29602,90374,1.51,0,46,88,140,750,318,26,329,25792,166,111,143,3236,236,706,1056,48406,8311
"HER44L","HER44L_2A_45",3.35,615.53,6.5,1,29887,92072,1.29,47,28,73,144,792,369,29,415,27081,135,193,152,3417,0,717,994,48833,8122
"HER44L","HER44L_2A_46",3.4,617.19,6.51,1,29624,91243,1.43,41,35,57,175,726,356,0,351,27070,159,180,134,3321,99,840,1161,47765,7946
"HER44L","HER44L_2A_47",3.45,618.84,6.51,1,29199,89151,1.43,17,15,61,147,791,324,23,302,25485,138,220,65,3120,114,747,766,47826,7957
"HER44L","HER44L_2A_48",3.5,620.5,6.51,1,28777,85573,1.37,19,26,63,131,717,371,15,288,22784,162,153,110,2990,38,834,881,47546,7738
"HER44L","HER44L_2A_49",3.55,622.15,6.51,1,28751,85287,1.28,22,39,60,124,704,290,40,250,21748,124,205,130,3057,123,827,935,47748,8199
"HER44L","HER44L_2A_50",3.6,623.81,6.5,1,29092,88866,1.54,29,59,71,159,738,374,12,362,24542,144,166,95,2959,124,1060,1148,47827,7975
"HER44L","HER44L_2A_51",3.65,625.46,6.49,1,28961,87106,1.3,11,17,83,153,763,364,40,341,23048,113,132,121,2949,80,871,1043,48263,8035
"HER44L","HER44L_2A_52",3.7,627.12,6.49,1,29125,86866,1.47,19,37,60,161,794,348,36,461,22719,126,120,70,3046,67,687,1047,48610,7980
"HER44L","HER44L_2A_53",3.75,628.77,6.49,1,29308,87352,1.38,16,52,66,168,686,295,25,353,23594,150,140,161,3097,139,717,818,48465,7903
"HER44L","HER44L_2A_54",3.8,630.43,6.48,1,29578,89505,1.41,0,40,54,115,767,389,25,326,25104,130,191,141,3169,40,729,979,48850,7909
"HER44L","HER44L_2A_55",3.85,632.08,6.48,1,29639,90629,1.46,33,43,67,124,784,333,47,466,25242,137,174,157,2931,186,818,1060,49053,8237
"HER44L","HER44L_2A_56",3.9,633.74,6.48,1,29503,87596,1.5,9,30,74,168,820,315,31,314,22720,170,203,152,2991,171,1005,815,48993,8058
"HER44L","HER44L_2A_57",3.95,635.39,6.48,1,29592,89376,1.33,18,38,53,176,726,340,33,245,23574,165,189,139,3206,52,791,923,49407,8421
"HER44L","HER44L_2A_58",4,637.05,6.48,1,29528,86888,1.4,27,15,59,130,626,349,17,222,21449,158,215,98,3111,11,567,1093,50245,8108
"HER44L","HER44L_2A_59",4.05,638.7,6.48,1,29977,88859,1.4,42,51,59,133,695,306,38,265,21446,191,258,201,3232,253,784,1026,50550,8369
"HER44L","HER44L_2A_60",4.1,640.35,6.48,1,30229,88729,1.35,0,26,76,113,671,296,12,273,21717,148,235,158,3494,52,658,1129,50633,8262
"HER44L","HER44L_2A_61",4.15,642,6.48,1,30097,87978,1.41,0,32,85,137,676,396,12,256,20755,194,180,194,3365,127,528,1084,50766,8350
"HER44L","HER44L_2A_62",4.2,643.65,6.48,1,29661,84332,1.42,33,44,86,125,606,288,8,203,18651,151,141,120,3241,160,517,1049,50075,8002
"HER44L","HER44L_2A_63",4.25,645.3,6.49,1,29324,83100,1.38,0,49,55,120,574,251,20,176,17722,195,196,157,3204,147,585,1203,49774,7875
"HER44L","HER44L_2A_64",4.3,646.95,6.49,1,29179,83609,1.39,23,41,88,143,634,310,35,192,19295,192,176,119,3051,117,688,1093,48875,8073
"HER44L","HER44L_2A_65",4.35,648.6,6.49,1,28763,83344,1.36,0,22,83,118,585,252,36,213,18143,167,292,84,3155,151,686,1148,49458,7960
"HER44L","HER44L_2A_66",4.4,650.25,6.49,1,28653,82751,1.35,47,33,69,106,623,267,40,224,18630,150,198,128,3118,67,640,1005,48683,8042
"HER44L","HER44L_2A_67",4.45,651.9,6.5,1,28010,79075,1.43,13,34,58,120,519,271,29,201,16775,126,163,178,2864,126,469,843,48129,7740
"HER44L","HER44L_2A_68",4.5,653.55,6.51,1,28072,80222,1.34,19,33,44,103,586,227,20,162,17299,195,112,160,3046,101,697,944,47960,7879
"HER44L","HER44L_2A_69",4.55,655.2,6.52,1,27630,78008,1.47,31,28,69,98,554,280,33,152,16286,175,149,97,3002,188,637,1019,47031,7529
"HER44L","HER44L_2A_70",4.6,656.85,6.52,1,27599,78112,1.38,34,25,67,122,577,289,10,199,17289,124,131,122,2888,10,578,857,46120,7938
"HER44L","HER44L_2A_71",4.65,658.5,6.52,1,27294,78242,1.29,20,50,74,132,579,283,15,203,17761,151,189,152,2781,180,741,902,45927,7586
"HER44L","HER44L_2A_72",4.7,660.15,6.53,1,27077,77168,1.45,25,38,72,117,588,283,50,238,16977,148,225,112,2801,62,835,939,45478,7622
"HER44L","HER44L_2A_73",4.75,661.8,6.53,1,27282,80101,1.26,41,47,74,174,708,377,32,301,19603,129,331,189,2748,222,761,1021,45190,7560
"HER44L","HER44L_2A_74",4.8,663.45,6.53,1,26991,78328,1.26,0,47,51,127,660,358,5,278,18452,116,191,117,2826,40,774,855,44929,7913
"HER44L","HER44L_2A_75",4.85,665.1,6.53,1,26887,77688,1.31,23,46,60,104,646,240,10,276,17439,190,174,127,2802,0,909,922,45136,7839
"HER44L","HER44L_2A_76",4.9,666.75,6.53,1,27632,80618,1.35,30,25,64,143,702,309,36,308,19954,134,259,155,3115,0,743,1033,45432,7838
"HER44L","HER44L_2A_77",4.95,668.4,6.53,1,27925,82933,1.49,8,20,75,165,830,383,35,334,22220,163,270,118,2732,154,886,910,45299,7980
"HER44L","HER44L_2A_78",5,670.05,6.53,1,27524,80537,1.46,14,50,52,150,849,340,8,333,20558,148,193,217,2573,6,1073,858,44768,7750
"HER44L","HER44L_2A_79",5.05,671.7,6.54,1,27493,81280,1.65,0,39,75,162,758,312,50,316,20927,159,218,126,2741,152,1023,1007,44718,7948
"HER44L","HER44L_2A_80",5.1,673.35,6.54,1,27691,83044,1.32,28,57,70,181,864,344,30,338,23744,182,200,98,2840,139,905,896,43677,7680
"HER44L","HER44L_2A_81",5.15,675,6.54,1,27667,83186,1.35,20,67,85,185,930,356,36,368,23438,105,172,172,2629,266,1172,762,43471,7988
"HER44L","HER44L_2A_82",5.2,676.65,6.53,1,27922,85700,1.34,34,40,78,184,1041,429,39,472,25534,173,237,223,2762,102,1218,1141,43301,7802
"HER44L","HER44L_2A_83",5.25,678.3,6.53,1,27129,83590,1.33,38,55,90,180,1217,497,21,371,25382,83,177,191,2626,71,1435,1114,41652,7579
"HER44L","HER44L_2A_84",5.3,679.95,6.52,1,26199,77784,1.47,23,37,59,187,886,408,8,321,21470,87,110,78,2507,127,1078,1049,41358,7349
"HER44L","HER44L_2A_85",5.35,681.6,6.51,1,26943,81377,1.36,43,27,42,197,940,402,27,350,24260,154,172,138,2517,130,1267,913,41497,7400
"HER44L","HER44L_2A_86",5.4,683.25,6.5,1,27137,83555,1.39,21,24,40,211,1018,479,46,408,26241,170,142,144,2476,189,1446,906,41214,7562
"HER44L","HER44L_2A_87",5.45,684.9,6.49,1,26879,81916,1.32,11,49,72,190,1026,436,14,413,24640,105,150,139,2334,253,1300,1019,41649,7788
"HER44L","HER44L_2A_88",5.5,686.55,6.48,1,27366,85674,1.46,28,44,77,260,1084,552,24,468,29572,90,312,200,2537,95,1289,1040,39870,7455
"HER44L","HER44L_2A_89",5.55,688.2,6.48,1,26360,85182,1.52,4,16,84,257,1320,567,58,450,30650,107,183,170,2123,246,1628,918,38297,7133
"HER44L","HER44L_2A_90",5.6,689.85,6.48,1,24948,81091,1.39,41,26,82,210,1205,631,6,419,29900,120,182,214,1863,212,1533,806,35934,7072
"HER44L","HER44L_2A_91",5.65,691.5,6.47,1,24086,75940,1.56,33,31,79,186,991,532,24,413,25430,126,148,145,1613,67,1683,847,35385,7226
"HER44L","HER44L_2A_92",5.7,693.15,6.45,1,24741,78173,1.38,38,40,64,223,1048,631,5,457,25512,116,206,174,1730,368,1938,869,36744,7267
"HER44L","HER44L_2A_93",5.75,694.8,6.45,1,24975,77112,1.28,22,22,71,165,1036,391,60,386,24013,89,129,153,1868,170,1813,852,37881,7560
"HER44L","HER44L_2A_94",5.8,696.45,6.45,1,26700,88949,1.37,21,38,58,241,1464,456,51,533,34236,141,206,229,2029,180,1680,990,38186,7563
"HER44L","HER44L_2A_95",5.85,698.1,6.45,1,26033,85671,1.5,26,51,94,245,1708,531,60,542,32495,119,194,230,1670,217,1843,825,36747,7209
"HER44L","HER44L_2A_96",5.9,699.75,6.45,1,23990,77280,1.44,45,50,74,245,1274,377,53,444,26783,154,209,146,1603,125,1816,938,35138,7151
"HER44L","HER44L_2A_97",5.95,701.4,6.46,1,22945,73300,1.42,29,21,31,169,1358,467,59,389,24132,97,100,121,1443,171,1685,1016,34355,6805
"HER44L","HER44L_2A_98",6,703.05,6.47,1,22562,71826,1.48,42,38,63,182,1077,387,87,352,22958,141,138,70,1349,87,1725,936,34578,6997
"HER44L","HER44L_2A_99",6.05,704.7,6.47,1,23171,73815,1.35,22,34,63,172,1005,399,11,410,23658,142,148,183,1428,213,1697,1101,35178,7336
"HER44L","HER44L_2A_100",6.1,706.35,6.47,1,24759,79512,1.36,15,46,53,188,1132,404,34,441,27144,136,184,154,1641,331,1870,1225,36578,7476
"HER44L","HER44L_2A_101",6.15,708,6.46,1,25919,80830,1.46,28,17,51,161,1201,467,11,414,25810,104,186,142,1990,168,1759,1054,38936,7653
"HER44L","HER44L_2A_102",6.2,709.65,6.46,1,26857,83792,1.51,10,41,81,159,1103,482,26,403,26586,149,109,178,2201,224,1512,839,41318,7713
"HER44L","HER44L_2A_103",6.25,711.3,6.46,1,27620,86422,1.32,23,41,75,188,1170,536,22,490,27639,99,203,147,2220,209,1545,932,42264,8139
"HER44L","HER44L_2A_104",6.3,712.95,6.46,1,27982,87846,1.31,50,40,75,191,1184,477,40,430,27072,167,154,224,2109,280,1339,991,44034,8246
"HER44L","HER44L_2A_105",6.35,714.6,6.46,1,28149,88052,1.36,29,34,56,193,1064,431,36,486,26310,152,219,181,2469,306,1446,909,44916,8121
"HER44L","HER44L_2A_106",6.4,716.25,6.47,1,28102,86293,1.34,32,48,60,167,955,373,26,391,24873,150,231,187,2355,307,1363,942,44941,8206
"HER44L","HER44L_2A_107",6.45,717.9,6.47,1,28461,86673,1.33,11,30,79,182,1077,441,23,466,25171,88,195,133,2673,333,1429,998,44713,8103
"HER44L","HER44L_2A_108",6.5,719.55,6.47,1,28993,91337,1.42,0,47,97,209,1115,437,24,474,29076,193,211,146,2272,227,1498,910,45429,8133
"HER44L","HER44L_2A_109",6.55,721.2,6.47,1,28632,86757,1.39,9,45,82,218,1099,417,55,390,25037,156,208,47,2205,333,1271,840,45513,8307
"HER44L","HER44L_2A_110",6.6,722.85,6.47,1,28542,84600,1.34,18,48,70,150,978,402,0,380,23775,166,95,76,2315,205,1079,1044,45010,7823
"HER44L","HER44L_2A_111",6.65,724.5,6.47,1,28270,82842,1.42,5,16,84,113,772,326,21,334,21708,128,158,130,2311,231,1157,975,45743,8072
"HER44L","HER44L_2A_112",6.7,726.15,6.47,1,28278,83180,1.38,17,35,67,172,963,337,0,297,22039,140,106,90,2306,127,993,829,45868,8078
"HER44L","HER44L_2A_113",6.75,727.8,6.47,1,28116,82254,1.31,10,33,68,134,819,378,38,255,20262,142,149,120,2358,26,1227,1012,46190,8258
"HER44L","HER44L_2A_114",6.8,729.45,6.48,1,28424,83114,1.4,35,60,61,145,964,339,36,315,21728,191,178,210,2320,19,1343,890,45654,8117
"HER44L","HER44L_2A_115",6.85,731.1,6.48,1,28437,84000,1.31,28,18,97,143,847,384,20,311,21317,97,235,138,2307,246,1287,1069,46850,8196
"HER44L","HER44L_2A_116",6.9,732.75,6.48,1,28473,81935,1.4,17,38,85,123,668,232,32,227,19542,170,239,44,2466,164,1272,944,46975,7952
"HER44L","HER44L_2A_117",6.95,734.4,6.48,1,29375,86037,1.47,24,33,89,174,880,381,36,328,21130,166,241,112,2396,74,1012,1140,48890,8465
"HER44L","HER44L_2A_118",7,736.05,6.48,1,29467,86352,1.57,0,47,79,129,738,324,52,304,21022,180,178,190,2510,200,963,1035,49084,8416
"HER44L","HER44L_2A_119",7.05,737.7,6.49,1,29493,88141,1.43,41,66,64,132,793,373,29,274,21570,159,172,169,2566,303,1319,1298,49765,8283
"HER44L","HER44L_2A_120",7.1,739.35,6.49,1,29344,86387,1.22,19,30,80,124,806,354,45,311,21135,185,184,153,2618,185,934,1052,49295,8150
"HER44L","HER44L_2A_121",7.15,741,6.5,1,29711,88198,1.25,40,52,79,157,844,403,32,325,22206,139,87,59,2526,251,842,1017,50090,8554
"HER44L","HER44L_2A_122",7.2,742.65,6.5,1,30167,89957,1.42,15,41,68,157,932,345,39,385,23354,116,177,146,2757,295,1161,1034,49954,8493
"HER44L","HER44L_2A_123",7.25,744.3,6.5,1,30506,88791,1.4,23,30,73,160,895,380,89,309,22038,174,247,173,2575,194,836,1018,50742,8212
"HER44L","HER44L_2A_124",7.3,745.95,6.5,1,29974,84755,1.53,26,74,77,132,780,281,11,246,18869,213,177,134,2642,57,683,962,50466,8252
"HER44L","HER44L_2A_125",7.35,747.6,6.5,1,30090,84744,1.47,11,36,107,110,753,296,30,281,19571,118,194,65,2692,107,649,831,50395,8084
"HER44L","HER44L_2A_126",7.4,749.25,6.5,1,29992,83949,1.39,15,18,73,94,612,303,0,195,17838,129,198,112,2538,173,686,1102,51253,8190
"HER44L","HER44L_2A_127",7.45,750.9,6.5,1,30334,84951,1.49,0,34,57,119,574,292,0,185,18865,172,75,83,2736,0,476,1021,51808,7941
"HER44L","HER44L_2A_128",7.5,752.55,6.5,1,30399,85035,1.46,15,37,77,120,552,305,0,188,18900,171,206,109,2816,29,613,1105,51168,7904
"HER44L","HER44L_2A_129",7.55,754.2,6.49,1,30518,86168,1.35,22,36,80,108,584,255,9,144,19526,218,203,86,2751,5,632,1125,51512,8414
"HER44L","HER44L_2A_130",7.6,755.85,6.49,1,30185,85741,1.34,32,48,74,105,553,227,0,200,19546,215,130,78,2724,102,603,932,50976,8580
"HER44L","HER44L_2A_131",7.65,757.5,6.49,1,30284,85392,1.34,0,41,68,91,547,231,45,175,18966,125,211,113,2712,98,617,1026,51384,8328
"HER44L","HER44L_2A_132",7.7,759.15,6.49,1,30415,86175,1.44,5,47,62,86,541,203,14,200,20007,147,123,38,2634,118,474,1019,51662,8130
"HER44L","HER44L_2A_133",7.75,760.8,6.48,1,30246,85616,1.39,0,10,86,62,566,260,17,184,20071,154,218,74,2560,56,622,970,50951,8222
"HER44L","HER44L_2A_134",7.8,762.45,6.48,1,30496,87787,1.56,17,45,80,82,519,222,6,200,20971,126,112,84,2734,91,588,1130,51869,8139
"HER44L","HER44L_2A_135",7.85,764.1,6.49,1,30435,86413,1.28,15,27,87,84,464,235,14,164,21504,162,121,106,2621,156,601,944,50328,8012
"HER44L","HER44L_2A_136",7.9,765.75,6.49,1,30410,87168,1.51,25,60,80,89,477,253,10,187,22310,167,176,103,2600,53,532,1094,50365,8005
"HER44L","HER44L_2A_137",7.95,767.4,6.49,1,30031,85953,1.34,21,62,80,88,523,236,0,153,21841,179,163,160,2567,29,241,1032,49871,7916
"HER44L","HER44L_2A_138",8,769.05,6.48,1,29767,85417,1.34,14,60,74,91,486,193,41,145,20642,71,135,71,2600,24,497,1065,50474,8245
"HER44L","HER44L_2A_139",8.05,774.78,6.48,1,29829,86054,1.43,37,45,64,96,501,224,47,158,20553,133,120,85,2685,48,406,1050,50822,8328
"HER44L","HER44L_2A_140",8.1,780.52,6.48,1,29353,82836,1.44,0,14,77,81,371,185,0,149,18046,135,210,160,2451,92,333,912,50791,8142
"HER44L","HER44L_2A_141",8.15,786.25,6.48,1,29844,84671,1.36,21,31,85,89,440,232,13,167,19641,169,281,114,2635,162,491,934,50533,8171
"HER44L","HER44L_2A_142",8.2,791.99,6.48,1,30113,87069,1.38,0,48,74,81,535,265,0,205,21117,173,95,51,2729,0,447,964,51227,8266
"HER44L","HER44L_2A_143",8.25,797.72,6.48,1,30171,87694,1.4,22,24,77,108,575,306,20,229,22200,169,131,163,2589,229,553,883,50600,8182
"HER44L","HER44L_2A_144",8.3,803.46,6.49,1,30271,87076,1.5,0,53,68,117,528,345,16,212,22232,142,223,181,2799,38,344,794,50368,7953
"HER44L","HER44L_2A_145",8.35,809.19,6.49,1,30139,87454,1.33,56,59,57,102,470,205,30,258,21747,158,138,110,2679,141,543,975,50694,8082
"HER44L","HER44L_2A_146",8.4,814.93,6.49,1,30276,88733,1.41,0,42,85,104,636,514,30,306,23393,155,173,133,2625,88,313,1088,50496,8113
"HER44L","HER44L_2A_147",8.45,820.66,6.5,1,29892,87321,1.28,30,47,65,87,537,271,35,142,22408,129,227,57,2617,159,438,1020,50213,8047
"HER44L","HER44L_2A_148",8.5,826.4,6.5,1,29807,85369,1.28,7,41,71,68,433,258,8,121,20803,180,143,105,2792,65,345,1169,50506,7920
"HER44L","HER44L_2A_149",8.55,832.13,6.51,1,29939,85244,1.3,15,14,63,65,522,180,15,124,20248,178,184,15,2568,0,639,1014,51021,7818
"HER44L","HER44L_2A_150",8.6,837.87,6.51,1,30178,86694,1.39,0,27,68,100,501,235,16,164,21052,174,124,97,2553,103,358,1189,51162,8128
"HER44L","HER44L_2A_151",8.65,843.6,6.52,1,30198,86515,1.22,17,47,75,90,412,200,0,146,20583,248,129,100,2648,172,371,934,51147,8271
"HER44L","HER44L_2A_152",8.7,849.34,6.52,1,30121,86549,1.38,25,67,98,90,406,191,49,139,21353,204,188,45,2632,40,226,1012,50904,8261
"HER44L","HER44L_2A_153",8.75,855.07,6.53,1,29614,84236,1.42,0,60,63,65,335,152,27,105,19057,115,160,34,2865,0,596,945,50680,8253
"HER44L","HER44L_2A_154",8.8,860.8,6.53,1,29488,83465,1.34,10,44,73,69,331,139,25,118,18996,150,88,94,2621,0,386,1009,50615,8133
"HER44L","HER44L_2A_155",8.85,866.54,6.53,1,29251,81114,1.24,0,12,61,87,302,178,28,135,16710,181,199,151,2421,7,441,1139,50397,8108
"HER44L","HER44L_2A_156",8.9,872.27,6.53,1,29439,82181,1.45,0,36,59,77,395,203,0,175,17242,237,105,20,2696,128,629,1192,50319,8001
"HER44L","HER44L_2A_157",8.95,878.01,6.52,1,29294,81892,1.44,32,48,67,84,373,196,17,138,17677,154,197,73,2498,70,375,1031,50478,7860
"HER44L","HER44L_2A_158",9,883.74,6.52,1,29151,82638,1.41,0,53,58,72,331,213,7,109,17551,106,180,142,2500,62,474,1358,50210,8064
"HER44L","HER44L_2A_159",9.05,889.48,6.52,1,29164,82455,1.33,10,36,68,57,346,189,21,152,18800,164,189,170,2587,0,354,1038,49966,7819
"HER44L","HER44L_2A_160",9.1,895.21,6.52,1,28922,81598,1.3,26,44,38,62,340,159,22,139,18648,186,98,64,2490,0,350,960,49093,8078
"HER44L","HER44L_2A_161",9.15,900.95,6.52,1,28829,81082,1.28,28,36,66,48,335,187,23,114,18858,125,99,59,2393,100,419,982,48642,7758
"HER44L","HER44L_2A_162",9.2,906.68,6.52,1,28755,80866,1.34,4,56,56,55,347,168,14,116,18283,165,116,95,2536,106,247,1001,48529,8097
"HER44L","HER44L_2A_163",9.25,912.42,6.53,1,28739,81972,1.43,0,49,63,79,416,174,15,157,20246,171,171,103,2474,90,561,705,47776,8127
"HER44L","HER44L_2A_164",9.3,918.15,6.53,1,28673,82022,1.49,18,35,80,90,405,205,18,132,21015,169,131,76,2646,113,461,916,46910,7608
"HER44L","HER44L_2A_165",9.35,923.89,6.53,1,28331,81571,1.57,5,72,81,95,444,239,38,152,22782,185,176,104,2708,151,534,775,45097,7284
"HER44L","HER44L_2A_166",9.4,929.62,6.53,1,27633,80385,1.59,15,50,65,102,457,231,61,200,23021,162,218,58,2542,283,658,810,43396,7247
"HER44L","HER44L_2A_167",9.45,935.36,6.54,1,26842,77097,1.33,0,47,76,82,437,208,6,171,22849,99,123,52,2374,165,808,914,41182,6932
"HER44L","HER44L_2A_168",9.5,941.09,6.54,1,25735,74396,1.4,0,23,110,95,509,231,42,207,23867,123,213,64,2095,37,592,936,38312,6443
