"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","K","Si","Ca","Ti","Mn","Fe","Ni","Cu","Br","Rb","Sr","Mo_inc","Mo_coh","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER44L","HER44L_2B","HER44L_2B_744",48.15,9651.8,7.37,1,23654,87407,1.49,-1.07137101121665,-2.50115048427628,0.713270990242543,-0.1497752271128,-0.681992040860108,3.60564966151161,-2.49010064808969,-2.2735723358942,0.12190650399254,-1.31398479826672,0.85225623354953,3.27681138855418,1.91205176786605,3.91517436380773,0.255416466056813,-0.92320014017509,-1.78685859062834,-0.863658450453254
"HER44L","HER44L_2B","HER44L_2B_745",48.2,9654.67,7.37,1,23663,86540,1.52,-0.943557489635031,-2.51909385039345,0.493167725111752,0.175135795090128,-0.83596822216819,3.45698330789176,-2.49967576453635,-1.45033452487502,0.0814148091045739,-1.33292567070102,0.577281948940229,3.12701104453765,1.67056089163298,4.2911900163423,0.233035590638416,-1.12006083207559,-1.43827339594347,-0.318212563867878
"HER44L","HER44L_2B","HER44L_2B_746",48.25,9657.54,7.37,1,22931,81545,1.47,-0.694079424649989,-2.30351733708409,0.540431483130856,-0.452393258806428,-0.96417995905197,3.49862875486333,-2.15858331236175,-2.09702541936232,0.15896858226561,-1.25829292183404,0.547878326055317,3.28414356495799,1.8980209218775,3.9997252369831,0.250017173868242,-0.242080752333961,-1.23581341018159,-0.993732657847634
"HER44L","HER44L_2B","HER44L_2B_747",48.3,9660.41,7.37,1,22557,82901,1.56,-0.698231712796439,-2.64599543050107,0.488933973213116,-0.357799074959129,-0.867308042840373,3.56123486942314,-2.51246403787655,-1.76944502727643,0.105263524932372,-1.12333279542146,0.673136998106776,3.238809055607,1.90719770038907,3.78752223286359,0.264024852797746,-0.340967814733375,-1.18845412325079,-0.847486308517414
"HER44L","HER44L_2B","HER44L_2B_748",48.35,9663.28,7.38,1,22260,81095,1.49,-0.720281168598153,-2.64935275329064,0.669309640055917,-0.528569871454359,-1.13522502066086,3.50817637809743,-2.35842918691468,-1.73046798623943,0.049127996795423,-0.999196747837751,0.838856005361149,3.21531094692165,1.84074176776431,3.95380355581463,0.252921012863514,-0.192041025062371,-1.39100912704359,-1.19896810198122
"HER44L","HER44L_2B","HER44L_2B_749",48.4,9666.16,7.38,1,22248,82399,1.44,-0.680842286832086,-2.53512211304148,0.64293171730647,-0.135273714622223,-0.796733174336432,3.46735682120224,-2.08411498448639,-2.20018715573915,-0.0610263793576905,-1.37398946739203,0.862484600489952,3.15013863404622,1.74437750276261,4.07908847184987,0.245152809727243,-0.546277406601728,-1.32501079543481,-0.778733388833079
"HER44L","HER44L_2B","HER44L_2B_750",48.45,9669.03,7.39,1,21825,79823,1.47,-0.846253411874662,-2.30003801459697,0.664584705372372,-0.609310770600482,-0.846253411874662,3.44820666780335,-2.39444769906804,-2.30003801459697,-0.0285624751875735,-0.734806194667364,0.877640369904629,3.21480646825969,1.85447178112669,3.897907239819,0.256547921352391,-0.237387612840131,-1.51248080757265,-1.27509319473252
"HER44L","HER44L_2B","HER44L_2B_751",48.5,9671.9,7.39,1,22780,82915,1.51,-0.789396319846915,-2.46196727180985,0.539367257292809,-0.4066917959772,-0.882178053297881,3.57203465164195,-2.03062271571387,-2.27777480708009,0.0433293336811977,-1.37465453839568,0.809863387671429,3.31943492560307,1.93925594623102,3.97602315006201,0.251507589935538,-0.383376572014872,-1.33031669501679,-0.946940123001915
"HER44L","HER44L_2B","HER44L_2B_752",48.55,9674.77,7.4,1,23739,89687,1.41,-1.01764108066932,-2.41140745662791,0.575284072273935,-0.362425122432779,-0.832428751678515,3.64614909184216,-2.76808240056664,-1.77483062755636,0.0558442579213728,-1.0028624865732,0.788489401642491,3.26411270831032,1.83979839411442,4.15545739526931,0.240647395672599,-0.656410940734326,-1.59490495807953,-0.938494017345204
"HER44L","HER44L_2B","HER44L_2B_753",48.6,9677.64,7.4,1,23822,87781,1.55,-0.873672308832237,-2.31767498757277,0.574345575313574,-0.290308703046778,-0.767377650182614,3.68320058216066,-2.57608667772444,-2.45545868993583,0.134524344239441,-1.26983502427809,0.839114752021729,3.37715665656334,1.94207213127402,4.20044761505106,0.238069865796397,-0.584398156511967,-1.44980776684222,-0.86540961033025
"HER44L","HER44L_2B","HER44L_2B_754",48.65,9680.51,7.4,1,24119,89411,1.47,-0.857321039493931,-2.95511171984196,0.545875132428563,-0.179056789625696,-0.817226582292053,3.70958070705703,-2.84975120418414,-1.81419705148316,0.279199913156077,-1.19789257586608,0.861378858864619,3.3669546923202,1.90756765896054,4.30379384395132,0.232353136850509,-0.679385495487264,-1.40491267043355,-0.725527174946284
"HER44L","HER44L_2B","HER44L_2B_755",48.7,9683.38,7.41,1,24506,92540,1.44,-0.92173526676473,-2.83655482875001,0.423737099834906,0.00669204429578181,-0.586767921322937,3.63180915960307,-2.25673633349707,-1.75717390200979,0.0141516727537211,-1.33247743197374,0.616150110058075,3.2161056055427,1.78279999223004,4.19298492745457,0.23849358328294,-0.929702500384907,-1.34703145298359,-0.41732895259868
"HER44L","HER44L_2B","HER44L_2B_756",48.75,9686.26,7.41,1,24716,95280,1.54,-0.860192393073155,-2.36036353488236,0.528057002882539,0.156908399407668,-0.601296427339851,3.6780306329561,-2.70211282860442,-2.38703178196452,0.0948673467595202,-1.1227523714076,0.597375342232413,3.1897700833299,1.78874052970377,4.05980066445183,0.246317512274959,-1.01835169233482,-1.38971985994292,-0.371368167608102
"HER44L","HER44L_2B","HER44L_2B_757",48.8,9689.13,7.4,1,24858,97720,1.76,-0.91262000638768,-2.68545146573022,0.501417563002898,0.0292432780906619,-0.585900971127667,3.74589974482516,-2.48251062173353,-2.19228077720295,0.14260152776669,-1.203846924806,0.578875622041902,3.24453653427601,1.82003649698472,4.15621546961326,0.240603502708451,-0.943160526393427,-1.41564657313242,-0.472486046738991
"HER44L","HER44L_2B","HER44L_2B_758",48.85,9692,7.41,1,24501,94179,1.47,-0.892952102862743,-2.5252838351627,0.528717346515271,-0.419866807079599,-0.829185484503754,3.65344616785605,-2.46404020992198,-1.84271876393329,0.320237356568117,-1.28614711837909,0.707806275851635,3.249953973705,1.80003320134708,4.26323119777159,0.234563868016988,-0.473862154933265,-1.42323253470231,-0.949370379769043
"HER44L","HER44L_2B","HER44L_2B_759",48.9,9694.87,7.41,1,25077,97173,1.63,-0.912356206812623,-2.6040322174837,0.534562776123703,-0.198589739049942,-0.609979992421621,3.77403008721427,-2.22266466095459,-2.26416439186134,0.166321866954669,-1.33440544293632,0.538168239725538,3.30278827817719,1.83032140332476,4.36045197740113,0.229334024358642,-0.714887167196351,-1.44859824445605,-0.733711077259694
"HER44L","HER44L_2B","HER44L_2B_760",48.95,9697.74,7.41,1,25905,102608,1.75,-0.823087394942944,-2.5473256632955,0.384555138271954,-0.23959917080104,-0.792315736276191,3.78000342477843,-2.75258878933187,-1.73296491198239,0.0519216779579067,-0.852940358092626,0.557676998167485,3.20603213603764,1.76063264950915,4.2439972241499,0.235626921315979,-0.5843019837086,-1.20893285858419,-0.624630874875587
"HER44L","HER44L_2B","HER44L_2B_761",49,9700.61,7.4,1,25956,102482,1.6,-0.848904757961908,-2.70629227086131,0.44026289242726,-0.311573284481365,-0.76872245372222,3.74259712328554,-2.08546575188099,-1.91361549495434,0.115225033431711,-1.1817538022137,0.648089739629577,3.15578510836817,1.71436791893357,4.22713286713287,0.236566966649021,-0.538086996349846,-1.29048405627388,-0.752397059924037
"HER44L","HER44L_2B","HER44L_2B_762",49.05,9703.48,7.41,1,25538,101834,1.56,-1.04676051552608,-2.81573995642231,0.484092918895399,-0.246641215413964,-0.658336873272764,3.76656589473293,-2.09592452878021,-1.67738733910469,0.228782481301111,-1.51768622874678,0.631670268394975,3.20695478466768,1.7404103092747,4.3347054648687,0.230696181806274,-0.801390373336496,-1.53266161173818,-0.731271238401684
"HER44L","HER44L_2B","HER44L_2B_763",49.1,9706.36,7.41,1,25086,98300,1.57,-0.985907683276228,-2.60859082246035,0.387696852385342,-0.119987310791022,-0.723206093792888,3.73495759014013,-2.21805136456886,-2.01465029198385,0.128658533334124,-0.949305104298681,0.362393281404448,3.20421212868517,1.80178028522268,4.0654874426141,0.245972964894218,-0.86719282805004,-1.37524452493331,-0.508051696883265
"HER44L","HER44L_2B","HER44L_2B_764",49.15,9709.23,7.41,1,25057,98243,1.52,-1.05164231531975,-2.3383068354908,0.498449919005397,-0.254564211911578,-0.849673761142004,3.74239541597114,-2.60326065686503,-1.89339999533134,0.200440149576708,-1.03511301336854,0.557795597114345,3.22479229541885,1.80208741234263,4.14875806230273,0.241035988356708,-0.798388357354929,-1.55197059226052,-0.75358223490559
"HER44L","HER44L_2B","HER44L_2B_765",49.2,9712.1,7.42,1,25864,104873,1.5,-1.00732584574934,-2.7041865731546,0.521579042747414,-0.150698659212073,-0.662485359457614,3.8340783075588,-2.43519663371497,-2.16416179469635,0.173762664743005,-1.08247856812869,0.627576922680487,3.24449289128439,1.80504360509956,4.21880945909214,0.237033696282456,-0.857931116688572,-1.53067933833582,-0.672748221647252
