"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","S","K","Ca","Ti","Mn","Fe","Ni","Br","Rb","Sr","Mo_inc","Mo_coh","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca","cps_sum_all","cps_sum_filtered"
"HER24L","HER24L_3B","HER24L_3B_218",52.7,8207.96,7.35,1,36288,77267,1.39,0.144951919965833,0.0336495528492112,0.707934823404558,0.097066017834263,0,0.385675644194805,0.286021199218295,4.38738400610869,0.0504743292738168,1.02760557547206,77.9828387280469,11.9895945228882,6.50420984455959,0.153746577047548,-1.05939157551483,-3.0463522644005,-1.98696068888567,100,97.0931963192566
"HER24L","HER24L_3B","HER24L_3B_219",52.8,8213.68,7.35,1,36500,75666,1.58,0.12819496207015,0.0158591705653794,0.720270663177649,0.129516559617265,0,0.404408849417176,0.305289033383554,4.55818993999947,0,0.716305870536304,78.6865963576772,11.6591335606481,6.74892314667876,0.14817178656007,-2.10006082888257,-3.81587914487524,-1.71581831599267,100,97.3237649670922
"HER24L","HER24L_3B","HER24L_3B_220",52.9,8219.4,7.35,1,36221,75933,1.43,0.136962848827256,0.0342407122068139,0.744077015263456,0.113257740376384,0.0223881579813783,0.226515480752769,0.24100193591719,4.47368074486719,0.0342407122068139,0.956106040851804,78.7760262336534,11.7985592561864,6.6767496372363,0.149773475767758,-1.19625075823203,-3.07872919312496,-1.88247843489293,100,97.5570568790908
"HER24L","HER24L_3B","HER24L_3B_221",53,8225.12,7.36,1,35992,75403,1.3,0.139251753908996,0.0331551795021418,0.655146346962322,0.0557007015635983,0,0.24534832831585,0.289113165258677,4.44146784610692,0.0464172513029985,0.901820882458258,78.530031961593,11.8682280545867,6.61682869594368,0.151129800385044,-0.518793793415168,-2.98365969231972,-2.46486589890455,100,97.2056814715595
"HER24L","HER24L_3B","HER24L_3B_222",53.1,8230.84,7.37,1,36284,76309,1.31,0.0812486076347482,0.0262092282692736,0.609364557260611,0.0432452266443015,0,0.22802028594268,0.30271658651011,4.24589497962233,0,0.956636831828487,78.5962337338977,11.8505025619521,6.63231228574588,0.15077697745765,-0.500775287912489,-3.14630513203337,-2.64552984412088,100,96.9400725995623
"HER24L","HER24L_3B","HER24L_3B_223",53.2,8236.56,7.37,1,36476,76706,1.33,0.129064219226658,0.0378066904805361,0.694860897452611,0.0560581962297604,0.0195551847313118,0.234662216775741,0.18903345240268,4.35298412119,0,1.09509034495346,78.8543269105415,11.7969911089093,6.68427450547022,0.149604867242006,-0.393904285707088,-2.91122559417937,-2.51732130847228,100,97.4604333428936
"HER24L","HER24L_3B","HER24L_3B_224",53.3,8242.27,7.38,1,36460,76349,1.65,0.150624107715884,0.0144075233467367,0.743952114631495,0.0589398682366501,0.00654887424851668,0.412579077656551,0.303867765131174,4.24890961243762,0.0576300933869468,1.0190048330692,78.6545992743847,11.9713421262885,6.57024070021882,0.152201425431293,-1.40876721697195,-3.94422614592278,-2.53545892895083,100,97.642405270534
"HER24L","HER24L_3B","HER24L_3B_225",53.4,8247.99,7.39,1,36862,77943,1.28,0.153958662099226,0.0372066766739797,0.68383305749073,0.101356119215324,0.0307917324198453,0.550402217004734,0.180901427966591,4.24027815198286,0.0731303644971325,1.05205085767805,78.2058683910037,11.8484020373863,6.60054141851651,0.151502723275805,-1.00215202248055,-2.91122559417937,-1.90907357169882,100,97.1581796954185
"HER24L","HER24L_3B","HER24L_3B_226",53.5,8253.71,7.39,1,36810,77943,1.61,0.152675673248399,0.0256597770165377,0.771076299346959,0.103922096916978,0,1.63709377365511,0.260446736717858,4.58668514170612,0.0949411749611896,0.903224150982128,76.8061275547515,11.7278010854086,6.54906465375779,0.15269356051115,-1.39871688111845,-3.40286266098122,-2.00414577986277,100,97.0696534647114
"HER24L","HER24L_3B","HER24L_3B_227",53.6,8259.43,7.4,1,36664,77752,1.23,0.117038789998971,0.0295812326371026,0.820557670542237,0.109321946702336,0.0321535137359811,3.50087457557362,0.182631958020372,4.4899166580924,0,0.992900504167095,76.0031896285626,11.1161127688034,6.83720930232558,0.146258503401361,-1.30715704056117,-3.32284406741564,-2.01568702685447,100,97.3942792468361
"HER24L","HER24L_3B","HER24L_3B_228",53.7,8265.15,7.4,1,36445,77908,1.48,0.145042871078708,0.0513426092314011,0.667453920008215,0.0385069569235509,0,2.60820454895518,0.223340350156595,4.18698978282076,0,1.09873183755198,76.7777378446373,11.4571032499872,6.70132198073045,0.149224287815969,0.287682072451781,-2.56494935746154,-2.85263142991332,100,97.2544539713508
"HER24L","HER24L_3B","HER24L_3B_229",53.8,8270.87,7.39,1,36584,78980,1.34,0.115219042795644,0.0354520131678906,0.711572550012661,0.0785008863003292,0,4.42263864269435,0.296277538617371,4.0402633578121,0.0392504431501646,0.725500126614333,75.6280070904026,11.5370979994935,6.55520193151888,0.152550601865028,-0.794929874869888,-2.99929733971849,-2.2043674648486,100,97.629779691061
"HER24L","HER24L_3B","HER24L_3B_230",53.9,8276.58,7.38,1,36627,79173,1.69,0.123779571318505,0.0101044548015106,0.674472358000834,0.108622889116239,0.0277872507041542,5.5397673449282,0.257663597438521,3.8093794601695,0.0126305685018883,0.850037260177081,74.548141411845,11.3536180263474,6.56602514184003,0.152299142692555,-2.37490575457367,-4.20095429728036,-1.82604854270669,100,97.3160041933487
"HER24L","HER24L_3B","HER24L_3B_231",54,8282.3,7.37,1,36349,80511,1.37,0.156500353988896,0.0198730608239868,0.585013228006111,0.0968811715169356,0.0223571934269851,6.11096620337594,0.276980785234316,4.20191029797171,0.190036144129374,0.686862664729043,73.2918483188633,11.1587236526686,6.56812110418522,0.152250542299349,-1.58412010444981,-3.38226937177664,-1.79814926732683,100,96.7979530747351
"HER24L","HER24L_3B","HER24L_3B_232",54.1,8288.02,7.37,1,36142,79593,1.41,0.157048986719938,0.0314097973439875,0.586735014385687,0.10176774339452,0,7.19033080798563,0.222381365195432,3.98150591132386,0.0917166082444436,0.83173143366879,72.7576545676127,10.9858907190331,6.62282708142726,0.150992920048351,-1.17557332980424,-2.9274534328007,-1.75188010299646,100,96.9381729549081
"HER24L","HER24L_3B","HER24L_3B_233",54.2,8293.74,7.36,1,36338,83413,1.46,0.17143610708163,0.0371644707659478,0.525098006305971,0.0827209188016256,0.0215793701221632,11.4286741874768,0.239770779135147,3.80636111877046,0,0.812822941268148,70.0238571925239,10.355699950847,6.76186617272517,0.147888167919327,-0.800119300112113,-2.6482317058913,-1.84811240577919,100,97.5051850430988
"HER24L","HER24L_3B","HER24L_3B_234",54.3,8299.46,7.36,1,36232,85900,1.61,0.147846332945285,0.0314318975552969,0.593713620488941,0.0954598370197905,0.0454016298020955,13.8125727590221,0.273573923166473,3.77532013969732,0,0.712456344586729,67.1408614668219,10.3538998835856,6.48459635709467,0.154211603148733,-1.11088238125992,-2.93857385971404,-1.82769147845412,100,96.9825378346915
"HER24L","HER24L_3B","HER24L_3B_235",54.4,8305.18,7.36,1,36265,84157,1.39,0.171108761006215,0.00950604227812303,0.567986026117851,0.0736718276554535,0.0285181268343691,14.6286108107466,0.191309100847226,3.98421996981832,0.0142590634171845,0.513326283018644,67.6925270625141,10.1904773221479,6.64272388059702,0.150540654402472,-2.04769284336526,-4.09016919081162,-2.04247634744636,100,98.065520396402
"HER24L","HER24L_3B","HER24L_3B_236",54.5,8310.89,7.35,1,35613,78783,1.52,0.156125052359011,0.0406178998007184,0.654963634286585,0.025386187375449,0.0634654684386225,7.23887133010929,0.208166736478682,3.76350227841032,0,0.625769518804818,73.1414137567749,11.4555170531714,6.38481994459834,0.156621487947521,0.470003629245736,-2.78037086268184,-3.25037449192757,100,97.3737989160098
"HER24L","HER24L_3B","HER24L_3B_237",54.6,8316.61,7.36,1,35303,77381,1.54,0.129230689704191,0.0219692172497125,0.54147658986056,0.0465230482935087,0.014215375867461,5.95236556777504,0.301107507010765,3.81876688075884,0,0.911076362414546,74.098292862589,11.4033160594978,6.4979601087942,0.153894450451707,-0.750305594399894,-3.20465757586592,-2.45435198146603,100,97.2383401610214
"HER24L","HER24L_3B","HER24L_3B_238",54.7,8322.33,7.38,1,35180,76663,1.31,0.099135176030158,0.019566153163847,0.607855158290179,0.0234793837966164,0,4.98154259551544,0.196965941849393,3.91323063276939,0,0.703077103687568,75.1862045576093,11.6170773384814,6.47204132045812,0.154510756419153,-0.182321556793955,-3.43613543302344,-3.25381387622948,100,97.3481340411933
"HER24L","HER24L_3B","HER24L_3B_239",54.8,8328.05,7.39,1,35483,77992,1.38,0.108985536978152,0.0384654836393476,0.588521899682019,0.0884706123704995,0.0179505590316956,4.41968407016104,0.241050364139912,4.0863165452867,0,0.848805005641604,74.8448558826546,11.5973433172633,6.45362078496407,0.154951775649701,-0.832909122935104,-2.72785282839839,-1.89494370546329,100,96.8804492768489
"HER24L","HER24L_3B","HER24L_3B_240",54.9,8333.77,7.4,1,36157,78994,1.28,0.137985163430134,0.0126591893055169,0.573461275539914,0.0177228650277236,0.0139251082360686,5.1383649391093,0.286097678304681,3.93321011722409,0,0.835506494164114,74.7461832544244,11.4578322404233,6.52358855375097,0.153289863663308,-0.336472236621213,-3.81330703248899,-3.47683479586778,100,97.1529483251893
"HER24L","HER24L_3B","HER24L_3B_241",55,8339.49,7.43,1,36465,81851,1.39,0.207694469218458,0.0329867686405786,0.935846843654934,0.0769691268280168,0.00733039303123969,8.175831694176,0.244346434374656,3.43673259947954,0,1.05435486432664,72.1811584464454,11.1971753552186,6.44637206764866,0.155126013439177,-0.847297860387204,-3.34534530373626,-2.49804744334906,100,97.5504269953941
"HER24L","HER24L_3B","HER24L_3B_242",55.1,8345.01,7.45,1,36693,80010,1.35,0.212473440819898,0.0237470316210474,0.834895638045244,0.078740157480315,0.0399950006249219,5.72303462067242,0.201224846894138,3.80577427821522,0,0.951131108611424,74.5294338207724,10.867391576053,6.8580793559517,0.145813419194714,-1.19869574722509,-3.55984919437021,-2.36115344714511,100,97.26784151981
"HER24L","HER24L_3B","HER24L_3B_243",55.2,8350.54,7.46,1,36583,80834,1.37,0.158349209491056,0.0531954375634015,0.675458346735285,0.0457728183685083,0,8.11539698641661,0.176905757478289,4.18883143231808,0,0.96617759853527,71.9264171017146,10.960734344459,6.56218961625282,0.152388159818373,0.150282203049338,-2.54141886005134,-2.69170106310068,100,97.2672390330801
"HER24L","HER24L_3B","HER24L_3B_244",55.3,8356.07,7.45,1,36459,82192,1.38,0.150866264356628,0.0304165855557718,0.601031730582052,0.0888164298228538,0.0328499124002336,9.62989098695737,0.267665952890792,3.72420673544871,0.0571831808448511,0.829764453961456,71.4327428460191,10.5849717734086,6.74850574712644,0.148180951083254,-1.07158361628019,-2.98365969231972,-1.91207607603953,100,97.4304068522484
"HER24L","HER24L_3B","HER24L_3B_245",55.4,8361.59,7.44,1,36339,79207,1.4,0.15402679056144,0.0479755577158585,0.718370851061144,0.075750880603987,0.0113626320905981,7.2089588041461,0.253765450023357,3.7092681202419,0,0.929210802075574,72.988498491295,11.3575820318911,6.42641173855047,0.155607832283955,-0.456758402495715,-2.70629427439995,-2.24953587190423,100,97.454770411706
"HER24L","HER24L_3B","HER24L_3B_246",55.5,8367.12,7.44,1,36003,77551,1.65,0.135394772472309,0.0528684349653776,0.675684388337997,0.0296579025415533,0,4.60471173808204,0.247579012520793,3.64405359054042,0.0644737011772898,0.718237031115008,75.4007040528169,11.699397815631,6.4448363275653,0.155162978417758,0.578077850775158,-2.54791961761673,-3.12599746839189,100,97.2727624402007
"HER24L","HER24L_3B","HER24L_3B_247",55.6,8372.64,7.44,1,36242,78007,1.62,0.158960093324958,0.0333303421487815,0.597382286205084,0.0269206609663235,0,4.96878485264143,0.287153716974118,4.32653479815914,0,0.783263040496366,74.8266181240145,11.4643557629444,6.52689254165269,0.153212266575296,0.213574100298059,-2.88608909610416,-3.09966319640222,100,97.4733036778751
"HER24L","HER24L_3B","HER24L_3B_248",55.7,8378.17,7.43,1,36396,80145,1.71,0.148480878407886,0.00873416931811092,0.610144113793749,0.0786075238629983,0,7.33420675026514,0.27949341817955,3.91789880840976,0,0.792313931000062,73.1898434088215,11.0736789568906,6.60935211267606,0.151300760339596,-2.19722457733622,-4.24645234041956,-2.04922776308334,100,97.4334019589494
"HER24L","HER24L_3B","HER24L_3B_249",55.8,8383.7,7.43,1,36218,80049,1.36,0.154905120613624,0.00749540906194956,0.650851353545953,0.0599632724955965,0.0487201589026721,7.479169008982,0.234856150607753,3.98256068158253,0.0437232195280391,0.719559269947157,72.6742370298192,11.0170020862222,6.59655289715387,0.151594327460249,-2.07944154167984,-4.46399057252531,-2.38454903084548,100,97.0730427613087
"HER24L","HER24L_3B","HER24L_3B_250",55.9,8389.22,7.43,1,36220,78842,1.39,0.164886735496309,0.0329773470992618,0.630374673397428,0.0697597727099769,0.0355140661068973,7.86636564267776,0.272697293320819,3.72263514370513,0,0.83331219400827,73.2490297049796,11.114634331955,6.59032294876184,0.151737632248792,-0.749236647210989,-2.95049348807515,-2.20125684086416,100,97.9921869054565
"HER24L","HER24L_3B","HER24L_3B_251",56,8394.75,7.43,1,36542,88042,1.45,0.160150837100475,0.0238522523341133,0.549737625224325,0.0806433293200972,0.0386179323504691,16.6238840553372,0.249880738738329,3.6880125394698,0,0.7791735762477,65.4948774448559,9.90890711251448,6.60969738651994,0.15129285677124,-1.21815743931789,-3.13756246899321,-1.91940502967532,100,97.5977374434929
"HER24L","HER24L_3B","HER24L_3B_252",56.1,8400.28,7.43,1,36573,87897,1.46,0.133110345062971,0.0182031241111756,0.53699216127968,0.0602978486182691,0.00568847628474237,17.5227823475204,0.271909166410685,3.42332502815796,0,0.726987269190075,64.8099480073268,10.0947700149038,6.42015101994816,0.155759575887371,-1.19770319131234,-3.38439026334577,-2.18668707203343,100,97.6040137888665
"HER24L","HER24L_3B","HER24L_3B_253",56.2,8405.8,7.42,1,36310,86547,1.37,0.147896518654604,0.00924353241591274,0.524570464603048,0.108611505886975,0.0543057529434874,15.2194761228003,0.244953609021688,3.44437126647949,0,0.727928177753128,66.8665580551608,10.2013934625117,6.55464945067392,0.152563460109554,-2.46385324059017,-4.03865565636151,-1.57480241577134,100,97.5493084682311
"HER24L","HER24L_3B","HER24L_3B_254",56.3,8411.33,7.42,1,36183,82068,1.37,0.126724179948336,0.0231515328751767,0.526392747477701,0.0645805917044402,0,10.4815518838037,0.210800799337135,3.62382414583029,0,0.628746892820588,70.6804113661841,10.921431008432,6.47171705902042,0.154518498086405,-1.02585293438568,-3.12398660907767,-2.09813367469199,100,97.2876151484135
"HER24L","HER24L_3B","HER24L_3B_255",56.4,8416.86,7.41,1,36073,82877,1.44,0.0880823388877493,0.0168925033483355,0.644328342000796,0.0591237617191742,0,11.7161576794527,0.276313090483488,3.49192176357735,0,0.546593144056855,69.7949974057941,10.6857149752042,6.5316169828365,0.153101445266579,-1.25276296849537,-3.64133850934494,-2.38857554084957,100,97.3201250045248
"HER24L","HER24L_3B","HER24L_3B_256",56.5,8422.38,7.4,1,36432,83972,1.45,0.107178583337303,0.00833611203734578,0.503739341685324,0.0738341351879198,0,12.9852808078883,0.229838517601105,3.66669842328395,0,0.944362406516458,68.7943600247702,10.3403515457533,6.65300011516757,0.150308129067996,-2.18122423598978,-4.10146202999096,-1.92023779400119,100,97.6539798980613
"HER24L","HER24L_3B","HER24L_3B_257",56.6,8427.91,7.39,1,36290,82998,1.44,0.133738162365358,0.0385551459071303,0.578327188606954,0.0349406009783368,0.0325309043591412,12.7195836044242,0.273500566278706,3.36514132870672,0.0289163594303477,0.559049615653389,69.1040747969831,10.8520687245476,6.36782502498057,0.157039490890071,0.0984400728132525,-2.70805020110221,-2.80649027391546,100,97.7204269982409
"HER24L","HER24L_3B","HER24L_3B_258",56.7,8433.44,7.38,1,36403,83725,1.38,0.13496566139146,0.0286652732158853,0.538668259181845,0.0394147506718423,0.0489698417438041,12.9447596297402,0.302179755150791,3.44699910421021,0.0955509107196178,0.628247237981487,68.7357420125411,10.5297103613019,6.52779038112523,0.153191193591548,-0.318453731118535,-2.93341350915473,-2.6149597780362,100,97.4738727978501
"HER24L","HER24L_3B","HER24L_3B_259",56.8,8438.96,7.36,1,36287,83745,1.4,0.14687444026509,0.0167174159651322,0.601826974744761,0.0346289330706311,0.0358230342109977,12.7625529882381,0.257925846319183,3.71246044539973,0,0.573168547375963,68.9712818675742,10.3576332915398,6.65898086234724,0.150173130193906,-0.728238500371215,-3.58351893845611,-2.85528043808489,100,97.4708937847036
"HER24L","HER24L_3B","HER24L_3B_260",56.9,8444.49,7.35,1,36016,80632,1.43,0.115338823295962,0.0384462744319873,0.626302212521084,0.0421668816350828,0.0136422264113503,8.86992757217978,0.220756027383669,4.06290306578034,0,0.959916658398651,71.5125508482984,10.7897608889771,6.62781609195402,0.150879261905588,-0.0923733201310152,-2.79057122479021,-2.6981979046592,100,97.2517114793134
"HER24L","HER24L_3B","HER24L_3B_261",57,8450.02,7.34,1,36068,82082,1.4,0.137667210837943,0.0280207597280768,0.58356277868473,0.0511683438512707,0.0146195268146488,10.6076849979289,0.201018493701421,3.69264881460003,0,0.688336054189713,70.3418532686825,10.9025121220243,6.45189406637613,0.154993245349683,-0.602175402354219,-3.03620638148177,-2.43403097912755,100,97.2490923710436
"HER24L","HER24L_3B","HER24L_3B_262",57.1,8455.54,7.34,1,35754,79176,1.34,0.126300899262403,0.046731332727089,0.574669091643933,0.0290492068303526,0.0101040719409922,8.41416590886127,0.197029402849348,3.80670910376882,0,0.66181671213499,72.423461655047,11.146054359907,6.49767705382436,0.153901154476649,0.475423696715075,-2.50937950630673,-2.9848032030218,100,97.4360917449732
"HER24L","HER24L_3B","HER24L_3B_263",57.2,8461.07,7.34,1,35758,79009,1.32,0.165803895758711,0.0278449290587148,0.644230404131175,0.0442987507752281,0.0113911073422015,7.4206735941475,0.308825576833019,3.90082142540723,0.160741181384399,0.725233834120164,72.7195635940209,11.0278575858447,6.59416963158499,0.151649116700026,-0.464305608131098,-3.14140556319221,-2.67709995506111,100,97.1572858788239
"HER24L","HER24L_3B","HER24L_3B_264",57.3,8466.6,7.34,1,35777,79298,1.22,0.113495926757295,0,0.599006280107947,0.0479205024086358,0,7.68115210976317,0.240863577896038,3.76680370248934,0.208075865721708,0.573784963050771,72.9110444147393,11.0784635173649,6.58133181559476,0.151944929691959,NA,NA,-2.52572864430826,100,97.2206108602991
"HER24L","HER24L_3B","HER24L_3B_265",57.4,8472.12,7.34,1,35770,77883,1.27,0.114273975065162,0.0166917042230012,0.58806157954881,0.092446361850468,0.0115557952313085,7.69359166955562,0.309438516749483,3.88659912946343,0,0.489195331458727,73.4268068769821,10.9420541068012,6.71051396385825,0.149019882141046,-1.71171676155452,-3.56191982665265,-1.85020306509813,100,97.5707150469294
