"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Ni","Br","Rb","Sr","Mo_inc","Mo_coh","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER24L","HER24L_3B","HER24L_3B_372",68.1,9017.07,7.22,1,35557,73989,1.41,-1.86655732023117,1.05902934395607,-2.00470765871198,-5.30054452471631,0.00772317268489258,-0.102047493450487,2.69104775735178,-5.30054452471631,1.34714384884702,5.67529689532556,3.79416050366095,6.56158077916246,0.15240229963726,0.143100843640673,-2.95664488484594,-3.09974572848662
"HER24L","HER24L_3B","HER24L_3B_373",68.2,9020.94,7.22,1,35423,74693,1.7,-2.30114262099328,0.836089214834415,-2.68680510180526,-2.22418157985715,-0.226713621136983,-0.408030657504933,2.53355072327306,-5.52001844586148,0.969186485463841,5.46887794549785,3.55918765808991,6.75165336374002,0.1481118692157,0.405465108108164,-3.1763162104494,-3.58178131855757
"HER24L","HER24L_3B","HER24L_3B_374",68.3,9024.8,7.2,1,35501,74578,1.62,-2.32708266019622,0.744838751715319,-2.24703995252268,-2.67192314648795,-0.187016496699948,-0.182126511405756,2.42614827098173,-5.50513649054416,0.876679526861934,5.48320243541004,3.58945627288771,6.64484617112059,0.15049257337907,-0.083381608939051,-3.11254865857928,-3.02916704964023
"HER24L","HER24L_3B","HER24L_3B_375",68.4,9028.67,7.19,1,35623,74919,1.32,-2.15864841538467,0.878225801500498,-1.61632412455931,-5.37752424025287,1.32566387298799,-0.168038087411448,2.59321614975423,-5.37752424025287,0.593737599537593,5.61010473452291,3.69711094955794,6.77399770904926,0.147623315352487,-0.559615787935423,-3.07577498122753,-2.5161591932921
"HER24L","HER24L_3B","HER24L_3B_376",68.5,9032.53,7.19,1,35646,76434,1.27,-1.94895731847638,0.606901067283907,-2.25644201822434,-5.47531784309254,1.93925503825805,-0.0681460716324203,2.51593608674766,-5.47531784309254,1.01540569140997,5.5167990000583,3.62988421076034,6.59960004443951,0.151524333787856,0.318453731118535,-2.58342563362911,-2.90187936474764
"HER24L","HER24L_3B","HER24L_3B_377",68.6,9036.4,7.19,1,35789,76628,1.34,-3.14507435649188,-0.0389940257690255,-3.39638878477279,-3.03971384083406,1.36639546435578,-0.54650838823136,1.97888962291138,-1.39105521524667,0.226045569932996,4.96303050419874,3.02337344994689,6.95705807052252,0.143738918068984,0.268263986594679,-3.16074808325035,-3.42901206984503
"HER24L","HER24L_3B","HER24L_3B_378",68.7,9040.27,7.19,1,35769,76662,1.68,-2.93730605464838,0.0937933627429036,-1.83869376598027,-3.26581012162041,0.698172622738442,-0.833171900378171,1.88103815161643,-1.87951576050052,0.319250837187511,4.84333128579089,2.91891134305158,6.85184337073506,0.145946126595816,-1.12601126285622,-3.06998904416048,-1.94397778130426
"HER24L","HER24L_3B","HER24L_3B_379",68.8,9044.13,7.21,1,35357,76186,1.29,-2.46008596658507,0.371096919920764,-2.08971217828818,-5.82738179657154,0.577846661459297,-0.438310066755044,2.273689706548,-1.56470191953023,0.717967863762875,5.16154837058405,3.27804240545508,6.57714095301566,0.152041746884183,-0.381367556529104,-2.86423961761932,-2.48287206109021
"HER24L","HER24L_3B","HER24L_3B_380",68.9,9048,7.21,1,35781,75467,1.37,-2.21514860210874,0.269758047679265,-2.05262967261096,-5.7415091267249,1.34355516722765,-0.594014649911444,2.34490114859889,-2.5226333018567,0.589992723168794,5.24162873374081,3.33609953279733,6.72361809045226,0.148729446935725,-0.167054084663166,-2.51230562397611,-2.34525153931295
"HER24L","HER24L_3B","HER24L_3B_381",69,9051.87,7.21,1,35576,76323,1.43,-2.71994131664619,0.496431378003895,-3.0946347660876,-3.41308849720613,1.77847849939502,-0.174410045041752,2.6070242434904,-5.49253003888597,0.914349947183346,5.49580888706823,3.60251170872675,6.64186307519641,0.150560164923368,0.405465108108164,-3.27840180418223,-3.68386691229039
"HER24L","HER24L_3B","HER24L_3B_382",69.1,9055.73,7.21,1,36023,77036,1.49,-2.29106215431901,0.644920114829208,-3.20735288619316,-3.90050006675311,1.69048691375775,-0.0127697538940081,2.55060206735143,-5.50993797918721,0.954650324502751,5.48614378969146,3.59481963021391,6.62876514393687,0.150857660255873,0.980829253011726,-2.97467886435616,-3.95550811736788
"HER24L","HER24L_3B","HER24L_3B_383",69.2,9059.6,7.21,1,35973,77120,1.27,-3.66819585597941,0.692777369496636,-2.5695835673113,-2.62674198115125,1.55665435868675,-0.483221582786894,2.55139978395382,-5.45995532520747,0.805345887530241,5.54500708161025,3.65651383115864,6.61001867516203,0.151285502983165,-1.22377543162212,-4.54116485601218,-3.31738942439006
"HER24L","HER24L_3B","HER24L_3B_384",69.3,9063.46,7.21,1,35740,76664,1.47,-3.13653977219114,0.552339681922801,-3.82968695275108,-5.77559710180639,1.75756170564917,-0.447720933016812,2.23542627738005,-0.805783802230393,0.943416052578866,5.20640206769084,3.30018277677409,6.72826086956522,0.148626817447496,0.773189888233482,-3.76120011569356,-4.53439000392704
"HER24L","HER24L_3B","HER24L_3B_385",69.4,9067.33,7.2,1,35679,75066,1.29,-1.81259557659285,0.602201507008125,-1.77177358207259,-3.89203711827268,1.27655114160057,-0.294724857684239,2.30644159821962,-5.68379658750074,0.570032224074734,5.30224162015615,3.39745963106391,6.71859353664087,0.148840675439934,-0.0416726964005681,-2.43398655936074,-2.39231386296018
"HER24L","HER24L_3B","HER24L_3B_386",69.5,9071.2,7.19,1,35548,75222,1.4,-1.95613427414545,0.954403153345304,-2.22183743987846,-5.35733165580761,0.928666438701255,-0.029455487018029,2.65269587267412,-5.35733165580761,1.02448436159849,5.63156473555172,3.73027595078628,6.6951605608322,0.149361615888671,0.276253376628158,-2.94262244824004,-3.2188758248682
"HER24L","HER24L_3B","HER24L_3B_387",69.6,9075.06,7.19,1,35452,73723,1.32,-2.65987227846162,0.716956512183577,-2.60580505719134,-2.50572159863436,0.754204766064196,-0.357287185467575,2.44573643840597,-5.55024403635779,0.828182147293802,5.42039953688823,3.51345075527691,6.73317892298784,0.148518257339915,-0.0571584138399486,-3.43208786868149,-3.37492945484155
"HER24L","HER24L_3B","HER24L_3B_388",69.7,9078.93,7.18,1,35468,75539,1.43,-2.9244087394891,0.394312420348819,-2.03343581559923,-2.36479295155368,1.37542443880849,-0.567098746805806,2.2922239470864,-5.69699746172888,0.844032537461024,5.28990413571746,3.39083623575451,6.68030748360841,0.149693708329103,-0.929535958624176,-3.38099467434464,-2.45145871572046
"HER24L","HER24L_3B","HER24L_3B_389",69.8,9082.8,7.18,1,35855,77017,1.6,-3.77554605915036,0.367588667241172,-1.98378658992231,-1.93726657428741,2.14104098902487,-0.458766019300788,2.27385041208515,-5.72145620820567,0.466807914876916,5.27298101666322,3.35455245097522,6.81091283459163,0.146823197460573,-1.92181259747625,-4.29501525768425,-2.373202660208
"HER24L","HER24L_3B","HER24L_3B_390",69.9,9086.66,7.18,1,36221,77123,1.76,-2.19594652661906,0.550923666332737,-2.95363222831657,-3.02262509980352,1.83274778561278,-0.555736955518201,2.42963884411163,-5.66168242941878,0.795087226153382,5.33604118338448,3.44518453408112,6.62566548358474,0.150928235431977,0.794929874869888,-2.77661287253951,-3.57154274740939
"HER24L","HER24L_3B","HER24L_3B_391",70,9090.53,7.18,1,36719,79272,1.51,-1.90536161544105,1.02773508712146,-5.23756612561625,-5.23756612561625,2.81281832745077,0.191779503338191,2.89249291437655,-5.23756612561625,1.04843196889261,5.76403359054631,3.88076860056391,6.57554824561404,0.152078573929864,NA,-2.96756139658729,NA
"HER24L","HER24L_3B","HER24L_3B_392",70.1,9092.48,7.19,1,36348,77887,1.32,-2.56842558440186,0.264787759654357,-2.86691857295786,-3.60451751608864,1.87990213009326,-0.586312386682586,2.0821496263483,-3.00668051533301,0.332641462611053,4.99715050466524,3.07622309209175,6.82795208214489,0.146456798168663,0.310154928303839,-2.86410383107555,-3.17425875937939
"HER24L","HER24L_3B","HER24L_3B_393",70.2,9094.43,7.19,1,36455,77796,1.55,-1.81372057387813,0.745847604678888,-5.57492068957169,-1.86134862286739,1.98827990278638,-0.354564864493369,2.55130183988683,-5.57492068957169,0.966109309618209,5.43292925472422,3.49500752868774,6.94498791575555,0.143988731460767,NA,-2.58129849546307,NA
"HER24L","HER24L_3B","HER24L_3B_394",70.3,9096.37,7.18,1,36366,77396,1.58,-3.1960649914804,0.186440257169604,-2.82834021135508,-3.60153009958856,1.25310094603111,-0.674790697521524,2.04509396122769,-1.21890229892098,0.110007378417957,4.91324350030891,3.01174225571129,6.69657641530544,0.14933003642196,-0.385662480811985,-3.43777508780208,-3.0521126069901
"HER24L","HER24L_3B","HER24L_3B_395",70.4,9098.32,7.17,1,36447,77423,1.47,-2.72308700747823,0.26727372227385,-3.75270642465939,-2.27110188373517,0.696978858488308,-0.999045712305126,2.07682725530237,-1.64857227038918,0.333269887892196,4.95307199904677,3.06709157556361,6.59342579447417,0.151666224990062,1.09861228866811,-3.02493142824625,-4.12354371691436
