"Site","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","S","K","Ca","Ti","Mn","Fe","Ni","Br","Rb","Sr","Zr","Mo_inc","Mo_coh"
"HER24L","HER24L_3B_477",78.6,9256.95,7.22,1,35478,75037,1.29,72,12,494,4,0,590,234,3956,30,532,1293,58413,8789
"HER24L","HER24L_3B_478",78.7,9258.87,7.21,1,35864,76979,1.22,87,39,487,45,8,400,203,4277,0,508,1365,59826,9107
"HER24L","HER24L_3B_479",78.8,9260.78,7.21,1,35838,76375,1.34,85,23,471,13,22,275,193,4775,0,623,1411,58876,8899
"HER24L","HER24L_3B_480",78.9,9262.7,7.22,1,36111,76933,1.34,90,19,477,28,22,639,204,4469,0,528,1207,59511,8947
"HER24L","HER24L_3C_387",79.1,9266.53,7.36,1,35429,76580,1.4,74,5,460,17,0,254,244,4360,33,547,1369,59110,8852
"HER24L","HER24L_3C_388",79.2,9268.45,7.36,1,35640,76464,1.48,73,0,493,50,0,212,192,4032,0,766,1410,59837,8744
"HER24L","HER24L_3C_389",79.3,9270.37,7.36,1,35737,77441,1.31,47,23,417,0,15,251,177,4435,74,641,1494,59956,8917
"HER24L","HER24L_3C_390",79.4,9272.28,7.35,1,35824,77114,1.34,84,24,491,7,0,820,209,4360,0,460,1434,59599,8891
"HER24L","HER24L_3C_391",79.5,9274.2,7.35,1,35560,76388,1.38,87,33,463,19,0,241,173,4343,77,743,1186,59462,8574
"HER24L","HER24L_3C_392",79.6,9276.12,7.33,1,35868,76441,1.52,78,42,494,16,8,501,203,4054,153,627,1182,59882,8805
"HER24L","HER24L_3C_393",79.7,9278.03,7.31,1,35291,75292,1.45,71,42,415,0,20,698,170,4066,0,492,1225,58522,9019
"HER24L","HER24L_3C_394",79.8,9279.95,7.29,1,35895,77435,1.5,101,36,490,0,0,921,233,4223,60,606,1502,60003,8703
"HER24L","HER24L_3C_395",79.9,9281.86,7.27,1,36130,78400,1.4,84,18,523,0,0,1136,229,4119,0,775,1308,60242,9149
"HER24L","HER24L_3C_396",80,9283.78,7.26,1,36272,77589,1.5,105,27,485,53,0,335,268,4177,161,805,1363,60267,9017
"HER24L","HER24L_3C_397",80.1,9285.75,7.25,1,36339,77047,1.29,105,5,504,24,0,295,262,4252,0,514,1183,60434,8807
"HER24L","HER24L_3C_398",80.2,9287.72,7.25,1,35984,76527,1.26,86,0,463,18,0,380,207,4242,0,466,1281,59948,8678
"HER24L","HER24L_3C_399",80.3,9289.68,7.24,1,35625,75884,1.53,108,26,533,15,0,432,146,4124,0,651,1274,58835,8935
"HER24L","HER24L_3C_400",80.4,9291.65,7.23,1,35842,75308,1.46,73,19,492,40,14,267,135,4113,0,456,1425,58840,8955
"HER24L","HER24L_3C_401",80.5,9293.62,7.21,1,35937,76669,1.36,96,31,570,40,0,681,139,4180,16,722,1128,59466,8777
"HER24L","HER24L_3C_402",80.6,9295.59,7.21,1,35792,77269,1.49,101,0,457,32,0,588,174,4096,0,778,1297,60003,8716
"HER24L","HER24L_3C_403",80.7,9297.56,7.22,1,35958,76076,1.28,97,17,492,23,13,519,178,3693,0,567,1137,59333,8852
"HER24L","HER24L_3C_404",80.8,9299.52,7.2,1,36021,76257,1.69,82,13,500,30,20,952,235,3865,0,689,1185,59254,8618
"HER24L","HER24L_3C_405",80.9,9301.49,7.2,1,36372,78027,1.56,71,31,530,13,45,1057,195,4173,20,799,1384,60139,8840
"HER24L","HER24L_3C_406",81,9303.46,7.2,1,36226,77663,1.82,135,42,449,19,20,1149,174,4409,0,630,1264,59903,8727
"HER24L","HER24L_3C_407",81.1,9305.43,7.19,1,36502,78895,1.41,86,26,476,6,9,2462,226,4249,138,647,1281,59780,8891
"HER24L","HER24L_3C_408",81.2,9307.4,7.18,1,36606,77223,1.72,76,34,552,35,15,1437,198,4188,0,522,1301,59592,8873
"HER24L","HER24L_3C_409",81.3,9309.36,7.17,1,36325,76771,1.3,106,28,504,17,20,1390,165,3867,0,477,1373,59248,9039
"HER24L","HER24L_3C_410",81.4,9311.33,7.17,1,36227,77161,1.44,107,26,531,20,0,948,159,4110,122,620,1241,59269,8873
"HER24L","HER24L_3C_411",81.5,9313.3,7.16,1,36234,76243,1.49,72,23,463,46,0,806,190,3996,0,682,1246,59505,8810
"HER24L","HER24L_3C_412",81.6,9315.27,7.16,1,36063,76299,1.5,103,26,539,42,17,369,243,3968,19,597,1334,58972,9290
"HER24L","HER24L_3C_413",81.7,9317.23,7.17,1,36144,76371,1.41,93,9,509,0,20,239,193,3953,90,520,1307,59781,8738
"HER24L","HER24L_3C_414",81.8,9319.2,7.17,1,36239,76224,1.43,145,20,503,0,0,321,211,4155,16,644,1342,59299,8888
"HER24L","HER24L_3C_415",81.9,9321.17,7.17,1,35954,75054,1.43,88,26,528,36,0,266,162,3966,0,693,1270,58953,8605
"HER24L","HER24L_3C_416",82,9323.14,7.18,1,35575,74361,1.59,77,23,480,33,0,235,201,3706,107,793,1323,58418,8445
"HER24L","HER24L_3C_417",82.1,9325.11,7.19,1,35713,75226,1.58,88,9,499,39,19,257,165,3849,0,615,1180,58984,8764
"HER24L","HER24L_3C_418",82.2,9327.07,7.19,1,35594,74822,1.26,39,0,478,44,0,275,206,4069,0,409,1187,58952,8609
"HER24L","HER24L_3C_419",82.3,9329.04,7.2,1,35421,75386,1.61,88,19,447,23,36,194,164,4080,0,566,1347,58819,8713
"HER24L","HER24L_3C_420",82.4,9331.01,7.22,1,35623,74975,1.36,84,23,406,19,0,167,230,4080,0,555,1161,58990,8590
"HER24L","HER24L_3C_421",82.5,9332.98,7.23,1,35678,75804,1.35,56,16,419,31,0,252,168,4092,102,814,1126,59398,8493
"HER24L","HER24L_3C_422",82.6,9334.95,7.25,1,35631,74808,1.62,99,5,498,7,0,184,222,4150,0,466,1448,58375,8832
"HER24L","HER24L_3C_423",82.7,9336.91,7.26,1,35607,75892,1.49,91,32,398,0,4,667,202,4063,12,693,1219,59077,8910
"HER24L","HER24L_3C_424",82.8,9338.88,7.27,1,35593,75578,1.41,93,25,455,0,47,479,167,3847,0,505,1494,59275,8560
"HER24L","HER24L_3C_425",82.9,9340.85,7.27,1,35083,75240,1.56,76,23,490,10,7,324,151,3806,143,505,1355,58959,8677
"HER24L","HER24L_3C_426",83,9342.82,7.27,1,35390,75075,1.45,49,15,366,16,0,164,191,3847,0,621,1284,59182,8793
"HER24L","HER24L_3C_427",83.1,9344.79,7.26,1,35389,74615,1.23,55,11,463,28,16,192,223,3480,0,537,1192,58842,8845
"HER24L","HER24L_3C_428",83.2,9346.75,7.27,1,35478,74804,1.28,67,23,484,24,33,197,178,3515,0,761,1137,59133,8701
"HER24L","HER24L_3C_429",83.3,9348.72,7.27,1,35477,74523,1.44,58,32,456,0,7,221,184,3671,0,376,1097,58994,8681
"HER24L","HER24L_3C_430",83.4,9350.69,7.29,1,35468,75248,1.6,49,26,456,41,19,150,179,3735,0,705,1189,58973,8767
"HER24L","HER24L_3C_431",83.5,9352.66,7.29,1,35189,74591,1.54,73,0,404,22,40,132,167,3580,234,354,1241,58824,8894
"HER24L","HER24L_3C_432",83.6,9354.62,7.3,1,34987,74114,1.37,73,0,360,12,17,221,217,3515,34,388,1145,58218,8858
"HER24L","HER24L_3C_433",83.7,9356.59,7.31,1,34809,73160,1.26,76,14,358,7,8,459,215,3166,0,528,948,57844,8427
"HER24L","HER24L_3C_434",83.8,9358.56,7.32,1,35303,75640,1.48,50,0,366,21,0,228,183,3494,193,727,1273,58877,8989
"HER24L","HER24L_3C_435",83.9,9360.53,7.33,1,35621,76119,1.31,73,0,475,35,15,195,242,3529,0,530,1289,60182,8811
"HER24L","HER24L_3C_436",84,9362.5,7.34,1,35685,75571,1.24,55,12,435,25,0,198,155,3659,77,518,1336,59801,8689
"HER24L","HER24L_3C_437",84.1,9364.46,7.34,1,35899,75924,1.44,74,25,466,0,5,122,172,3520,51,578,1448,59781,9007
"HER24L","HER24L_3C_438",84.2,9366.43,7.35,1,35633,74472,1.53,64,26,442,16,16,147,180,3347,0,499,1281,59000,8764
"HER24L","HER24L_3C_439",84.3,9368.4,7.35,1,35506,75991,1.35,85,22,420,0,19,154,201,3550,41,576,1365,59806,9082
"HER24L","HER24L_3C_440",84.4,9370.37,7.35,1,35706,75271,1.32,64,23,432,18,6,139,163,3357,0,488,1473,59599,8757
"HER24L","HER24L_3C_441",84.5,9372.34,7.35,1,35585,74833,1.44,107,32,515,0,0,159,164,3581,11,650,1188,58951,8678
