"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","S","K","Ca","Ti","Mn","Fe","Ni","Br","Rb","Sr","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER24L","HER24L_3A","HER24L_3A_157",20.6,3650.16,7.22,1,19122,50756,1.56,0.0480349344978166,0.692139737991266,4.10917030567686,1,0.661572052401747,26.6397379912664,0.181222707423581,1.04366812227074,0.847161572052402,5.78165938864629,51.2227074235808,15.0087336244541,30334,3.41286005237125,0.293009377664109,-0.367967410236904,-1.78118854626804,-1.41322113603114
"HER24L","HER24L_3A","HER24L_3A_158",20.7,3653.57,7.24,1,19154,50192,1.49,0.0188679245283019,0.51165371809101,1.99001109877913,1,0.352941176470588,12.6670366259711,0.0932297447280799,0.44284128745838,0.358490566037736,3.25749167591565,25.7547169811321,7.36958934517203,29845,3.49472891566265,0.286145227321698,-0.670107214611689,-1.35824743060848,-0.688140215996795
"HER24L","HER24L_3A","HER24L_3A_159",20.8,3656.99,7.23,1,20154,50834,1.5,0.096989966555184,1.11705685618729,3.42642140468227,1,0.466555183946488,16.7257525083612,0.193979933110368,0.545150501672241,0.8561872909699,4.47324414715719,41.494983277592,11.8227424749164,31884,3.50975954738331,0.284919803336826,0.110697419586014,-1.12081897470225,-1.23151639428827
"HER24L","HER24L_3A","HER24L_3A_160",20.9,3660.41,7.23,1,20238,52852,1.54,0.0763688760806916,0.655619596541787,3.1685878962536,1,0.469740634005764,16.0475504322767,0.129682997118156,1.03746397694524,0.438040345821326,3.92507204610951,35.2795389048991,9.84582132564842,31317,3.58319918044783,0.279080215651037,-0.422174541555854,-1.57546057160381,-1.15328603004796
"HER24L","HER24L_3A","HER24L_3A_161",21,3663.83,7.25,1,20281,53634,1.51,0.0322234156820623,0.625134264232009,2.60794844253491,1,0.286788399570354,11.8249194414608,0.117078410311493,0.684210526315789,0.262083780880773,3.34586466165414,27.3222341568206,7.81740064446831,32715,3.49505358615004,0.286118646066753,-0.469788829545629,-1.42835270444795,-0.958563874902322
"HER24L","HER24L_3A","HER24L_3A_162",21.1,3667.25,7.23,1,21069,65326,1.43,0.0353982300884956,0.501106194690266,3.31858407079646,1,0.705752212389381,27.1482300884956,0.0918141592920354,0.634955752212389,0.311946902654867,2.66703539823009,25.8661504424779,7.45353982300885,30121,3.47031760166221,0.288158063550443,-0.690937234909142,-1.89047544216721,-1.19953820725807
"HER24L","HER24L_3A","HER24L_3A_163",21.2,3670.67,7.22,1,19940,56810,1.53,0.026027397260274,0.558904109589041,3.27671232876712,1,0.663013698630137,23.3794520547945,0.173972602739726,0.884931506849315,0.458904109589041,3.55890410958904,31.872602739726,9.32054794520548,30071,3.41960611405056,0.292431340525207,-0.581777359738275,-1.76861794066636,-1.18684058092809
"HER24L","HER24L_3A","HER24L_3A_164",21.3,3674.09,7.22,1,19910,52649,1.37,0.0616666666666667,0.506666666666667,3.51833333333333,1,0.526666666666667,19.2616666666667,0.131666666666667,1.22833333333333,0.686666666666667,5.50333333333333,40.5316666666667,11.8183333333333,31410,3.42955859540262,0.29158271310498,-0.679901953809925,-1.9378893464421,-1.25798739263217
"HER24L","HER24L_3A","HER24L_3A_165",21.4,3677.51,7.22,1,19025,48804,1.4,0.0969387755102041,0.520408163265306,3.35714285714286,1,0.525510204081633,16.6513605442177,0.16156462585034,1.03571428571429,0.403061224489796,4.72448979591837,40.0187074829932,11.6173469387755,30362,3.44473722734592,0.29029790489142,-0.653141845946246,-1.86423211804105,-1.2110902720948
"HER24L","HER24L_3A","HER24L_3A_166",21.5,3680.92,7.24,1,19767,52719,1.42,0.0129353233830846,0.202487562189055,0.978109452736318,1,0.244278606965174,5.81243781094527,0.0114427860696517,0.27363184079602,0.0900497512437811,1.29850746268657,11.6587064676617,3.81641791044776,31105,3.05488202320428,0.327344883502603,-1.59707681561053,-1.57494311526452,0.0221337003460096
"HER24L","HER24L_3A","HER24L_3A_167",21.6,3684.34,7.26,1,19404,49665,1.56,0.0389221556886228,0.745508982035928,3.51796407185629,1,0.365269461077844,14.3083832335329,0.160179640718563,0.781437125748503,0.761976047904192,4.03592814371257,35.1377245508982,10.8937125748503,30749,3.22550501580322,0.31002897068848,-0.293688096511993,-1.55157053011355,-1.25788243360156
"HER24L","HER24L_3A","HER24L_3A_168",21.7,3687.76,7.28,1,19654,53586,1.35,0.050058207217695,0.564610011641444,2.61816065192084,1,0.444703143189756,15.755529685681,0.115250291036088,0.761350407450524,0.508731082654249,3.08265424912689,27.0151338766007,8.24330616996508,30287,3.27722073153509,0.305136602602775,-0.571620031046772,-1.53409206102183,-0.96247202997506
"HER24L","HER24L_3A","HER24L_3A_169",21.8,3691.18,7.28,1,18838,49183,1.36,0.08,1.05411764705882,4.84705882352941,1,0.684705882352941,22.4894117647059,0.247058823529412,1.24235294117647,0.374117647058824,8.20705882352941,54.6988235294118,16.1458823529412,30109,3.38778781696298,0.295177872413645,0.0527040634905684,-1.52566802936864,-1.57837209285921
"HER24L","HER24L_3A","HER24L_3A_170",21.9,3694.6,7.29,1,18288,46583,1.33,0.049618320610687,0.83587786259542,3.7118320610687,1,0.412213740458015,14.7729007633588,0.255725190839695,0.662213740458015,0.847328244274809,5.66603053435114,43.3435114503817,12.7958015267176,29417,3.38732289336316,0.2952183867559,-0.179272773944596,-1.4907983456761,-1.3115255717315
"HER24L","HER24L_3A","HER24L_3A_171",22,3698.02,7.31,1,18624,47047,1.41,0.0730769230769231,0.846153846153846,3.41730769230769,1,0.559615384615385,17.8961538461538,0.125,0.396153846153846,0.878846153846154,4.59615384615385,43.8307692307692,12.9442307692308,29523,3.38612390432328,0.29532292032292,-0.167054084663166,-1.39590710124234,-1.22885301657918
"HER24L","HER24L_3A","HER24L_3A_172",22.1,3701.44,7.33,1,18086,46204,1.6,0.0677966101694915,1.29872881355932,3.45550847457627,1,0.50635593220339,18.0296610169492,0.203389830508475,1.10593220338983,0.73728813559322,5.59533898305085,47.5444915254237,14.2330508474576,29159,3.34042869901756,0.299362773494942,0.261385950350656,-0.978583666684803,-1.23996961703546
"HER24L","HER24L_3A","HER24L_3A_173",22.2,3704.85,7.32,1,18355,47310,1.59,0.0367722165474974,0.399387129724208,1.7170582226762,1,0.283963227783453,9.93054136874362,0.0459652706843718,0.561797752808989,0.181818181818182,2.24923391215526,23.1807967313585,6.71195097037794,29265,3.45366002130574,0.289547898122852,-0.917824082545145,-1.45843657342325,-0.540612490878105
"HER24L","HER24L_3A","HER24L_3A_174",22.3,3708.27,7.3,1,20085,53292,1.39,0.0650263620386643,0.725834797891037,4.19683655536028,1,0.57469244288225,20.2091388400703,0.100175746924429,1.12478031634446,0.486818980667838,4.91564147627416,43.5764499121265,12.7117750439367,32028,3.42803815844048,0.291712038717483,-0.320432841165298,-1.75476388155146,-1.43433104038616
"HER24L","HER24L_3A","HER24L_3A_175",22.4,3711.69,7.29,1,19617,51630,1.51,0.0605187319884726,0.65850144092219,3.11527377521614,1,0.42507204610951,15.2175792507205,0.0345821325648415,1.03025936599424,0.5,4.4135446685879,34.3746397694525,10.1757925072046,30918,3.37807986406117,0.29602615694165,-0.4177885696126,-1.55410560730495,-1.13631703769235
"HER24L","HER24L_3A","HER24L_3A_176",22.5,3715.11,7.29,1,20916,58224,1.39,0.0316409124356144,0.319352465047829,1.7093451066961,1,0.309050772626932,11.1287711552612,0.0647534952170714,0.503311258278146,0.221486387049301,2.32450331125828,18.2251655629139,5.3112582781457,31986,3.43142144638404,0.291424418604651,-1.14145988005074,-1.67757019867,-0.536110318619266
"HER24L","HER24L_3A","HER24L_3A_177",22.6,3718.53,7.3,1,20035,51247,1.82,0.0659340659340659,0.565149136577708,2.71428571428571,1,0.364207221350078,16.7802197802198,NA,1.51648351648352,0.601255886970173,4.09419152276295,38.5949764521193,11.5211930926217,31924,3.34991143207521,0.298515354891194,-0.570665624122008,-1.56919445423313,-0.998528830111127
"HER24L","HER24L_3A","HER24L_3A_178",22.7,3721.95,7.3,1,20444,53216,1.45,0.0525606469002695,0.408355795148248,2.84636118598383,1,0.442048517520216,16.0862533692722,0.152291105121294,0.822102425876011,0.378706199460916,3.98382749326146,33.2897574123989,9.22371967654987,31545,3.60914669783752,0.277073802680053,-0.895616437658011,-1.94165783931678,-1.04604140165877
"HER24L","HER24L_3A","HER24L_3A_179",22.8,3725.37,7.29,1,20868,56826,1.48,0.0537142857142857,0.494857142857143,2.73257142857143,1,0.484571428571429,14.6971428571429,0.179428571428571,0.787428571428571,0.289142857142857,3.78857142857143,29.0217142857143,8.26514285714286,32626,3.51133849557522,0.284791683074742,-0.703486158355125,-1.70872923945583,-1.00524308110071
"HER24L","HER24L_3A","HER24L_3A_180",22.9,3728.78,7.29,1,21216,55330,1.42,0.0563380281690141,0.571830985915493,3.21408450704225,1,0.559154929577465,18.3676056338028,0.269014084507042,0.990140845070423,0.423943661971831,3.95070422535211,35.9380281690141,10.1760563380282,32741,3.53162629757785,0.28315566703245,-0.558911810433628,-1.72645437082029,-1.16754256038666
"HER24L","HER24L_3A","HER24L_3A_181",23,3732.2,7.3,1,21366,57417,1.61,0.0344418052256532,0.44061757719715,2.67458432304038,1,0.517814726840855,18.9299287410926,0.117577197149644,0.697149643705463,0.326603325415677,2.59976247030879,29.812351543943,8.82185273159145,32530,3.37937533656435,0.295912676280774,-0.819577951634892,-1.80337192665215,-0.983793975017254
"HER24L","HER24L_3A","HER24L_3A_182",23.1,3735.62,7.3,1,21741,57275,1.53,0.0359408033826638,0.36892177589852,2.35835095137421,1,0.522198731501057,15.8076109936575,0.0718816067653277,0.765327695560254,0.447145877378436,2.7938689217759,26.8044397463002,7.77061310782241,32708,3.44946265814175,0.289900224789999,-0.997170646849451,-1.85513327223011,-0.857962625380654
"HER24L","HER24L_3A","HER24L_3A_183",23.2,3739.04,7.31,1,21159,55344,1.44,0.0315656565656566,0.381313131313131,2.56818181818182,1,0.409090909090909,16.5770202020202,0.116161616161616,1.18813131313131,0.603535353535353,3.81818181818182,31.7436868686869,9.52777777777778,32687,3.33169891333157,0.300147169961418,-0.964134374439556,-1.90733255923364,-0.943198184794079
"HER24L","HER24L_3A","HER24L_3A_184",23.3,3742.46,7.31,1,21270,55369,1.57,0.0498652291105121,0.464959568733154,2.66981132075472,1,0.477088948787062,17.2614555256065,0.0983827493261455,1.07547169811321,0.463611859838275,4.02156334231806,34.588948787062,9.94743935309973,33046,3.47717111502506,0.287590103253458,-0.765804826136021,-1.74781262966719,-0.98200780353117
"HER24L","HER24L_3A","HER24L_3A_185",23.4,3745.88,7.31,1,21490,58318,1.33,0.0603371783496007,0.412599822537711,1.99112688553682,1,0.354037267080745,12.866015971606,0.0408163265306122,0.866903283052351,0.214729370008873,2.65927240461402,22.9698314108252,6.38509316770186,33083,3.59741523068371,0.277977363155252,-0.88527710845242,-1.57397786105523,-0.688700752602811
"HER24L","HER24L_3A","HER24L_3A_186",23.5,3749.3,7.31,1,20644,54719,1.32,0.0300578034682081,0.580346820809249,2.66473988439306,1,0.354913294797688,14.1387283236994,0.0751445086705202,1.04624277456647,0.223121387283237,3.40578034682081,28.8115606936416,8.21734104046243,32030,3.50619020821609,0.28520985474681,-0.54412938724015,-1.52423583573902,-0.98010644849887
"HER24L","HER24L_3A","HER24L_3A_187",23.6,3752.72,7.31,1,20923,56201,1.53,0.0504475183075671,0.258746948738812,1.76240846216436,1,0.282343368592351,10.9178193653377,0.081366965012205,0.637103336045565,0.242473555736371,2.23026851098454,20.2587469487388,6.50040683482506,32887,3.11653523594943,0.320869146116154,-1.35190472678586,-1.91858604478076,-0.566681317994901
"HER24L","HER24L_3A","HER24L_3A_188",23.7,3756.13,7.31,1,22183,59942,1.41,0.0452920143027414,0.396901072705602,2.91060786650775,1,0.510131108462455,18.4779499404052,0.0548271752085816,1.08462455303933,0.412395709177592,4.01430274135876,31.5911799761621,8.66626936829559,33776,3.64530325952414,0.274325598943596,-0.924068216486762,-1.99243016469021,-1.06836194820344
"HER24L","HER24L_3A","HER24L_3A_189",23.8,3759.55,7.32,1,22515,62739,1.41,0.0339702760084926,0.45859872611465,2.33970276008493,1,0.528662420382166,19.7123142250531,0.117834394904459,1.05414012738854,0.303609341825902,2.98089171974522,28.2887473460722,7.50530785562633,33718,3.76916548797737,0.265310717502252,-0.779579686332253,-1.62960358202869,-0.850023895696442
"HER24L","HER24L_3A","HER24L_3A_190",23.9,3762.97,7.32,1,22309,59311,1.62,0.058759521218716,0.418933623503808,2.29379760609358,1,0.501632208922742,15.6866158868335,0.0413492927094668,0.931447225244831,0.652883569096844,2.85636561479869,29.8824809575626,8.46789989118607,35244,3.52891287586739,0.283373388682543,-0.870042788067903,-1.70025157537347,-0.830208787305566
"HER24L","HER24L_3A","HER24L_3A_191",24,3766.39,7.32,1,22260,59477,1.27,0.0664857530529172,0.66078697421981,3.23744911804613,1,0.450474898236092,20.1289009497965,0.290366350067843,1.32428765264586,0.439620081411126,4.21302578018996,36.5128900949796,9.99592944369064,34277,3.65277589249355,0.273764399851356,-0.414323769106747,-1.58910947957527,-1.17478571046852
"HER24L","HER24L_3A","HER24L_3A_192",24.1,3769.81,7.32,1,22204,60267,1.37,0.0437209302325581,0.332093023255814,1.76837209302326,1,0.332093023255814,15.1237209302326,0.116279069767442,0.988837209302326,0.129302325581395,2.54883720930233,24.9851162790698,6.97488372093023,34357,3.58215524139771,0.279161547339812,-1.10234015878212,-1.67239956070879,-0.570059401926666
"HER24L","HER24L_3A","HER24L_3A_193",24.2,3773.23,7.32,1,21918,57028,1.66,0.0446985446985447,0.416839916839917,1.95841995841996,1,0.396049896049896,12.8118503118503,0.135135135135135,0.960498960498961,0.366943866943867,2.86278586278586,28.4261954261954,7.81912681912682,34868,3.63546929008242,0.275067651576099,-0.875053023359137,-1.54719102782974,-0.672138004470602
"HER24L","HER24L_3A","HER24L_3A_194",24.3,3776.65,7.33,1,22203,56056,1.31,0.0708215297450425,0.447592067988669,2.65297450424929,1,0.48300283286119,16.5934844192635,0.101983002832861,1.51558073654391,0.196883852691218,4.53682719546742,38.957507082153,10.1090651558074,34641,3.85372005044136,0.259489528795811,-0.80387302390633,-1.77955448885718,-0.975681464950847
"HER24L","HER24L_3A","HER24L_3A_195",24.4,3780.06,7.33,1,22454,57421,1.41,0.0493033226152197,0.326902465166131,1.87781350482315,1,0.357984994640943,12.7738478027867,0.14898177920686,1.2497320471597,0.472668810289389,3.09753483386924,30.0653804930332,8.13183279742765,35638,3.69724528799262,0.270471640939717,-1.11809342423993,-1.74820149488893,-0.630108070648993
"HER24L","HER24L_3A","HER24L_3A_196",24.5,3783.48,7.33,1,22642,59398,1.42,0.0455212922173275,0.533039647577093,2.56093979441997,1,0.547723935389134,20.0734214390602,0.161527165932452,1.85022026431718,0.18208516886931,4.58149779735683,40.8296622613803,11.4610866372981,35610,3.5624599615631,0.280704909188995,-0.629159471884661,-1.56953377020407,-0.940374298319413
"HER24L","HER24L_3A","HER24L_3A_197",24.6,3786.9,7.34,1,22659,62300,1.44,0.0476673427991886,0.271805273833671,2.13995943204868,1,0.482758620689655,17.3113590263692,0.126774847870183,1.08215010141988,0.192697768762677,3.37525354969574,27.4898580121704,7.73022312373225,34727,3.55615324061926,0.281202730123593,-1.30266937409178,-2.06345624595926,-0.760786871867477
"HER24L","HER24L_3A","HER24L_3A_198",24.7,3790.32,7.34,1,22443,57483,1.51,0.0458015267175573,0.482188295165394,2.44274809160305,1,0.414758269720102,15.0025445292621,0.145038167938931,1.48346055979644,0.263358778625954,3.66284987277354,35.8486005089059,9.63867684478372,35753,3.71924498416051,0.26887177485183,-0.72942058734678,-1.6225442599394,-0.893123672592621
"HER24L","HER24L_3A","HER24L_3A_199",24.8,3793.74,7.34,1,21943,56749,1.42,0.067032967032967,0.407692307692308,2.14945054945055,1,0.364835164835165,13.3021978021978,0.126373626373626,0.910989010989011,0.157142857142857,3.23626373626374,30.1065934065934,8.39230769230769,35034,3.58740343066649,0.278753148154907,-0.897242536903461,-1.66245478798733,-0.765212251083867
"HER24L","HER24L_3A","HER24L_3A_200",24.9,3797.16,7.34,1,23433,60517,1.75,0.0395095367847411,0.400544959128065,2.2874659400545,1,0.529972752043597,17.5204359673025,0.192098092643052,1.65122615803815,0.397820163487738,3.5558583106267,40.5504087193461,10.3092643051771,37331,3.93339500462535,0.254233301975541,-0.914929261275834,-1.74237388973886,-0.827444628463025
"HER24L","HER24L_3A","HER24L_3A_201",25,3800.58,7.35,1,23791,62327,1.51,0.074424898511502,0.313937753721245,2.3978349120433,1,0.481732070365359,18.6359945872801,0.165087956698241,1.7212449255751,0.377537212449256,3.61569688768606,41.5060893098782,10.5683355886333,38483,3.92740076824584,0.254621328203958,-1.15856054928189,-2.03312675949872,-0.874566210216824
"HER24L","HER24L_3A","HER24L_3A_202",25.1,3821.91,7.36,1,24760,67655,1.37,0.054726368159204,0.312437810945274,1.73034825870647,1,0.672636815920398,16.4557213930348,0.123383084577114,1.4636815920398,0.286567164179104,2.71144278606965,32.0716417910448,7.87164179104478,40143,4.07432688661358,0.245439314966493,-1.16334983458492,-1.71167252844603,-0.548322693861107
"HER24L","HER24L_3A","HER24L_3A_203",25.2,3843.24,7.36,1,25693,63655,1.44,0.123577235772358,0.613008130081301,2.90894308943089,1,0.569105691056911,16.990243902439,0.11869918699187,3.15447154471545,0.151219512195122,4.25528455284553,57.5073170731707,13.0975609756098,43422,4.39068901303538,0.227754686572228,-0.489377080358507,-1.55716689606071,-1.0677898157022
"HER24L","HER24L_3A","HER24L_3A_204",25.3,3864.58,7.35,1,25957,60961,1.3,0.118025751072961,0.523605150214592,2.74678111587983,1,0.386266094420601,14.4935622317597,0.444206008583691,4.83905579399142,0.248927038626609,4.97210300429185,79.1673819742489,17.5987124463519,45093,4.49847579563468,0.222297517076873,-0.647017408832444,-1.65744713162046,-1.01042972278802
"HER24L","HER24L_3A","HER24L_3A_205",25.4,3885.91,7.36,1,27855,65367,1.3,0.0694259012016021,0.228304405874499,1.67022696929239,1,0.267022696929239,10.5113484646195,0.264352469959947,3.68891855807744,NA,2.47263017356475,53.5634178905207,10.7770360480641,48191,4.97014370664024,0.201201425758369,-1.47707542701456,-1.99003495396425,-0.512959526949692
"HER24L","HER24L_3A","HER24L_3A_206",25.5,3907.24,7.36,1,28028,66381,1.46,0.108267716535433,0.366141732283465,2.43307086614173,1,0.401574803149606,15.6515748031496,0.192913385826772,5.33070866141732,0.283464566929134,4.07086614173228,80.8897637795276,15.8011811023622,49119,5.1192226236452,0.195342159057724,-1.00473477386528,-1.89388896430443,-0.889154190439154
"HER24L","HER24L_3A","HER24L_3A_207",25.6,3928.57,7.37,1,29170,70293,1.28,0.109869646182495,0.355679702048417,2.63687150837989,1,0.527001862197393,17.1675977653631,0.299813780260708,5.53072625698324,0.584729981378026,4.41340782122905,78.6387337057728,15.6759776536313,50647,5.01651223568544,0.19934168462431,-1.03372466646223,-2.00331784620704,-0.9695931797448
