"Site","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","S","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Br","Rb","Sr","Zr","Mo_inc","Mo_coh"
"HER34L","HER34L_1A_15",12.4,395.01,6.5,1,34982.08984,80352,1.42,53,75,770,166,175,9438,52,201,68,143,2301,0,798,1347,55635,8586
"HER34L","HER34L_1A_16",12.5,401.99,6.49,1,34657.51563,75353,1.39,55,60,527,62,17,4289,62,172,33,4,2419,77,897,992,56275,8790
"HER34L","HER34L_1A_17",12.6,408.96,6.49,1,34306.19531,76598,1.6,34,7,522,61,40,5024,43,142,44,68,2455,205,879,1152,56760,8852
"HER34L","HER34L_1A_18",12.7,415.94,6.48,1,35192.12891,78452,1.35,36,61,661,74,46,6507,12,225,82,120,2483,39,689,1089,56886,8856
"HER34L","HER34L_1A_19",12.8,422.92,6.46,1,35833.94141,77461,1.54,62,30,603,108,57,4031,14,168,131,92,2662,27,729,1271,58048,8689
"HER34L","HER34L_1A_20",12.9,429.89,6.47,1,35426.53516,76716,1.71,60,39,586,101,32,3756,29,180,55,5,2660,38,715,1176,58110,8628
"HER34L","HER34L_1A_21",13,436.87,6.49,1,35428.93359,76865,1.4,38,31,524,70,25,4202,40,162,65,53,2831,91,636,1301,57456,8765
"HER34L","HER34L_1A_22",13.1,443.85,6.49,1,35109.97266,75307,1.51,49,31,402,83,0,3166,0,188,42,56,2645,41,570,1032,57777,8724
"HER34L","HER34L_1A_23",13.2,450.82,6.49,1,35046.6875,76316,1.49,8,26,384,49,56,3176,31,177,115,52,2727,0,525,1369,58408,8628
"HER34L","HER34L_1A_24",13.3,457.8,6.49,1,35190.49609,75824,1.21,53,29,372,50,18,3101,0,179,70,73,2613,175,461,1399,58363,8419
"HER34L","HER34L_1A_25",13.4,464.78,6.5,1,35579.06641,76162,1.4,39,53,492,60,33,3346,29,244,69,135,2616,0,528,1235,57925,8757
"HER34L","HER34L_1A_26",13.5,471.75,6.5,1,35760.71875,77020,1.56,83,55,505,50,53,3436,0,208,0,0,2907,0,588,1317,58267,8883
"HER34L","HER34L_1A_27",13.6,478.73,6.51,1,35628.19922,76905,1.41,40,55,558,49,15,3123,0,184,39,95,2859,0,731,1112,58726,8798
"HER34L","HER34L_1A_28",13.7,485.71,6.51,1,35530.15625,75775,1.27,52,37,477,49,37,2939,75,228,61,90,2876,26,659,1106,57760,8663
"HER34L","HER34L_1A_29",13.8,492.68,6.52,1,35146.19141,76931,1.42,46,25,538,53,16,3654,41,215,95,67,2922,186,838,1248,57567,8672
"HER34L","HER34L_1A_30",13.9,499.66,6.52,1,34862.10938,74452,1.32,31,14,542,54,0,3582,27,117,38,107,2680,0,605,1295,56478,8299
"HER34L","HER34L_1A_31",14,506.64,6.5,1,34153.01563,74364,1.29,52,49,536,72,35,2979,101,222,244,50,2592,35,855,1266,56111,8428
"HER34L","HER34L_1A_32",14.1,513.61,6.48,1,34841.37891,75805,1.29,46,24,448,104,34,3149,106,273,52,126,2763,106,531,1486,57296,8851
"HER34L","HER34L_1A_33",14.2,520.59,6.48,1,34732.92188,75019,1.34,54,43,488,76,23,3667,50,257,50,89,2804,0,546,1123,56469,8675
"HER34L","HER34L_1A_34",14.3,527.57,6.48,1,34561.68359,75347,1.33,49,19,462,62,42,3349,0,207,125,212,2916,20,587,1200,56930,8551
"HER34L","HER34L_1A_35",14.4,534.54,6.48,1,34713.96094,75507,1.44,61,20,469,56,21,3628,44,144,75,49,2989,94,755,1251,56941,8461
"HER34L","HER34L_1A_36",14.5,541.52,6.48,1,34297.19141,74486,1.45,64,36,587,17,41,3229,59,145,99,54,2850,0,549,1371,55913,8787
"HER34L","HER34L_1A_37",14.6,548.5,6.48,1,34438.88281,73902,1.23,31,26,469,25,37,2991,0,199,122,61,2689,44,743,1121,56105,8618
"HER34L","HER34L_1A_38",14.7,555.47,6.47,1,34620.48438,74148,1.27,41,38,511,69,38,3004,103,167,46,142,3004,98,622,1106,55930,8597
"HER34L","HER34L_1A_39",14.8,562.45,6.47,1,34923.14063,74682,1.3,46,12,471,37,18,3363,55,207,53,37,2859,0,906,1125,56651,8336
"HER34L","HER34L_1A_40",14.9,569.43,6.47,1,34488.39063,74436,1.35,39,41,480,65,37,3273,138,172,160,49,3020,0,763,1328,55717,8589
"HER34L","HER34L_1A_41",15,576.4,6.47,1,34338.59375,73471,1.3,50,27,465,80,18,3087,7,220,90,11,2696,134,832,1202,55171,8716
"HER34L","HER34L_1A_42",15.1,583.12,6.47,1,33867.75,73257,1.32,38,37,514,74,0,3428,0,176,195,82,2526,71,759,1282,54955,8602
"HER34L","HER34L_1A_43",15.2,589.84,6.47,1,33877.24219,74050,1.36,44,64,561,61,88,3554,46,200,128,62,2588,184,861,1118,55135,8516
"HER34L","HER34L_1A_44",15.3,596.55,6.47,1,33874.32422,73409,1.31,67,28,597,99,58,3329,57,182,66,81,2674,0,747,1188,54712,8606
"HER34L","HER34L_1A_45",15.4,603.27,6.46,1,34390.23438,75106,1.54,57,39,554,88,76,4460,0,176,7,16,2710,0,905,1106,55612,8803
"HER34L","HER34L_1A_46",15.5,609.99,6.46,1,34191.66797,75414,1.37,46,36,513,110,65,4375,6,262,108,0,2471,0,834,1234,55849,8863
"HER34L","HER34L_1A_47",15.6,616.71,6.47,1,33608.27734,74295,1.31,54,46,477,74,40,4122,80,183,136,29,2493,168,975,1298,54986,8457
"HER34L","HER34L_1A_48",15.7,623.42,6.47,1,33632.41016,74244,1.43,44,45,492,51,59,4544,0,92,77,86,2230,0,839,1137,55168,8458
"HER34L","HER34L_1A_49",15.8,630.14,6.46,1,33960.92969,75499,1.54,34,45,475,154,93,6191,103,169,136,36,2297,0,803,1014,55175,8329
"HER34L","HER34L_1A_50",15.9,636.86,6.46,1,33988.11328,74104,1.36,64,40,546,75,68,5052,10,173,101,47,2585,0,766,1102,54306,8508
"HER34L","HER34L_1A_51",16,643.57,6.46,1,33936.94531,74020,1.31,59,47,484,89,49,5529,106,150,0,49,2418,38,666,1080,54193,8293
"HER34L","HER34L_1A_52",16.1,650.29,6.46,1,33733.34375,74818,1.17,54,38,517,65,50,5420,92,236,183,62,2517,30,643,1107,54690,8274
"HER34L","HER34L_1A_53",16.2,657.01,6.46,1,33229.94922,73412,1.23,45,67,542,36,22,5435,112,199,23,61,2202,195,980,1124,53360,8406
"HER34L","HER34L_1A_54",16.3,663.72,6.46,1,33201.70703,72768,1.5,41,56,528,75,88,5615,21,170,140,96,2451,0,975,1203,52373,8394
"HER34L","HER34L_1A_55",16.4,670.44,6.46,1,33321.07422,72369,1.29,23,15,547,65,44,5460,28,203,104,60,2551,16,1217,1079,52304,8233
"HER34L","HER34L_1A_56",16.5,677.16,6.47,1,33555.58984,72439,1.56,41,57,549,95,80,5388,61,166,64,70,2585,0,977,1136,52361,8283
"HER34L","HER34L_1A_57",16.6,683.87,6.47,1,32391.5625,70158,1.49,46,61,517,104,55,5169,91,183,60,70,2356,104,1027,1034,50292,8057
"HER34L","HER34L_1A_58",16.7,690.59,6.47,1,31804.49023,69481,1.49,63,49,519,126,68,5735,82,139,125,42,2414,0,1106,1138,49206,8063
"HER34L","HER34L_1A_59",16.8,697.31,6.47,1,31184.52539,68349,1.44,52,70,631,76,104,7165,92,176,145,0,1896,77,1309,1143,46986,7831
"HER34L","HER34L_1A_60",16.9,704.02,6.46,1,30008.87695,67010,1.27,50,55,651,192,136,7391,97,187,50,5,1818,17,2033,1054,44034,8360
"HER34L","HER34L_1A_61",17,710.74,6.47,1,30786.41016,69317,1.28,47,85,718,104,132,7530,41,166,49,0,1688,16,1950,1208,46736,8185
"HER34L","HER34L_1A_62",17.1,717.46,6.47,1,32167.28906,73549,1.25,68,51,613,125,104,7153,63,167,143,79,2198,16,1454,1263,50852,8553
"HER34L","HER34L_1A_63",17.2,724.17,6.47,1,32632.79102,73952,1.31,34,69,648,108,89,7156,117,216,107,41,2112,169,1283,1270,51676,8377
"HER34L","HER34L_1A_64",17.3,730.89,6.48,1,33293.42578,75312,1.34,32,45,481,93,73,5971,80,214,95,107,2333,118,1202,1271,53792,8728
"HER34L","HER34L_1A_65",17.4,737.61,6.49,1,33711.88672,75100,1.32,63,54,480,47,35,5153,132,193,13,0,2427,144,1058,1217,54917,8500
"HER34L","HER34L_1A_66",17.5,744.33,6.5,1,34323.6875,75561,1.58,27,53,544,95,71,5778,55,157,52,33,2238,0,893,1023,54949,8724
"HER34L","HER34L_1A_67",17.6,751.04,6.51,1,33654.91797,73347,1.41,45,58,456,102,72,4980,5,214,120,29,2173,0,602,1111,54438,8438
"HER34L","HER34L_1A_68",17.7,757.76,6.53,1,34024.50781,75256,1.43,57,47,497,93,71,5071,0,126,37,48,2383,47,867,1107,55627,8576
"HER34L","HER34L_1A_69",17.8,764.48,6.53,1,34277.52734,75179,1.46,38,17,469,38,70,4847,88,143,118,54,2362,53,732,1311,55586,8764
"HER34L","HER34L_1A_70",17.9,771.19,6.54,1,34460.39453,76099,1.58,60,74,523,93,57,5079,62,136,118,0,2549,107,832,1211,56118,8342
"HER34L","HER34L_1A_71",18,777.91,6.54,1,34390.22656,74401,1.33,44,44,481,66,26,4090,98,154,71,124,2293,40,813,1212,55423,8817
"HER34L","HER34L_1A_72",18.1,784.63,6.55,1,34736.68359,76009,1.45,36,36,490,67,50,4096,166,241,74,23,2627,0,613,1284,56745,8661
"HER34L","HER34L_1A_73",18.2,791.34,6.55,1,34572.61719,75450,1.4,51,31,554,79,70,4562,63,179,173,81,2687,69,899,1287,55774,8450
"HER34L","HER34L_1A_74",18.3,798.06,6.55,1,34483.52344,76601,1.31,44,43,535,109,66,5697,120,191,159,74,2735,39,1037,1241,55468,8523
"HER34L","HER34L_1A_75",18.4,804.78,6.56,1,34629.31641,77457,1.57,47,61,556,154,47,6303,0,146,53,0,2740,160,992,1106,55890,8819
"HER34L","HER34L_1A_76",18.5,811.49,6.56,1,34543.60156,76192,1.3,41,22,492,28,29,4263,38,167,177,122,2792,132,878,1310,56125,8867
"HER34L","HER34L_1A_77",18.6,818.21,6.57,1,34718.72266,76530,1.58,60,31,522,95,38,4553,59,174,109,35,2922,0,725,1154,56501,8761
"HER34L","HER34L_1A_78",18.7,824.93,6.56,1,34976.08203,76997,1.46,38,51,509,84,50,4553,52,160,70,35,2885,176,949,1148,56781,8555
"HER34L","HER34L_1A_79",18.8,831.64,6.56,1,34497.17578,77428,1.36,61,52,510,161,67,5317,61,191,141,60,2928,97,934,1233,56395,8389
"HER34L","HER34L_1A_80",18.9,838.36,6.57,1,34131.61719,75515,1.36,48,44,502,99,68,5216,119,218,107,148,2583,85,842,1169,55475,8510
"HER34L","HER34L_1A_81",19,845.08,6.56,1,33917.82813,74530,1.4,56,35,498,111,53,4095,0,166,167,45,2496,0,652,1157,55724,8475
"HER34L","HER34L_1A_82",19.1,851.79,6.56,1,34056.04688,74900,1.31,45,45,517,23,51,4538,46,211,65,95,2344,0,984,1343,55562,8469
"HER34L","HER34L_1A_83",19.2,858.51,6.54,1,34170.84375,74660,1.45,47,18,464,57,41,4165,0,185,0,47,2434,0,927,1061,55883,8595
"HER34L","HER34L_1A_84",19.3,865.23,6.54,1,34909.36719,76700,1.52,55,23,429,104,23,3941,103,178,26,118,2940,80,825,1179,57203,8854
"HER34L","HER34L_1A_85",19.4,871.95,6.54,1,35205.38281,76729,1.46,46,55,541,69,40,4561,24,158,128,73,2704,0,791,1210,57195,8660
"HER34L","HER34L_1A_86",19.5,878.66,6.57,1,34743.71094,76106,1.42,60,27,544,105,70,4832,94,182,66,67,2684,0,637,1176,56582,8633
"HER34L","HER34L_1A_87",19.6,885.38,6.59,1,34498.74609,75733,1.4,57,15,538,45,32,5033,60,211,86,79,2513,0,822,1050,56234,8641
"HER34L","HER34L_1A_88",19.7,892.1,6.6,1,34272.26953,76280,1.31,28,41,527,53,28,5302,0,222,119,98,2577,0,719,1487,56283,8449
"HER34L","HER34L_1A_89",19.8,898.81,6.61,1,33844.24219,73628,1.49,60,58,427,102,47,3727,0,199,97,30,2411,39,713,1305,55499,8416
"HER34L","HER34L_1A_90",19.9,905.53,6.61,1,34196.43359,74842,1.2,58,38,465,30,21,4163,0,153,13,0,2621,0,746,1199,55833,8744
"HER34L","HER34L_1A_91",20,912.25,6.6,1,34455.875,75029,1.45,32,18,446,83,4,4072,0,128,83,95,2644,194,788,1387,55634,8484
"HER34L","HER34L_1A_92",20.1,919.09,6.61,1,33855.44922,73818,1.43,58,45,464,114,0,3705,0,178,20,0,2655,0,737,1157,55673,8613
"HER34L","HER34L_1A_93",20.2,925.93,6.62,1,34231.52344,74145,1.53,44,22,460,78,6,3776,34,183,90,52,2468,0,833,1109,56061,8419
"HER34L","HER34L_1A_94",20.3,932.77,6.61,1,34019.24219,74678,1.42,68,57,473,43,34,3603,131,127,84,130,2596,0,916,1257,56130,8574
"HER34L","HER34L_1A_95",20.4,939.61,6.61,1,34704.08594,76010,1.44,19,39,489,58,22,3756,63,241,70,57,2783,134,770,1019,56929,8720
"HER34L","HER34L_1A_96",20.5,946.45,6.61,1,35088.62109,76175,1.32,60,27,615,70,28,4101,5,223,139,85,2978,0,762,1339,56341,8717
"HER34L","HER34L_1A_97",20.6,953.29,6.62,1,34380.08984,74671,1.43,65,30,484,61,27,3450,47,187,99,71,2743,0,850,1172,56405,8520
"HER34L","HER34L_1A_98",20.7,960.13,6.63,1,34541.48438,74958,1.38,61,29,559,73,56,4025,76,202,140,52,2941,0,678,1326,55763,8486
"HER34L","HER34L_1A_99",20.8,966.97,6.63,1,33729.32813,72453,1.4,42,11,514,62,31,3069,68,170,0,52,2866,0,887,787,54941,8354
"HER34L","HER34L_1A_100",20.9,973.82,6.63,1,34536.81641,75585,1.45,59,51,523,53,7,3425,87,223,8,92,3142,0,835,1195,56334,8670
"HER34L","HER34L_1A_101",21,980.66,6.62,1,34305.91797,74297,1.37,60,36,536,91,38,3877,9,185,151,138,3020,0,649,1136,55585,8488
"HER34L","HER34L_1A_102",21.1,987.5,6.63,1,33997.40625,74523,1.51,36,35,490,94,45,3439,0,221,88,125,3000,136,716,1145,55515,8683
"HER34L","HER34L_1A_103",21.2,994.34,6.62,1,34485.67969,75300,1.35,39,45,512,89,74,3764,0,205,83,114,3202,79,948,1179,55670,8522
"HER34L","HER34L_1A_104",21.3,1001.18,6.62,1,33946.66406,74416,1.38,56,44,553,5,43,3705,0,142,0,48,3076,152,875,1244,55338,8598
"HER34L","HER34L_1A_105",21.4,1008.02,6.63,1,33548.89063,72828,1.39,38,22,440,53,47,2778,11,149,89,72,3107,95,894,1059,54876,8409
"HER34L","HER34L_1A_106",21.5,1014.86,6.65,1,33142.76953,72551,1.29,59,40,473,76,41,2904,36,177,48,80,2880,0,1046,1172,54344,8649
"HER34L","HER34L_1A_107",21.6,1021.7,6.65,1,32763.17969,71640,1.41,47,33,485,43,26,2838,20,187,51,86,2809,156,793,1234,53753,8355
"HER34L","HER34L_1A_108",21.7,1028.54,6.65,1,33298.875,72306,1.46,61,44,475,69,40,3082,47,177,105,136,2823,8,901,1028,54324,8293
"HER34L","HER34L_1A_109",21.8,1035.38,6.65,1,33506.30859,73223,1.34,57,49,482,93,36,3460,0,163,95,13,2844,126,937,1340,54645,8369
"HER34L","HER34L_1A_110",21.9,1042.22,6.66,1,33405.03516,73593,1.42,56,43,513,60,24,3563,115,217,89,70,2814,0,778,1337,55171,8409
"HER34L","HER34L_1A_111",22,1049.07,6.65,1,33663.17188,73183,1.37,60,27,505,101,11,2796,0,206,60,23,2859,107,976,1150,55372,8374
"HER34L","HER34L_1A_112",22.1,1055.91,6.65,1,33656.16797,73798,1.56,57,37,631,114,36,3228,84,209,137,73,2474,0,1105,1338,55098,8594
"HER34L","HER34L_1A_113",22.2,1062.75,6.65,1,34145.41406,76860,1.47,46,21,815,45,55,6911,100,200,73,94,2647,0,977,1195,54537,8448
"HER34L","HER34L_1A_114",22.3,1069.59,6.66,1,34625.26953,81730,1.28,58,31,959,49,52,11998,0,217,143,71,2400,153,1195,1180,54155,8581
"HER34L","HER34L_1A_115",22.4,1076.43,6.67,1,34037.3125,78305,1.34,40,24,789,74,27,8501,113,218,124,113,2490,0,1073,1031,54553,8320
"HER34L","HER34L_1A_116",22.5,1083.27,6.68,1,34701.71094,81377,1.53,53,51,949,127,58,9784,61,167,120,64,2494,50,1161,1243,55673,8502
"HER34L","HER34L_1A_117",22.6,1090.11,6.67,1,34704.48828,78988,1.36,53,20,740,144,56,9842,0,228,102,5,2375,5,1038,1129,54255,8421
"HER34L","HER34L_1A_118",22.7,1096.95,6.66,1,34542.71094,78185,1.17,58,62,853,62,62,8037,0,191,148,83,2261,70,1150,1129,54815,8556
"HER34L","HER34L_1A_119",22.8,1103.79,6.65,1,34311.57031,76271,1.25,66,43,754,71,50,5359,25,163,127,0,2436,193,1143,1099,55576,8598
"HER34L","HER34L_1A_120",22.9,1110.63,6.65,1,33726.96875,74135,1.23,51,49,549,120,65,4549,21,202,129,46,2723,181,914,1328,54109,8380
"HER34L","HER34L_1A_121",23,1117.48,6.65,1,34145.93359,75344,1.27,36,48,578,9,99,4759,62,141,16,0,2658,78,851,1262,55650,8546
"HER34L","HER34L_1A_122",23.1,1124.32,6.65,1,34165.03516,74441,1.49,43,54,558,87,31,4161,80,170,48,67,2896,113,1030,1058,55155,8386
"HER34L","HER34L_1A_123",23.2,1131.16,6.66,1,34181.74609,74475,1.34,54,49,522,89,49,3674,96,207,64,83,3111,0,808,1221,55231,8443
"HER34L","HER34L_1A_124",23.3,1138,6.68,1,34184.20313,74456,1.46,72,36,567,103,66,4602,77,240,100,76,2917,0,1081,942,54562,8467
"HER34L","HER34L_1A_125",23.4,1144.84,6.69,1,34449.02344,74803,1.41,60,43,554,102,59,4629,92,193,40,126,3031,0,845,1367,54834,8459
"HER34L","HER34L_1A_126",23.5,1151.68,6.69,1,34573.94141,75216,1.57,56,37,530,108,12,5012,50,247,108,5,3088,63,1095,1031,54731,8190
"HER34L","HER34L_1A_127",23.6,1158.52,6.68,1,34802.35156,75008,1.4,64,35,598,67,75,4173,141,205,77,22,3106,106,694,1201,55422,8407
"HER34L","HER34L_1A_128",23.7,1165.36,6.68,1,34653.59766,76229,1.25,45,44,566,115,25,4504,0,191,114,39,2938,0,1130,1120,55593,8748
"HER34L","HER34L_1A_129",23.8,1172.2,6.68,1,34591.68359,74509,1.38,47,28,531,100,46,3824,73,172,132,31,3060,89,981,1193,55379,8328
"HER34L","HER34L_1A_130",23.9,1179.04,6.67,1,34661.56641,75188,1.54,60,46,574,73,34,3812,0,209,17,66,3108,0,791,1267,55691,8678
"HER34L","HER34L_1A_131",24,1185.88,6.66,1,34860.69531,75748,1.33,72,33,554,79,79,4673,32,213,113,184,2957,0,779,1143,55751,8591
"HER34L","HER34L_1A_132",24.1,1192.73,6.66,1,34838.75391,76316,1.39,58,37,557,50,37,4238,10,235,101,7,2853,0,939,1226,56437,8674
"HER34L","HER34L_1A_133",24.2,1199.57,6.66,1,34454.22266,73641,1.22,33,27,553,59,36,4289,0,208,89,83,2884,41,788,1297,54745,8190
"HER34L","HER34L_1A_134",24.3,1206.41,6.65,1,34713.59766,74883,1.18,24,23,523,80,62,4890,36,218,73,14,2675,0,837,1183,55225,8700
"HER34L","HER34L_1A_135",24.4,1213.25,6.65,1,34776.01953,76457,1.33,39,62,552,25,23,5541,104,186,152,116,2874,0,1017,1250,55114,8945
"HER34L","HER34L_1A_136",24.5,1220.09,6.64,1,34753.80078,76467,1.42,55,29,571,51,39,4432,0,180,50,109,2875,305,1044,1502,55860,8780
"HER34L","HER34L_1A_137",24.6,1226.93,6.64,1,35221.94141,78088,1.35,49,32,558,94,75,5774,92,195,54,87,3273,105,941,1201,56272,8647
"HER34L","HER34L_1A_138",24.7,1233.77,6.64,1,35572.66016,77470,1.51,52,65,670,47,60,5262,33,199,213,70,3191,0,1026,1076,56136,8698
"HER34L","HER34L_1A_139",24.8,1240.61,6.65,1,34759.72266,75522,1.63,67,60,596,75,71,4044,12,206,79,111,3013,0,628,1092,55899,8725
"HER34L","HER34L_1A_140",24.9,1247.45,6.65,1,34925.08203,76189,1.35,77,34,522,77,75,3995,0,191,100,139,2910,70,889,1156,56653,8815
"HER34L","HER34L_1A_141",25,1254.29,6.65,1,35053.45313,76553,1.26,49,48,636,52,27,4372,67,181,101,67,2969,57,893,1339,56753,8544
"HER34L","HER34L_1A_142",25.1,1261.54,6.67,1,34619.78516,76045,1.32,67,76,702,51,70,5184,0,181,30,88,2938,0,1144,1302,55160,8326
"HER34L","HER34L_1A_143",25.2,1268.79,6.7,1,32793.01953,71944,1.53,56,31,531,80,60,3628,58,180,52,21,2519,47,1089,1034,53702,8383
"HER34L","HER34L_1A_145",25.4,1283.28,6.74,1,33026.76172,71106,1.27,48,24,477,58,35,3645,71,194,127,87,2709,91,807,1068,53360,8028
"HER34L","HER34L_1A_146",25.5,1290.53,6.73,1,33174.97266,71252,1.82,78,11,487,86,25,3414,10,122,25,10,2862,0,759,1130,53377,8262
"HER34L","HER34L_1A_147",25.6,1297.77,6.7,1,33932.12109,74049,1.31,45,41,606,98,83,4071,62,187,142,97,2751,0,961,1046,54786,8448
"HER34L","HER34L_1A_148",25.7,1305.02,6.68,1,34025.71484,74018,1.33,68,37,610,152,71,4402,0,170,81,163,2850,0,817,1407,54469,8173
"HER34L","HER34L_1A_149",25.8,1312.27,6.66,1,33484.05078,71907,1.35,65,14,551,61,46,3563,71,145,85,89,2831,50,931,904,53316,8556
"HER34L","HER34L_1A_150",25.9,1319.51,6.67,1,34547.00391,75041,1.61,60,19,573,114,83,4520,101,194,76,81,2840,79,1059,1014,55044,8627
"HER34L","HER34L_1A_151",26,1326.76,6.68,1,34469.81641,75197,1.48,50,43,549,60,50,4367,31,199,40,34,2807,0,937,1363,55087,8671
"HER34L","HER34L_1A_152",26.1,1334.01,6.69,1,34541.27344,75632,1.24,68,41,591,78,52,4324,14,227,91,106,2617,150,945,1293,55536,8710
"HER34L","HER34L_1A_153",26.2,1341.25,6.69,1,35005.88672,75695,1.22,64,52,593,53,46,4587,7,128,90,7,2855,7,919,1178,55695,8843
"HER34L","HER34L_1A_154",26.3,1348.5,6.69,1,34751.11719,75465,1.26,63,39,581,61,86,3945,39,184,165,92,2999,221,1169,1298,55485,8440
"HER34L","HER34L_1A_155",26.4,1355.74,6.69,1,34617.48828,75648,1.39,75,47,559,49,49,4108,118,240,122,113,2947,0,1012,1364,55709,8660
"HER34L","HER34L_1A_156",26.5,1362.99,6.69,1,34624.50391,74976,1.58,61,35,598,50,16,4490,0,161,17,89,3014,0,937,1201,55254,8454
"HER34L","HER34L_1A_157",26.6,1370.24,6.7,1,34600.28516,75049,1.36,55,32,639,83,36,4888,0,207,90,20,3114,41,1019,1092,54486,8671
"HER34L","HER34L_1A_158",26.7,1377.48,6.71,1,34484.67578,75525,1.39,75,30,678,94,49,5149,50,176,72,125,3243,59,1099,1176,54399,8457
"HER34L","HER34L_1A_159",26.8,1384.73,6.7,1,34050.95313,74769,1.41,68,25,549,40,43,4721,91,127,0,0,2973,0,1145,1205,54291,8678
"HER34L","HER34L_1A_160",26.9,1391.98,6.7,1,33750.14063,74460,1.39,55,32,590,75,59,5031,0,227,39,121,2942,15,1141,1169,53431,8403
"HER34L","HER34L_1A_161",27,1399.22,6.7,1,33597.25781,73078,1.11,52,32,611,61,13,4563,50,213,131,166,3011,0,1025,1150,53021,8440
"HER34L","HER34L_1A_162",27.1,1406.47,6.7,1,33436.46875,72109,1.39,64,53,641,95,35,4508,42,144,102,0,3084,0,1003,1578,51988,8255
"HER34L","HER34L_1A_163",27.2,1413.72,6.71,1,32967.58984,72035,1.42,47,24,574,95,51,4191,58,204,66,21,2826,0,1193,1335,52501,8387
"HER34L","HER34L_1A_164",27.3,1420.96,6.73,1,33229.94531,72793,1.28,30,9,559,65,10,4982,92,86,84,50,2718,95,1061,959,52925,8425
"HER34L","HER34L_1A_165",27.4,1428.21,6.74,1,33415.83594,73334,1.33,48,14,513,71,49,5268,49,184,135,83,2742,259,1180,1221,52741,8315
"HER34L","HER34L_1A_166",27.5,1435.46,6.76,1,33113.95703,71019,1.48,46,20,577,97,50,4420,26,179,17,78,2818,0,989,1225,51788,8143
"HER34L","HER34L_1A_167",27.6,1442.7,6.77,1,32857.69531,71003,1.35,67,32,548,96,69,4442,89,179,87,25,2744,0,1044,1106,51773,8299
"HER34L","HER34L_1A_168",27.7,1449.95,6.76,1,33254.52344,71491,1.45,48,33,615,40,59,4480,0,234,35,13,2831,119,1119,932,52079,8362
"HER34L","HER34L_1A_169",27.8,1457.19,6.76,1,33459.4375,73711,1.44,71,29,592,65,31,4843,0,195,174,94,3013,202,1149,1271,52783,8617
"HER34L","HER34L_1A_170",27.9,1464.44,6.77,1,33828.03125,75202,1.34,61,47,629,130,44,4580,43,284,142,110,2953,161,1551,1964,53531,8583
"HER34L","HER34L_1A_171",28,1471.69,6.78,1,34418.46484,74608,1.49,39,39,543,70,35,4244,43,263,28,0,3594,0,1019,970,54504,8692
"HER34L","HER34L_1A_172",28.1,1478.93,6.8,1,34681.30859,76491,1.31,47,68,655,94,43,4397,23,186,96,0,3756,20,1014,1032,55808,8677
"HER34L","HER34L_1A_173",28.2,1486.18,6.8,1,34541.48438,76179,1.34,62,31,530,71,49,3194,146,197,38,127,3927,19,1028,1149,56154,8610
"HER34L","HER34L_1A_174",28.3,1493.43,6.8,1,35067.77344,76575,1.43,46,18,503,35,13,2951,84,220,116,118,3961,114,970,1051,57074,8690
