"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","S","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Br","Rb","Sr","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER34L","HER34L_1A","HER34L_1A_375",48.4,2907.33,7.42,1,33232.46875,80066,1.35,0.00146329566701894,0.00172750182911958,0.0157710755223153,0.00674741890903179,0.00329241525079262,0.228416388911471,0.00229656125518251,0.00266238517193724,0.00146329566701894,0.00111779530119502,0.12039671571417,0.00160556052353467,0.0284326477522153,1,0.172770506462889,57705,5.78802493824256,0.172770506462889,-1.36248371242617,-2.2115012636929,-0.84901755126673
"HER34L","HER34L_1A","HER34L_1A_376",48.5,2914.7,7.42,1,32844.70313,78283,1.58,0.00150974191574008,0.00155054575130062,0.0159747016219525,0.00538610629399164,0.00224421095582985,0.201734163011323,0.00120371314903601,0.00383556054269101,0.00161175150464144,NA,0.118616749974498,NA,0.0278486177700704,1,0.175374885239212,57611,5.70207073057236,0.175374885239212,-1.24521576285998,-2.33239935570447,-1.08718359284449
"HER34L","HER34L_1A","HER34L_1A_377",48.6,2922.07,7.42,1,33277.82031,81159,1.42,0.00137579827101173,0.00201236165013655,0.0158935501755683,0.00429166923345449,0.00195075874247931,0.278445142610731,0.00207396455779379,0.00373724306453931,0.00158114129653586,0.000821372102096552,0.112589580894885,0.00205343025524138,0.0298568759112097,1,0.175506683915481,57246,5.6977886977887,0.175506683915481,-0.757366773294239,-2.06660439491916,-1.30923762162492
"HER34L","HER34L_1A","HER34L_1A_378",48.7,2929.44,7.41,1,33887.51563,87675,1.43,0.001919817004677,0.0021853236117068,0.0120907624124339,0.00573902742887486,0.00267548965545412,0.403590466270449,0.000531013214059596,0.00283887833670322,0.000939484917182362,0.0024508302187366,0.123644384535261,0.00308396135857688,0.0236709351959643,1,0.174437840818577,57504,5.73270108886547,0.174437840818577,-0.96552583487184,-1.7106778004221,-0.74515196555026
"HER34L","HER34L_1A","HER34L_1A_379",48.8,2936.81,7.41,1,33860.01172,84544,1.45,0.000952284469658596,0.00196535305440178,0.0162698814709756,0.00747644615540472,0.00350521730321143,0.313483942862932,0.000587579779151049,0.0036875696484652,0.00097254584135346,NA,0.128051869111539,0.00352547867490629,0.0235639752811265,1,0.168554351129571,57674,5.93280442360861,0.168554351129571,-1.33608566553714,-2.11364373544338,-0.777558069906234
"HER34L","HER34L_1A","HER34L_1A_380",48.9,2944.18,7.4,1,33314.04688,82259,1.42,0.00155414269855687,0.00234130588354022,0.0174185084266828,0.00752850943586638,0.00347159148249067,0.256897769704309,0.00292663235442527,0.0045211423958018,0.00135230598445857,0.00270461196891715,0.127903925724089,NA,0.0254516096477949,1,0.170814411141387,58008,5.85430698333924,0.170814411141387,-1.16798822853745,-2.00682449997706,-0.838836271439612
"HER34L","HER34L_1A","HER34L_1A_381",49,2951.55,7.4,1,33622.43359,88438,1.39,0.00179856115107914,0.00286514974067258,0.0161033963526853,0.00746612012715409,0.00357620880040154,0.456039819307345,0.00278149573364564,0.00276058223188891,0.000669232056215493,0.000376443031621215,0.120440856617032,0.00518654843567007,0.0282332273715911,1,0.172076292454409,56044,5.81137578998542,0.172076292454409,-0.957754855951514,-1.7264095890196,-0.768654733068091
"HER34L","HER34L_1A","HER34L_1A_382",49.1,2958.92,7.38,1,33527.42969,89243,1.36,0.00178541064444822,0.00229552797143343,0.0167275973473899,0.00750297568440741,0.00346454684577453,0.480551776908689,0.006482741030437,0.00218925352831151,0.00199795953069206,0.000616391770107125,0.125913960210848,0.00187043019894576,0.0237629654820609,1,0.187489372555688,55869,5.33363564221744,0.187489372555688,-1.18433682980908,-1.98609702129318,-0.801760191484106
"HER34L","HER34L_1A","HER34L_1A_383",49.2,2966.29,7.38,1,33178.28906,84987,1.49,0.00134681529982181,0.00225850565662426,0.0149392897103311,0.00648543367452654,0.00321163648419046,0.352119680079566,0.00225850565662426,0.00356388048568232,0.00180266047822303,NA,0.128382578426091,0.0014296962413493,0.0284903236500767,1,0.178028262401061,56854,5.61708566108007,0.178028262401061,-1.05485530831101,-1.88929125505581,-0.834435946744796
"HER34L","HER34L_1A","HER34L_1A_384",49.3,2973.66,7.37,1,33028.48438,83876,1.54,0.00164002491177081,0.00155698567573178,0.014697944778908,0.00651858002906373,0.00381980485779531,0.341934814199709,0.00184762300186838,0.00367448619472701,0.00278181440730745,NA,0.122067676977372,0.00467095702719535,0.024019099024289,1,0.181606809217355,56918,5.50640146319159,0.181606809217355,-1.43190487237194,-2.24495598015741,-0.813051107785466
"HER34L","HER34L_1A","HER34L_1A_385",49.4,2981.03,7.37,1,33104.16016,85418,1.55,0.00116971501488728,0.00208421948107188,0.0142705231816248,0.00716716290940026,0.00291365376435559,0.41193109315185,0.00370055295618886,0.00378562313908975,0.00229689493832412,0.00165886856656742,0.126116546150574,0.00416843896214377,0.0277754147171416,1,0.1737771161208,55191,5.7544976135112,0.1737771161208,-1.23511545168179,-1.92380165830111,-0.68868620661932
"HER34L","HER34L_1A","HER34L_1A_386",49.5,2988.4,7.37,1,32918.57031,85319,1.58,0.00168251030537562,0.00241860856397745,0.0149112475813914,0.00763439051064188,0.00403802473290149,0.384243290990157,0.00185076133591318,0.00386977370236393,0.00159838479010684,0.0013460082443005,0.120152267182636,0.00330192647429966,0.0278034827963321,1,0.185013039454867,56345,5.40502444015005,0.185013039454867,-1.1494707059016,-1.81892339816888,-0.669452692267277
"HER34L","HER34L_1A","HER34L_1A_387",49.6,2995.77,7.37,1,32831.5625,85005,1.37,0.00146351662136734,0.00229981183357725,0.0148860547773364,0.00974283922224545,0.00522684507631194,0.363558436127953,0.00160986828350408,0.00278068158059795,0.00106627639556764,0.00127535019862011,0.121200083629521,0.00294794062303993,0.0244825423374451,1,0.182124189839013,56541,5.49075881069912,0.182124189839013,-1.44370526833323,-1.86759754561956,-0.42389227728633
"HER34L","HER34L_1A","HER34L_1A_388",49.7,3003.14,7.36,1,32789.85938,82122,1.34,0.00170068027210884,0.00290360046457607,0.0156172224987556,0.00530944084951054,0.00279990044798407,0.292828106852497,NA,0.0038161606105857,0.000145180023228804,NA,0.121971959515514,0.00346358055417289,0.0342210054753609,1,0.17699518831923,56750,5.64987110382001,0.17699518831923,-0.603535021870258,-1.68242280519059,-1.07888778332033
"HER34L","HER34L_1A","HER34L_1A_389",49.8,3010.51,7.37,1,32674.72266,80204,1.31,0.00131639433323582,0.00238204688871244,0.0165698524802541,0.00748046303648293,0.00288353044423085,0.254398428684859,0.00117012829620962,0.00457603744410548,0.000940281666597016,0.000919386518450416,0.127376823101676,0.0057879560366083,0.0309875047014083,1,0.183396715282711,56635,5.45266036231058,0.183396715282711,-1.1443345380062,-1.93962477324035,-0.795290235234148
"HER34L","HER34L_1A","HER34L_1A_390",49.9,3017.88,7.36,1,32378.68945,79874,1.4,0.00115299148882646,0.00180285941889229,0.0142132405349881,0.0054295417382919,0.00362668231939961,0.264936480650706,0.00121588193367154,0.00268332564672341,0.00161418808435705,0.00222212905119282,0.12636786717538,0.00450714854723072,0.0334786801391975,1,0.175003144522242,56050,5.71418303785338,0.175003144522242,-1.10248076544603,-2.06479999168689,-0.962319226240858
"HER34L","HER34L_1A","HER34L_1A_391",50,3025.25,7.37,1,32414.27539,82194,1.34,0.00145822611082518,0.00238033968090582,0.0171341568021959,0.00720535254760679,0.00409589981128839,0.358723623262995,0.000750557557042374,0.00362412077543318,0.00195144964831017,0.000386001029336078,0.120432321152856,0.00137244810430606,0.0333462000343112,1,0.176831360439183,54878,5.65510550569973,0.176831360439183,-1.10758095865087,-1.97383074445394,-0.86624978580307
"HER34L","HER34L_1A","HER34L_1A_392",50.1,3041.36,7.37,1,32153.11133,84152,1.3,0.00143347378480518,0.00110768428825855,0.01644150992572,0.0106207375874202,0.00351852656270362,0.397571782285739,0.00260631597237305,0.00373571956040137,0.00182442118066114,NA,0.124364710481734,0.00308414056730811,0.0321445636592676,1,0.18085660918292,54369,5.52924222409031,0.18085660918292,-2.26053685675055,-2.69753762071312,-0.437000763962577
"HER34L","HER34L_1A","HER34L_1A_393",50.2,3057.47,7.37,1,32376.96875,84781,1.36,0.00218567170769401,0.00227398167568164,0.0175295286455459,0.00642455017110056,0.00457004084336019,0.439165470802517,0.000750634727894911,0.00302461640357655,0.00209736173970637,0.00203112926371564,0.121161276079037,0.00481289325532619,0.0353902196710454,1,0.189469036317474,53877,5.2779072477278,0.189469036317474,-1.03859427894186,-2.0423544730175,-1.00376019407564
"HER34L","HER34L_1A","HER34L_1A_394",50.3,3073.59,7.37,1,33523.25391,95091,1.59,0.00154711060751329,0.00252767366861327,0.0217684999564194,0.00743048897411314,0.00668961910572649,0.643271158371829,NA,0.00398762311513989,0.00235335134663994,0.00202649699293995,0.122570382637497,0.00544757256166652,0.0338403207530724,1,0.181273424562015,54211,5.5165284288977,0.181273424562015,-1.07829228617715,-2.15316458754219,-1.07487230136504
"HER34L","HER34L_1A","HER34L_1A_395",50.4,3089.7,7.37,1,33140.64453,89950,1.51,0.00141376060320452,0.00169222860080542,0.0163439293976523,0.00526947133921686,0.00449832919201439,0.514608859566447,NA,0.00391997258161254,0.00250621197840802,0.00186359352240596,0.115135806700368,0.00272041813040871,0.0384714248993231,1,0.18126124582298,55146,5.5168990782321,0.18126124582298,-1.13588368346534,-2.26781017881744,-1.13192649535209
