"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","S","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Br","Rb","Sr","Mo_inc","Mo_coh","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca","cps_sum_all","cps_sum_filtered"
"HER34L","HER34L_1A","HER34L_1A_13",12.2,381.06,6.48,1,35178.38281,78484,1.35,0.0828194281637021,0.0624331073849447,0.652362264920239,0.118495489526528,0.0879160083583915,6.82432088068906,0.0344019163141532,0.289230926048621,0.242087559247745,0.19621833749554,3.51536618928699,0,1.16456857448652,72.9792059528057,11.0239029611131,6.62008784096163,0.151055397454476,-0.640779195042629,-2.34650432692888,-1.70572513188625,100,97.2733295958412
"HER34L","HER34L_1A","HER34L_1A_14",12.3,388.03,6.49,1,34840.20703,76745,1.41,0.0886051208547788,0.0482116098768649,0.631962994331878,0.119877516450583,0.0690598736074011,6.35220535539775,0.0951202032705714,0.238452016418008,0.168089126327448,0.0729689230568767,3.19760244967099,0,0.879536126131995,74.2015766499446,11.4769691836602,6.46525885558583,0.154672847961226,-0.910870664404816,-2.57323097829326,-1.66236031388844,100,97.6402371489999
"HER34L","HER34L_1A","HER34L_1A_15",12.4,395.01,6.5,1,34982.08984,80352,1.42,0.0659597769812824,0.0933393070489845,0.958283552369574,0.206590999601752,0.21779171644763,11.7458183990442,0.0647152528872959,0.250149342891278,0.0846276383910793,0.177966945440064,2.86364994026284,0,0.993130227001195,69.2390979689367,10.6854838709677,6.47973445143256,0.15432731194392,-0.794499674820233,-2.32890240131142,-1.53440272649119,100,97.6466049382716
"HER34L","HER34L_1A","HER34L_1A_16",12.5,401.99,6.49,1,34657.51563,75353,1.39,0.0729897946996138,0.0796252305813969,0.699374941939936,0.0822794049341101,0.0225604819980625,5.69187689939352,0.0822794049341101,0.228258994333338,0.0437938768197683,0.00530834870542646,3.21022387960665,0.102185712579459,1.19039719719188,74.6818308494685,11.6650962801746,6.40216154721274,0.156197245668592,-0.0327898228229908,-2.17285598631926,-2.14006616349627,100,97.8580812973604
"HER34L","HER34L_1A","HER34L_1A_17",12.6,408.96,6.49,1,34306.19531,76598,1.6,0.044387581921199,0.00913861980730567,0.681479934201937,0.0796365440350923,0.0522206846131753,6.55891798741482,0.0561372359591634,0.185383430376772,0.0574427530744928,0.088775163842398,3.20504451813363,0.267631008642523,1.14754954437453,74.1011514660957,11.5564375048957,6.41211025756891,0.155954897815363,-2.164963715118,-4.31175743882733,-2.14679372370933,100,98.0913339773884
"HER34L","HER34L_1A","HER34L_1A_18",12.7,415.94,6.48,1,35192.12891,78452,1.35,0.0458879314740223,0.0777545505532045,0.842553408453577,0.0943251924743792,0.0586345791056952,8.29424361392954,0.0152959771580074,0.28679957171264,0.104522510579718,0.152959771580074,3.16499260694437,0.0497119257635242,0.878244021822261,72.5105797175343,11.2884311426095,6.42344173441734,0.155679780613859,-0.193191229030858,-2.38287997567837,-2.18968874664752,100,97.8649365216948
"HER34L","HER34L_1A","HER34L_1A_19",12.8,422.92,6.46,1,35833.94141,77461,1.54,0.080040278333613,0.0387291669356192,0.778456255405946,0.139425000968229,0.0735854171776765,5.20390906391604,0.0180736112366223,0.216883334839468,0.169117362285537,0.118769445269232,3.43656807942061,0.0348562502420573,0.941118756535547,74.9383560759608,11.2172577167865,6.68063068247209,0.149686466372657,-1.28093384546206,-3.00071981506503,-1.71978596960297,100,97.4051458153135
"HER34L","HER34L_1A","HER34L_1A_20",12.9,429.89,6.47,1,35426.53516,76716,1.71,0.0782105427811669,0.0508368528077585,0.76385630116273,0.131654413681631,0.041712289483289,4.89597997810105,0.0378017623442307,0.234631628343501,0.071692997549403,0.00651754523176391,3.4673340632984,0.0495333437614057,0.932008968142239,75.7469106835601,11.2466760519318,6.73504867872045,0.148477026329375,-0.951558870711613,-2.70975814344737,-1.75819927273575,100,97.7553574221805
"HER34L","HER34L_1A","HER34L_1A_21",13,436.87,6.49,1,35428.93359,76865,1.4,0.0494373251805113,0.0403304494893645,0.681714694594419,0.0910687569114682,0.0325245560398101,5.46672737917127,0.0520392896636961,0.210759123137969,0.0845638457035062,0.0689520588043973,3.68308072594809,0.118389383984909,0.827424705652768,74.7492356729331,11.4031093475574,6.55516257843697,0.152551517683097,-0.814508037564213,-2.8275044798359,-2.01299644227168,100,97.5593573147727
"HER34L","HER34L_1A","HER34L_1A_22",13.1,443.85,6.49,1,35109.97266,75307,1.51,0.0650669924442615,0.0411648319545328,0.533814917603941,0.110215517813749,0,4.20412445058228,0,0.249644787337167,0.055771707809367,0.074362277079156,3.51228969418514,0.0544438100043821,0.756901748841409,76.7219514786142,11.5845804506885,6.62276478679505,0.150994340308427,-0.984853403311452,-2.56246488413387,-1.57761148082242,100,97.9643326649581
"HER34L","HER34L_1A","HER34L_1A_23",13.2,450.82,6.49,1,35046.6875,76316,1.49,0.0104827297028146,0.0340688715341475,0.503171025735101,0.0642067194297395,0.0733791079197023,4.1616436920174,0.0406205775984066,0.231930394674773,0.15068923947796,0.068137743068295,3.57330048744693,0,0.687929136747209,76.5344095602495,11.3056239844856,6.76958738989337,0.147719490480756,-0.633723760089145,-2.69254601456624,-2.0588222544771,100,97.4395932700875
"HER34L","HER34L_1A","HER34L_1A_24",13.3,457.8,6.49,1,35190.49609,75824,1.21,0.0698987128086094,0.0382464654990504,0.490609833298164,0.0659421818949145,0.0237391854821692,4.0897341211226,0,0.236073011183794,0.0923190546528803,0.0962755855665752,3.44613842582823,0.230797636632201,0.607986917071112,76.9716712386579,11.1033445874657,6.93229599714931,0.144252351661155,-0.544727175441672,-2.55159802428667,-2.006870848845,100,97.562776957164
"HER34L","HER34L_1A","HER34L_1A_25",13.4,464.78,6.5,1,35579.06641,76162,1.4,0.0512066384811323,0.0695885087051285,0.645991439300439,0.0787794438171266,0.0433286940994197,4.3932669835351,0.0380767311782779,0.320369738189648,0.0905963603896957,0.177253748588535,3.43478375042672,0,0.693259105590715,76.0549880517843,11.4978598251096,6.61470823341327,0.151178247734139,-0.124052648669979,-2.22818680294019,-2.10413415427021,100,97.5893490191959
"HER34L","HER34L_1A","HER34L_1A_26",13.5,471.75,6.5,1,35760.71875,77020,1.56,0.107764217086471,0.0714100233705531,0.655673850947806,0.0649182030641392,0.0688132952479875,4.46117891456765,0,0.270059724746819,0,0,3.77434432614905,0,0.763438068034277,75.651778758764,11.533367956375,6.55938309129798,0.152453361250794,0.0953101798043249,-2.21722524404289,-2.31253542384721,100,97.4227473383537
"HER34L","HER34L_1A","HER34L_1A_27",13.6,478.73,6.51,1,35628.19922,76905,1.41,0.052012222872375,0.0715168064495156,0.725570509069631,0.0637149730186594,0.0195045835771406,4.06085430076068,0,0.239256225212925,0.0507119173005656,0.123529029321891,3.717573629803,0,0.950523372992653,76.3617450100774,11.4400884207789,6.67492611957263,0.149814392262371,0.115512887121844,-2.31702577714884,-2.43253866427068,100,97.8766010012353
"HER34L","HER34L_1A","HER34L_1A_28",13.7,485.71,6.51,1,35530.15625,75775,1.27,0.0686242164302211,0.0488287693830419,0.629495216100297,0.0646651270207852,0.0488287693830419,3.8785879247773,0.0989772352358957,0.300890795117123,0.0805014846585285,0.118772682283075,3.79544704717915,0.0343121082151105,0.869679973606071,76.2256680963378,11.4325305179809,6.66743622301743,0.149982686980609,-0.280902385466402,-2.55659857824412,-2.27569619277771,100,97.6958099637083
"HER34L","HER34L_1A","HER34L_1A_29",13.8,492.68,6.52,1,35146.19141,76931,1.42,0.0597938412343529,0.032496652844757,0.69932796921917,0.0688929040308848,0.0207978578206445,4.74971077978968,0.0532945106654015,0.27947121446491,0.123487280810077,0.0870910296239487,3.7982087844952,0.241775097164992,1.08928780335625,74.829392572565,11.2724389387893,6.6382610701107,0.150641860788299,-0.751416088683921,-3.06898273529358,-2.31756664660966,100,97.4054672368746
"HER34L","HER34L_1A","HER34L_1A_30",13.9,499.66,6.52,1,34862.10938,74452,1.32,0.0416375651426422,0.0188040616773223,0.727985816364906,0.0725299521839574,0,4.81115349486918,0.0362649760919787,0.157148229731908,0.0510395959813034,0.143716757105249,3.59963466394455,0,0.812604093912857,75.8582711008435,11.1467791328641,6.8053982407519,0.146942172173236,-1.34992671694902,-3.65620867182439,-2.30628195487537,100,97.4775694407135
"HER34L","HER34L_1A","HER34L_1A_31",14,506.64,6.5,1,34153.01563,74364,1.29,0.0699263084288096,0.0658920983271475,0.720778871496961,0.0968210424398903,0.0470657845193911,4.00597063095046,0.135818406755957,0.298531547522995,0.328115754935184,0.0672368350277016,3.48555752783605,0.0470657845193911,1.1497498789737,75.4545210047873,11.3334409122694,6.65768865685809,0.150202277628273,-0.384845820905429,-2.39231386296018,-2.00746804205475,100,97.3064923887903
"HER34L","HER34L_1A","HER34L_1A_32",14.1,513.61,6.48,1,34841.37891,75805,1.29,0.0606820130598246,0.031660180726865,0.590990040234813,0.137194116483082,0.0448519226963921,4.15407954620408,0.139832464876987,0.360134555768089,0.0685970582415408,0.166215948816041,3.64487830618033,0.139832464876987,0.700481498581888,75.5834047886023,11.6760108172284,6.47339283696757,0.154478497626361,-1.46633706879343,-2.92673940206704,-1.46040233327361,100,97.4988457225777
"HER34L","HER34L_1A","HER34L_1A_33",14.2,520.59,6.48,1,34732.92188,75019,1.34,0.0719817646196297,0.0573188125674829,0.650501872858876,0.101307668723923,0.0306588997453978,4.8880950159293,0.0666497820552127,0.342579879763793,0.0666497820552127,0.118636612058279,3.73771977765633,0,0.727815620042922,75.2729308575161,11.5637371865794,6.50939481268012,0.153624112344826,-0.569533224592769,-2.42911529015958,-1.85958206556682,100,97.6965835321719
"HER34L","HER34L_1A","HER34L_1A_34",14.3,527.57,6.48,1,34561.68359,75347,1.33,0.0650324498652899,0.0252166642334798,0.613163098729876,0.0822859569724077,0.0557420998845342,4.44476886936441,0,0.27472892085949,0.165899106799209,0.281364885131458,3.87009436341195,0.0265438570878734,0.779062205529085,75.5570892006318,11.3488260979203,6.65770085370132,0.15020200245916,-1.18269540587865,-3.1911259119153,-2.00843050603665,100,97.5898177764211
"HER34L","HER34L_1A","HER34L_1A_35",14.4,534.54,6.48,1,34713.96094,75507,1.44,0.0807872117816891,0.0264876104202259,0.621134464354298,0.0741653091766326,0.0278119909412372,4.80485253022899,0.0582727429244971,0.190710795025627,0.0993285390758473,0.0648946455295536,3.95857337730277,0.124491768975062,0.999907293363529,75.4115512469043,11.2055835882766,6.72981917031084,0.148592402662405,-1.02961941718116,-3.15487049489229,-2.12525107771113,100,97.7485531142808
"HER34L","HER34L_1A","HER34L_1A_36",14.5,541.52,6.48,1,34297.19141,74486,1.45,0.085922186719652,0.0483312300298043,0.788067556319308,0.0228230808474076,0.0550439008672771,4.33504282683994,0.0792095158821792,0.194667454286712,0.132910882581962,0.0724968450447064,3.8262223773595,0,0.737051257954515,75.0651129071235,11.7968477297747,6.36315010811426,0.157154865594763,0.750305594399894,-2.79150588137199,-3.54181147577188,100,97.2397497516312
"HER34L","HER34L_1A","HER34L_1A_37",14.6,548.5,6.48,1,34438.88281,73902,1.23,0.0419474439122081,0.0351817271521745,0.634624232091148,0.0338285838001678,0.0500663040242483,4.04725176585207,0,0.269275527049336,0.165083488944819,0.0825417444724094,3.63860247354605,0.0595383074882953,1.00538551054099,75.9181077643366,11.6613894075938,6.51021118589,0.153604848052758,0.0392207131532813,-2.8925062304248,-2.93172694357808,100,97.6428242808043
"HER34L","HER34L_1A","HER34L_1A_38",14.7,555.47,6.47,1,34620.48438,74148,1.27,0.0552948157738577,0.0512488536440632,0.689162216108324,0.0930571289852727,0.0512488536440632,4.05135674596752,0.138911366456277,0.225225225225225,0.0620380859901818,0.191508874143605,4.05135674596752,0.132168096239953,0.838862814910719,75.4302206398015,11.5943788099477,6.50575782249622,0.153709994636152,-0.596520344870874,-2.59878343047732,-2.00226308560645,100,97.6560392728057
"HER34L","HER34L_1A","HER34L_1A_39",14.8,562.45,6.47,1,34923.14063,74682,1.3,0.0615944939878418,0.0160681288663935,0.630674058005945,0.0495433973380466,0.0241021932995903,4.50309311480678,0.0736455906376369,0.277175222945288,0.0709675691599047,0.0495433973380466,3.82823170241825,0,1.21314372941271,75.8562973675049,11.161993519188,6.7959452975048,0.147146564050061,-1.12601126285622,-3.66995144422842,-2.54394018137219,100,97.8160734849094
"HER34L","HER34L_1A","HER34L_1A_40",14.9,569.43,6.47,1,34488.39063,74436,1.35,0.0523940029018217,0.0550808748455049,0.644849266483959,0.0873233381697028,0.0497071309581385,4.3970659358375,0.185394164114138,0.231070987156752,0.214949755494653,0.0658283626202375,4.05717663496158,0,1.02504164651513,74.8522220430974,11.5387715621473,6.48701827919432,0.154154028393489,-0.460815203191329,-2.46021403719763,-1.9993988340063,100,97.4568757053039
"HER34L","HER34L_1A","HER34L_1A_41",15,576.4,6.47,1,34338.59375,73471,1.3,0.0680540621469696,0.0367491935593636,0.632902777966817,0.108886499435151,0.024499462372909,4.2016577969539,0.00952756870057574,0.299437873446666,0.122497311864545,0.0149718936723333,3.6694750309646,0.182384886553878,1.13241959412557,75.0922132542091,11.8631841134597,6.32985314364387,0.157981548277175,-1.08618976866955,-2.84620053958303,-1.76001077091347,100,97.4588613194322
"HER34L","HER34L_1A","HER34L_1A_42",15.1,583.12,6.47,1,33867.75,73257,1.32,0.0518721760377848,0.0505071187736326,0.701639433774247,0.101014237547265,0,4.67941630151385,0,0.240250078490793,0.266186166509685,0.111934695660483,3.44813464924854,0.0969190657548084,1.03607846349154,75.0167219514859,11.7422225862375,6.38863055103464,0.156528068419616,-0.693147180559945,-2.63130535281094,-1.938158172251,100,97.542896924526
"HER34L","HER34L_1A","HER34L_1A_43",15.2,589.84,6.47,1,33877.24219,74050,1.36,0.0594193112761648,0.0864280891289669,0.757596218771101,0.0823767724510466,0.11883862255233,4.79945982444294,0.062120189061445,0.270087778528022,0.172856178257934,0.0837272113436867,3.4949358541526,0.24848075624578,1.16272788656313,74.4564483457124,11.5003376097232,6.4742837012682,0.154457241316768,0.0480092191863607,-2.17083782216302,-2.21884704134939,100,97.3558406482107
"HER34L","HER34L_1A","HER34L_1A_44",15.3,596.55,6.47,1,33874.32422,73409,1.31,0.0912694628723998,0.0381424620959283,0.813251781116757,0.134860848124889,0.0790093857701372,4.53486629704805,0.0776471549809969,0.247926003623534,0.0899072320832595,0.110340693920364,3.64260513016115,0,1.0175863994878,74.5303709354439,11.7233581713414,6.3574250522891,0.157296388360871,-1.26291533995939,-3.0597126032174,-1.79679726325801,100,97.1311419580705
"HER34L","HER34L_1A","HER34L_1A_45",15.4,603.27,6.46,1,34390.23438,75106,1.54,0.0758927382632546,0.0519266103906479,0.737624157856896,0.117167736266077,0.101190317684339,5.93827390621255,0,0.234335472532155,0.00932016083934706,0.0213032247756504,3.60823369637579,0,1.20496365137273,74.0446835139669,11.7207679812532,6.3173917982506,0.158293174135079,-0.81377516834856,-2.65360304061764,-1.83982787226908,100,97.8656831677895
"HER34L","HER34L_1A","HER34L_1A_46",15.5,609.99,6.46,1,34191.66797,75414,1.37,0.0609966319251067,0.0477364945500835,0.68024504733869,0.145861511125255,0.0861908929376508,5.80131010157265,0.00795608242501392,0.347415599225608,0.143209483650251,0,3.27657994536823,0,1.10589545707694,74.0565412257671,11.7524597554831,6.30136522622137,0.158695768948414,-1.11696142733631,-2.65675690671466,-1.53979547937835,100,97.5123982284456
"HER34L","HER34L_1A","HER34L_1A_47",15.6,616.71,6.47,1,33608.27734,74295,1.31,0.0726832222895215,0.0619153375058887,0.642035130224107,0.0996029342486035,0.0538394239181641,5.54815263476681,0.107678847836328,0.246315364425601,0.183054041321758,0.039033582340669,3.35554209569958,0.226125580456289,1.31233595800525,74.0103640891042,11.3830002018978,6.50183280122975,0.153802786163751,-0.475423696715075,-2.33887509439925,-1.86345139768417,100,97.3416784440406
"HER34L","HER34L_1A","HER34L_1A_48",15.7,623.42,6.47,1,33632.41016,74244,1.43,0.0592640482732611,0.0606109584612898,0.662679812510102,0.0686924195894618,0.0794677010936911,6.12035989440224,0,0.123915737298637,0.103712084478207,0.115834276170465,3.00360971930392,0,1.13005764775605,74.3063412531652,11.3921663703464,6.52258217072594,0.153313515081206,-0.125163142954006,-2.39181622672199,-2.26665308376798,100,97.226711922849
"HER34L","HER34L_1A","HER34L_1A_49",15.8,630.14,6.46,1,33960.92969,75499,1.54,0.0450337090557491,0.0596034384561385,0.629147405925906,0.203976211605452,0.12318043947602,8.20010861071008,0.136425648021828,0.223844024424165,0.180134836222996,0.0476827507649108,3.04242440297222,0,1.06359024622843,73.0804381514987,11.0319341978039,6.62444471124985,0.150956048935206,-1.23029011264331,-2.35665231426432,-1.12636220162101,100,98.0675240731665
"HER34L","HER34L_1A","HER34L_1A_50",15.9,636.86,6.46,1,33988.11328,74104,1.36,0.0863651084961675,0.0539781928101047,0.736802331857929,0.101209111518946,0.091762927777178,6.81744575191623,0.0134945482025262,0.233455683903703,0.136294936845514,0.0634243765518731,3.48834071035302,0,1.03368239231351,73.2834934686387,11.4811616107093,6.38293370944993,0.156667771516959,-0.628608659422374,-2.61373952163097,-1.98513086220859,100,97.6209111518946
"HER34L","HER34L_1A","HER34L_1A_51",16,643.57,6.46,1,33936.94531,74020,1.31,0.0797081869764928,0.0634963523372062,0.653877330451229,0.12023777357471,0.0661983247770873,7.46960281005134,0.143204539313699,0.202647932991083,0,0.0661983247770873,3.26668467981627,0.0513374763577411,0.899756822480411,73.2139962172386,11.203728721967,6.53478837573857,0.15302714372705,-0.638488768022081,-2.33193730500657,-1.69344853698449,100,97.50067549311
"HER34L","HER34L_1A","HER34L_1A_52",16.1,650.29,6.46,1,33733.34375,74818,1.17,0.0721751450185784,0.0507899168649256,0.691010184714908,0.0868774893742148,0.0668288379801652,7.24424603704991,0.122965061883504,0.31543211526638,0.244593547007405,0.0828677590954048,3.36416370392152,0.0400973027880991,0.859418856424925,73.0973829827047,11.0588361089577,6.60986221899927,0.151289083927592,-0.536801110169251,-2.61045671478204,-2.07365560461279,100,97.3976850490524
"HER34L","HER34L_1A","HER34L_1A_53",16.2,657.01,6.46,1,33229.94922,73412,1.23,0.0612978804555114,0.0912657331226503,0.738298915708604,0.0490383043644091,0.0299678526671389,7.40342178390454,0.152563613578162,0.271072849125484,0.0313300277883725,0.0830926823952487,2.99950961695636,0.265624148640549,1.33493161880891,72.6856644690241,11.4504440690895,6.3478467761123,0.157533733133433,0.621173680934856,-2.09057338204868,-2.71174706298354,100,97.6475235656296
"HER34L","HER34L_1A","HER34L_1A_54",16.3,663.72,6.46,1,33201.70703,72768,1.5,0.0563434476693052,0.0769569041336851,0.725593667546174,0.1030672823219,0.120932277924362,7.71630386983289,0.0288588390501319,0.233619173262973,0.192392260334213,0.131926121372032,3.36823878627968,0,1.3398746701847,71.9725703605981,11.535290237467,6.23933762211103,0.160273423328814,-0.292136422801161,-2.24374459297111,-1.95160817016995,100,97.6019678979771
"HER34L","HER34L_1A","HER34L_1A_55",16.4,670.44,6.46,1,33321.07422,72369,1.29,0.0317815639293067,0.0207271069104174,0.755848498666556,0.0898174632784756,0.0607995136038912,7.54466691539195,0.0386905995661126,0.280506846854316,0.143707941245561,0.0829084276416698,3.52498998189833,0.0221089140377786,1.68165927399854,72.2740399894983,11.3764180795645,6.35296975586056,0.157406699296421,-1.46633706879343,-3.59639860131977,-2.13006153252634,100,97.9286711160856
"HER34L","HER34L_1A","HER34L_1A_56",16.5,677.16,6.47,1,33555.58984,72439,1.56,0.0565993456563453,0.0786868951807728,0.757879043056917,0.131144825301288,0.110437747622137,7.43798230235094,0.0842087825618796,0.229158326315935,0.0883501980977098,0.0966330291693701,3.56851972004031,0,1.34872099283535,72.2828862905341,11.434448294427,6.32150187130267,0.158190256106644,-0.510825623765991,-2.26504717367498,-1.75422154990899,100,97.7056557931501
"HER34L","HER34L_1A","HER34L_1A_57",16.6,683.87,6.47,1,32391.5625,70158,1.49,0.0655662932238661,0.0869466062316486,0.736908121668234,0.148236836853958,0.0783944810285356,7.36765586248183,0.129707232247213,0.260839818694946,0.0855212520311297,0.099774794036318,3.35813449642236,0.148236836853958,1.46383876393284,71.6839134524929,11.4840787935802,6.24202556782922,0.160204406267398,-0.533517034968061,-2.13716901033512,-1.60365197536706,100,97.19775364178
"HER34L","HER34L_1A","HER34L_1A_58",16.7,690.59,6.47,1,31804.49023,69481,1.49,0.0906722701170104,0.0705228767576748,0.746966796678229,0.181344540234021,0.0978684820310588,8.25405506541357,0.118017875390394,0.200054691210547,0.179905297851211,0.0604481800780069,3.47433111210259,0,1.59180207538752,70.8193606885336,11.6046113325945,6.10269130596552,0.163862130634475,-0.944461608840851,-2.36008358505526,-1.41562197621441,100,97.4899612843799
"HER34L","HER34L_1A","HER34L_1A_59",16.8,697.31,6.47,1,31184.52539,68349,1.44,0.0760801182167991,0.102415543753383,0.923202972976927,0.111194018932245,0.152160236433598,10.482962442757,0.134603286075875,0.257501938579935,0.212146483489151,0,2.77399815652021,0.112657098128722,1.91517066818827,68.7442391256639,11.4573731876106,6,0.166666666666667,-0.0822380982369721,-2.19881062049185,-2.11657252225488,100,97.4557052773267
"HER34L","HER34L_1A","HER34L_1A_60",16.9,704.02,6.46,1,30008.87695,67010,1.27,0.0746157289956723,0.0820773018952395,0.971496791523653,0.286524399343382,0.202954782868229,11.0296970601403,0.144754514251604,0.279062826443814,0.0746157289956723,0.00746157289956723,2.71302790628264,0.0253693478585286,3.03387554096404,65.7125802119087,12.4757498880764,5.26722488038278,0.189853295180997,-1.25016218679531,-2.4711764569761,-1.22101427018079,100,97.1138636024474
"HER34L","HER34L_1A","HER34L_1A_61",17,710.74,6.47,1,30786.41016,69317,1.28,0.0678044346985588,0.122625041476117,1.03582093858649,0.150035344864896,0.190429476174676,10.8631360272372,0.0591485494178917,0.239479492765123,0.0706897297921145,0,2.43518905896101,0.0230823607484455,2.8131627162168,67.4235757462094,11.8080701703767,5.70995723885156,0.175132660047929,-0.201739642651056,-2.13381831255791,-1.93207866990685,100,97.3022490875254
"HER34L","HER34L_1A","HER34L_1A_62",17.1,717.46,6.47,1,32167.28906,73549,1.25,0.0924553698894614,0.0693415274170961,0.833457966797645,0.16995472406151,0.141402330419176,9.72548912969585,0.085657180927001,0.227059511346177,0.194428204326367,0.107411385606874,2.98848386789759,0.0217542046798733,1.97691335028348,69.1403010238073,11.6289820391848,5.9455161931486,0.168193974671596,-0.896488104577975,-2.48653930321189,-1.59005119863391,100,97.4030918163401
"HER34L","HER34L_1A","HER34L_1A_63",17.2,724.17,6.47,1,32632.79102,73952,1.31,0.0459757680657724,0.0933037646040675,0.876244050194721,0.146040675032453,0.120348334054522,9.67654694937257,0.158210731285158,0.292081350064907,0.144688446559931,0.0554413673734314,2.85590653396798,0.228526611856339,1.73490913024665,69.8777585460839,11.3276179143228,6.16879551151964,0.162106200170292,-0.44802472252696,-2.23978419175502,-1.79175946922805,100,97.6336001730852
