"Site","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","Mg","Al","Si","P","S","Cl","K","Ca","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","As","Se","Br","Rb","Sr","Y","Zr","Sn","I","Cs","Ba","Ir","Pt","Au","Hg","Pb","Th","U","Mo_inc","Mo_coh","qc","label"
"HER34L","HER34L_1A_34",14.3,527.57,6.48,1,34561.68359,75347,1.33,22,41,16,39,49,35,19,462,62,0,0,42,3349,0,207,125,212,0,53,2916,20,587,0,1200,14,7,0,0,0,0,0,0,0,112,0,56930,8551,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_35",14.4,534.54,6.48,1,34713.96094,75507,1.44,0,30,0,8,61,37,20,469,56,0,23,21,3628,44,144,75,49,0,60,2989,94,755,0,1251,15,0,0,0,0,0,0,0,102,0,0,56941,8461,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_36",14.5,541.52,6.48,1,34297.19141,74486,1.45,0,9,7,18,64,54,36,587,17,0,21,41,3229,59,145,99,54,0,86,2850,0,549,0,1371,11,0,0,29,0,0,0,0,179,46,0,55913,8787,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_37",14.6,548.5,6.48,1,34438.88281,73902,1.23,16,20,0,0,31,48,26,469,25,5,0,37,2991,0,199,122,61,0,60,2689,44,743,0,1121,16,0,0,8,0,0,0,0,85,106,41,56105,8618,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_38",14.7,555.47,6.47,1,34620.48438,74148,1.27,0,16,25,20,41,64,38,511,69,10,23,38,3004,103,167,46,142,0,75,3004,98,622,0,1106,0,11,0,0,0,0,0,0,163,63,0,55930,8597,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_39",14.8,562.45,6.47,1,34923.14063,74682,1.3,0,27,0,0,46,39,12,471,37,0,0,18,3363,55,207,53,37,0,65,2859,0,906,0,1125,0,0,0,0,0,0,23,0,101,0,0,56651,8336,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_40",14.9,569.43,6.47,1,34488.39063,74436,1.35,0,26,0,18,39,59,41,480,65,0,0,37,3273,138,172,160,49,0,73,3020,0,763,0,1328,10,9,0,0,0,0,0,0,0,19,147,55717,8589,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_41",15,576.4,6.47,1,34338.59375,73471,1.3,0,55,26,0,50,69,27,465,80,0,0,18,3087,7,220,90,11,0,150,2696,134,832,0,1202,20,0,0,0,0,0,0,0,36,154,0,55171,8716,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_42",15.1,583.12,6.47,1,33867.75,73257,1.32,0,20,6,11,38,61,37,514,74,0,0,0,3428,0,176,195,82,0,0,2526,71,759,0,1282,0,0,0,0,0,0,49,0,95,126,0,54955,8602,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_43",15.2,589.84,6.47,1,33877.24219,74050,1.36,0,0,0,15,44,38,64,561,61,0,18,88,3554,46,200,128,62,0,95,2588,184,861,0,1118,0,8,0,0,0,0,0,0,161,228,69,55135,8516,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_44",15.3,596.55,6.47,1,33874.32422,73409,1.31,0,24,0,0,67,52,28,597,99,11,0,58,3329,57,182,66,81,0,255,2674,0,747,0,1188,0,0,0,0,0,0,15,10,168,96,79,54712,8606,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_45",15.4,603.27,6.46,1,34390.23438,75106,1.54,0,10,0,27,57,51,39,554,88,0,5,76,4460,0,176,7,16,0,124,2710,0,905,0,1106,12,0,0,20,0,0,0,0,0,0,61,55612,8803,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_46",15.5,609.99,6.46,1,34191.66797,75414,1.37,7,48,20,6,46,34,36,513,110,5,5,65,4375,6,262,108,0,0,100,2471,0,834,7,1234,6,0,0,0,0,0,0,0,123,80,0,55849,8863,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_47",15.6,616.71,6.47,1,33608.27734,74295,1.31,19,35,21,19,54,67,46,477,74,30,0,40,4122,80,183,136,29,0,188,2493,168,975,0,1298,8,4,6,0,0,0,0,0,65,39,0,54986,8457,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_48",15.7,623.42,6.47,1,33632.41016,74244,1.43,0,45,0,33,44,54,45,492,51,0,0,59,4544,0,92,77,86,0,141,2230,0,839,0,1137,0,0,0,0,0,0,0,6,315,87,101,55168,8458,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_49",15.8,630.14,6.46,1,33960.92969,75499,1.54,0,0,0,10,34,41,45,475,154,0,24,93,6191,103,169,136,36,30,86,2297,0,803,0,1014,7,18,0,0,0,0,0,0,0,0,0,55175,8329,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_50",15.9,636.86,6.46,1,33988.11328,74104,1.36,0,6,7,0,64,60,40,546,75,0,7,68,5052,10,173,101,47,0,108,2585,0,766,0,1102,0,0,0,0,6,49,18,0,167,86,0,54306,8508,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_51",16,643.57,6.46,1,33936.94531,74020,1.31,13,56,20,32,59,55,47,484,89,0,26,49,5529,106,150,0,49,0,54,2418,38,666,0,1080,0,0,0,0,0,0,0,0,154,0,117,54193,8293,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_52",16.1,650.29,6.46,1,33733.34375,74818,1.17,35,37,17,24,54,70,38,517,65,0,0,50,5420,92,236,183,62,0,149,2517,30,643,0,1107,0,0,0,0,0,0,0,0,60,190,55,54690,8274,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_53",16.2,657.01,6.46,1,33229.94922,73412,1.23,0,54,0,0,45,51,67,542,36,11,0,22,5435,112,199,23,61,0,66,2202,195,980,0,1124,0,0,0,0,0,0,0,0,86,134,15,53360,8406,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_54",16.3,663.72,6.46,1,33201.70703,72768,1.5,0,0,15,0,41,61,56,528,75,0,13,88,5615,21,170,140,96,0,185,2451,0,975,0,1203,0,4,0,0,0,0,0,0,78,0,0,52373,8394,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_55",16.4,670.44,6.46,1,33321.07422,72369,1.29,0,6,19,7,23,48,15,547,65,0,0,44,5460,28,203,104,60,0,22,2551,16,1217,0,1079,0,0,0,0,0,0,0,0,75,103,0,52304,8233,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_56",16.5,677.16,6.47,1,33555.58984,72439,1.56,0,14,7,23,41,73,57,549,95,15,0,80,5388,61,166,64,70,0,0,2585,0,977,0,1136,0,0,0,0,12,0,0,0,168,48,0,52361,8283,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_57",16.6,683.87,6.47,1,32391.5625,70158,1.49,0,40,13,12,46,62,61,517,104,5,13,55,5169,91,183,60,70,0,143,2356,104,1027,12,1034,0,12,0,0,0,0,0,0,135,207,125,50292,8057,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_58",16.7,690.59,6.47,1,31804.49023,69481,1.49,0,9,15,36,63,45,49,519,126,9,0,68,5735,82,139,125,42,0,15,2414,0,1106,0,1138,6,16,0,0,0,0,0,0,67,152,0,49206,8063,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_59",16.8,697.31,6.47,1,31184.52539,68349,1.44,35,32,12,24,52,62,70,631,76,18,31,104,7165,92,176,145,0,16,158,1896,77,1309,0,1143,0,10,0,24,0,0,0,0,0,0,0,46986,7831,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_60",16.9,704.02,6.46,1,30008.87695,67010,1.27,4,26,14,22,50,50,55,651,192,12,7,136,7391,97,187,50,5,91,280,1818,17,2033,0,1054,18,0,0,0,0,0,20,0,0,63,55,44034,8360,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_61",17,710.74,6.47,1,30786.41016,69317,1.28,19,24,13,15,47,29,85,718,104,0,0,132,7530,41,166,49,0,6,101,1688,16,1950,0,1208,0,0,10,0,0,17,41,12,14,71,109,46736,8185,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_62",17.1,717.46,6.47,1,32167.28906,73549,1.25,0,47,27,16,68,50,51,613,125,0,21,104,7153,63,167,143,79,0,130,2198,16,1454,0,1263,7,6,0,5,12,0,0,0,92,0,41,50852,8553,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_63",17.2,724.17,6.47,1,32632.79102,73952,1.31,0,8,15,27,34,61,69,648,108,0,0,89,7156,117,216,107,41,0,0,2112,169,1283,0,1270,12,0,0,0,0,14,0,0,142,77,0,51676,8377,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_64",17.3,730.89,6.48,1,33293.42578,75312,1.34,0,17,15,0,32,50,45,481,93,4,0,73,5971,80,214,95,107,57,85,2333,118,1202,0,1271,0,0,0,0,0,0,0,0,0,155,110,53792,8728,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_65",17.4,737.61,6.49,1,33711.88672,75100,1.32,14,48,10,35,63,52,54,480,47,0,8,35,5153,132,193,13,0,0,60,2427,144,1058,54,1217,0,8,0,17,0,0,0,0,109,50,18,54917,8500,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_66",17.5,744.33,6.5,1,34323.6875,75561,1.58,0,0,0,10,27,26,53,544,95,0,0,71,5778,55,157,52,33,0,209,2238,0,893,0,1023,15,0,0,0,0,0,0,0,193,173,0,54949,8724,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_67",17.6,751.04,6.51,1,33654.91797,73347,1.41,0,0,0,13,45,76,58,456,102,0,0,72,4980,5,214,120,29,0,8,2173,0,602,0,1111,10,13,5,13,0,0,0,0,0,147,0,54438,8438,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_68",17.7,757.76,6.53,1,34024.50781,75256,1.43,13,61,12,40,57,51,47,497,93,17,27,71,5071,0,126,37,48,0,87,2383,47,867,18,1107,0,0,0,0,0,0,0,0,62,46,0,55627,8576,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_69",17.8,764.48,6.53,1,34277.52734,75179,1.46,0,0,0,16,38,25,17,469,38,5,7,70,4847,88,143,118,54,6,207,2362,53,732,0,1311,0,0,0,0,0,0,0,0,0,37,0,55586,8764,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_70",17.9,771.19,6.54,1,34460.39453,76099,1.58,0,21,24,22,60,59,74,523,93,0,0,57,5079,62,136,118,0,0,92,2549,107,832,0,1211,0,0,0,0,0,0,5,0,153,197,0,56118,8342,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_71",18,777.91,6.54,1,34390.22656,74401,1.33,5,28,11,30,44,45,44,481,66,15,0,26,4090,98,154,71,124,0,79,2293,40,813,0,1212,0,0,0,0,0,0,0,0,78,19,0,55423,8817,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_72",18.1,784.63,6.55,1,34736.68359,76009,1.45,0,34,7,0,36,62,36,490,67,0,22,50,4096,166,241,74,23,0,103,2627,0,613,0,1284,10,0,0,0,0,0,29,0,98,203,0,56745,8661,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_73",18.2,791.34,6.55,1,34572.61719,75450,1.4,0,7,24,37,51,55,31,554,79,10,0,70,4562,63,179,173,81,0,20,2687,69,899,0,1287,6,0,0,0,0,0,0,0,114,0,0,55774,8450,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_74",18.3,798.06,6.55,1,34483.52344,76601,1.31,0,12,0,8,44,68,43,535,109,11,25,66,5697,120,191,159,74,0,19,2735,39,1037,0,1241,14,14,0,0,0,0,0,0,32,108,0,55468,8523,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_75",18.4,804.78,6.56,1,34629.31641,77457,1.57,0,0,0,0,47,35,61,556,154,25,11,47,6303,0,146,53,0,0,91,2740,160,992,0,1106,14,0,0,0,0,0,0,0,62,0,0,55890,8819,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_76",18.5,811.49,6.56,1,34543.60156,76192,1.3,0,0,13,12,41,75,22,492,28,7,26,29,4263,38,167,177,122,0,0,2792,132,878,0,1310,0,25,0,0,0,15,0,0,131,188,0,56125,8867,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_77",18.6,818.21,6.57,1,34718.72266,76530,1.58,0,19,28,15,60,56,31,522,95,0,0,38,4553,59,174,109,35,0,196,2922,0,725,0,1154,0,18,0,0,0,0,0,0,87,144,0,56501,8761,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_78",18.7,824.93,6.56,1,34976.08203,76997,1.46,0,17,0,30,38,37,51,509,84,0,9,50,4553,52,160,70,35,0,192,2885,176,949,0,1148,6,0,0,0,0,0,0,0,85,256,78,56781,8555,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_79",18.8,831.64,6.56,1,34497.17578,77428,1.36,0,0,25,16,61,46,52,510,161,0,0,67,5317,61,191,141,60,0,42,2928,97,934,0,1233,8,0,0,0,0,0,56,0,196,254,0,56395,8389,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_80",18.9,838.36,6.57,1,34131.61719,75515,1.36,9,13,13,18,48,11,44,502,99,0,4,68,5216,119,218,107,148,0,0,2583,85,842,0,1169,0,0,0,0,14,0,0,0,77,0,0,55475,8510,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_81",19,845.08,6.56,1,33917.82813,74530,1.4,23,56,16,46,56,79,35,498,111,0,25,53,4095,0,166,167,45,0,34,2496,0,652,0,1157,8,12,0,0,0,0,0,0,80,169,0,55724,8475,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_82",19.1,851.79,6.56,1,34056.04688,74900,1.31,0,0,11,36,45,62,45,517,23,0,0,51,4538,46,211,65,95,0,72,2344,0,984,0,1343,5,0,0,14,0,0,0,0,122,34,4,55562,8469,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_83",19.2,858.51,6.54,1,34170.84375,74660,1.45,0,37,15,7,47,35,18,464,57,15,0,41,4165,0,185,0,47,0,112,2434,0,927,0,1061,0,0,0,0,0,0,38,0,266,12,0,55883,8595,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_84",19.3,865.23,6.54,1,34909.36719,76700,1.52,0,0,0,12,55,54,23,429,104,16,0,23,3941,103,178,26,118,0,96,2940,80,825,0,1179,16,0,0,0,0,0,26,0,156,34,28,57203,8854,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_85",19.4,871.95,6.54,1,35205.38281,76729,1.46,0,12,0,8,46,70,55,541,69,12,15,40,4561,24,158,128,73,0,0,2704,0,791,0,1210,0,15,0,0,0,0,0,0,141,83,0,57195,8660,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_86",19.5,878.66,6.57,1,34743.71094,76106,1.42,0,32,18,22,60,53,27,544,105,12,7,70,4832,94,182,66,67,0,0,2684,0,637,0,1176,6,0,0,0,0,0,0,0,0,0,0,56582,8633,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_87",19.6,885.38,6.59,1,34498.74609,75733,1.4,0,9,0,11,57,46,15,538,45,0,0,32,5033,60,211,86,79,0,0,2513,0,822,0,1050,14,0,0,24,0,0,18,0,29,0,0,56234,8641,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_88",19.7,892.1,6.6,1,34272.26953,76280,1.31,0,0,0,11,28,7,41,527,53,7,21,28,5302,0,222,119,98,0,22,2577,0,719,0,1487,0,0,0,0,0,0,0,0,79,10,7,56283,8449,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_89",19.8,898.81,6.61,1,33844.24219,73628,1.49,0,31,15,7,60,42,58,427,102,25,0,47,3727,0,199,97,30,0,104,2411,39,713,0,1305,4,0,0,0,0,0,8,0,88,0,35,55499,8416,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_90",19.9,905.53,6.61,1,34196.43359,74842,1.2,0,0,10,0,58,55,38,465,30,0,0,21,4163,0,153,13,0,0,193,2621,0,746,0,1199,0,0,0,8,0,0,0,0,186,127,0,55833,8744,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_91",20,912.25,6.6,1,34455.875,75029,1.45,0,0,0,0,32,30,18,446,83,0,0,4,4072,0,128,83,95,0,129,2644,194,788,0,1387,0,7,0,0,0,0,38,0,255,272,0,55634,8484,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_92",20.1,919.09,6.61,1,33855.44922,73818,1.43,0,0,15,23,58,39,45,464,114,0,0,0,3705,0,178,20,0,0,69,2655,0,737,0,1157,9,0,0,0,0,0,0,0,0,47,0,55673,8613,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_93",20.2,925.93,6.62,1,34231.52344,74145,1.53,0,0,6,18,44,55,22,460,78,0,0,6,3776,34,183,90,52,0,176,2468,0,833,0,1109,15,0,0,0,0,0,0,0,54,12,0,56061,8419,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_94",20.3,932.77,6.61,1,34019.24219,74678,1.42,11,46,12,7,68,39,57,473,43,0,23,34,3603,131,127,84,130,0,61,2596,0,916,0,1257,0,6,0,8,0,0,0,0,0,48,0,56130,8574,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_95",20.4,939.61,6.61,1,34704.08594,76010,1.44,0,0,18,0,19,42,39,489,58,6,5,22,3756,63,241,70,57,0,151,2783,134,770,0,1019,12,0,0,0,0,0,0,0,220,255,0,56929,8720,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_96",20.5,946.45,6.61,1,35088.62109,76175,1.32,9,26,5,15,60,38,27,615,70,0,22,28,4101,5,223,139,85,0,110,2978,0,762,0,1339,4,0,0,0,0,4,0,0,69,152,122,56341,8717,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_97",20.6,953.29,6.62,1,34380.08984,74671,1.43,0,0,0,5,65,50,30,484,61,0,13,27,3450,47,187,99,71,0,168,2743,0,850,0,1172,7,5,0,0,0,0,41,0,10,0,26,56405,8520,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_98",20.7,960.13,6.63,1,34541.48438,74958,1.38,0,41,0,19,61,65,29,559,73,4,0,56,4025,76,202,140,52,0,47,2941,0,678,0,1326,0,11,0,0,0,0,0,0,129,0,0,55763,8486,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_99",20.8,966.97,6.63,1,33729.32813,72453,1.4,0,0,0,0,42,54,11,514,62,0,9,31,3069,68,170,0,52,0,117,2866,0,887,0,787,0,0,0,0,0,0,9,0,64,184,0,54941,8354,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_100",20.9,973.82,6.63,1,34536.81641,75585,1.45,53,19,0,13,59,75,51,523,53,0,23,7,3425,87,223,8,92,0,194,3142,0,835,0,1195,0,0,0,0,0,0,0,0,180,73,0,56334,8670,TRUE,"HER34L_1A"
"HER34L","HER34L_1A_101",21,980.66,6.62,1,34305.91797,74297,1.37,0,6,0,16,60,48,36,536,91,8,18,38,3877,9,185,151,138,0,0,3020,0,649,0,1136,0,0,0,0,0,0,0,0,0,45,6,55585,8488,TRUE,"HER34L_1A"
