"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Zn","Br","Rb","Sr","Mo_inc","Mo_coh","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER34L","HER34L_1A","HER34L_1A_146",25.5,1290.53,6.73,1,33174.97266,71252,1.82,-3.09970202723387,0.605706728831278,-1.11870055836729,-2.32651213900039,2.55132409498302,-3.1867134042235,2.37501662807625,-5.58460867702187,1.04870975625851,5.30054527801855,3.43493431967931,6.46054224158799,0.154785769151507,-2.05645202345514,-3.79036885028422,-1.73391682682908
"HER34L","HER34L_1A","HER34L_1A_147",25.6,1297.77,6.7,1,33932.12109,74049,1.31,-2.33606686659023,0.334792306185897,-1.47861663473901,-1.64291968603029,2.23815307335676,-1.48876900620303,1.84634671417963,-6.0737364848736,0.795277965792106,4.83747173364253,2.96806688527924,6.48508522727273,0.154199978096594,-0.871395411966264,-2.69330791936501,-1.82191250739874
"HER34L","HER34L_1A","HER34L_1A_148",25.7,1305.02,6.68,1,34025.71484,74018,1.33,-2.49205942690123,0.285451372543979,-1.09920766523518,-1.85297946761156,2.26039581912814,-1.02977915880342,1.82577950228506,-6.12964558662762,0.577216749975131,4.7757597837501,2.87906807749661,6.66450507769485,0.150048651526556,-1.41296260820205,-2.80254104452313,-1.38957843632108
"HER34L","HER34L_1A","HER34L_1A_149",25.8,1312.27,6.66,1,33484.05078,71907,1.35,-3.50410807565604,0.101389769518846,-2.08502389171316,-2.36201067504819,1.96648051183245,-1.71234860642798,1.73658017805536,-2.28033264403392,0.625174537927342,4.6718522318855,2.84234666365981,6.23141654978962,0.1604771550754,-1.47181653455805,-3.67267747953766,-2.2008609449796
"HER34L","HER34L_1A","HER34L_1A_150",25.9,1319.51,6.67,1,34547.00391,75041,1.61,-3.42480907683571,-0.0679119540701346,-1.67560922202645,-1.98972455154639,1.9959471369049,-2.01382210312545,1.53137003146449,-2.03851471571582,0.545482836716412,4.4953649611148,2.64222665711935,6.38043352266141,0.156729162124846,-1.79175946922805,-3.4064467375483,-1.61468726832024
"HER34L","HER34L_1A","HER34L_1A_151",26,1326.76,6.68,1,34469.81641,75197,1.48,-2.11060451256958,0.415124131738678,-1.78392028231453,-1.96296851376351,2.4872663709369,-2.33944608499842,2.04543361865786,-5.89479414648784,0.948955802518386,5.02189303909047,3.17306057719159,6.35301579979241,0.157405558480222,-0.333144446528538,-2.54689832581597,-2.21375387928743
"HER34L","HER34L_1A","HER34L_1A_152",26.1,1334.01,6.69,1,34541.27344,75632,1.24,-2.7389437674846,-0.0931067508839604,-2.10716553330094,-2.50632147221584,1.89555403359801,-1.80378455130606,1.39355256070188,-1.45933354895304,0.375629183283912,4.44819135850972,2.59572848805093,6.37611940298507,0.156835205992509,-0.643136759985284,-2.66824395070179,-2.02510719071651
"HER34L","HER34L_1A","HER34L_1A_153",26.2,1341.25,6.69,1,35005.88672,75695,1.22,-1.9918075944778,0.424779811332722,-1.97311546146565,-2.11195190631986,2.46909997021934,-3.88265796635009,1.99507781542955,-3.88265796635009,0.862274162013163,4.9655641020213,3.12539503394741,6.29820196765803,0.158775473561361,-0.0190481949706945,-2.4339506804163,-2.4149024854456
"HER34L","HER34L_1A","HER34L_1A_154",26.3,1348.5,6.69,1,34751.11719,75465,1.26,-2.84748378608972,-0.169892792472219,-2.40922885515857,-2.07045512154907,1.7440944463789,-2.0037637470504,1.47000432744659,-1.13368585833138,0.528395787588145,4.38752277545767,2.50449282378006,6.57405213270142,0.152113183743354,-0.447312218043665,-2.70118911072226,-2.2538768926786
"HER34L","HER34L_1A","HER34L_1A_155",26.4,1355.74,6.69,1,34617.48828,75648,1.39,-2.12737820651712,0.329357566304186,-2.08655621199686,-2.08655621199686,2.3223557514584,-1.26238076903051,1.99030303588422,-5.99857921742501,0.922092286823675,4.92933572558985,3.06800625090604,6.43290993071593,0.155450645317633,-0.0416726964005681,-2.47600187144504,-2.43432917504447
