"Site","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","S","Ca","Fe","Cu","Br","Sr","Zr","Mo_inc","Mo_coh"
"HER14L","HER14L_2A_66",8,629.48,7.01,1,30832,76421,1.41,44,256,2343,27,2929,550,1278,59164,8711
"HER14L","HER14L_2A_67",8.1,636.67,7,1,30773,76257,1.58,41,296,2283,70,2840,767,1224,58657,8987
"HER14L","HER14L_2A_68",8.2,643.87,7,1,30955,75912,1.55,53,277,2400,64,2626,657,1186,58702,9045
"HER14L","HER14L_2A_69",8.3,651.07,7.01,1,30883,75784,1.54,35,289,2284,104,2688,382,1373,58791,9041
"HER14L","HER14L_2A_70",8.4,658.26,7.01,1,30678,75995,1.58,36,301,2254,166,2917,489,1313,58450,8906
"HER14L","HER14L_2A_71",8.5,665.46,7.01,1,30806,75981,1.47,46,309,2208,100,2848,651,1226,58486,8888
"HER14L","HER14L_2A_72",8.6,672.66,7.02,1,30989,76510,1.52,57,333,2385,101,2919,511,1350,58663,8948
"HER14L","HER14L_2A_73",8.7,679.85,7.03,1,30783,76046,1.35,33,319,2143,113,2987,504,1346,58758,8870
"HER14L","HER14L_2A_74",8.8,687.05,7.05,1,30495,74936,1.4,16,364,2093,68,2792,591,1353,57795,8813
"HER14L","HER14L_2A_75",8.9,694.25,7.05,1,30225,74818,1.46,52,315,1883,108,2650,680,1381,57643,8805
"HER14L","HER14L_2A_76",9,701.44,7.05,1,30201,74943,1.49,34,337,2310,101,2839,525,1342,57933,8552
"HER14L","HER14L_2A_77",9.1,708.64,7.05,1,30153,74868,1.37,31,286,2198,101,2581,438,1445,58192,8770
"HER14L","HER14L_2A_78",9.2,715.84,7.06,1,30333,75031,1.43,27,318,2015,134,2728,523,1456,57710,8719
"HER14L","HER14L_2A_79",9.3,723.03,7.06,1,30420,75428,1.35,41,293,2271,106,2675,746,1213,58114,8833
"HER14L","HER14L_2A_80",9.4,730.23,7.05,1,30334,75810,1.48,38,344,2359,89,2435,517,1438,58443,8771
"HER14L","HER14L_2A_81",9.5,737.43,7.06,1,30050,75711,1.38,29,343,2083,109,2704,702,1362,58492,8909
"HER14L","HER14L_2A_82",9.6,744.62,7.06,1,30673,77587,1.63,60,598,2953,0,2664,700,1560,59085,8929
"HER14L","HER14L_2A_83",9.7,751.82,7.04,1,30401,75593,1.48,41,262,1920,157,2799,645,1145,58462,9021
"HER14L","HER14L_2A_84",9.8,759.02,7.06,1,30621,75573,1.27,34,226,1973,76,2574,492,1426,58897,8915
"HER14L","HER14L_2A_85",9.9,766.22,7.06,1,30561,75767,1.55,36,294,1957,137,2688,467,1323,58866,8915
"HER14L","HER14L_2A_86",10,769.53,7.04,1,30570,74511,1.55,26,305,1798,145,2712,336,1202,58146,8902
"HER14L","HER14L_2A_87",10.1,772.85,7.03,1,30825,75628,1.48,39,302,2034,95,2715,342,1358,58897,8833
"HER14L","HER14L_2A_88",10.2,776.16,7.03,1,30866,75253,1.29,59,294,1861,91,2813,502,1329,58548,8783
"HER14L","HER14L_2A_89",10.3,779.48,7.03,1,31025,76170,1.39,37,304,2094,134,2754,514,1383,58869,8999
"HER14L","HER14L_2A_90",10.4,782.79,7.03,1,31227,76695,1.45,40,357,2389,56,2746,391,1466,59545,8884
"HER14L","HER14L_2A_91",10.5,786.11,7.04,1,31230,76055,1.37,9,289,2494,63,2835,517,1122,59228,8836
"HER14L","HER14L_2A_92",10.6,789.42,7.04,1,31143,76566,1.41,28,315,2047,76,2808,502,1331,59327,8889
"HER14L","HER14L_2A_93",10.7,792.74,7.04,1,30490,73817,1.39,42,287,1898,63,2366,548,1330,57966,8564
"HER14L","HER14L_2A_94",10.8,796.05,7.01,1,30593,73364,1.41,18,255,1957,84,2665,437,1201,57352,8555
"HER14L","HER14L_2A_95",10.9,799.37,7.01,1,31378,75635,1.35,66,321,2214,74,2904,477,1069,58468,8687
"HER14L","HER14L_2A_96",11,802.68,7.02,1,31110,75502,1.59,33,366,2543,156,2789,543,1078,57753,8765
"HER14L","HER14L_2A_97",11.1,806,7.02,1,30003,71159,1.35,13,400,2515,128,2527,398,1278,54856,8216
"HER14L","HER14L_2A_98",11.2,809.31,7.03,1,28616,67455,1.26,36,413,2146,184,2424,760,1105,51203,8108
"HER14L","HER14L_2A_99",11.3,812.63,7.01,1,26045,63132,1.31,51,795,4034,19,2487,1252,1010,44766,7097
"HER14L","HER14L_2A_111",12.5,852.41,7.07,1,25017,62684,1.52,32,704,3957,70,1646,2153,896,43059,8358
"HER14L","HER14L_2A_112",12.6,855.72,7.07,1,27235,67196,1.32,49,561,3456,121,2051,1752,1093,47919,8740
"HER14L","HER14L_2A_113",12.7,859.04,7.07,1,28160,68558,1.34,46,457,2760,51,2414,1279,1158,50837,8242
"HER14L","HER14L_2A_114",12.8,862.35,7.07,1,28358,70768,1.29,35,427,2237,0,2391,1296,1212,53213,8540
"HER14L","HER14L_2A_115",12.9,865.67,7.07,1,28704,71695,1.33,45,428,2562,98,2352,1078,1206,54215,8621
"HER14L","HER14L_2A_116",13,868.98,7.07,1,29217,72283,1.43,42,421,2798,86,2263,985,1125,54809,8710
"HER14L","HER14L_2A_117",13.1,872.3,7.07,1,29489,73248,1.4,52,455,2750,138,2329,978,1261,55136,8880
"HER14L","HER14L_2A_118",13.2,875.61,7.08,1,29799,74529,1.35,27,535,2857,95,2441,933,1382,56269,9089
"HER14L","HER14L_2A_119",13.3,878.93,7.08,1,29762,75012,1.28,32,601,3586,113,2423,954,1237,55925,8672
"HER14L","HER14L_2A_120",13.4,882.24,7.09,1,29874,72720,1.38,45,451,2452,43,2391,830,979,56216,8456
"HER14L","HER14L_2A_121",13.5,885.56,7.09,1,29970,74660,1.67,77,480,2572,96,2616,887,1206,56921,8509
"HER14L","HER14L_2A_122",13.6,888.87,7.09,1,29984,74482,1.28,52,483,2710,32,2447,904,1183,57254,8483
"HER14L","HER14L_2A_123",13.7,892.19,7.09,1,30104,74442,1.26,52,435,2371,125,2433,905,1232,57046,8784
"HER14L","HER14L_2A_124",13.8,895.5,7.08,1,30368,75844,1.47,79,446,3179,127,2571,775,1240,57651,8735
"HER14L","HER14L_2A_125",13.9,898.82,7.09,1,30483,76847,1.27,57,365,4581,90,2399,779,1207,57191,8886
"HER14L","HER14L_2A_126",14,902.13,7.09,1,30637,77264,1.24,68,450,4994,104,2452,842,1279,57322,8617
"HER14L","HER14L_2A_127",14.1,905.45,7.09,1,30752,77246,1.39,76,430,4997,53,2664,628,1230,57513,8766
"HER14L","HER14L_2A_128",14.2,908.76,7.1,1,30946,78012,1.47,56,354,5716,59,2414,588,1228,57654,8888
"HER14L","HER14L_2A_129",14.3,912.08,7.12,1,30734,77567,1.46,74,341,6177,73,2341,550,1066,57142,8844
"HER14L","HER14L_2A_130",14.4,915.39,7.12,1,30876,77740,1.59,74,373,6082,45,2454,443,1307,57366,8758
"HER14L","HER14L_2A_131",14.5,918.71,7.13,1,31134,78008,1.6,65,376,5396,49,2583,753,1216,57958,8862
"HER14L","HER14L_2A_132",14.6,922.02,7.13,1,30912,78226,1.37,80,397,5161,109,2431,681,1294,58450,8780
"HER14L","HER14L_2A_133",14.7,925.34,7.13,1,31109,77936,1.49,40,364,5062,59,2428,564,1247,58460,8644
"HER14L","HER14L_2A_134",14.8,928.65,7.13,1,31275,77385,1.45,70,398,4519,76,2308,534,1246,58631,8561
"HER14L","HER14L_2A_135",14.9,931.97,7.15,1,31242,76912,1.42,52,331,4991,107,2104,358,1295,58077,8801
"HER14L","HER14L_2A_136",15,935.28,7.15,1,30982,78085,1.36,57,331,4344,169,2514,546,1152,58818,8833
"HER14L","HER14L_2A_137",15.1,938.6,7.14,1,30997,76938,1.32,51,390,4363,181,2365,810,1361,57775,8696
"HER14L","HER14L_2A_138",15.2,941.91,7.15,1,30814,76642,1.57,63,340,4214,45,2246,524,1172,58261,8717
"HER14L","HER14L_2A_139",15.3,945.23,7.16,1,30768,76180,1.42,62,304,3694,128,2225,585,1336,58140,8696
"HER14L","HER14L_2A_140",15.4,948.54,7.16,1,30888,76459,1.57,44,305,3464,78,2197,672,1285,58390,8928
"HER14L","HER14L_2A_141",15.5,951.86,7.16,1,31104,75963,1.5,27,347,3465,71,2231,451,1099,58878,8563
"HER14L","HER14L_2A_142",15.6,955.17,7.18,1,30973,75777,1.21,40,390,3074,158,2491,809,1217,58384,8439
"HER14L","HER14L_2A_143",15.7,958.49,7.19,1,31000,75111,1.48,62,296,3001,61,2491,511,1130,58293,8469
"HER14L","HER14L_2A_144",15.8,961.8,7.2,1,31142,76306,1.57,48,377,2986,47,2463,553,1149,58791,8876
"HER14L","HER14L_2A_145",15.9,965.12,7.2,1,31202,76139,1.43,46,415,3069,94,2631,476,1191,58361,8705
"HER14L","HER14L_2A_146",16,968.43,7.21,1,31061,76713,1.56,48,456,2747,140,2426,763,1369,59157,8563
"HER14L","HER14L_2A_147",16.1,971.75,7.22,1,30816,75343,1.63,41,406,3019,107,2655,608,1295,57733,8412
"HER14L","HER14L_2A_148",16.2,975.06,7.23,1,30796,75971,1.22,62,454,3102,64,2284,529,1392,58098,9087
"HER14L","HER14L_2A_149",16.3,978.38,7.23,1,30594,75100,1.33,53,436,3267,54,2397,688,1120,57368,8835
"HER14L","HER14L_2A_150",16.4,981.69,7.23,1,30625,75768,1.36,35,397,3370,111,2218,506,1443,57907,8760
"HER14L","HER14L_2A_151",16.5,985.01,7.23,1,30912,76774,1.35,35,405,4094,53,2550,795,1195,58018,8803
"HER14L","HER14L_2A_152",16.6,988.32,7.24,1,30856,78091,1.29,40,481,4569,98,2602,943,1213,57954,8783
"HER14L","HER14L_2A_153",16.7,991.64,7.25,1,30418,76226,1.35,62,402,3542,109,2317,820,1254,57707,9006
"HER14L","HER14L_2A_154",16.8,994.95,7.26,1,30595,76134,1.29,50,347,3705,98,2478,665,1189,57742,8743
"HER14L","HER14L_2A_155",16.9,998.27,7.26,1,30752,76661,1.61,40,380,4304,110,2575,542,1218,57968,8637
"HER14L","HER14L_2A_156",17,1001.58,7.27,1,30786,77216,1.23,39,375,4019,111,2707,892,1211,57921,8758
"HER14L","HER14L_2A_157",17.1,1004.9,7.26,1,30656,76239,1.47,58,378,3946,103,2523,733,1133,57611,8813
"HER14L","HER14L_2A_158",17.2,1008.21,7.26,1,30665,75569,1.4,74,409,3865,75,2360,615,1193,57595,8617
"HER14L","HER14L_2A_159",17.3,1011.53,7.27,1,30794,77985,1.43,70,397,5610,183,2455,646,1334,57383,8772
"HER14L","HER14L_2A_160",17.4,1014.84,7.26,1,30881,77575,1.44,74,411,4457,39,2622,718,1397,58224,8713
"HER14L","HER14L_2A_161",17.5,1018.16,7.26,1,30884,76608,1.35,64,390,4630,129,2740,767,1295,57460,8449
"HER14L","HER14L_2A_162",17.6,1021.47,7.26,1,31022,77663,1.47,77,480,4595,98,2673,884,1259,58381,8378
"HER14L","HER14L_2A_163",17.7,1024.79,7.27,1,30909,78230,1.59,68,443,4566,56,2493,736,1464,58308,8905
"HER14L","HER14L_2A_164",17.8,1028.1,7.27,1,31107,77499,1.44,72,476,4813,88,2588,647,1336,57554,8780
"HER14L","HER14L_2A_165",17.9,1031.42,7.27,1,30866,77468,1.27,45,478,4943,87,2616,800,1256,57697,8685
"HER14L","HER14L_2A_166",18,1034.73,7.25,1,30840,77644,1.39,42,478,4639,132,2672,781,1456,57331,8788
"HER14L","HER14L_2A_167",18.1,1038.05,7.25,1,30826,76033,1.34,66,434,4728,38,2440,689,1037,56949,8658
"HER14L","HER14L_2A_168",18.2,1041.36,7.26,1,30626,76378,1.53,57,458,4976,111,2519,764,1233,56436,8874
"HER14L","HER14L_2A_169",18.3,1044.68,7.26,1,30715,76379,1.27,89,432,4732,32,2553,742,1193,56961,8725
"HER14L","HER14L_2A_170",18.4,1047.99,7.27,1,30702,76887,1.29,80,371,5161,40,2439,646,1435,56807,8895
"HER14L","HER14L_2A_171",18.5,1051.31,7.27,1,30712,77045,1.53,70,402,5255,55,2502,591,1187,57190,8800
"HER14L","HER14L_2A_172",18.6,1054.62,7.28,1,30896,77249,1.35,49,420,5527,106,2384,673,1154,57162,8983
"HER14L","HER14L_2A_173",18.7,1057.94,7.28,1,31146,78559,1.32,41,410,5756,106,2428,637,1203,57887,9048
"HER14L","HER14L_2A_174",18.8,1061.25,7.28,1,31194,78566,1.4,50,402,6175,84,2632,682,1235,57836,8791
"HER14L","HER14L_2A_175",18.9,1064.57,7.3,1,31113,79360,1.42,82,378,6393,53,2545,882,1364,57993,8759
"HER14L","HER14L_2A_176",19,1067.88,7.29,1,31057,77957,1.36,59,382,6373,0,2647,729,1061,57069,8521
"HER14L","HER14L_2A_177",19.1,1071.2,7.29,1,31307,78440,1.46,83,374,6332,75,2569,500,1404,57263,8843
"HER14L","HER14L_2A_178",19.2,1074.51,7.3,1,30942,77265,1.42,61,469,6050,57,2557,595,1195,56522,8638
"HER14L","HER14L_2A_179",19.3,1077.83,7.31,1,30849,77829,1.42,76,452,6273,70,2790,733,1235,56928,8491
"HER14L","HER14L_2A_180",19.4,1081.14,7.32,1,30963,77939,1.5,61,437,6155,83,2654,696,1195,57010,8781
"HER14L","HER14L_2A_181",19.5,1084.46,7.32,1,30943,76722,1.29,71,469,5006,82,2519,563,1277,57059,8684
"HER14L","HER14L_2A_182",19.6,1087.77,7.33,1,31216,78368,1.43,83,494,5929,25,2644,628,1390,57270,8693
"HER14L","HER14L_2A_183",19.7,1091.09,7.33,1,30676,76118,1.34,48,509,5664,71,2447,753,1207,55946,8457
"HER14L","HER14L_2A_184",19.8,1094.4,7.32,1,30594,75886,1.39,71,450,4745,82,2607,720,1291,56241,8739
"HER14L","HER14L_2A_185",19.9,1097.72,7.32,1,30498,76221,1.46,62,407,4722,99,2697,817,1275,56649,8461
"HER14L","HER14L_2A_186",20,1101.17,7.34,1,30818,78094,1.34,55,393,6200,100,2516,679,1265,57275,8811
"HER14L","HER14L_2A_187",20.1,1104.63,7.33,1,30734,79527,1.23,43,341,7565,132,2483,688,1298,56986,8712
"HER14L","HER14L_2A_188",20.2,1108.08,7.34,1,30868,79541,1.44,61,377,6878,220,2390,688,1192,57705,8862
"HER14L","HER14L_2A_189",20.3,1111.54,7.35,1,30892,79432,1.29,64,398,7160,97,2383,642,1440,57407,8556
"HER14L","HER14L_2A_190",20.4,1115,7.35,1,30891,78761,1.25,50,360,6599,125,2440,515,1320,57146,9019
"HER14L","HER14L_2A_191",20.5,1118.45,7.36,1,30900,78804,1.36,72,394,5984,78,2780,626,1361,57917,8614
"HER14L","HER14L_2A_192",20.6,1121.91,7.37,1,30815,77714,1.39,63,375,5177,86,2648,736,1234,57404,8756
"HER14L","HER14L_2A_193",20.7,1125.36,7.38,1,30926,77793,1.26,62,389,4860,101,2450,661,1229,58263,8767
"HER14L","HER14L_2A_194",20.8,1128.82,7.38,1,30882,77671,1.66,91,411,4588,54,2601,929,1394,57816,8702
"HER14L","HER14L_2A_195",20.9,1132.27,7.38,1,31011,77381,1.47,50,463,4567,95,2728,683,1387,57825,8758
"HER14L","HER14L_2A_196",21,1135.73,7.38,1,30774,76321,1.48,92,432,4222,83,2545,546,1294,57587,8628
"HER14L","HER14L_2A_197",21.1,1139.18,7.39,1,30684,76672,1.31,55,390,4567,130,2678,788,1170,57370,8638
"HER14L","HER14L_2A_198",21.2,1142.64,7.38,1,30734,77107,1.78,80,472,4762,91,2642,538,1257,57253,8701
"HER14L","HER14L_2A_199",21.3,1146.09,7.39,1,30746,77992,1.32,71,510,5296,157,2883,714,1330,57129,8801
"HER14L","HER14L_2A_200",21.4,1149.55,7.4,1,30055,75729,1.34,67,494,5260,125,2926,943,1121,55100,8445
"HER14L","HER14L_2A_201",21.5,1153,7.4,1,29521,73937,1.53,64,469,5843,155,2900,813,1162,53485,8239
"HER14L","HER14L_2A_202",21.6,1156.46,7.4,1,28474,70244,1.45,58,498,6432,124,2950,1095,958,49281,7972
"HER14L","HER14L_2A_203",21.7,1159.91,7.4,1,26493,65967,1.31,68,638,5877,125,2582,1332,928,45585,7871
"HER14L","HER14L_2A_204",21.8,1163.37,7.41,1,24906,63066,1.48,85,830,5831,86,1802,1783,984,42180,8247
"HER14L","HER14L_2A_205",21.9,1166.82,7.4,1,26060,69414,1.25,74,910,7714,137,1935,2144,1297,44725,9170
"HER14L","HER14L_2A_206",22,1170.28,7.4,1,27016,71126,1.19,36,642,7464,72,1970,1806,1025,48025,8641
"HER14L","HER14L_2A_207",22.1,1173.73,7.41,1,28877,75122,1.59,46,449,6437,81,2311,1228,1032,53363,9145
"HER14L","HER14L_2A_208",22.2,1177.19,7.42,1,29148,76337,1.32,57,568,6548,119,2300,1327,1119,54166,8672
"HER14L","HER14L_2A_209",22.3,1180.64,7.43,1,29556,77334,1.43,70,488,7018,82,2429,967,1267,54982,8918
"HER14L","HER14L_2A_210",22.4,1184.1,7.43,1,29742,78705,1.35,53,420,7951,89,2568,1194,1343,55223,8753
"HER14L","HER14L_2A_211",22.5,1187.55,7.43,1,30154,78983,1.71,59,438,7349,112,2456,847,1210,56553,8913
"HER14L","HER14L_2A_212",22.6,1191.01,7.43,1,30402,78315,1.28,96,474,6950,110,2820,910,1211,56172,8480
"HER14L","HER14L_2A_213",22.7,1194.46,7.44,1,30296,78825,1.63,67,524,6841,78,2746,682,1230,56226,8976
"HER14L","HER14L_2A_214",22.8,1197.92,7.44,1,29971,76945,1.5,38,466,6767,122,2629,866,1284,54720,9031
"HER14L","HER14L_2A_215",22.9,1201.37,7.45,1,29882,76529,1.38,91,575,6640,79,2789,875,1421,54661,8572
"HER14L","HER14L_2A_216",23,1204.83,7.44,1,29954,76653,1.35,64,607,6256,116,2684,770,1120,55285,8365
"HER14L","HER14L_2A_217",23.1,1208.28,7.45,1,29806,75895,1.22,74,532,6643,91,2792,1135,1267,53812,8282
"HER14L","HER14L_2A_218",23.2,1211.74,7.45,1,29432,74846,1.38,83,540,7102,137,2430,898,1283,53057,8362
"HER14L","HER14L_2A_219",23.3,1215.19,7.46,1,28573,73263,1.33,74,634,6583,84,2505,1023,1137,52042,8116
"HER14L","HER14L_2A_220",23.4,1218.65,7.46,1,27856,73264,1.43,58,609,7261,359,2171,1045,1043,50825,8385
"HER14L","HER14L_2A_221",23.5,1222.1,7.46,1,27630,74479,1.29,71,613,9540,69,2164,1146,931,49867,8724
"HER14L","HER14L_2A_222",23.6,1225.56,7.46,1,27330,71656,1.36,76,645,7425,111,2452,1184,1096,49441,8255
"HER14L","HER14L_2A_223",23.7,1229.01,7.47,1,26480,69586,1.33,83,677,7128,133,2152,1445,1025,47398,8219
"HER14L","HER14L_2A_224",23.8,1232.47,7.47,1,26422,68923,1.23,83,695,6776,0,2188,1548,1195,47053,8544
"HER14L","HER14L_2A_225",23.9,1235.92,7.47,1,25722,67919,1.22,63,803,7775,156,2185,1722,889,45174,7834
"HER14L","HER14L_2A_226",24,1239.38,7.47,1,24078,64022,1.25,77,850,7414,45,1718,1540,1049,42287,7716
"HER14L","HER14L_2A_228",24.2,1246.29,7.48,1,23139,61952,1.28,78,1078,8340,52,1373,2458,781,38491,7753
"HER14L","HER14L_2A_229",24.3,1249.74,7.48,1,24348,64846,1.32,93,842,8232,46,1996,2073,951,40962,8060
"HER14L","HER14L_2A_230",24.4,1253.2,7.49,1,24406,63557,1.18,65,720,7119,34,1684,2224,1020,41522,8280
"HER14L","HER14L_2A_231",24.5,1256.65,7.49,1,25480,66718,1.28,104,615,6977,167,2086,1920,1029,43988,8591
"HER14L","HER14L_2A_232",24.6,1260.11,7.5,1,26878,68708,1.32,86,641,5865,36,2211,1887,1085,47614,8166
