Site,label,ID,depth,SH20_age,surface,validity,kcps,cps,MSE,K,Ca,Ti,Fe,Br,Sr,Mo_inc,Mo_coh,inc_coh,coh_inc,LnK_Ti,LnK_Ca,LnTi_Ca
HER14L,HER14L_2A,HER14L_2A_34,4.8,399.18,6.9,1,30715,76955,1.64,-3.260995407,-1.290392645,-3.366355922,1.508205066,0.897887677,-0.632710174,4.010934126,2.133427278,6.537815126,0.152956298,0.108213585,-1.992430165,-2.100643749
HER14L,HER14L_2A,HER14L_2A_35,4.9,406.37,6.91,1,30887,77949,1.64,-3.408002006,-1.228019235,-2.652723044,1.462093266,0.794008106,-0.889478745,3.893941359,2.028180299,6.461461126,0.154763757,-0.769133088,-2.203055498,-1.43392241
HER14L,HER14L_2A,HER14L_2A_36,5,413.57,6.91,1,31266,79304,1.41,-3.543204448,-1.204901273,-2.722223896,1.536504522,0.826626913,-0.899827458,3.943425851,2.063599789,6.552983081,0.152602256,-0.83832919,-2.366146574,-1.527817384
HER14L,HER14L_2A,HER14L_2A_37,5.1,420.77,6.91,1,31490,80898,1.34,-3.976793433,-1.088950122,-2.763770793,1.587726974,0.840551273,-0.548688599,3.927105057,2.022819642,6.715251945,0.14891474,-1.245937003,-2.931828472,-1.685891468
HER14L,HER14L_2A,HER14L_2A_38,5.2,427.96,6.92,1,30994,79097,1.39,-3.134667533,-1.237547548,-3.116318394,1.528422094,0.727620418,-0.61190625,3.841524908,2.002872306,6.288635128,0.159017017,-0.018692133,-1.913030475,-1.894338342
HER14L,HER14L_2A,HER14L_2A_39,5.3,435.16,6.91,1,30916,79129,1.33,-3.861967152,-1.119837637,-2.737037555,1.567904654,0.812355893,-0.585577421,3.88754495,2.036614268,6.366330114,0.157076366,-1.15267951,-2.780370863,-1.627691353
HER14L,HER14L_2A,HER14L_2A_40,5.4,442.36,6.91,1,31181,77897,1.54,-3.398695445,-1.2206233,-2.657920215,1.41724943,0.787256961,-0.747516755,3.857309138,1.962940186,6.648998283,0.150398595,-0.753771802,-2.199998504,-1.446226702
HER14L,HER14L_2A,HER14L_2A_41,5.5,449.55,6.9,1,31270,78539,1.37,-4.034487621,-0.925922817,-2.765976296,1.556292041,0.981687853,-1.038755348,4.051272871,2.175889316,6.523937061,0.153281675,-1.309921382,-3.163238745,-1.853317362
HER14L,HER14L_2A,HER14L_2A_42,5.6,456.75,6.91,1,31060,77557,1.55,-3.909322121,-1.136733398,-2.828409409,1.511445735,1.009120935,-1.013119442,4.12293546,2.244082241,6.546614438,0.152750709,-1.116961427,-2.823361048,-1.70639962
HER14L,HER14L_2A,HER14L_2A_43,5.7,463.95,6.91,1,31215,77964,1.26,-3.820372419,-1.13155358,-3.03625346,1.358732319,1.026061859,-0.722857451,4.128601413,2.19764132,6.896811594,0.144994536,-0.810930216,-2.734367509,-1.923437293
HER14L,HER14L_2A,HER14L_2A_44,5.8,471.15,6.91,1,31509,78205,1.32,-4.266536881,-1.139776345,-2.60513923,1.315956419,0.959568151,-0.40370412,4.009128126,2.130503879,6.545111111,0.152785794,-1.717651497,-3.192825148,-1.475173651
HER14L,HER14L_2A,HER14L_2A_45,5.9,478.34,6.92,1,31439,76924,1.5,-3.761804122,-1.317719466,-2.405968968,1.297494344,0.928442237,-0.834350689,3.993671786,2.100234878,6.642800228,0.150538924,-1.386294361,-2.481428385,-1.095134024
HER14L,HER14L_2A,HER14L_2A_46,6,485.54,6.91,1,31313,77197,1.48,-3.343961878,-1.264520336,-2.929018026,1.214416147,0.926734074,-0.910348522,4.087016148,2.219682393,6.471619549,0.154520826,-0.424883194,-2.104851257,-1.679968063
HER14L,HER14L_2A,HER14L_2A_47,6.1,492.74,6.91,1,31298,77244,1.45,-4.094746731,-1.194012186,-2.662642834,1.24459261,1.028472924,-0.674972964,4.117889471,2.235419708,6.570330772,0.152199339,-1.481604541,-2.961830722,-1.480226181
HER14L,HER14L_2A,HER14L_2A_48,6.2,499.93,6.91,1,31053,76407,1.47,-3.157310389,-1.258065005,-2.638010138,0.996907575,0.871076206,-0.880588806,3.96958042,2.096410137,6.509511625,0.153621356,-0.52806743,-1.917561794,-1.389494364
HER14L,HER14L_2A,HER14L_2A_49,6.3,507.13,6.91,1,31103,77292,1.49,-3.396571188,-1.213787295,-3.192972233,1.10036698,1.055146999,-0.787925559,4.166110059,2.269632236,6.663019205,0.150082113,-0.209720531,-2.211930725,-2.002210194
HER14L,HER14L_2A,HER14L_2A_50,6.4,514.33,6.93,1,31433,77743,1.43,-3.816998036,-0.9600055,-2.564235068,1.293619701,1.002183218,-1.252048679,4.081396178,2.216088186,6.458519568,0.154834245,-1.286210903,-2.900898171,-1.614687268
HER14L,HER14L_2A,HER14L_2A_51,6.5,521.52,6.94,1,31641,76991,1.27,-3.258373846,-1.271502339,-2.615237086,1.100833421,0.900128067,-0.977984485,4.0154463,2.106689968,6.745350827,0.148250258,-0.654925968,-2.008214032,-1.353288065
HER14L,HER14L_2A,HER14L_2A_52,6.6,528.72,6.94,1,31057,75821,1.67,-3.612893112,-0.926407089,-2.377421641,1.112368554,0.979394448,-1.584744865,4.146430894,2.263272811,6.574859708,0.1520945,-1.264597426,-2.724579503,-1.459982077
HER14L,HER14L_2A,HER14L_2A_53,6.7,535.92,6.95,1,31055,75300,1.39,-3.447034793,-1.052174424,-2.721097789,1.031059311,0.991293407,-1.168059565,4.130035933,2.23597792,6.646925346,0.150445499,-0.743578034,-2.425717778,-1.682139744
HER14L,HER14L_2A,HER14L_2A_54,6.8,543.11,6.94,1,31052,75922,1.46,-3.727923404,-1.225804625,-2.24253814,0.958058425,1.002042211,-0.99518059,4.077805875,2.153540248,6.850796604,0.145968426,-1.518466134,-2.541259586,-1.022793452
HER14L,HER14L_2A,HER14L_2A_55,6.9,550.31,6.95,1,30826,76035,1.3,-3.839451996,-1.063579199,-2.673017111,1.108561068,1.102190426,-1.127899165,4.200163693,2.293032283,6.7344,0.148491328,-1.203972804,-2.826655944,-1.622683139
HER14L,HER14L_2A,HER14L_2A_56,7,557.51,6.96,1,30781,75970,1.47,-3.496369262,-1.277867286,-2.710848761,0.858269599,0.992629492,-0.546849831,4.049668167,2.131367881,6.810048735,0.146841827,-0.803495238,-2.247776856,-1.444281619
HER14L,HER14L_2A,HER14L_2A_57,7.1,564.7,6.95,1,30801,75881,1.26,-4.500106763,-1.084203234,-2.463224836,1.020909611,1.128712673,-0.770405315,4.287469736,2.380848128,6.730966785,0.148567068,-2.140066163,-3.530030254,-1.38996409
HER14L,HER14L_2A,HER14L_2A_58,7.2,571.9,6.96,1,30897,76095,1.54,-3.380747434,-1.31705425,-2.48977451,0.946278384,1.037716597,-1.187001121,4.136093838,2.254488498,6.564654692,0.152330937,-0.909818217,-2.091465735,-1.181647517
HER14L,HER14L_2A,HER14L_2A_59,7.3,579.1,6.95,1,30855,76646,1.73,-3.353149682,-1.328196325,-2.999509642,1.085572297,1.080908611,-0.838390069,4.128474306,2.224290504,6.714580468,0.148929632,-0.362905494,-2.051716994,-1.6888115
HER14L,HER14L_2A,HER14L_2A_60,7.4,586.29,6.96,1,30769,76079,1.28,-3.799977983,-1.227729323,-2.487791594,1.152153454,1.015298759,-1.060675239,4.13368234,2.275039586,6.415617128,0.155869651,-1.348073148,-2.617395833,-1.269322685
HER14L,HER14L_2A,HER14L_2A_61,7.5,593.49,6.96,1,30772,75817,1.56,-3.654071884,-1.229596973,-2.555459595,0.926350133,0.861254635,-0.516968657,4.031358934,2.137133406,6.648037108,0.15042034,-1.123930097,-2.458931163,-1.335001067
HER14L,HER14L_2A,HER14L_2A_62,7.6,600.69,6.97,1,31095,77749,1.43,-3.593604066,-1.240588119,-2.684233777,0.932672177,0.947487263,-0.552371105,4.035617727,2.1550199,6.558034733,0.152484706,-0.930475367,-2.384823191,-1.454347824
HER14L,HER14L_2A,HER14L_2A_63,7.7,607.89,6.99,1,31291,78698,1.56,-3.10951367,-1.178596306,-3.130567079,0.821903382,0.999308911,-0.615963924,4.014159115,2.199269571,6.140927835,0.162841842,0.021506205,-1.948945053,-1.970451258
