"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","S","Cl","K","Ca","Ti","Mn","Fe","Co","Ni","Zn","Br","Rb","Sr","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER42L","HER42L_1E","HER42L_1E_124",169.3,2711.17,7.39,1,30904,76302,1.59,0.953846153846154,3.07692307692308,1.24615384615385,6.69230769230769,1,0.261538461538462,28.9692307692308,0.692307692307692,3.03076923076923,1.52307692307692,56.9846153846154,NA,7.24615384615385,893.646153846154,137.446153846154,67021,6.50179091112604,0.153803777092981,0.220061884776802,-1.68089687641625,-1.90095876119305
"HER42L","HER42L_1E","HER42L_1E_125",169.4,2712.03,7.39,1,31226,77783,1.39,0.925925925925926,2.54320987654321,0.654320987654321,6.40740740740741,1,0.555555555555556,32.6913580246914,NA,2.28395061728395,0.987654320987654,44.9876543209877,NA,7.67901234567901,724.444444444444,110.074074074074,67596,6.5814266487214,0.151942740286299,-0.424157241120317,-2.28161196961377,-1.85745472849345
"HER42L","HER42L_1E","HER42L_1E_126",169.5,2712.9,7.39,1,30638,75428,1.37,1.03174603174603,2.46031746031746,0.253968253968254,6.61904761904762,1,0.317460317460317,31.1269841269841,0.825396825396825,3.38095238095238,1.25396825396825,54.2063492063492,1.66666666666667,9.55555555555556,913.301587301587,137.555555555556,66204,6.63951073159474,0.150613507594981,-1.37054600415175,-3.26049749955902,-1.88995149540727
"HER42L","HER42L_1E","HER42L_1E_127",169.6,2713.77,7.39,1,31098,75135,1.47,3.1875,7.0625,1.1875,14.65625,1,0.71875,53.21875,0.5625,5.8125,3.40625,120.65625,NA,16.59375,1780.125,272.125,65672,6.5415709692237,0.152868478337195,0.171850256926659,-2.51301660871989,-2.68486686564655
"HER42L","HER42L_1E","HER42L_1E_128",169.7,2714.64,7.38,1,30178,73709,1.55,1.93617021276596,3.4468085106383,0.978723404255319,11.3829787234043,1,0.595744680851064,30.468085106383,0.936170212765957,4.68085106382979,0.361702127659574,73.6382978723404,NA,15.7234042553191,1193.1914893617,187.106382978723,64874,6.37707527859904,0.156811697574893,-0.0215062052209636,-2.45362535040691,-2.43211914518595
"HER42L","HER42L_1E","HER42L_1E_129",169.8,2715.51,7.38,1,30686,75715,1.35,2.24242424242424,4.39393939393939,0.121212121212121,13.4242424242424,1,NA,58.1212121212121,2.84848484848485,6.84848484848485,3.21212121212121,105.636363636364,NA,23.6969696969697,1743.69696969697,266.484848484848,66336,6.5433249943143,0.152827499913107,-2.11021320034659,-4.70727540892524,-2.59706220857866
"HER42L","HER42L_1E","HER42L_1E_130",169.9,2716.38,7.37,1,31274,76375,1.49,1.546875,3.328125,0.53125,7.15625,1,0.515625,35.796875,1.171875,3.59375,1.359375,56.78125,NA,9.546875,899.515625,140.234375,66544,6.41437325905293,0.155899876669735,-0.63252255874351,-2.60050865949802,-1.96798610075451
"HER42L","HER42L_1E","HER42L_1E_131",170,2717.24,7.38,1,29877,74004,1.36,1.8936170212766,3.02127659574468,0.702127659574468,7.95744680851064,1,0.638297872340426,42.7446808510638,2.93617021276596,3.87234042553191,1.19148936170213,64.6170212765958,NA,9.53191489361702,1200.59574468085,188.744680851064,65299,6.36095141472213,0.157209186928475,-0.353640040243578,-2.42774823594805,-2.07410819570447
"HER42L","HER42L_1E","HER42L_1E_132",170.1,2718.1,7.38,1,30338,73631,1.47,1.80434782608696,3.73913043478261,1.02173913043478,8.97826086956522,1,0.869565217391304,29.3260869565217,2.30434782608696,4.45652173913043,1.17391304347826,66.6739130434783,NA,8.84782608695652,1236.80434782609,190.304347826087,65647,6.49908613205392,0.153867786898212,0.0215062052209637,-2.17329999125097,-2.19480619647194
"HER42L","HER42L_1E","HER42L_1E_133",170.2,2718.96,7.37,1,30563,73845,1.46,1.625,3.39583333333333,0.854166666666667,6.77083333333333,1,NA,33.9583333333333,1.64583333333333,4.14583333333333,2.60416666666667,56.75,NA,9.125,1197.25,180.916666666667,66152,6.61768770152004,0.151110183058398,-0.157628944203583,-2.07025311562543,-1.91262417142185
"HER42L","HER42L_1E","HER42L_1E_134",170.3,2719.82,7.37,1,31082,75058,1.49,1.45454545454545,2.87878787878788,0.939393939393939,6.74242424242424,1,0.651515151515151,33.030303030303,NA,2.65151515151515,0.818181818181818,43.8484848484849,1.66666666666667,8.07575757575758,876.363636363636,129.969696969697,66418,6.74283049661926,0.148305670816044,-0.0625203569813339,-1.97093989712115,-1.90841954013981
"HER42L","HER42L_1E","HER42L_1E_135",170.4,2720.68,7.38,1,29885,72524,1.29,5.42857142857143,8.04761904761905,1.66666666666667,20.952380952381,1,NA,63.3809523809524,NA,6.04761904761905,NA,138.904761904762,10.7142857142857,30.1428571428571,2665.95238095238,402.142857142857,64430,6.62936648904677,0.150843976065017,0.510825623765991,-2.53142666542289,-3.04225228918888
"HER42L","HER42L_1E","HER42L_1E_136",170.5,2721.53,7.38,1,29543,70654,1.47,2.82758620689655,5.68965517241379,1.55172413793103,13.5172413793103,1,0.724137931034483,39.1724137931034,1.06896551724138,6.93103448275862,3.31034482758621,103.379310344828,1.27586206896552,13.8965517241379,1899.58620689655,283.827586206897,63319,6.692746932329,0.149415480685449,0.439366659783846,-2.16459935002014,-2.60396600980399
