"Site","label","depth","min_age","max_age","median_age","mean_age","Density","Dry_den"
"HER42PB_WD","HER42PB1A",37.7,155.05,464.98,333.91,327.25,1.596457218,0.587799686
"HER42PB_WD","HER42PB1A",39,164.56,477.14,347.68,340.68,1.548451535,0.661380611
"HER42PB_WD","HER42PB1A",40.4,178.23,490.47,362.47,354.9,1.58526554,0.622673978
"HER42PB_WD","HER42PB1A",41.7,204.19,493.46,375.71,367.52,1.796507878,0.743284189
"HER42PB_WD","HER42PB1A",43.1,232.41,497.31,390.75,381.12,1.491320473,0.420914957
"HER42PB_WD","HER42PB1A",44.4,253.7,501.69,405.48,393.74,1.464205405,0.390699312
"HER42PB_WD","HER42PB1B",45,262.51,503.08,412.19,399.57,1.455354602,0.418588538
"HER42PB_WD","HER42PB1B",46.3,282.1,508.57,427.22,412.19,1.613461034,0.478565715
"HER42PB_WD","HER42PB1B",47.6,298.26,514.46,441.53,424.82,1.484862995,0.418329276
"HER42PB_WD","HER42PB1B",49,315.39,523.57,457.16,438.41,1.39757458,0.360025171
"HER42PB_WD","HER42PB1B",50.4,329.76,537.03,472.04,452.18,1.562984659,0.366648942
"HER42PB_WD","HER42PB1B",51.8,341.26,556.18,485.91,466.38,1.448336872,0.375842969
"HER42PB_WD","HER42PB1B",53.2,347.21,582.02,497.4,480.58,1.494360417,0.378959409
"HER42PB_WD","HER42PB1B",54.5,352.25,614.42,506.66,493.77,1.527198848,0.371069084
"HER42PB_WD","HER42PB1B",55.9,357.87,648.49,517.14,507.97,1.648351656,0.442924564
"HER42PB_WD","HER42PB1B",57.2,361.65,679.99,525.76,521.15,1.711066358,0.530621874
"HER42PB_WD","HER42PB1B",58.6,367.39,716.15,535.03,535.35,1.688936726,0.461005818
"HER42PB_WD","HER42PB1B",59.9,371.93,753.94,544.8,548.54,1.724199988,0.435359809
"HER42PB_WD","HER42PB1B",61.2,384.4,764.98,557.48,561.5,1.73742189,0.441908109
"HER42PB_WD","HER42PB1B",62.5,395.47,775.49,570.48,574.44,1.598850004,0.436168051
"HER42PB_WD","HER42PB1B",63.9,406.14,790.23,584.48,588.38,1.521407585,0.350514986
"HER42PB_WD","HER42PB1B",65.2,414.65,808.43,597.09,601.32,1.583749449,0.315063631
"HER42PB_WD","HER42PB1B",66.5,422.55,823.61,609.66,614.26,1.762282242,0.440406597
"HER42PB_WD","HER42PB1B",67.8,427.41,844.75,622.09,627.2,1.576567605,0.408486686
"HER42PB_WD","HER42PB1B",69.1,432.23,867.71,634.56,640.14,1.617786514,0.431341154
"HER42PB_WD","HER42PB1B",70.4,439.95,890.69,646.88,653.06,1.774950672,0.547574206
"HER42PB_WD","HER42PB1B",71.7,455.88,903.08,659.27,665.91,1.633499476,0.479687601
"HER42PB_WD","HER42PB1B",73,467.71,916.78,672.28,678.76,1.746952898,0.505887874
"HER42PB_WD","HER42PB1B",74.3,479.27,929.99,685.78,691.61,1.486545411,0.402178631
"HER42PB_WD","HER42PB1B",75.5,488.92,943.14,697.3,703.47,1.766302218,0.526618234
"HER42PB_WD","HER42PB1B",76.8,499.11,961.1,710.94,716.32,1.570750619,0.506317125
"HER42PB_WD","HER42PB1B",78.1,505.11,978.27,722.99,729.17,1.832862917,0.63687363
"HER42PB_WD","HER42PB1B",79.4,510.58,1002.74,734.84,742.02,1.630536576,0.543564949
"HER42PB_WD","HER42PB1B",80.7,524.29,1019.48,747.05,755.03,1.760752298,0.700473708
"HER42PB_WD","HER42PB1B",82,538.01,1029.31,760.67,768.18,1.810695309,0.795053383
"HER42PB_WD","HER42PB1B",83.3,551.99,1040.14,775.66,781.32,1.812922763,0.864559631
"HER42PB_WD","HER42PB1C",84.5,563.12,1048.47,788.32,793.45,1.425824496,0.601112098
"HER42PB_WD","HER42PB1C",85.8,573.65,1059.32,801.93,806.6,1.399997297,0.639923429
"HER42PB_WD","HER42PB1C",87.2,584.34,1074.42,817.72,820.75,1.356188703,0.698967031
"HER42PB_WD","HER42PB1C",88.6,591.83,1092.63,832.58,834.91,1.143187812,0.378104666
"HER42PB_WD","HER42PB1C",90,600.46,1113.88,846.54,849.06,1.224048008,0.332195705
"HER42PB_WD","HER42PB1C",91.4,620.5,1123.73,860.49,863.38,1.249217033,0.311402224
"HER42PB_WD","HER42PB1C",92.7,632.93,1132.69,873.55,876.67,1.233513654,0.319980702
"HER42PB_WD","HER42PB1C",94.1,646.73,1146.45,889.64,890.98,1.24854677,0.290267712
"HER42PB_WD","HER42PB1C",95.4,659.96,1159.22,903.34,904.27,1.184052507,0.269401567
"HER42PB_WD","HER42PB1C",96.8,668.77,1172.98,919.09,918.59,1.241811366,0.31894005
"HER42PB_WD","HER42PB1C",98.1,677.23,1189.14,933.9,931.88,1.364866976,0.382954432
"HER42PB_WD","HER42PB1C",99.4,685.6,1205.87,947.06,945.17,1.199790763,0.315897345
"HER42PB_WD","HER42PB1C",100.8,700.1,1219.76,961.42,959.31,1.344199289,0.390327941
"HER42PB_WD","HER42PB1C",102.3,719.2,1228.41,976.98,974.32,0.967411229,0.224223708
"HER42PB_WD","HER42PB1C",103.8,733.23,1238.32,991.3,989.33,1.408879643,0.306344025
"HER42PB_WD","HER42PB1C",105.1,745.57,1247.88,1004.92,1002.34,1.325036204,0.291751539
"HER42PB_WD","HER42PB1C",106.4,755.35,1258.04,1018.48,1015.35,1.380827462,0.293830093
"HER42PB_WD","HER42PB1C",107.8,766.22,1271.22,1033.22,1029.36,1.274068482,0.315372773
"HER42PB_WD","HER42PB1C",109.1,774.68,1286.17,1046.78,1042.37,1.480333795,0.489301156
"HER42PB_WD","HER42PB1C",110.4,785.22,1302.62,1060.52,1055.47,1.657400535,0.599604911
"HER42PB_WD","HER42PB1C",111.7,805.11,1308.79,1073.95,1068.79,1.351347874,0.577738883
"HER42PB_WD","HER42PB1C",113.1,827.44,1315.21,1088.26,1083.13,1.300594246,0.366258123
"HER42PB_WD","HER42PB1C",114.4,840.9,1322.66,1101.13,1096.45,1.370435078,0.405053625
"HER42PB_WD","HER42PB1C",115.8,855.34,1332.86,1117.33,1110.79,1.397547382,0.402713427
"HER42PB_WD","HER42PB1C",117.1,866.57,1344.08,1132.04,1124.11,1.304563217,0.404836537
"HER42PB_WD","HER42PB1C",118.5,878.83,1357.97,1147.6,1138.45,1.305318726,0.31078332
"HER42PB_WD","HER42PB1C",119.8,889.36,1371.17,1161.53,1151.77,1.286680034,0.298078963
"HER42PB_WD","HER42PB1C",121.1,910.18,1378.31,1173.41,1165.13,1.468636202,0.292756871
"HER42PB_WD","HER42PB1C",122.4,935.1,1384.75,1186.23,1178.51,1.36484667,0.279709147
"HER42PB_WD","HER42PB1C",123.7,952.53,1391.8,1198.88,1191.89,1.599348045,0.381213233
"HER42PB_WD","HER42PB1C",124.9,966.23,1400.28,1212.24,1204.23,1.476201679,0.330737611
"HER42PB_WD","HER42PB1D",125.4,971.26,1402.69,1217.91,1209.38,1.403698729,0.237150015
"HER42PB_WD","HER42PB1D",126.6,985.11,1410.94,1231.86,1221.72,1.303074513,0.263595218
"HER42PB_WD","HER42PB1D",127.8,995.9,1419.8,1243.98,1234.07,1.677445849,0.402971752
"HER42PB_WD","HER42PB1D",129,1004.99,1433.79,1255.37,1246.42,1.385201869,0.252551983
"HER42PB_WD","HER42PB1D",130.3,1019.39,1447.93,1269.28,1259.75,1.466430569,0.205503801
"HER42PB_WD","HER42PB1D",131.6,1041.44,1453.13,1281.72,1272.91,1.214761305,0.187676057
"HER42PB_WD","HER42PB1D",132.9,1062.79,1458.75,1294.82,1286.08,1.516718498,0.265222253
"HER42PB_WD","HER42PB1D",134,1077.44,1462.58,1305.11,1297.23,1.422594236,0.194914315
"HER42PB_WD","HER42PB1D",135.2,1090.83,1468.62,1317.42,1309.38,1.08350784,0.2458707
"HER42PB_WD","HER42PB1D",136.4,1105.69,1474.61,1330.12,1321.54,1.151482653,0.182278643
"HER42PB_WD","HER42PB1D",137.7,1119.36,1483.27,1344.05,1334.71,1.166808063,0.195352204
"HER42PB_WD","HER42PB1D",138.9,1132.98,1494.37,1355.99,1346.86,1.249450517,0.233634418
"HER42PB_WD","HER42PB1D",140.2,1147.62,1505.3,1369.01,1360.03,1.472666558,0.306162848
"HER42PB_WD","HER42PB1D",141.4,1179.26,1508,1378.39,1372.2,1.560541486,0.30458011
"HER42PB_WD","HER42PB1D",142.6,1213.2,1511.55,1389.19,1384.37,1.482818938,0.303345194
"HER42PB_WD","HER42PB1D",143.8,1246.64,1516.18,1399.53,1396.54,1.597827522,0.317513884
"HER42PB_WD","HER42PB1D",145.1,1277.62,1520.65,1411.4,1409.72,1.459858489,0.237511093
"HER42PB_WD","HER42PB1D",146.3,1302.81,1526.18,1422.8,1421.89,1.442261925,0.220492254
"HER42PB_WD","HER42PB1D",147.6,1326.36,1534.92,1436.72,1435.07,1.333417535,0.234385137
"HER42PB_WD","HER42PB1D",148.8,1346.25,1547.47,1449.34,1447.24,1.479377712,0.241649974
"HER42PB_WD","HER42PB1D",150,1360.29,1559.4,1461.14,1459.41,1.360382658,0.211474908
"HER42PB_WD","HER42PB1D",151.3,1376.73,1582.34,1480.58,1479,1.400686525,0.223349145
"HER42PB_WD","HER42PB1D",152.5,1385.8,1615.86,1497.83,1497.08,1.53989481,0.286413684
"HER42PB_WD","HER42PB1D",153.7,1394.72,1655.59,1513.65,1515.16,1.481486718,0.281688345
"HER42PB_WD","HER42PB1D",155,1403.35,1705.04,1530.5,1534.75,1.471339685,0.241634891
"HER42PB_WD","HER42PB1D",156.2,1408.51,1749.31,1544.8,1552.83,1.520184829,0.285666002
"HER42PB_WD","HER42PB1D",157.4,1413.45,1798.16,1559,1570.92,1.471667458,0.267018752
"HER42PB_WD","HER42PB1D",158.6,1417.92,1844.65,1573.53,1589,1.638567964,0.383811331
"HER42PB_WD","HER42PB1D",159.8,1421.59,1890.48,1588.83,1607.08,1.666705619,0.509389576
"HER42PB_WD","HER42PB1D",161,1438.47,1911.29,1607.19,1625.87,1.534016277,0.362041755
"HER42PB_WD","HER42PB1D",162.2,1453.73,1931.39,1628.1,1644.81,1.523401507,0.3935766
"HER42PB_WD","HER42PB1D",163.5,1465.2,1957.66,1649.24,1665.32,1.693191287,0.343529575
"HER42PB_WD","HER42PB1E",165.2,1477.71,1995.16,1676.69,1692.14,1.349082358,0.216553412
"HER42PB_WD","HER42PB1E",166.8,1488.32,2031.6,1701.58,1717.38,1.353577511,0.229067191
"HER42PB_WD","HER42PB1E",168.4,1498.5,2074.06,1725.84,1742.63,1.493061423,0.239171201
"HER42PB_WD","HER42PB1E",169.9,1506.14,2127.71,1749.66,1766.3,1.495087526,0.21879694
"HER42PB_WD","HER42PB1E",171.5,1529.35,2149.94,1774.78,1790.59,1.365575318,0.248364642
"HER42PB_WD","HER42PB1E",173,1549.77,2167.51,1797.32,1813.3,1.322600472,0.212476309
"HER42PB_WD","HER42PB1E",174.6,1564.71,2189,1823.03,1837.52,1.393639509,0.264308814
"HER42PB_WD","HER42PB1E",176.2,1579.1,2219.57,1851.15,1861.75,1.508644728,0.254796532
"HER42PB_WD","HER42PB1E",177.8,1589.95,2250.63,1876.04,1885.97,1.438675211,0.212404094
"HER42PB_WD","HER42PB1E",179.3,1600.55,2290,1897.7,1908.68,1.331416971,0.208564173
"HER42PB_WD","HER42PB1E",180.9,1618.01,2318.2,1920.58,1932.9,1.38170736,0.196303963
"HER42PB_WD","HER42PB1E",182.5,1639.61,2338.1,1945.3,1957.12,1.288336589,0.195658501
"HER42PB_WD","HER42PB1E",184.1,1657.57,2361.14,1970.48,1981.33,1.540081909,0.225782008
"HER42PB_WD","HER42PB1E",185.6,1673.26,2386.33,1994.23,2004.03,1.307842993,0.18143356
"HER42PB_WD","HER42PB1E",187.3,1688.97,2415.02,2019.12,2029.76,1.310472707,0.216499108
"HER42PB_WD","HER42PB1E",188.9,1704.39,2446.25,2043.81,2053.97,1.364690477,0.190933366
"HER42PB_WD","HER42PB1E",190.6,1723.97,2476.92,2067.98,2080.01,1.357606863,0.20157157
"HER42PB_WD","HER42PB1E",192.2,1755.68,2491.98,2094.82,2105.05,1.348259494,0.200839474
"HER42PB_WD","HER42PB1E",193.9,1779.76,2507.82,2125.45,2131.65,1.329519807,0.183621008
"HER42PB_WD","HER42PB1E",195.5,1797.78,2530.35,2153.3,2156.69,1.154562416,0.181470174
"HER42PB_WD","HER42PB1E",197.1,1815.62,2553.3,2180.46,2181.73,1.317141553,0.248231744
"HER42PB_WD","HER42PB1E",198.6,1829.66,2583.94,2205.06,2205.2,1.35656445,0.282330073
"HER42PB_WD","HER42PB1E",200.1,1841.28,2619.37,2228.17,2228.65,1.22040666,0.304003385
"HER42PB_WD","HER42PB1E",201.6,1874.55,2633.14,2250.99,2251.78,1.407070401,0.349201972
"HER42PB_WD","HER42PB1E",203,1906.42,2648.2,2273.12,2273.37,1.463243334,0.202157788
"HER42PB_WD","HER42PB1F",204.6,1929.52,2667.36,2299.54,2298.03,1.304175187,0.226259755
"HER42PB_WD","HER42PB1F",205.9,1948.34,2683.03,2321.45,2318.08,1.433698532,0.313109698
"HER42PB_WD","HER42PB1F",207.3,1965.31,2704.53,2344.97,2339.66,1.184330954,0.173121694
"HER42PB_WD","HER42PB1F",208.7,1977.53,2728.89,2368.06,2361.25,1.301712844,0.190791821
"HER42PB_WD","HER42PB1F",210.1,1990.04,2751.69,2389.71,2382.81,1.406793458,0.219799628
"HER42PB_WD","HER42PB1F",211.5,2027.29,2762.26,2410.09,2404.02,1.290234526,0.243991857
"HER42PB_WD","HER42PB1F",212.9,2058.3,2773.07,2430.99,2425.23,1.290593788,0.239071815
"HER42PB_WD","HER42PB1F",214.4,2081.05,2789.59,2453.39,2447.96,1.274050455,0.229910683
"HER42PB_WD","HER42PB1F",215.8,2100.34,2801.67,2476.83,2469.18,1.316712948,0.177938959
"HER42PB_WD","HER42PB1F",217.2,2120.32,2813.42,2500.73,2490.39,1.353967438,0.173062646
"HER42PB_WD","HER42PB1F",218.5,2133.97,2832.39,2522.25,2510.09,1.348625219,0.194773439
"HER42PB_WD","HER42PB1F",219.9,2145.6,2852.17,2544.97,2531.3,1.350659191,0.190939371
"HER42PB_WD","HER42PB1F",221.3,2177.5,2863.09,2564.39,2552.5,1.237846954,0.161672986
"HER42PB_WD","HER42PB1F",222.6,2205.84,2873.74,2584.44,2572.19,1.316111963,0.179730965
"HER42PB_WD","HER42PB1F",224,2235.08,2889.39,2606.09,2593.4,1.224382964,0.142526569
"HER42PB_WD","HER42PB1F",225.3,2257.39,2903.97,2627.01,2613.09,1.265680936,0.150205423
"HER42PB_WD","HER42PB1F",226.7,2278.16,2918.17,2649.74,2634.29,1.429178148,0.181245119
"HER42PB_WD","HER42PB1F",228.1,2300.14,2938.36,2671.67,2655.5,1.26715446,0.136406449
"HER42PB_WD","HER42PB1F",229.5,2319.96,2960.63,2690.93,2676.7,1.299416643,0.149589859
"HER42PB_WD","HER42PB1F",230.9,2350.28,2974.33,2710.03,2697.84,1.28907927,0.149096641
"HER42PB_WD","HER42PB1F",232.3,2388.78,2982.82,2730.38,2718.94,1.276609128,0.183086437
"HER42PB_WD","HER42PB1F",233.7,2428.15,2991.59,2751.36,2740.04,1.426212445,0.349470285
"HER42PB_WD","HER42PB1F",235.1,2459.57,3002.07,2772.25,2761.14,1.533027717,0.381381347
"HER42PB_WD","HER42PB1F",236.4,2488.33,3015.62,2793.79,2780.73,1.522494128,0.408431499
"HER42PB_WD","HER42PB1F",237.7,2503.14,3028.77,2814.48,2800.32,1.410678908,0.326788003
"HER42PB_WD","HER42PB1F",239,2522.74,3041.06,2834.98,2819.91,1.460887927,0.322670089
"HER42PB_WD","HER42PB1F",240.3,2545.74,3057.38,2854.5,2839.31,1.47376722,0.348605614
"HER42PB_WD","HER42PB1F",241.7,2597.11,3064.81,2870.64,2859.47,1.560807418,0.382799429
"HER42PB_WD","HER42PB1F",243,2645.43,3071.86,2886.16,2878.19,1.420269309,0.358277426
"HER42PB_WD","HER42PB1F",244.4,2691.08,3083.1,2903.28,2898.36,1.508597817,0.358350426
"HER42PB_WD","HER42PB1G",244.8,2701.59,3085.91,2908.18,2904.12,1.292622313,0.368281722
"HER42PB_WD","HER42PB1G",246.2,2743.59,3097.59,2925.54,2924.28,1.274498719,0.242782671
"HER42PB_WD","HER42PB1G",247.5,2774.62,3110.51,2943.97,2943,1.153212776,0.154469379
"HER42PB_WD","HER42PB1G",248.9,2796.58,3125.51,2963.64,2963.16,1.192506017,0.158621904
"HER42PB_WD","HER42PB1G",250.3,2819.4,3142,2981.52,2982.03,1.224092514,0.161638418
"HER42PB_WD","HER42PB1G",251.6,2837.08,3155.23,2994.9,2995.15,1.199581556,0.153974737
"HER42PB_WD","HER42PB1G",253,2853.33,3169.68,3008.97,3009.28,1.20780432,0.179134036
"HER42PB_WD","HER42PB1G",254.3,2866.74,3186.2,3022.24,3022.4,1.381766839,0.201048116
"HER42PB_WD","HER42PB1G",255.6,2875.55,3209.4,3034.28,3035.52,1.210195209,0.220833912
"HER42PB_WD","HER42PB1G",257,2881.62,3233,3047.66,3049.64,1.209302761,0.235306237
"HER42PB_WD","HER42PB1G",258.3,2888.4,3258.16,3058.78,3062.76,1.288558637,0.154935347
"HER42PB_WD","HER42PB1G",259.7,2893.96,3289.59,3070.96,3076.89,1.118329075,0.16287457
"HER42PB_WD","HER42PB1G",261.1,2906.55,3307.04,3084.77,3090.55,1.224900899,0.168962012
"HER42PB_WD","HER42PB1G",262.4,2918.45,3320.34,3098,3103.12,1.14218638,0.1898307
"HER42PB_WD","HER42PB1G",263.8,2932.54,3336.2,3112.28,3116.66,1.194656242,0.191320901
"HER42PB_WD","HER42PB1G",265.1,2941.51,3353.65,3124.24,3129.23,1.187185208,0.1618074
"HER42PB_WD","HER42PB1G",266.5,2948.31,3369.03,3137.32,3142.77,1.263784165,0.199251161
"HER42PB_WD","HER42PB1G",267.8,2954.1,3386.55,3149.18,3155.33,1.113739857,0.182885953
"HER42PB_WD","HER42PB1G",269.2,2960.98,3409.97,3162.49,3168.87,1.22913432,0.236792999
"HER42PB_WD","HER42PB1G",270.5,2971.01,3427.82,3173.78,3181.42,1.259640561,0.204620168
"HER42PB_WD","HER42PB1G",271.8,2983.99,3438.09,3186.92,3193.92,1.435196631,0.197315579
"HER42PB_WD","HER42PB1G",273.1,2994.09,3448.07,3199.4,3206.42,1.384427874,0.23613408
"HER42PB_WD","HER42PB1G",274.5,3004.9,3462.61,3215.14,3219.89,1.221764683,0.184394971
"HER42PB_WD","HER42PB1G",275.8,3013.5,3478.76,3227.21,3232.39,1.321669226,0.211330496
"HER42PB_WD","HER42PB1G",277.2,3021.95,3496.42,3241.54,3245.86,1.141818451,0.187036073
"HER42PB_WD","HER42PB1G",278.5,3029.28,3512.76,3254.07,3258.36,1.29494755,0.185885156
"HER42PB_WD","HER42PB1G",279.9,3037.71,3534.07,3267.56,3271.83,1.213049882,0.193355808
"HER42PB_WD","HER42PB1G",281.3,3052.57,3544.33,3280.34,3285.39,1.347113608,0.199444282
"HER42PB_WD","HER42PB1G",282.6,3067.39,3552.79,3293.05,3298,1.259437608,0.210370364
"HER42PB_WD","HER42PB1G",283.9,3077.54,3562.6,3306.63,3310.6,1.262299018,0.187025744
"HER42PB_WD","HER42PB1G",285.1,3088.23,3573.1,3319.28,3322.24,1.411556916,0.184019471
"HER42PB_WD","HER42PB1G",286.3,3096.95,3586.83,3331.05,3333.87,1.416381063,0.243732102
"HER42PB_WD","HER42PB1G",287.6,3104.03,3601.12,3343.7,3346.47,1.397227759,0.235695433
"HER42PB_WD","HER42PB1H",289.6,3117.22,3628.59,3362.76,3365.86,1.232891005,0.179066227
"HER42PB_WD","HER42PB1H",290.9,3132.09,3641.1,3375.07,3378.5,1.196426329,0.16892534
"HER42PB_WD","HER42PB1H",292.3,3148.54,3649.78,3389.31,3392.12,1.30428034,0.173746284
"HER42PB_WD","HER42PB1H",293.6,3158.45,3658.76,3402.79,3404.78,1.352949004,0.187874694
"HER42PB_WD","HER42PB1H",295,3170.56,3671.84,3416.78,3418.4,1.447862098,0.199420306
"HER42PB_WD","HER42PB1H",296.3,3180.12,3685.89,3429.77,3431.05,1.300447869,0.179428761
"HER42PB_WD","HER42PB1H",297.6,3189.86,3701.83,3443.17,3443.7,1.456062418,0.253511174
"HER42PB_WD","HER42PB1H",298.9,3199.42,3714.13,3456.84,3456.35,1.357254991,0.208454656
"HER42PB_WD","HER42PB1H",300.2,3208.99,3728.23,3469.4,3468.98,1.353548577,0.265367606
"HER42PB_WD","HER42PB1H",301.6,3227,3737.42,3482.11,3482.48,1.326198008,0.235340744
"HER42PB_WD","HER42PB1H",302.9,3241.14,3747.99,3494.63,3495.02,1.208740871,0.176689049
"HER42PB_WD","HER42PB1H",304.3,3255.14,3762.06,3508.28,3508.52,1.32876288,0.21122457
"HER42PB_WD","HER42PB1H",305.7,3267.25,3773.11,3522.94,3522.02,1.284353437,0.187157954
"HER42PB_WD","HER42PB1H",307.1,3279.67,3789.54,3536.81,3535.52,1.330254294,0.199791933
"HER42PB_WD","HER42PB1H",308.5,3288.39,3805.05,3550.63,3549.02,1.282412191,0.211155007
"HER42PB_WD","HER42PB1H",309.9,3298.05,3821.75,3564.5,3562.52,1.449237856,0.282455482
"HER42PB_WD","HER42PB1H",311.3,3321.25,3831.25,3577.79,3576.1,1.329052743,0.252572441
"HER42PB_WD","HER42PB1H",312.7,3341.51,3840.1,3590.96,3589.68,1.328375372,0.238031423
"HER42PB_WD","HER42PB1H",314.2,3360.41,3852.24,3604.68,3604.24,1.482818443,0.31440249
"HER42PB_WD","HER42PB1H",315.6,3376.31,3865.81,3619.06,3617.82,1.328020632,0.286490867
"HER42PB_WD","HER42PB1H",317,3391.37,3876.04,3632.23,3631.4,1.45534112,0.271701459
"HER42PB_WD","HER42PB1H",318.4,3403.13,3892.09,3645.65,3644.99,1.385452223,0.243432782
"HER42PB_WD","HER42PB1H",319.7,3411.28,3905.53,3657.08,3657.6,1.859867965,0.221673813
"HER42PB_WD","HER42PB1H",321.1,3436.93,3916.38,3669.8,3671.3,1.067397044,0.169807506
"HER42PB_WD","HER42PB1H",322.6,3465.41,3925.04,3683.42,3686.02,1.259853714,0.205728054
"HER42PB_WD","HER42PB1H",324,3485.27,3934.07,3696.11,3699.76,1.425493992,0.247058989
"HER42PB_WD","HER42PB1H",325.3,3500.05,3944.74,3709,3712.51,1.193120926,0.18494316
"HER42PB_WD","HER42PB1I",327.1,3517.68,3965.84,3727.95,3730.17,1.10920941,0.181853486
"HER42PB_WD","HER42PB1I",328.5,3531.26,3981.88,3741.48,3743.91,1.15078491,0.172459813
"HER42PB_WD","HER42PB1I",329.9,3540.08,3999.16,3756.19,3757.65,1.133281406,0.173498399
"HER42PB_WD","HER42PB1I",331.3,3572.4,4008.95,3768.09,3771.75,1.175549386,0.180819814
"HER42PB_WD","HER42PB1I",332.7,3605.39,4018.09,3780.81,3785.89,1.189131168,0.19074126
"HER42PB_WD","HER42PB1I",334.1,3632.11,4028.04,3793.43,3800.03,1.175221812,0.17791635
"HER42PB_WD","HER42PB1I",335.6,3659.97,4040.2,3808.29,3815.18,1.069202336,0.137835165
"HER42PB_WD","HER42PB1I",337,3682.32,4051.02,3821.53,3829.31,1.222843816,0.180577782
"HER42PB_WD","HER42PB1I",338.4,3700.32,4062.61,3835.36,3843.45,1.160841,0.164114178
"HER42PB_WD","HER42PB1I",339.7,3711.82,4075.54,3847.71,3856.58,1.11519024,0.150992868
"HER42PB_WD","HER42PB1I",341,3732.99,4095.94,3871.25,3878.89,1.147435998,0.17090546
"HER42PB_WD","HER42PB1I",342.4,3748.72,4126.55,3897.37,3905.88,1.094348798,0.15610952
"HER42PB_WD","HER42PB1I",343.9,3761.18,4161.09,3925.23,3934.8,1.276945621,0.168716211
"HER42PB_WD","HER42PB1I",345.4,3773.33,4209.9,3952.57,3963.72,1.113492882,0.157030433
"HER42PB_WD","HER42PB1I",346.8,3782.76,4259.76,3977.26,3990.71,1.200109983,0.157366709
"HER42PB_WD","HER42PB1I",348.2,3791.24,4325.43,3999.7,4017.71,1.190533536,0.152862824
"HER42PB_WD","HER42PB1I",349.6,3798.37,4388.03,4024.19,4044.7,1.239722426,0.173674703
"HER42PB_WD","HER42PB1I",351,3819.13,4420.98,4049.74,4071.64,1.230035337,0.182600063
"HER42PB_WD","HER42PB1I",352.3,3842.41,4436.04,4076.28,4096.64,1.36893837,0.266308131
"HER42PB_WD","HER42PB1I",353.6,3859.09,4462.67,4104.69,4121.65,1.294967795,0.273611368
"HER42PB_WD","HER42PB1I",354.9,3873.66,4485.63,4135.11,4146.65,1.357786376,0.369899647
"HER42PB_WD","HER42PB1I",356.2,3886.32,4520.58,4160.9,4171.65,1.512651995,0.238148039
"HER42PB_WD","HER42PB1I",357.5,3896.62,4555.81,4186,4196.65,1.379836436,0.327235487
