"Site","label","depth","mean_age","Density"
"HER42PB_WD","HER42PB1E",169.9,1766.3,1.495087526
"HER42PB_WD","HER42PB1E",171.5,1790.59,1.365575318
"HER42PB_WD","HER42PB1E",173,1813.3,1.322600472
"HER42PB_WD","HER42PB1E",174.6,1837.52,1.393639509
"HER42PB_WD","HER42PB1E",176.2,1861.75,1.508644728
"HER42PB_WD","HER42PB1E",177.8,1885.97,1.438675211
"HER42PB_WD","HER42PB1E",179.3,1908.68,1.331416971
"HER42PB_WD","HER42PB1E",180.9,1932.9,1.38170736
"HER42PB_WD","HER42PB1E",182.5,1957.12,1.288336589
"HER42PB_WD","HER42PB1E",184.1,1981.33,1.540081909
"HER42PB_WD","HER42PB1E",185.6,2004.03,1.307842993
"HER42PB_WD","HER42PB1E",187.3,2029.76,1.310472707
"HER42PB_WD","HER42PB1E",188.9,2053.97,1.364690477
"HER42PB_WD","HER42PB1E",190.6,2080.01,1.357606863
"HER42PB_WD","HER42PB1E",192.2,2105.05,1.348259494
"HER42PB_WD","HER42PB1E",193.9,2131.65,1.329519807
"HER42PB_WD","HER42PB1E",195.5,2156.69,1.154562416
"HER42PB_WD","HER42PB1E",197.1,2181.73,1.317141553
"HER42PB_WD","HER42PB1E",198.6,2205.2,1.35656445
"HER42PB_WD","HER42PB1E",200.1,2228.65,1.22040666
"HER42PB_WD","HER42PB1E",201.6,2251.78,1.407070401
"HER42PB_WD","HER42PB1E",203,2273.37,1.463243334
"HER42PB_WD","HER42PB1F",204.6,2298.03,1.304175187
"HER42PB_WD","HER42PB1F",205.9,2318.08,1.433698532
"HER42PB_WD","HER42PB1F",207.3,2339.66,1.184330954
"HER42PB_WD","HER42PB1F",208.7,2361.25,1.301712844
"HER42PB_WD","HER42PB1F",210.1,2382.81,1.406793458
"HER42PB_WD","HER42PB1F",211.5,2404.02,1.290234526
"HER42PB_WD","HER42PB1F",212.9,2425.23,1.290593788
"HER42PB_WD","HER42PB1F",214.4,2447.96,1.274050455
"HER42PB_WD","HER42PB1F",215.8,2469.18,1.316712948
"HER42PB_WD","HER42PB1F",217.2,2490.39,1.353967438
"HER42PB_WD","HER42PB1F",218.5,2510.09,1.348625219
"HER42PB_WD","HER42PB1F",219.9,2531.3,1.350659191
"HER42PB_WD","HER42PB1F",221.3,2552.5,1.237846954
"HER42PB_WD","HER42PB1F",222.6,2572.19,1.316111963
"HER42PB_WD","HER42PB1F",224,2593.4,1.224382964
"HER42PB_WD","HER42PB1F",225.3,2613.09,1.265680936
"HER42PB_WD","HER42PB1F",226.7,2634.29,1.429178148
"HER42PB_WD","HER42PB1F",228.1,2655.5,1.26715446
"HER42PB_WD","HER42PB1F",229.5,2676.7,1.299416643
"HER42PB_WD","HER42PB1F",230.9,2697.84,1.28907927
"HER42PB_WD","HER42PB1F",232.3,2718.94,1.276609128
"HER42PB_WD","HER42PB1F",233.7,2740.04,1.426212445
"HER42PB_WD","HER42PB1F",235.1,2761.14,1.533027717
"HER42PB_WD","HER42PB1F",236.4,2780.73,1.522494128
"HER42PB_WD","HER42PB1F",237.7,2800.32,1.410678908
"HER42PB_WD","HER42PB1F",239,2819.91,1.460887927
"HER42PB_WD","HER42PB1F",240.3,2839.31,1.47376722
"HER42PB_WD","HER42PB1F",241.7,2859.47,1.560807418
"HER42PB_WD","HER42PB1F",243,2878.19,1.420269309
"HER42PB_WD","HER42PB1F",244.4,2898.36,1.508597817
"HER42PB_WD","HER42PB1G",244.8,2904.12,1.292622313
"HER42PB_WD","HER42PB1G",246.2,2924.28,1.274498719
"HER42PB_WD","HER42PB1G",247.5,2943,1.153212776
"HER42PB_WD","HER42PB1G",248.9,2963.16,1.192506017
"HER42PB_WD","HER42PB1G",250.3,2982.03,1.224092514
"HER42PB_WD","HER42PB1G",251.6,2995.15,1.199581556
"HER42PB_WD","HER42PB1G",253,3009.28,1.20780432
"HER42PB_WD","HER42PB1G",254.3,3022.4,1.381766839
"HER42PB_WD","HER42PB1G",255.6,3035.52,1.210195209
"HER42PB_WD","HER42PB1G",257,3049.64,1.209302761
"HER42PB_WD","HER42PB1G",258.3,3062.76,1.288558637
"HER42PB_WD","HER42PB1G",259.7,3076.89,1.118329075
"HER42PB_WD","HER42PB1G",261.1,3090.55,1.224900899
"HER42PB_WD","HER42PB1G",262.4,3103.12,1.14218638
"HER42PB_WD","HER42PB1G",263.8,3116.66,1.194656242
"HER42PB_WD","HER42PB1G",265.1,3129.23,1.187185208
"HER42PB_WD","HER42PB1G",266.5,3142.77,1.263784165
"HER42PB_WD","HER42PB1G",267.8,3155.33,1.113739857
"HER42PB_WD","HER42PB1G",269.2,3168.87,1.22913432
"HER42PB_WD","HER42PB1G",270.5,3181.42,1.259640561
"HER42PB_WD","HER42PB1G",271.8,3193.92,1.435196631
"HER42PB_WD","HER42PB1G",273.1,3206.42,1.384427874
"HER42PB_WD","HER42PB1G",274.5,3219.89,1.221764683
"HER42PB_WD","HER42PB1G",275.8,3232.39,1.321669226
"HER42PB_WD","HER42PB1G",277.2,3245.86,1.141818451
"HER42PB_WD","HER42PB1G",278.5,3258.36,1.29494755
"HER42PB_WD","HER42PB1G",279.9,3271.83,1.213049882
"HER42PB_WD","HER42PB1G",281.3,3285.39,1.347113608
"HER42PB_WD","HER42PB1G",282.6,3298,1.259437608
"HER42PB_WD","HER42PB1G",283.9,3310.6,1.262299018
"HER42PB_WD","HER42PB1G",285.1,3322.24,1.411556916
"HER42PB_WD","HER42PB1G",286.3,3333.87,1.416381063
"HER42PB_WD","HER42PB1G",287.6,3346.47,1.397227759
"HER42PB_WD","HER42PB1H",289.6,3365.86,1.232891005
"HER42PB_WD","HER42PB1H",290.9,3378.5,1.196426329
"HER42PB_WD","HER42PB1H",292.3,3392.12,1.30428034
"HER42PB_WD","HER42PB1H",293.6,3404.78,1.352949004
"HER42PB_WD","HER42PB1H",295,3418.4,1.447862098
"HER42PB_WD","HER42PB1H",296.3,3431.05,1.300447869
"HER42PB_WD","HER42PB1H",297.6,3443.7,1.456062418
"HER42PB_WD","HER42PB1H",298.9,3456.35,1.357254991
"HER42PB_WD","HER42PB1H",300.2,3468.98,1.353548577
"HER42PB_WD","HER42PB1H",301.6,3482.48,1.326198008
"HER42PB_WD","HER42PB1H",302.9,3495.02,1.208740871
"HER42PB_WD","HER42PB1H",304.3,3508.52,1.32876288
"HER42PB_WD","HER42PB1H",305.7,3522.02,1.284353437
"HER42PB_WD","HER42PB1H",307.1,3535.52,1.330254294
"HER42PB_WD","HER42PB1H",308.5,3549.02,1.282412191
"HER42PB_WD","HER42PB1H",309.9,3562.52,1.449237856
"HER42PB_WD","HER42PB1H",311.3,3576.1,1.329052743
"HER42PB_WD","HER42PB1H",312.7,3589.68,1.328375372
"HER42PB_WD","HER42PB1H",314.2,3604.24,1.482818443
"HER42PB_WD","HER42PB1H",315.6,3617.82,1.328020632
"HER42PB_WD","HER42PB1H",317,3631.4,1.45534112
"HER42PB_WD","HER42PB1H",318.4,3644.99,1.385452223
"HER42PB_WD","HER42PB1H",319.7,3657.6,1.859867965
"HER42PB_WD","HER42PB1H",321.1,3671.3,1.067397044
"HER42PB_WD","HER42PB1H",322.6,3686.02,1.259853714
"HER42PB_WD","HER42PB1H",324,3699.76,1.425493992
"HER42PB_WD","HER42PB1H",325.3,3712.51,1.193120926
"HER42PB_WD","HER42PB1I",327.1,3730.17,1.10920941
"HER42PB_WD","HER42PB1I",328.5,3743.91,1.15078491
"HER42PB_WD","HER42PB1I",329.9,3757.65,1.133281406
"HER42PB_WD","HER42PB1I",331.3,3771.75,1.175549386
"HER42PB_WD","HER42PB1I",332.7,3785.89,1.189131168
"HER42PB_WD","HER42PB1I",334.1,3800.03,1.175221812
"HER42PB_WD","HER42PB1I",335.6,3815.18,1.069202336
"HER42PB_WD","HER42PB1I",337,3829.31,1.222843816
"HER42PB_WD","HER42PB1I",338.4,3843.45,1.160841
"HER42PB_WD","HER42PB1I",339.7,3856.58,1.11519024
"HER42PB_WD","HER42PB1I",341,3878.89,1.147435998
"HER42PB_WD","HER42PB1I",342.4,3905.88,1.094348798
"HER42PB_WD","HER42PB1I",343.9,3934.8,1.276945621
"HER42PB_WD","HER42PB1I",345.4,3963.72,1.113492882
"HER42PB_WD","HER42PB1I",346.8,3990.71,1.200109983
"HER42PB_WD","HER42PB1I",348.2,4017.71,1.190533536
"HER42PB_WD","HER42PB1I",349.6,4044.7,1.239722426
"HER42PB_WD","HER42PB1I",351,4071.64,1.230035337
"HER42PB_WD","HER42PB1I",352.3,4096.64,1.36893837
"HER42PB_WD","HER42PB1I",353.6,4121.65,1.294967795
"HER42PB_WD","HER42PB1I",354.9,4146.65,1.357786376
"HER42PB_WD","HER42PB1I",356.2,4171.65,1.512651995
"HER42PB_WD","HER42PB1I",357.5,4196.65,1.379836436
"HER42PB_WD","HER42PB1I",358.9,4223.57,1.173444081
"HER42PB_WD","HER42PB1I",360.3,4250.6,1.39847281
"HER42PB_WD","HER42PB1J",360.6,4256.46,1.180718342
"HER42PB_WD","HER42PB1I",361.6,4276.01,1.425873093
"HER42PB_WD","HER42PB1J",361.9,4281.88,1.392238244
"HER42PB_WD","HER42PB1I",362.9,4301.43,1.533210387
"HER42PB_WD","HER42PB1J",363.3,4309.26,1.333268487
"HER42PB_WD","HER42PB1I",364.2,4326.85,1.562961074
"HER42PB_WD","HER42PB1J",364.8,4338.59,1.253791676
"HER42PB_WD","HER42PB1I",365.4,4350.32,1.538120567
"HER42PB_WD","HER42PB1J",366.1,4364,1.228744218
"HER42PB_WD","HER42PB1I",366.6,4373.78,1.745693224
"HER42PB_WD","HER42PB1J",367.5,4391.38,1.408914254
"HER42PB_WD","HER42PB1I",367.9,4399.2,1.523993666
"HER42PB_WD","HER42PB1J",368.9,4418.75,1.474075507
"HER42PB_WD","HER42PB1J",370.2,4444.2,1.62500023
"HER42PB_WD","HER42PB1J",371.6,4471.77,1.36093272
"HER42PB_WD","HER42PB1J",373,4499.34,1.453135602
"HER42PB_WD","HER42PB1J",374.5,4528.88,1.511349909
"HER42PB_WD","HER42PB1J",375.8,4554.48,1.376636954
"HER42PB_WD","HER42PB1J",377.3,4584.02,1.432460071
"HER42PB_WD","HER42PB1J",378.8,4613.56,1.412578053
"HER42PB_WD","HER42PB1J",380.3,4642.83,1.499015514
"HER42PB_WD","HER42PB1J",381.7,4669.17,1.308903557
"HER42PB_WD","HER42PB1J",383.1,4695.5,1.239059593
"HER42PB_WD","HER42PB1J",384.4,4719.95,1.211654764
"HER42PB_WD","HER42PB1J",385.9,4748.17,1.203467608
"HER42PB_WD","HER42PB1J",387.3,4774.5,1.235026872
"HER42PB_WD","HER42PB1J",388.8,4802.71,1.17259324
"HER42PB_WD","HER42PB1J",390.2,4829.11,1.295060201
"HER42PB_WD","HER42PB1J",391.7,4857.84,1.341651706
"HER42PB_WD","HER42PB1J",393.2,4886.56,1.391253553
"HER42PB_WD","HER42PB1J",394.6,4913.36,1.235477389
"HER42PB_WD","HER42PB1J",396,4940.17,1.452407997
"HER42PB_WD","HER42PB1J",397.4,4966.98,1.393371403
"HER42PB_WD","HER42PB1J",398.9,4995.7,1.501395409
"HER42PB_WD","HER42PB1J",400.2,5019.17,1.621663089
"HER42PB_WD","HER42PB1J",401.5,5034.8,1.407158528
"HER42PB_WD","HER42PB1J",402.9,5051.64,1.289055837
"HER42PB_WD","HER42PB1J",404.4,5069.68,1.51614018
"HER42PB_WD","HER42PB1J",405.9,5087.72,1.368521749
"HER42PB_WD","HER42PB1J",407.4,5105.76,1.44516518
"HER42PB_WD","HER42PB1J",408.8,5122.6,1.294154282
"HER42PB_WD","HER42PB1J",410,5137.03,2.239457748
