"Site","label","param","depth","mean_age","value"
"HER14L_0ka","HER14L_2A","GRD",7.2,0.56415,0.816
"HER14L_0ka","HER14L_2A","GRD",7.4,0.57849,0.8244
"HER14L_0ka","HER14L_2A","GRD",7.6,0.59283,0.8413
"HER14L_0ka","HER14L_2A","GRD",7.8,0.60717,0.8881
"HER14L_0ka","HER14L_2A","GRD",8,0.62151,0.8943
"HER14L_0ka","HER14L_2A","GRD",8.2,0.63585,0.8618
"HER14L_0ka","HER14L_2A","GRD",8.4,0.65018,0.8277
"HER14L_0ka","HER14L_2A","GRD",8.6,0.66452,0.8167
"HER14L_0ka","HER14L_2A","GRD",8.8,0.67886,0.9542
"HER14L_0ka","HER14L_2A","GRD",9,0.6932,0.8952
"HER14L_0ka","HER14L_2A","GRD",9.2,0.70754,0.7394
"HER14L_0ka","HER14L_2A","GRD",9.4,0.72188,0.6546
"HER14L_0ka","HER14L_2A","GRD",9.6,0.73622,0.8306
"HER14L_0ka","HER14L_2A","GRD",9.8,0.75056,0.8473
"HER14L_0ka","HER14L_2A","GRD",10,0.76489,0.8082
"HER14L_0ka","HER14L_2A","GRD",10.2,0.77123,0.8556
"HER14L_0ka","HER14L_2A","GRD",10.4,0.77758,0.8167
"HER14L_0ka","HER14L_2A","GRD",10.6,0.78392,0.8074
"HER14L_0ka","HER14L_2A","GRD",10.8,0.79026,0.8014
"HER14L_0ka","HER14L_2A","GRD",11,0.7966,0.8487
"HER14L_0ka","HER14L_2A","GRD",11.2,0.80294,0.8611
"HER14L_0ka","HER14L_2A","GRD",11.4,0.80928,1.0078
"HER14L_0ka","HER14L_2A","GRD",11.6,0.81562,1.1056
"HER14L_0ka","HER14L_2A","GRD",11.8,0.82196,1.1303
"HER14L_0ka","HER14L_2A","GRD",12,0.8283,1.1903
"HER14L_0ka","HER14L_2A","GRD",12.2,0.83464,1.2167
"HER14L_0ka","HER14L_2A","GRD",12.4,0.84098,1.299
"HER14L_0ka","HER14L_2A","GRD",12.6,0.84732,1.1998
"HER14L_0ka","HER14L_2A","GRD",12.8,0.85366,1.091
"HER14L_0ka","HER14L_2A","GRD",13,0.86001,1.0371
"HER14L_0ka","HER14L_2A","GRD",13.2,0.86635,1.0421
"HER14L_0ka","HER14L_2A","GRD",13.4,0.87269,0.9637
"HER14L_0ka","HER14L_2A","GRD",13.6,0.87903,0.9045
"HER14L_0ka","HER14L_2A","GRD",13.8,0.88537,0.8382
"HER14L_0ka","HER14L_2A","GRD",14,0.89171,0.8637
"HER14L_0ka","HER14L_2A","GRD",14.2,0.89805,0.8362
"HER14L_0ka","HER14L_2A","GRD",14.4,0.90439,0.8537
"HER14L_0ka","HER14L_2A","GRD",14.6,0.91073,0.8205
"HER14L_0ka","HER14L_2A","GRD",14.8,0.91707,0.8184
"HER14L_0ka","HER14L_2A","GRD",15,0.92341,0.852
"HER14L_0ka","HER14L_2A","GRD",15.2,0.92975,0.8697
"HER14L_0ka","HER14L_2A","GRD",15.4,0.93609,0.8832
"HER14L_0ka","HER14L_2A","GRD",15.6,0.94244,0.8451
"HER14L_0ka","HER14L_2A","GRD",15.8,0.94878,0.8977
"HER14L_0ka","HER14L_2A","GRD",16,0.95512,0.8348
"HER14L_0ka","HER14L_2A","GRD",16.2,0.96146,0.8833
"HER14L_0ka","HER14L_2A","GRD",16.4,0.9678,0.8531
"HER14L_0ka","HER14L_2A","GRD",16.6,0.97414,0.8291
"HER14L_0ka","HER14L_2A","GRD",16.8,0.98048,0.8693
"HER14L_0ka","HER14L_2A","GRD",17,0.98682,0.8513
"HER14L_0ka","HER14L_2A","GRD",17.2,0.99316,0.8624
"HER14L_0ka","HER14L_2A","GRD",17.4,0.9995,0.8632
"HER14L_0ka","HER14L_2A","GRD",17.6,1.00584,0.8794
"HER14L_0ka","HER14L_2A","GRD",17.8,1.01218,0.8887
"HER14L_0ka","HER14L_2A","GRD",18,1.01852,0.898
"HER14L_0ka","HER14L_2A","GRD",18.2,1.02486,0.8835
"HER14L_0ka","HER14L_2A","GRD",18.4,1.03121,0.8426
"HER14L_0ka","HER14L_2A","GRD",18.6,1.03755,0.8482
"HER14L_0ka","HER14L_2A","GRD",18.8,1.04389,0.8317
"HER14L_0ka","HER14L_2A","GRD",19,1.05023,0.859
"HER14L_0ka","HER14L_2A","GRD",19.2,1.05657,0.8873
"HER14L_0ka","HER14L_2A","GRD",19.4,1.06291,0.8919
"HER14L_0ka","HER14L_2A","GRD",19.6,1.06925,0.8831
"HER14L_0ka","HER14L_2A","GRD",19.8,1.07559,0.8905
"HER14L_0ka","HER14L_2A","GRD",20,1.08193,0.8547
"HER14L_0ka","HER14L_2A","GRD",20.2,1.08923,0.8456
"HER14L_0ka","HER14L_2A","GRD",20.4,1.09653,0.8503
"HER14L_0ka","HER14L_2A","GRD",20.6,1.10384,0.8954
"HER14L_0ka","HER14L_2A","GRD",20.8,1.11114,0.9692
"HER14L_0ka","HER14L_2A","GRD",21,1.11844,0.9756
"HER14L_0ka","HER14L_2A","GRD",21.2,1.12574,0.9346
"HER14L_0ka","HER14L_2A","GRD",21.4,1.13304,0.9455
"HER14L_0ka","HER14L_2A","GRD",21.6,1.14034,0.9517
"HER14L_0ka","HER14L_2A","GRD",21.8,1.14764,1.0907
"HER14L_0ka","HER14L_2A","GRD",22,1.15495,1.0925
"HER14L_0ka","HER14L_2A","GRD",22.2,1.16225,0.8916
"HER14L_0ka","HER14L_2A","GRD",22.4,1.16955,0.8671
"HER14L_0ka","HER14L_2A","GRD",22.6,1.17685,0.8674
"HER14L_0ka","HER14L_2A","GRD",22.8,1.18415,0.9138
"HER14L_0ka","HER14L_2A","GRD",23,1.19145,0.947
"HER14L_0ka","HER14L_2A","GRD",23.2,1.19875,0.9282
"HER14L_0ka","HER14L_2A","GRD",23.4,1.20606,0.9952
"HER14L_0ka","HER14L_2A","GRD",23.6,1.21336,0.9892
"HER14L_0ka","HER14L_2A","GRD",23.8,1.22066,1.0013
"HER14L_0ka","HER14L_2A","GRD",24,1.22796,1.0009
"HER14L_0ka","HER14L_2A","GRD",24.2,1.23526,0.9879
"HER14L_0ka","HER14L_2A","GRD",24.4,1.24256,0.9586
"HER14L_0ka","HER14L_2A","GRD",24.6,1.24986,1.2226
"HER14L_0ka","HER14L_2A","GRD",24.8,1.25716,1.0103
"HER14L_0ka","HER14L_2A","GRD",25,1.26447,0.9929
"HER14L_0ka","HER14L_2A","GRD",25.2,1.27177,0.9114
"HER14L_0ka","HER14L_2A","GRD",25.4,1.27907,0.8785
"HER14L_0ka","HER14L_2A","GRD",25.6,1.28637,0.8844
"HER14L_0ka","HER14L_2A","GRD",25.8,1.29367,0.9557
"HER14L_0ka","HER14L_2A","GRD",26,1.30097,1.0492
"HER14L_0ka","HER14L_2A","GRD",26.2,1.30827,0.91
"HER14L_0ka","HER14L_2A","GRD",26.4,1.31558,0.8637
"HER14L_0ka","HER14L_2A","GRD",26.6,1.32288,0.9304
"HER14L_0ka","HER14L_2A","GRD",26.8,1.33018,0.8948
"HER14L_0ka","HER14L_2A","GRD",27,1.33748,0.8931
"HER14L_0ka","HER14L_2A","GRD",27.2,1.34478,0.9146
"HER14L_0ka","HER14L_2A","GRD",27.4,1.35208,0.8891
"HER14L_0ka","HER14L_2A","GRD",27.6,1.35938,0.9097
"HER14L_0ka","HER14L_2A","GRD",27.8,1.36669,0.8913
"HER14L_0ka","HER14L_2A","GRD",28,1.37399,0.8821
"HER14L_0ka","HER14L_2A","GRD",28.2,1.38129,0.8701
"HER14L_0ka","HER14L_2A","GRD",28.4,1.38859,0.8731
"HER14L_0ka","HER14L_2A","GRD",28.6,1.39589,0.9235
"HER14L_0ka","HER14L_2A","GRD",28.8,1.40319,0.9568
"HER14L_0ka","HER14L_2A","GRD",29,1.41049,1.021
"HER14L_0ka","HER14L_2A","GRD",29.2,1.4178,0.9893
"HER14L_0ka","HER14L_2A","GRD",29.4,1.4251,1.0212
"HER14L_0ka","HER14L_2A","GRD",29.6,1.4324,0.9117
"HER14L_0ka","HER14L_2A","GRD",29.8,1.4397,0.8709
"HER14L_0ka","HER14L_2A","GRD",30,1.447,0.9084
"HER14L_0ka","HER14L_2A","GRD",30.2,1.44972,0.8704
"HER14L_0ka","HER14L_2A","GRD",30.4,1.45244,0.874
"HER14L_0ka","HER14L_2A","GRD",30.6,1.45515,0.8742
"HER14L_0ka","HER14L_2A","GRD",30.8,1.45787,0.8856
"HER14L_0ka","HER14L_2A","GRD",31,1.46059,0.869
"HER14L_0ka","HER14L_2A","GRD",31.2,1.46331,0.9349
"HER14L_0ka","HER14L_2A","GRD",31.4,1.46603,0.9442
"HER14L_0ka","HER14L_2A","GRD",31.6,1.46874,0.9146
"HER14L_0ka","HER14L_2A","GRD",31.8,1.47146,0.9008
"HER14L_0ka","HER14L_2A","GRD",32,1.47418,0.8867
"HER14L_0ka","HER14L_2A","GRD",32.2,1.4769,0.9214
"HER14L_0ka","HER14L_2A","GRD",32.4,1.47961,0.9391
"HER14L_0ka","HER14L_2A","GRD",32.6,1.48233,0.9523
"HER14L_0ka","HER14L_2A","GRD",32.8,1.48505,0.9487
"HER14L_0ka","HER14L_2A","GRD",33,1.48777,0.9019
"HER14L_0ka","HER14L_2A","GRD",33.2,1.49049,0.927
"HER14L_0ka","HER14L_2A","GRD",33.4,1.4932,0.9223
"HER14L_0ka","HER14L_2A","GRD",33.6,1.49592,0.893
"HER14L_0ka","HER14L_2A","GRD",33.8,1.49864,0.9409
"HER14L_0ka","HER14L_2A","GRD",34,1.50136,0.9207
"HER14L_0ka","HER14L_2A","GRD",34.2,1.50407,0.8779
"HER14L_0ka","HER14L_2A","GRD",34.4,1.50679,0.957
"HER14L_0ka","HER14L_2A","GRD",34.6,1.50951,1.0174
"HER14L_0ka","HER14L_2A","GRD",34.8,1.51223,1.0724
"HER14L_0ka","HER14L_2A","GRD",35,1.51495,1.0253
"HER14L_0ka","HER14L_2A","GRD",35.2,1.51766,0.9612
"HER14L_0ka","HER14L_2A","GRD",35.4,1.52038,0.8346
"HER14L_0ka","HER14L_2A","GRD",35.6,1.5231,0.9487
"HER14L_0ka","HER14L_2A","GRD",35.8,1.52582,0.9606
"HER14L_0ka","HER14L_2A","GRD",36,1.52853,0.9561
"HER14L_0ka","HER14L_2A","GRD",36.2,1.53125,0.9405
"HER14L_0ka","HER14L_2A","GRD",36.4,1.53397,0.9709
"HER14L_0ka","HER14L_2A","GRD",36.6,1.53669,0.9289
"HER14L_0ka","HER14L_2A","GRD",36.8,1.53941,0.9358
"HER14L_0ka","HER14L_2A","GRD",37,1.54212,0.89
"HER14L_0ka","HER14L_2A","GRD",37.2,1.54484,0.8518
"HER14L_0ka","HER14L_2A","GRD",37.4,1.54756,0.9231
"HER14L_0ka","HER14L_2A","GRD",37.6,1.55028,0.8874
"HER14L_0ka","HER14L_2A","GRD",37.8,1.55299,0.9274
"HER14L_0ka","HER14L_2A","GRD",38,1.55571,0.9581
"HER14L_0ka","HER14L_2A","GRD",38.2,1.55843,1.0493
"HER14L_0ka","HER14L_2A","GRD",38.4,1.56115,0.9462
"HER14L_0ka","HER14L_2A","GRD",38.6,1.56387,0.9021
"HER14L_0ka","HER14L_2A","GRD",38.8,1.56658,0.9009
"HER14L_0ka","HER14L_2A","GRD",39,1.5693,0.8789
"HER14L_0ka","HER14L_2A","GRD",39.2,1.57202,0.9062
"HER14L_0ka","HER14L_2A","GRD",39.4,1.57474,0.8541
"HER14L_0ka","HER14L_2A","GRD",39.6,1.57745,0.9198
"HER14L_0ka","HER14L_2A","GRD",39.8,1.58017,0.9218
"HER14L_0ka","HER14L_2A","GRD",40,1.58289,0.8971
"HER14L_0ka","HER14L_2A","GRD",40.2,1.58454,0.8347
"HER14L_0ka","HER14L_2A","GRD",40.4,1.58619,0.8895
"HER14L_0ka","HER14L_2A","GRD",40.6,1.58785,0.8298
"HER14L_0ka","HER14L_2A","GRD",40.8,1.5895,0.8357
"HER14L_0ka","HER14L_2A","GRD",41,1.59115,0.8313
"HER14L_0ka","HER14L_2A","GRD",41.2,1.5928,0.801
"HER14L_0ka","HER14L_2A","GRD",41.4,1.59445,0.8503
"HER14L_0ka","HER14L_2A","GRD",41.6,1.59611,0.8311
"HER14L_0ka","HER14L_2A","GRD",41.8,1.59776,0.8806
"HER14L_0ka","HER14L_2A","GRD",42,1.59941,0.802
"HER14L_0ka","HER14L_2A","GRD",42.2,1.60106,0.8046
"HER14L_0ka","HER14L_2A","GRD",42.4,1.60272,0.8493
"HER14L_0ka","HER14L_2A","GRD",42.6,1.60437,0.8427
"HER14L_0ka","HER14L_2A","GRD",42.8,1.60602,0.8359
"HER14L_0ka","HER14L_2A","GRD",43,1.60767,0.8593
"HER14L_0ka","HER14L_2A","GRD",43.2,1.60932,0.8559
"HER14L_0ka","HER14L_2A","GRD",43.4,1.61098,0.9199
"HER14L_0ka","HER14L_2A","GRD",43.6,1.61263,0.902
"HER14L_0ka","HER14L_2A","GRD",43.8,1.61428,0.8817
"HER14L_0ka","HER14L_2A","GRD",44,1.61593,0.8283
"HER14L_0ka","HER14L_2A","GRD",44.2,1.61758,0.843
"HER14L_0ka","HER14L_2A","GRD",44.4,1.61924,0.8825
"HER14L_0ka","HER14L_2A","GRD",44.6,1.62089,0.8752
"HER14L_0ka","HER14L_2A","GRD",44.8,1.62254,0.9041
"HER14L_0ka","HER14L_2B","GRD",45,1.62419,0.885
"HER14L_0ka","HER14L_2B","GRD",45.2,1.62585,0.8805
"HER14L_0ka","HER14L_2B","GRD",45.4,1.6275,0.8498
"HER14L_0ka","HER14L_2B","GRD",45.6,1.62915,0.8445
"HER14L_0ka","HER14L_2B","GRD",45.8,1.6308,0.9019
"HER14L_0ka","HER14L_2B","GRD",46,1.63245,0.8823
"HER14L_0ka","HER14L_2B","GRD",46.2,1.63411,0.9341
"HER14L_0ka","HER14L_2B","GRD",46.4,1.63576,0.874
"HER14L_0ka","HER14L_2B","GRD",46.6,1.63741,0.8554
"HER14L_0ka","HER14L_2B","GRD",46.8,1.63906,0.8649
"HER14L_0ka","HER14L_2B","GRD",47,1.64071,0.8937
"HER14L_0ka","HER14L_2B","GRD",47.2,1.64237,1.0953
"HER14L_0ka","HER14L_2B","GRD",47.4,1.64402,0.9429
"HER14L_0ka","HER14L_2B","GRD",47.6,1.64567,0.9659
"HER14L_0ka","HER14L_2B","GRD",47.8,1.64732,1.0161
"HER14L_0ka","HER14L_2B","GRD",48,1.64898,0.9668
"HER14L_0ka","HER14L_2B","GRD",48.2,1.65063,0.981
"HER14L_0ka","HER14L_2B","GRD",48.4,1.65228,0.8967
"HER14L_0ka","HER14L_2B","GRD",48.6,1.65393,0.8717
"HER14L_0ka","HER14L_2B","GRD",48.8,1.65558,0.8727
"HER14L_0ka","HER14L_2B","GRD",49,1.65724,0.8742
"HER14L_0ka","HER14L_2B","GRD",49.2,1.65889,0.846
"HER14L_0ka","HER14L_2B","GRD",49.4,1.66054,0.8908
"HER14L_0ka","HER14L_2B","GRD",49.6,1.66219,0.854
"HER14L_0ka","HER14L_2B","GRD",49.8,1.66384,0.769
"HER14L_0ka","HER14L_2B","GRD",50,1.6655,0.8215
"HER14L_0ka","HER14L_2B","GRD",50.2,1.66628,0.8041
"HER14L_0ka","HER14L_2B","GRD",50.4,1.66707,0.8467
"HER14L_0ka","HER14L_2B","GRD",50.6,1.66786,0.8919
"HER14L_0ka","HER14L_2B","GRD",50.8,1.66865,0.8806
"HER14L_0ka","HER14L_2B","GRD",51,1.66944,0.9002
"HER14L_0ka","HER14L_2B","GRD",51.2,1.67022,0.8588
"HER14L_0ka","HER14L_2B","GRD",51.4,1.67101,0.8253
"HER14L_0ka","HER14L_2B","GRD",51.6,1.6718,0.8843
"HER14L_0ka","HER14L_2B","GRD",51.8,1.67259,1.0392
"HER14L_0ka","HER14L_2B","GRD",52,1.67338,1.325
"HER14L_0ka","HER14L_2B","GRD",52.2,1.67416,0.8515
"HER14L_0ka","HER14L_2B","GRD",52.4,1.67495,0.8233
"HER14L_0ka","HER14L_2B","GRD",52.6,1.67574,0.8348
"HER14L_0ka","HER14L_2B","GRD",52.8,1.67653,0.8881
"HER14L_0ka","HER14L_2B","GRD",53,1.67732,0.8057
"HER14L_0ka","HER14L_2B","GRD",53.2,1.6781,0.7739
"HER14L_0ka","HER14L_2B","GRD",53.4,1.67889,0.8937
"HER14L_0ka","HER14L_2B","GRD",53.6,1.67968,0.9059
"HER14L_0ka","HER14L_2B","GRD",53.8,1.68047,1.2411
"HER14L_0ka","HER14L_2B","GRD",54,1.68126,1.0224
"HER14L_0ka","HER14L_2B","GRD",54.2,1.68204,0.9592
"HER14L_0ka","HER14L_2B","GRD",54.4,1.68283,0.9094
"HER14L_0ka","HER14L_2B","GRD",54.6,1.68362,0.8637
"HER14L_0ka","HER14L_2B","GRD",54.8,1.68441,0.9334
"HER14L_0ka","HER14L_2B","GRD",55,1.68519,0.9755
"HER14L_0ka","HER14L_2B","GRD",55.2,1.68598,0.8652
"HER14L_0ka","HER14L_2B","GRD",55.4,1.68677,0.8401
"HER14L_0ka","HER14L_2B","GRD",55.6,1.68756,0.88
"HER14L_0ka","HER14L_2B","GRD",55.8,1.68835,0.8964
"HER14L_0ka","HER14L_2B","GRD",56,1.68913,0.8901
"HER14L_0ka","HER14L_2B","GRD",56.2,1.68992,0.8617
"HER14L_0ka","HER14L_2B","GRD",56.4,1.69071,0.8924
"HER14L_0ka","HER14L_2B","GRD",56.6,1.6915,0.8325
"HER14L_0ka","HER14L_2B","GRD",56.8,1.69229,0.8683
"HER14L_0ka","HER14L_2B","GRD",57,1.69307,0.8758
"HER14L_0ka","HER14L_2B","GRD",57.2,1.69386,0.8604
"HER14L_0ka","HER14L_2B","GRD",57.4,1.69465,0.8225
"HER14L_0ka","HER14L_2B","GRD",57.6,1.69544,0.8538
"HER14L_0ka","HER14L_2B","GRD",57.8,1.69623,0.8826
"HER14L_0ka","HER14L_2B","GRD",58,1.69701,0.8922
"HER14L_0ka","HER14L_2B","GRD",58.2,1.6978,0.8249
"HER14L_0ka","HER14L_2B","GRD",58.4,1.69859,0.8771
"HER14L_0ka","HER14L_2B","GRD",58.6,1.69938,0.8993
"HER14L_0ka","HER14L_2B","GRD",58.8,1.70017,0.9301
"HER14L_0ka","HER14L_2B","GRD",59,1.70095,0.8526
"HER14L_0ka","HER14L_2B","GRD",59.2,1.70174,0.8898
"HER14L_0ka","HER14L_2B","GRD",59.4,1.70253,0.9098
"HER14L_0ka","HER14L_2B","GRD",59.6,1.70332,0.8794
"HER14L_0ka","HER14L_2B","GRD",59.8,1.7041,0.8894
"HER14L_0ka","HER14L_2B","GRD",60,1.70489,0.8491
"HER14L_0ka","HER14L_2B","GRD",60.2,1.70628,0.8236
"HER14L_0ka","HER14L_2B","GRD",60.4,1.70766,0.7959
"HER14L_0ka","HER14L_2B","GRD",60.6,1.70904,0.857
"HER14L_0ka","HER14L_2B","GRD",60.8,1.71042,0.9672
"HER14L_0ka","HER14L_2B","GRD",61,1.71181,0.8504
"HER14L_0ka","HER14L_2B","GRD",61.2,1.71319,0.9695
"HER14L_0ka","HER14L_2B","GRD",61.4,1.71457,1.0034
"HER14L_0ka","HER14L_2B","GRD",61.6,1.71596,0.9617
"HER14L_0ka","HER14L_2B","GRD",61.8,1.71734,0.877
"HER14L_0ka","HER14L_2B","GRD",62,1.71872,0.8824
"HER14L_0ka","HER14L_2B","GRD",62.2,1.72011,0.8976
"HER14L_0ka","HER14L_2B","GRD",62.4,1.72149,0.8406
"HER14L_0ka","HER14L_2B","GRD",62.6,1.72287,0.8148
"HER14L_0ka","HER14L_2B","GRD",62.8,1.72426,0.861
"HER14L_0ka","HER14L_2B","GRD",63,1.72564,0.8934
"HER14L_0ka","HER14L_2B","GRD",63.2,1.72702,0.856
"HER14L_0ka","HER14L_2B","GRD",63.4,1.7284,0.8652
"HER14L_0ka","HER14L_2B","GRD",63.6,1.72979,0.9259
"HER14L_0ka","HER14L_2B","GRD",63.8,1.73117,0.8721
"HER14L_0ka","HER14L_2B","GRD",64,1.73255,0.8466
"HER14L_0ka","HER14L_2B","GRD",64.2,1.73394,0.8923
"HER14L_0ka","HER14L_2B","GRD",64.4,1.73532,0.8004
"HER14L_0ka","HER14L_2B","GRD",64.6,1.7367,0.7969
"HER14L_0ka","HER14L_2B","GRD",64.8,1.73809,0.8292
"HER14L_0ka","HER14L_2B","GRD",65,1.73947,0.8437
"HER14L_0ka","HER14L_2B","GRD",65.2,1.74085,0.8307
"HER14L_0ka","HER14L_2B","GRD",65.4,1.74224,0.83
"HER14L_0ka","HER14L_2B","GRD",65.6,1.74362,0.8158
"HER14L_0ka","HER14L_2B","GRD",65.8,1.745,0.8062
"HER14L_0ka","HER14L_2B","GRD",66,1.74638,0.8445
"HER14L_0ka","HER14L_2B","GRD",66.2,1.74777,0.8431
"HER14L_0ka","HER14L_2B","GRD",66.4,1.74915,0.8567
"HER14L_0ka","HER14L_2B","GRD",66.6,1.75053,0.7983
"HER14L_0ka","HER14L_2B","GRD",66.8,1.75192,0.8089
"HER14L_0ka","HER14L_2B","GRD",67,1.7533,0.8236
"HER14L_0ka","HER14L_2B","GRD",67.2,1.75468,0.827
"HER14L_0ka","HER14L_2B","GRD",67.4,1.75607,0.8652
"HER14L_0ka","HER14L_2B","GRD",67.6,1.75745,0.8795
"HER14L_0ka","HER14L_2B","GRD",67.8,1.75883,0.8601
"HER14L_0ka","HER14L_2B","GRD",68,1.76022,0.8766
"HER14L_0ka","HER14L_2B","GRD",68.2,1.7616,0.8727
"HER14L_0ka","HER14L_2B","GRD",68.4,1.76298,0.8627
"HER14L_0ka","HER14L_2B","GRD",68.6,1.76436,0.8565
"HER14L_0ka","HER14L_2B","GRD",68.8,1.76575,0.8657
"HER14L_0ka","HER14L_2B","GRD",69,1.76713,0.8994
"HER14L_0ka","HER14L_2B","GRD",69.2,1.76851,1.039
"HER14L_0ka","HER14L_2B","GRD",69.4,1.7699,1.1362
"HER14L_0ka","HER14L_2B","GRD",69.6,1.77128,1.0491
"HER14L_0ka","HER14L_2B","GRD",69.8,1.77266,1.0976
"HER14L_0ka","HER14L_2B","GRD",70,1.77405,1.0642
"HER14L_0ka","HER14L_2B","GRD",70.2,1.77543,0.9653
"HER14L_0ka","HER14L_2B","GRD",70.4,1.77681,0.9589
"HER14L_0ka","HER14L_2B","GRD",70.6,1.77819,0.9325
"HER14L_0ka","HER14L_2B","GRD",70.8,1.77958,0.8582
"HER14L_0ka","HER14L_2B","GRD",71,1.78096,0.864
"HER14L_0ka","HER14L_2B","GRD",71.2,1.78234,0.9232
"HER14L_0ka","HER14L_2B","GRD",71.4,1.78373,0.9307
"HER14L_0ka","HER14L_2B","GRD",71.6,1.78511,0.9792
"HER14L_0ka","HER14L_2B","GRD",71.8,1.78649,0.9733
"HER14L_0ka","HER14L_2B","GRD",72,1.78788,0.8484
"HER14L_0ka","HER14L_2B","GRD",72.2,1.78926,0.8497
"HER14L_0ka","HER14L_2B","GRD",72.4,1.79064,0.8009
"HER14L_0ka","HER14L_2B","GRD",72.6,1.79203,0.8629
"HER14L_0ka","HER14L_2B","GRD",72.8,1.79341,0.9023
"HER14L_0ka","HER14L_2B","GRD",73,1.79479,0.902
"HER14L_0ka","HER14L_2B","GRD",73.2,1.79617,0.8711
"HER14L_0ka","HER14L_2B","GRD",73.4,1.79756,0.8583
"HER14L_0ka","HER14L_2B","GRD",73.6,1.79894,0.8671
"HER14L_0ka","HER14L_2B","GRD",73.8,1.80032,0.8738
"HER14L_0ka","HER14L_2B","GRD",74,1.80171,0.8807
"HER14L_0ka","HER14L_2B","GRD",74.2,1.80309,0.8594
"HER14L_0ka","HER14L_2B","GRD",74.4,1.80447,0.857
"HER14L_0ka","HER14L_2B","GRD",74.6,1.80586,0.8485
"HER14L_0ka","HER14L_2B","GRD",74.8,1.80724,0.8546
"HER14L_0ka","HER14L_2B","GRD",75,1.80862,0.8465
"HER14L_0ka","HER14L_2B","GRD",75.2,1.81001,0.8479
"HER14L_0ka","HER14L_2B","GRD",75.4,1.81139,0.8598
"HER14L_0ka","HER14L_2B","GRD",75.6,1.81277,0.879
"HER14L_0ka","HER14L_2B","GRD",75.8,1.81415,0.8917
"HER14L_0ka","HER14L_2B","GRD",76,1.81554,0.9437
"HER14L_10ka","HER14L_2B","GRD",76.1,10.7793,0.9645
"HER14L_10ka","HER14L_2B","GRD",76.3,10.80508,0.9742
"HER14L_10ka","HER14L_2B","GRD",76.5,10.83085,0.932
"HER14L_10ka","HER14L_2B","GRD",76.7,10.85663,0.9097
"HER14L_10ka","HER14L_2B","GRD",76.9,10.88241,0.8849
"HER14L_10ka","HER14L_2B","GRD",77.1,10.90818,0.8458
"HER14L_10ka","HER14L_2B","GRD",77.3,10.93396,0.8606
"HER14L_10ka","HER14L_2B","GRD",77.5,10.95974,0.8326
"HER14L_10ka","HER14L_2B","GRD",77.7,10.98551,0.8413
"HER14L_10ka","HER14L_2B","GRD",77.9,11.01129,0.8896
"HER14L_10ka","HER14L_2B","GRD",78.1,11.03707,0.8751
"HER14L_10ka","HER14L_2B","GRD",78.3,11.06284,0.9142
"HER14L_10ka","HER14L_2B","GRD",78.5,11.08862,0.904
"HER14L_10ka","HER14L_2B","GRD",78.7,11.1144,0.9125
"HER14L_10ka","HER14L_2B","GRD",78.9,11.14018,0.8934
"HER14L_10ka","HER14L_2B","GRD",79.1,11.16595,0.8807
"HER14L_10ka","HER14L_2B","GRD",79.3,11.19173,0.8632
