SITE,SECTION_ID,MSCL_ID,RCT,SB_DEPTH,SECT_NUM,SECT_DEPTH,Field_depth,Strat_depth,SH20_min_age_95CI,SH20_max_age_95CI,SH20_median_age,SH20_mean_age,Accum_rate,CT,PWAmp_SAT,PWVel_SAT,Den1_SAT,MS1_SAT,DCMS1_SAT,Imp_SAT,FP_SAT,RES_SAT,PWAmp_UNSAT,PWVel_UNSAT,Den1_UNSAT,MS1_UNSAT,DCMS1_UNSAT,Imp_UNSAT,FP_UNSAT,RES_UNSAT,PWAmp_SAT_UNSAT,PWVel_SAT_UNSAT,Den1_SAT_UNSAT,MS1_SAT_UNSAT,DCMS1_SAT_UNSAT,Imp_SAT_UNSAT,FP_SAT_UNSAT,RES_SAT_UNSAT,WMAR_SAT,WMAR_UNSAT,WMAR_Mean
HER14L,HER14L_2A,HER14L-2A_156,2.9,76,1,76,15.5,15.5,773.58,1103.92,940.79,939.26,0.031446541,2.464,0,1453.687,0.8462,-1.8,-2.1,1230.165,1.0932,0.5199,0,1453.687,1.5847,-1.8,-1.1,2303.691,0.6456,0.5199,0,1453.7,1.2155,-1.8,-1.6,1766.9,0.9,0.5,0.026610063,0.049833333,0.038221698
HER14L,HER14L_2A,HER14L-2A_157,2.9,76.1,1,76.1,15.6,15.6,774.13,1110.14,944.18,942.44,0.031545741,2.462,0,1448.235,0.8451,-1.8,-2.1,1223.839,1.0939,0.5199,0,1448.235,1.5846,-1.8,-1.1,2294.938,0.6457,0.5199,0,1448.2,1.2149,-1.8,-1.6,1759.4,0.9,0.5,0.026659306,0.049987382,0.038323344
HER14L,HER14L_2A,HER14L-2A_158,2.9,76.2,1,76.2,15.7,15.7,774.24,1116,947.5,945.61,0.031545741,2.462,0,1448.235,0.8638,-1.7,-2,1251.043,1.0825,0.5131,0,1448.235,1.5983,-1.7,-1.1,2314.774,0.6374,0.5131,0,1448.2,1.2311,-1.7,-1.5,1782.9,0.9,0.5,0.027249211,0.050419558,0.038834385
HER14L,HER14L_2A,HER14L-2A_159,2.9,76.3,1,76.3,15.8,15.8,774.41,1122.43,950.2,948.78,0.031545741,2.463,0,1448.824,0.8977,-1.9,-2.1,1300.679,1.062,0.5199,0,1448.824,1.6226,-1.9,-1.2,2350.841,0.6227,0.5199,0,1448.8,1.2602,-1.9,-1.6,1825.8,0.8,0.5,0.028318612,0.05118612,0.039752366
HER14L,HER14L_2A,HER14L-2A_160,2.9,76.4,1,76.4,15.9,15.9,774.9,1128.87,953.48,951.95,0.031545741,2.458,0,1450.148,0.8681,-1.8,-2.1,1258.849,1.08,0.5199,0,1450.148,1.603,-1.8,-1.1,2324.598,0.6345,0.5199,0,1450.1,1.2356,-1.8,-1.6,1791.7,0.9,0.5,0.027384858,0.050567823,0.038976341
HER14L,HER14L_2A,HER14L-2A_161,2.9,76.5,1,76.5,16,16,775.13,1135.24,956.62,955.12,0.031545741,2.462,0,1452.507,0.8348,-1.9,-2.3,1212.553,1.1001,0.5199,0,1452.507,1.5772,-1.9,-1.2,2290.828,0.6502,0.5199,0,1452.5,1.206,-1.9,-1.7,1751.7,0.9,0.5,0.026334385,0.049753943,0.038044164
HER14L,HER14L_2A,HER14L-2A_162,2.9,76.6,1,76.6,16.1,16.1,775.3,1141.71,960.13,958.29,0.031545741,2.465,0,1458.58,0.8347,-1.8,-2.2,1217.496,1.1002,0.513,0,1458.58,1.5759,-1.8,-1.1,2298.596,0.651,0.513,0,1458.6,1.2053,-1.8,-1.6,1758,0.9,0.5,0.02633123,0.049712934,0.038022082
HER14L,HER14L_2A,HER14L-2A_163,2.9,76.7,1,76.7,16.2,16.2,775.51,1147.81,963.37,961.46,0.031545741,2.466,0,1454.867,0.8833,-1.8,-2,1285.052,1.0707,0.5064,0,1454.867,1.6109,-1.8,-1.1,2343.651,0.6298,0.5064,0,1454.9,1.2471,-1.8,-1.6,1814.4,0.9,0.5,0.027864353,0.050817035,0.039340694
HER14L,HER14L_2A,HER14L-2A_164,2.9,76.8,1,76.8,16.3,16.3,776.36,1153.89,966.82,964.63,0.031545741,2.473,0,1458.997,0.876,-1.8,-2.1,1278.133,1.0751,0.513,0,1458.997,1.6029,-1.8,-1.1,2338.625,0.6346,0.513,0,1459,1.2395,-1.8,-1.6,1808.4,0.9,0.5,0.027634069,0.050564669,0.039099369
HER14L,HER14L_2A,HER14L-2A_165,2.9,76.9,1,76.9,16.4,16.4,777.55,1160.73,970.23,967.8,0.031545741,2.474,0,1455.294,0.8531,-1.8,-2.1,1241.492,1.089,0.5063,0,1455.294,1.5858,-1.8,-1.1,2307.815,0.645,0.5063,0,1455.3,1.2195,-1.8,-1.6,1774.7,0.9,0.5,0.026911672,0.050025237,0.038468454
HER14L,HER14L_2A,HER14L-2A_166,2.9,77,1,77,16.5,16.5,778.35,1166.61,973.45,970.97,0.031545741,2.476,0,1456.471,0.8431,-1.9,-2.3,1227.903,1.0951,0.5064,0,1456.471,1.5777,-1.9,-1.2,2297.905,0.6499,0.5064,0,1456.5,1.2104,-1.9,-1.7,1762.9,0.9,0.5,0.026596215,0.049769716,0.038182965
HER14L,HER14L_2A,HER14L-2A_167,2.9,77.1,1,77.1,16.6,16.6,778.79,1172.49,976.58,974.14,0.031545741,2.479,0,1453.959,0.8291,-1.9,-2.3,1205.442,1.1036,0.5063,0,1453.959,1.5663,-1.9,-1.2,2277.392,0.6568,0.5063,0,1454,1.1977,-1.9,-1.8,1741.4,0.9,0.5,0.026154574,0.049410095,0.037782334
HER14L,HER14L_2A,HER14L-2A_168,2.9,77.2,1,77.2,16.7,16.7,779.36,1178.33,979.31,977.31,0.031545741,2.483,0,1456.305,0.8725,-1.8,-2.1,1270.637,1.0773,0.5063,0,1456.305,1.5964,-1.8,-1.1,2324.908,0.6385,0.5063,0,1456.3,1.2345,-1.8,-1.6,1797.8,0.9,0.5,0.027523659,0.050359621,0.03894164
HER14L,HER14L_2A,HER14L-2A_169,2.9,77.3,1,77.3,16.8,16.8,779.65,1184.4,982.29,980.48,0.031545741,2.484,0,1452.632,0.8693,-1.8,-2.1,1262.814,1.0792,0.5063,0,1452.632,1.5937,-1.8,-1.1,2315.125,0.6402,0.5063,0,1452.6,1.2315,-1.8,-1.6,1789,0.9,0.5,0.027422713,0.050274448,0.03884858
HER14L,HER14L_2A,HER14L-2A_170,2.9,77.4,1,77.4,16.9,16.9,779.94,1190.85,985.28,983.65,0.031545741,2.495,0,1459.065,0.8589,-1.8,-2.1,1253.254,1.0855,0.5063,0,1459.065,1.582,-1.8,-1.1,2308.173,0.6473,0.5063,0,1459.1,1.2205,-1.8,-1.6,1780.7,0.9,0.5,0.027094637,0.049905363,0.0385
HER14L,HER14L_2A,HER14L-2A_171,2.9,77.5,1,77.5,17,17,780.23,1197.31,988.65,986.82,0.031545741,2.482,0,1451.462,0.8513,-1.7,-2,1235.586,1.0901,0.5064,0,1451.462,1.5814,-1.7,-1.1,2295.306,0.6477,0.5064,0,1451.5,1.2164,-1.7,-1.5,1765.4,0.9,0.5,0.02685489,0.049886435,0.038370662
HER14L,HER14L_2A,HER14L-2A_172,2.9,77.6,1,77.6,17.1,17.1,780.52,1203.77,991.7,989.99,0.031545741,2.483,0,1447.814,0.8565,-1.9,-2.2,1240.101,1.0869,0.4999,0,1447.814,1.5848,-1.9,-1.2,2294.528,0.6456,0.4999,0,1447.8,1.2207,-1.9,-1.7,1767.3,0.9,0.5,0.027018927,0.049993691,0.038506309
