SITE,SECTION_ID,MSCL_ID,RCT,SB_DEPTH_CULM,SECT_NUM,SECT DEPTH,Field_depth,Strat_depth,CT,PWAmp_SAT,PWVel_SAT,Den1_SAT,MS1_SAT,DCMS1_SAT,Imp_SAT,FP_SAT,RES_SAT,PWAmp_UNSAT,PWVel_UNSAT,Den1_UNSAT,MS1_UNSAT,DCMS1_UNSAT,Imp_UNSAT,FP_UNSAT,RES_UNSAT,PWAmp_SAT_UNSAT,PWVel_SAT_UNSAT,Den1_SAT_UNSAT,MS1_SAT_UNSAT,DCMS1_SAT_UNSAT,Imp_SAT_UNSAT,FP_SAT_UNSAT,RES_SAT_UNSAT
HER49L,HER49L9_1A,HER49L9_1A_11,2.9,1.2,1,51.3,6,6,2.354,0,636.9048,1.3211,0.6,0.5,841.4336,0.8054,0.8373,0,636.9048,1.9532,0.6,0.3,1243.987,0.4223,0.8373,0,636.9,1.6372,0.6,0.4,1042.7,0.6,0.8
HER49L,HER49L9_1A,HER49L9_1A_12,2.9,1.3,1,51.4,6.1,6.1,2.356,0,530.5112,1.2936,0.6,0.5,686.2477,0.8221,0.8373,0,530.5112,1.9396,0.6,0.3,1028.977,0.4305,0.8373,0,530.5,1.6166,0.6,0.4,857.6,0.6,0.8
HER49L,HER49L9_1A,HER49L9_1A_13,2.9,1.4,1,51.5,6.2,6.2,2.307,0,630.1557,1.2532,0.6,0.5,789.7111,0.8465,0.8373,0,630.1557,1.9506,0.6,0.3,1229.21,0.4239,0.8373,0,630.2,1.6019,0.6,0.4,1009.5,0.6,0.8
HER49L,HER49L9_1A,HER49L9_1A_14,2.9,1.5,1,51.6,6.3,6.3,2.26,0,433.698,1.3583,0.4,0.3,589.0778,0.7829,0.8161,0,433.698,2.0264,0.4,0.2,878.8342,0.378,0.8161,0,433.7,1.6924,0.4,0.2,734,0.6,0.8
HER49L,HER49L9_1A,HER49L9_1A_15,2.9,1.6,1,51.7,6.4,6.4,2.274,0,433.8867,1.1838,0.3,0.3,513.6194,0.8886,0.796,0,433.8867,1.9409,0.3,0.2,842.1517,0.4297,0.796,0,433.9,1.5624,0.3,0.2,677.9,0.7,0.8
HER49L,HER49L9_1A,HER49L9_1A_16,2.9,1.7,1,51.8,6.5,6.5,2.29,0,431.5869,1.1464,0.2,0.2,494.7778,0.9113,0.796,0,431.5869,1.915,0.2,0.1,826.4952,0.4454,0.796,0,431.6,1.5307,0.2,0.1,660.6,0.7,0.8
HER49L,HER49L9_1A,HER49L9_1A_17,2.9,1.8,1,51.9,6.6,6.6,2.308,0,464.7604,0.9806,0,0,455.7465,1.0118,0.796,0,464.7604,1.8355,0,0,853.0687,0.4936,0.796,0,464.8,1.4081,0,0,654.4,0.8,0.8
HER49L,HER49L9_1A,HER49L9_1A_18,2.9,1.9,1,52,6.7,6.7,2.333,0,474.0906,0.9079,-0.2,-0.2,430.42,1.0558,0.7586,0,474.0906,1.7913,-0.2,-0.1,849.2306,0.5204,0.7586,0,474.1,1.3496,-0.2,-0.2,639.8,0.8,0.8
HER49L,HER49L9_1A,HER49L9_1A_19,2.9,2,1,52.1,6.8,6.8,2.347,0,471.664,0.8839,-0.3,-0.3,416.9187,1.0703,0.7586,0,471.664,1.7734,-0.3,-0.2,836.451,0.5313,0.7586,0,471.7,1.3287,-0.3,-0.3,626.7,0.8,0.8
HER49L,HER49L9_1A,HER49L9_1A_20,2.9,2.1,1,52.2,6.9,6.9,2.363,0,439.9553,0.8368,-0.2,-0.2,368.1724,1.0989,0.7586,0,439.9553,1.7457,-0.2,-0.1,768.0084,0.5481,0.7586,0,440,1.2913,-0.2,-0.2,568.1,0.8,0.8
HER49L,HER49L9_1A,HER49L9_1A_21,2.9,2.2,1,52.3,7,7,2.377,0,438.076,0.8524,-0.2,-0.2,373.437,1.0894,0.7411,0,438.076,1.7432,-0.2,-0.1,763.6542,0.5496,0.7411,0,438.1,1.2978,-0.2,-0.2,568.5,0.8,0.7
HER49L,HER49L9_1A,HER49L9_1A_22,2.9,2.3,1,52.4,7.1,7.1,2.388,0,438.89,0.8187,-0.2,-0.2,359.3266,1.1099,0.7244,0,438.89,1.7238,-0.2,-0.1,756.5714,0.5613,0.7244,0,438.9,1.2713,-0.2,-0.2,557.9,0.8,0.7
HER49L,HER49L9_1A,HER49L9_1A_23,2.9,2.4,1,52.5,7.2,7.2,2.397,0,482.1967,0.9016,-0.2,-0.2,434.7663,1.0596,0.7085,0,482.1967,1.7505,-0.2,-0.1,844.0816,0.5452,0.7085,0,482.2,1.3261,-0.2,-0.2,639.4,0.8,0.7
HER49L,HER49L9_1A,HER49L9_1A_24,2.9,2.5,1,52.6,7.3,7.3,2.399,0,504.4155,0.8811,-0.1,-0.1,444.4414,1.0721,0.7086,0,504.4155,1.7413,-0.1,-0.1,878.3381,0.5507,0.7086,0,504.4,1.3112,-0.1,-0.1,661.4,0.8,0.7
HER49L,HER49L9_1A,HER49L9_1A_25,2.9,2.6,1,52.7,7.4,7.4,2.412,0,499.2755,0.896,-0.4,-0.4,447.3657,1.063,0.6932,0,499.2755,1.7396,-0.4,-0.2,868.5427,0.5518,0.6932,0,499.3,1.3178,-0.4,-0.3,658,0.8,0.7
HER49L,HER49L9_1A,HER49L9_1A_26,2.9,2.7,1,52.8,7.5,7.5,2.415,0,473.4366,0.774,-0.6,-0.8,366.4239,1.137,0.6786,0,473.4366,1.6912,-0.6,-0.4,800.6827,0.5811,0.6786,0,473.4,1.2326,-0.6,-0.6,583.6,0.9,0.7
HER49L,HER49L9_1A,HER49L9_1A_27,2.9,2.8,1,52.9,7.6,7.6,2.43,0,541.0822,0.9035,-0.9,-1,488.8571,1.0585,0.6645,0,541.0822,1.7323,-0.9,-0.5,937.2991,0.5562,0.6645,0,541.1,1.3179,-0.9,-0.8,713.1,0.8,0.7
HER49L,HER49L9_1A,HER49L9_1A_28,2.9,2.9,1,53,7.7,7.7,2.445,0,576.515,0.8015,-1.1,-1.4,462.0552,1.1203,0.6511,0,576.515,1.6843,-1.1,-0.7,971.0443,0.5853,0.6511,0,576.5,1.2429,-1.1,-1,716.5,0.9,0.7
HER49L,HER49L9_1A,HER49L9_1A_29,2.9,3,1,53.1,7.8,7.8,2.459,0,502.7602,0.8631,-1.1,-1.3,433.9453,1.083,0.6381,0,502.7602,1.7002,-1.1,-0.6,854.7845,0.5756,0.6381,0,502.8,1.2817,-1.1,-1,644.4,0.8,0.6
HER49L,HER49L9_1A,HER49L9_1A_30,2.9,3.1,1,53.2,7.9,7.9,2.467,0,816.6171,0.7998,-1.1,-1.4,653.092,1.1214,0.6382,0,816.6171,1.6714,-1.1,-0.7,1364.873,0.5931,0.6382,0,816.6,1.2356,-1.1,-1,1009,0.9,0.6
HER49L,HER49L9_1A,HER49L9_1A_31,2.9,3.2,1,53.3,8,8,2.478,0,825.7249,0.8195,-1.1,-1.3,676.6685,1.1094,0.6256,0,825.7249,1.6728,-1.1,-0.7,1381.299,0.5922,0.6256,0,825.7,1.2462,-1.1,-1,1029,0.9,0.6
HER49L,HER49L9_1A,HER49L9_1A_32,2.9,3.3,1,53.4,8.1,8.1,2.491,0,1310.363,0.7595,-1.1,-1.4,995.218,1.1458,0.6136,0,1310.363,1.643,-1.1,-0.7,2152.956,0.6103,0.6136,0,1310.4,1.2013,-1.1,-1.1,1574.1,0.9,0.6
HER49L,HER49L9_1A,HER49L9_1A_33,2.9,3.4,1,53.5,8.2,8.2,2.569,0,1362.142,0.8379,-1.2,-1.4,1141.372,1.0982,0.6137,0,1362.142,1.632,-1.2,-0.7,2222.99,0.617,0.6137,0,1362.1,1.235,-1.2,-1.1,1682.2,0.9,0.6
HER49L,HER49L9_1A,HER49L9_1A_34,2.9,3.5,1,53.6,8.3,8.3,2.657,0,1416.311,0.8597,-1.2,-1.4,1217.61,1.085,0.6021,0,1416.311,1.5976,-1.2,-0.8,2262.658,0.6378,0.6021,0,1416.3,1.2287,-1.2,-1.1,1740.1,0.9,0.6
HER49L,HER49L9_1A,HER49L9_1A_35,2.9,3.6,1,53.7,8.4,8.4,2.638,0,1409.941,0.7798,-1.3,-1.7,1099.451,1.1335,0.5911,0,1409.941,1.5752,-1.3,-0.8,2220.963,0.6514,0.5911,0,1409.9,1.1775,-1.3,-1.2,1660.2,0.9,0.6
HER49L,HER49L9_1A,HER49L9_1A_36,2.9,3.7,1,53.8,8.5,8.5,2.637,0,1424.635,0.8098,-1.4,-1.7,1153.643,1.1153,0.5803,0,1424.635,1.5873,-1.4,-0.9,2261.379,0.644,0.5803,0,1424.6,1.1986,-1.4,-1.3,1707.5,0.9,0.6
HER49L,HER49L9_1A,HER49L9_1A_37,2.9,3.8,1,53.9,8.6,8.6,2.603,0,1406.267,0.8054,-1.5,-1.9,1132.572,1.118,0.5803,0,1406.267,1.6022,-1.5,-0.9,2253.174,0.635,0.5803,0,1406.3,1.2038,-1.5,-1.4,1692.9,0.9,0.6
HER49L,HER49L9_1A,HER49L9_1A_38,2.9,3.9,1,54,8.7,8.7,2.561,0,1383.577,0.822,-1.5,-1.8,1137.269,1.1079,0.57,0,1383.577,1.6298,-1.5,-0.9,2254.998,0.6183,0.57,0,1383.6,1.2259,-1.5,-1.4,1696.1,0.9,0.6
HER49L,HER49L9_1A,HER49L9_1A_39,2.9,4,1,54.1,8.8,8.8,2.546,0,1375.473,0.7749,-1.6,-2.1,1065.906,1.1364,0.57,0,1375.473,1.6195,-1.6,-1,2227.596,0.6245,0.57,0,1375.5,1.1972,-1.6,-1.5,1646.8,0.9,0.6
HER49L,HER49L9_1A,HER49L9_1A_40,2.9,4.1,1,54.2,8.9,8.9,2.563,0,1392.178,0.7923,-1.4,-1.8,1103.032,1.1259,0.56,0,1392.178,1.6174,-1.4,-0.9,2251.645,0.6258,0.56,0,1392.2,1.2049,-1.4,-1.3,1677.3,0.9,0.6
HER49L,HER49L9_1A,HER49L9_1A_41,2.9,4.2,1,54.3,9,9,2.561,0,1387.324,0.9706,-1.5,-1.5,1346.552,1.0178,0.5503,0,1387.324,1.6895,-1.5,-0.9,2343.942,0.5821,0.5503,0,1387.3,1.3301,-1.5,-1.2,1845.2,0.8,0.6
HER49L,HER49L9_1A,HER49L9_1A_42,2.9,4.3,1,54.4,9.1,9.1,2.568,0,1376.206,0.9443,-1.6,-1.7,1299.489,1.0338,0.5503,0,1376.206,1.6752,-1.6,-1,2305.36,0.5908,0.5503,0,1376.2,1.3098,-1.6,-1.3,1802.4,0.8,0.6
HER49L,HER49L9_1A,HER49L9_1A_43,2.9,4.4,1,54.5,9.2,9.2,2.547,0,1368.619,0.9295,-1.7,-1.8,1272.11,1.0427,0.541,0,1368.619,1.6798,-1.7,-1,2298.942,0.588,0.541,0,1368.6,1.3047,-1.7,-1.4,1785.5,0.8,0.5
HER49L,HER49L9_1A,HER49L9_1A_44,2.9,4.5,1,54.6,9.3,9.3,2.596,0,1394.949,0.9482,-1.7,-1.8,1322.655,1.0314,0.541,0,1394.949,1.6629,-1.7,-1,2319.653,0.5982,0.541,0,1394.9,1.3056,-1.7,-1.4,1821.2,0.8,0.5
HER49L,HER49L9_1A,HER49L9_1A_45,2.9,4.6,1,54.7,9.4,9.4,2.611,0,1414.41,0.8425,-1.6,-1.9,1191.615,1.0955,0.5319,0,1414.41,1.6128,-1.6,-1,2281.2,0.6286,0.5319,0,1414.4,1.2277,-1.6,-1.4,1736.4,0.9,0.5
HER49L,HER49L9_1A,HER49L9_1A_46,2.9,4.7,1,54.8,9.5,9.5,2.631,0,1429.115,0.9278,-1.6,-1.7,1325.991,1.0437,0.5319,0,1429.115,1.6376,-1.6,-1,2340.306,0.6136,0.5319,0,1429.1,1.2827,-1.6,-1.4,1833.1,0.8,0.5
HER49L,HER49L9_1A,HER49L9_1A_47,2.9,4.8,1,54.9,9.6,9.6,2.643,0,1439.542,0.9512,-1.6,-1.7,1369.239,1.0296,0.5232,0,1439.542,1.6416,-1.6,-1,2363.085,0.6112,0.5232,0,1439.5,1.2964,-1.6,-1.3,1866.2,0.8,0.5
HER49L,HER49L9_1A,HER49L9_1A_48,2.9,4.9,1,55,9.7,9.7,2.643,0,1443.474,0.9496,-1.7,-1.8,1370.783,1.0305,0.5232,0,1443.474,1.6409,-1.7,-1,2368.625,0.6116,0.5232,0,1443.5,1.2953,-1.7,-1.4,1869.7,0.8,0.5
HER49L,HER49L9_1A,HER49L9_1A_49,2.9,5,1,55.1,9.8,9.8,2.631,22,1440.855,0.9903,-1.7,-1.7,1426.923,1.0059,0.5232,22,1440.855,1.6636,-1.7,-1,2397.066,0.5978,0.5232,22,1440.9,1.327,-1.7,-1.4,1912,0.8,0.5
HER49L,HER49L9_1A,HER49L9_1A_50,2.9,5.1,1,55.2,9.9,9.9,2.61,48,1437.225,0.9228,-1.6,-1.7,1326.264,1.0468,0.5147,48,1437.225,1.6456,-1.6,-1,2365.143,0.6087,0.5147,48,1437.2,1.2842,-1.6,-1.4,1845.7,0.8,0.5
HER49L,HER49L9_1A,HER49L9_1A_51,2.9,5.2,1,55.3,10,10,2.59,51,1426.212,0.9488,-1.6,-1.7,1353.196,1.031,0.5147,51,1426.212,1.6661,-1.6,-1,2376.212,0.5963,0.5147,51,1426.2,1.3075,-1.6,-1.3,1864.7,0.8,0.5
HER49L,HER49L9_1A,HER49L9_1A_52,2.9,5.3,1,55.4,10.1,10.1,2.554,54,1414.175,0.8762,-1.6,-1.8,1239.161,1.075,0.5146,54,1414.175,1.6548,-1.6,-1,2340.114,0.6032,0.5146,54,1414.2,1.2655,-1.6,-1.4,1789.6,0.8,0.5
HER49L,HER49L9_1A,HER49L9_1A_53,2.9,5.4,1,55.5,10.2,10.2,2.483,53,1382.517,0.9733,-1.5,-1.5,1345.589,1.0162,0.5147,53,1382.517,1.7312,-1.5,-0.9,2393.347,0.5569,0.5147,53,1382.5,1.3523,-1.5,-1.2,1869.5,0.8,0.5
HER49L,HER49L9_1A,HER49L9_1A_54,2.9,5.5,1,55.6,10.3,10.3,2.473,54,1376.949,0.9237,-1.4,-1.5,1271.846,1.0463,0.5064,54,1376.949,1.7164,-1.4,-0.8,2363.444,0.5658,0.5064,54,1376.9,1.3201,-1.4,-1.2,1817.6,0.8,0.5
HER49L,HER49L9_1A,HER49L9_1A_55,2.9,5.6,1,55.7,10.4,10.4,2.524,55,1405.345,0.9639,-1.4,-1.5,1354.68,1.0219,0.5065,55,1405.345,1.7057,-1.4,-0.8,2397.078,0.5723,0.5065,55,1405.3,1.3348,-1.4,-1.1,1875.9,0.8,0.5
HER49L,HER49L9_1A,HER49L9_1A_56,2.9,5.7,1,55.8,10.5,10.5,2.598,57,1442.532,0.9096,-1.6,-1.8,1312.199,1.0548,0.5065,57,1442.532,1.6461,-1.6,-1,2374.599,0.6084,0.5065,57,1442.5,1.2779,-1.6,-1.4,1843.4,0.8,0.5
HER49L,HER49L9_1A,HER49L9_1A_57,2.9,5.8,1,55.9,10.6,10.6,2.627,57,1462.695,0.8933,-1.6,-1.8,1306.642,1.0647,0.5065,57,1462.695,1.6254,-1.6,-1,2377.472,0.621,0.5065,57,1462.7,1.2594,-1.6,-1.4,1842.1,0.8,0.5
HER49L,HER49L9_1A,HER49L9_1A_58,2.9,5.9,1,56,10.7,10.7,2.647,58,1477.945,0.9421,-1.6,-1.7,1392.408,1.0351,0.5065,58,1477.945,1.6359,-1.6,-1,2417.79,0.6146,0.5065,58,1477.9,1.289,-1.6,-1.3,1905.1,0.8,0.5
HER49L,HER49L9_1A,HER49L9_1A_59,2.9,6,1,56.1,10.8,10.8,2.662,56,1482.183,0.9262,-1.7,-1.8,1372.781,1.0447,0.5065,56,1482.183,1.6223,-1.7,-1,2404.537,0.6229,0.5065,56,1482.2,1.2743,-1.7,-1.4,1888.7,0.8,0.5
HER49L,HER49L9_1A,HER49L9_1A_60,2.9,6.1,1,56.2,10.9,10.9,2.67,54,1478.405,0.8649,-1.7,-2,1278.695,1.0819,0.4986,54,1478.405,1.5936,-1.7,-1.1,2355.94,0.6403,0.4986,54,1478.4,1.2293,-1.7,-1.5,1817.3,0.9,0.5
HER49L,HER49L9_1A,HER49L9_1A_61,2.9,6.2,1,56.3,11,11,2.687,51,1483.711,0.9176,-1.7,-1.9,1361.41,1.05,0.4986,51,1483.711,1.6072,-1.7,-1.1,2384.621,0.632,0.4986,51,1483.7,1.2624,-1.7,-1.5,1873,0.8,0.5
HER49L,HER49L9_1A,HER49L9_1A_62,2.9,6.3,1,56.4,11.1,11.1,2.704,51,1501.388,0.8937,-1.7,-1.9,1341.853,1.0644,0.4986,51,1501.388,1.5897,-1.7,-1.1,2386.703,0.6426,0.4986,51,1501.4,1.2417,-1.7,-1.5,1864.3,0.9,0.5
HER49L,HER49L9_1A,HER49L9_1A_63,2.9,6.4,1,56.5,11.2,11.2,2.71,50,1500.554,0.9454,-1.7,-1.8,1418.559,1.0331,0.4986,50,1500.554,1.6084,-1.7,-1.1,2413.443,0.6313,0.4986,50,1500.6,1.2769,-1.7,-1.4,1916,0.8,0.5
HER49L,HER49L9_1A,HER49L9_1A_64,2.9,6.5,1,56.6,11.3,11.3,2.717,48,1500.276,0.9149,-1.8,-2,1372.576,1.0516,0.4986,48,1500.276,1.5925,-1.8,-1.1,2389.241,0.6409,0.4986,48,1500.3,1.2537,-1.8,-1.5,1880.9,0.8,0.5
HER49L,HER49L9_1A,HER49L9_1A_65,2.9,6.6,1,56.7,11.4,11.4,2.726,46,1505.246,0.8745,-1.6,-1.8,1316.33,1.0761,0.4986,46,1505.246,1.5719,-1.6,-1,2366.118,0.6534,0.4986,46,1505.2,1.2232,-1.6,-1.4,1841.2,0.9,0.5
HER49L,HER49L9_1A,HER49L9_1A_66,2.9,6.7,1,56.8,11.5,11.5,2.732,44,1508.559,0.9421,-1.7,-1.8,1421.233,1.0351,0.4909,44,1508.559,1.5973,-1.7,-1.1,2409.546,0.638,0.4909,44,1508.6,1.2697,-1.7,-1.4,1915.4,0.8,0.5
HER49L,HER49L9_1A,HER49L9_1A_67,2.9,6.8,1,56.9,11.6,11.6,2.733,42,1509.111,0.9169,-1.7,-1.9,1383.702,1.0504,0.4909,42,1509.111,1.5863,-1.7,-1.1,2393.86,0.6447,0.4909,42,1509.1,1.2516,-1.7,-1.5,1888.8,0.8,0.5
HER49L,HER49L9_1A,HER49L9_1A_68,2.9,6.9,1,57,11.7,11.7,2.744,36,1515.185,0.9753,-1.7,-1.7,1477.791,1.015,0.4909,36,1515.185,1.6061,-1.7,-1.1,2433.492,0.6327,0.4909,36,1515.2,1.2907,-1.7,-1.4,1955.6,0.8,0.5
HER49L,HER49L9_1A,HER49L9_1A_69,2.9,7,1,57.1,11.8,11.8,2.753,29,1503.55,0.9132,-1.7,-1.9,1372.978,1.0526,0.4986,29,1503.55,1.576,-1.7,-1.1,2369.538,0.6509,0.4986,29,1503.6,1.2446,-1.7,-1.5,1871.3,0.9,0.5
HER49L,HER49L9_1A,HER49L9_1A_70,2.9,7.1,1,57.2,11.9,11.9,2.765,32,1510.104,0.9721,-1.9,-2,1468.041,1.0169,0.4986,32,1510.104,1.5957,-1.9,-1.2,2409.64,0.639,0.4986,32,1510.1,1.2839,-1.9,-1.6,1938.8,0.8,0.5
HER49L,HER49L9_1A,HER49L9_1A_71,2.9,7.2,1,57.3,12,12,2.764,38,1509.558,0.9139,-1.9,-2.1,1379.552,1.0522,0.4909,38,1509.558,1.5715,-1.9,-1.2,2372.277,0.6536,0.4909,38,1509.6,1.2427,-1.9,-1.6,1875.9,0.9,0.5
HER49L,HER49L9_1A,HER49L9_1A_72,2.9,7.3,1,57.4,12.1,12.1,2.759,47,1506.827,0.9386,-1.9,-2,1414.38,1.0372,0.4909,47,1506.827,1.584,-1.9,-1.2,2386.874,0.646,0.4909,47,1506.8,1.2613,-1.9,-1.6,1900.6,0.8,0.5
HER49L,HER49L9_1A,HER49L9_1A_73,2.9,7.4,1,57.5,12.2,12.2,2.758,51,1506.281,0.9071,-1.7,-1.9,1366.39,1.0563,0.4909,51,1506.281,1.5713,-1.7,-1.1,2366.798,0.6538,0.4909,51,1506.3,1.2392,-1.7,-1.5,1866.6,0.9,0.5
HER49L,HER49L9_1A,HER49L9_1A_74,2.9,7.5,1,57.6,12.3,12.3,2.772,55,1522.241,0.9285,-1.8,-1.9,1413.429,1.0433,0.4909,55,1522.241,1.5742,-1.8,-1.1,2396.314,0.652,0.4909,55,1522.2,1.2514,-1.8,-1.5,1904.9,0.8,0.5
HER49L,HER49L9_1A,HER49L9_1A_75,2.9,7.6,1,57.7,12.4,12.4,2.769,57,1520.593,0.9295,-1.8,-1.9,1413.429,1.0427,0.4909,57,1520.593,1.5759,-1.8,-1.1,2396.314,0.651,0.4909,57,1520.6,1.2527,-1.8,-1.5,1904.9,0.8,0.5
HER49L,HER49L9_1A,HER49L9_1A_76,2.9,7.7,1,57.8,12.5,12.5,2.77,59,1525.331,0.9534,-1.8,-1.9,1454.31,1.0282,0.4909,59,1525.331,1.5856,-1.8,-1.1,2418.532,0.6451,0.4909,59,1525.3,1.2695,-1.8,-1.5,1936.4,0.8,0.5
HER49L,HER49L9_1A,HER49L9_1A_77,2.9,7.8,1,57.9,12.6,12.6,2.768,57,1528.437,0.8995,-1.8,-2,1374.804,1.0609,0.4909,57,1528.437,1.5638,-1.8,-1.2,2390.165,0.6583,0.4909,57,1528.4,1.2317,-1.8,-1.6,1882.5,0.9,0.5
HER49L,HER49L9_1A,HER49L9_1A_78,2.9,7.9,1,58,12.7,12.7,2.771,57,1530.094,0.9058,-1.7,-1.9,1385.922,1.0571,0.4909,57,1530.094,1.5651,-1.7,-1.1,2394.783,0.6575,0.4909,57,1530.1,1.2355,-1.7,-1.5,1890.4,0.9,0.5
HER49L,HER49L9_1A,HER49L9_1A_79,2.9,8,1,58.1,12.8,12.8,2.759,55,1519.273,0.9897,-1.7,-1.7,1503.692,1.0062,0.4909,55,1519.273,1.6058,-1.7,-1.1,2439.629,0.6329,0.4909,55,1519.3,1.2978,-1.7,-1.4,1971.7,0.8,0.5
HER49L,HER49L9_1A,HER49L9_1A_80,2.9,8.1,1,58.2,12.9,12.9,2.734,52,1518.046,0.9516,-1.8,-1.9,1444.535,1.0293,0.4834,52,1518.046,1.6004,-1.8,-1.1,2429.414,0.6361,0.4834,52,1518,1.276,-1.8,-1.5,1937,0.8,0.5
HER49L,HER49L9_1A,HER49L9_1A_81,2.9,8.2,1,58.3,13,13,2.677,46,1486.397,0.96,-1.8,-1.9,1426.917,1.0243,0.4834,46,1486.397,1.6294,-1.8,-1.1,2421.998,0.6185,0.4834,46,1486.4,1.2947,-1.8,-1.5,1924.5,0.8,0.5
HER49L,HER49L9_1A,HER49L9_1A_82,2.9,8.3,1,58.4,13.1,13.1,2.648,41,1470.295,1.018,-1.8,-1.8,1496.82,0.9891,0.4834,41,1470.295,1.6674,-1.8,-1.1,2451.629,0.5955,0.4834,41,1470.3,1.3427,-1.8,-1.4,1974.2,0.8,0.5
HER49L,HER49L9_1A,HER49L9_1A_83,2.9,8.4,1,58.5,13.2,13.2,2.543,17,1415.924,1.0324,-1.8,-1.7,1461.743,0.9804,0.4834,17,1415.924,1.7245,-1.8,-1,2441.75,0.5609,0.4834,17,1415.9,1.3785,-1.8,-1.4,1951.7,0.8,0.5
HER49L,HER49L9_1A,HER49L9_1A_84,2.9,8.5,1,58.6,13.3,13.3,2.547,0,1410.299,0.952,-1.7,-1.8,1342.661,1.0291,0.4909,0,1410.299,1.689,-1.7,-1,2381.95,0.5824,0.4909,0,1410.3,1.3205,-1.7,-1.4,1862.3,0.8,0.5
HER49L,HER49L9_1A,HER49L9_1A_85,2.9,8.6,1,58.7,13.4,13.4,2.645,0,1460.519,0.8982,-1.9,-2.1,1311.784,1.0617,0.4833,0,1460.519,1.6188,-1.9,-1.2,2364.266,0.625,0.4833,0,1460.5,1.2585,-1.9,-1.6,1838,0.8,0.5
