SITE,SECTION_ID,MSCL_ID,RCT,SB_DEPTH,SECT_NUM,SECT_DEPTH_sed,Field_depth,Strat_depth,CT,PWAmp_SAT,PWVel_SAT,Den1_SAT,MS1_SAT,DCMS1_SAT,Imp_SAT,FP_SAT,RES_SAT,PWAmp_UNSAT,PWVel_UNSAT,Den1_UNSAT,MS1_UNSAT,DCMS1_UNSAT,Imp_UNSAT,FP_UNSAT,RES_UNSAT,PWAmp_SAT_UNSAT,PWVel_SAT_UNSAT,Den1_SAT_UNSAT,MS1_SAT_UNSAT,DCMS1_SAT_UNSAT,Imp_SAT_UNSAT,FP_SAT_UNSAT,RES_SAT_UNSAT
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_137,2.4,1105,29,18.4,58,58,2.523,0.0657,1819.034,1.375,2.6,1.9,2501.094,0.7857,1.4917,0.0657,1819.034,1.7345,2.6,1.5,3155.055,0.5803,1.4917,0.0657,1819.034,1.55475,2.6,1.7,2828.0745,0.683,1.4917
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_138,2.4,1105.5,29,18.9,58.5,58.5,2.521,0.1021,1799.429,1.3619,2.6,1.9,2450.699,0.7932,1.4097,0.1021,1799.429,1.7173,2.6,1.5,3090.151,0.5901,1.4097,0.1021,1799.429,1.5396,2.6,1.7,2770.425,0.69165,1.4097
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_139,2.4,1106,29,19.4,59,59,2.52,0.1076,1818.182,1.3522,3,2.2,2458.468,0.7988,1.4179,0.1076,1818.182,1.7047,3,1.8,3099.525,0.5973,1.4179,0.1076,1818.182,1.52845,3,2,2778.9965,0.69805,1.4179
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_140,2.4,1106.5,29,19.9,59.5,59.5,2.515,0.072,1834.427,1.385,1.9,1.4,2540.645,0.78,1.4834,0.072,1834.427,1.7476,1.9,1.1,3205.764,0.5728,1.4834,0.072,1834.427,1.5663,1.9,1.2,2873.2045,0.6764,1.4834
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_141,2.4,1107,29,20.4,60,60,2.51,0.0904,1838.828,1.3825,1.9,1.4,2542.175,0.7814,1.4083,0.0904,1838.828,1.744,1.9,1.1,3206.932,0.5749,1.4083,0.0904,1838.828,1.56325,1.9,1.2,2874.5535,0.67815,1.4083
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_142,2.4,1107.5,29,20.9,60.5,60.5,2.514,0.0789,1847.172,1.3849,1,0.7,2558.152,0.7801,1.4314,0.0789,1847.172,1.7474,1,0.6,3227.754,0.5729,1.4314,0.0789,1847.172,1.56615,1,0.6,2892.953,0.6765,1.4314
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_143,2.4,1108,29,21.4,61,61,2.524,0.0671,1849.084,1.3582,1,0.7,2511.516,0.7953,1.3531,0.0671,1849.084,1.7126,1,0.6,3166.712,0.5928,1.3531,0.0671,1849.084,1.5354,1,0.7,2839.114,0.69405,1.3531
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_144,2.4,1108.5,29,21.9,61.5,61.5,2.524,0.072,1819.755,1.3698,1.2,0.9,2492.771,0.7887,1.3457,0.072,1819.755,1.7277,1.2,0.7,3144.015,0.5842,1.3457,0.072,1819.755,1.54875,1.2,0.8,2818.393,0.68645,1.3457
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_145,2.4,1109,29,22.4,62,62,2.519,0.1261,1812.23,1.3738,1,0.7,2489.654,0.7864,1.4531,0.1261,1812.23,1.7328,1,0.6,3140.221,0.5813,1.4531,0.1261,1812.23,1.5533,1,0.7,2814.9375,0.68385,1.4531
HER42PB,HER42PB_1B,HER42PB_1B_MSCL_146,2.4,1109.5,29,22.9,62.5,62.5,2.522,0.1393,1805.297,1.3857,0.8,0.6,2501.671,0.7796,1.4075,0.1393,1805.297,1.7489,0.8,0.5,3157.359,0.572,1.4075,0.1393,1805.297,1.5673,0.8,0.5,2829.515,0.6758,1.4075
