SITE,SECTION_ID,MSCL_ID,RCT,SB_DEPTH,SECT_NUM,SECT_DEPTH,Field_depth,Strat_depth,CT,PWAmp_SAT,PWVel_SAT,Den1_SAT,MS1_SAT,DCMS1_SAT,Imp_SAT,FP_SAT,RES_SAT,PWAmp_UNSAT,PWVel_UNSAT,Den1_UNSAT,MS1_UNSAT,DCMS1_UNSAT,Imp_UNSAT,FP_UNSAT,RES_UNSAT,PWAmp_SAT_UNSAT,PWVel_SAT_UNSAT,Den1_SAT_UNSAT,MS1_SAT_UNSAT,DCMS1_SAT_UNSAT,Imp_SAT_UNSAT,FP_SAT_UNSAT,RES_SAT_UNSAT
HER14L,HER14L_1A,HER14L_1A_21,2.9,2.1,1,2.1,2,7,2.205,0,1436.482,0.8158,-0.3,-0.4,1171.944,1.1116,0.79,0,1436.482,1.6755,-0.3,-0.2,2406.758,0.5906,0.79,0,1436.5,1.2457,-0.3,-0.3,1789.4,0.9,0.8
HER14L,HER14L_1A,HER14L_1A_22,2.9,2.2,1,2.2,2.1,7.1,2.133,0,1389.577,0.8231,-0.2,-0.2,1143.781,1.1072,0.7746,0,1389.577,1.717,-0.2,-0.1,2385.888,0.5655,0.7746,0,1389.6,1.2701,-0.2,-0.2,1764.8,0.8,0.8
HER14L,HER14L_1A,HER14L_1A_23,2.9,2.3,1,2.3,2.2,7.2,2.103,0,1365.585,0.8699,0,NA,1187.938,1.0788,0.7598,0,1365.585,1.7674,0,NA,2413.59,0.5349,0.7598,0,1365.6,1.3187,0,NA,1800.8,0.8,0.8
HER14L,HER14L_1A,HER14L_1A_24,2.9,2.4,1,2.4,2.3,7.3,2.155,0,913.1357,0.8611,-0.1,-0.1,786.3194,1.0842,0.7186,0,913.1357,1.7338,-0.1,-0.1,1583.198,0.5553,0.7186,0,913.1,1.2975,-0.1,-0.1,1184.8,0.8,0.7
HER14L,HER14L_1A,HER14L_1A_25,2.9,2.5,1,2.5,2.4,7.4,2.186,0,922.3629,0.8661,-0.1,-0.1,798.8194,1.0812,0.7058,0,922.3629,1.7219,-0.1,-0.1,1588.185,0.5625,0.7058,0,922.4,1.294,-0.1,-0.1,1193.5,0.8,0.7
HER14L,HER14L_1A,HER14L_1A_26,2.9,2.6,1,2.6,2.5,7.5,2.216,0,1086.275,0.8354,-0.4,-0.5,907.511,1.0997,0.6816,0,1086.275,1.6846,-0.4,-0.2,1829.954,0.5851,0.6816,0,1086.3,1.26,-0.4,-0.4,1368.7,0.8,0.7
HER14L,HER14L_1A,HER14L_1A_27,2.9,2.7,1,2.7,2.6,7.6,2.171,0,1319.757,0.8147,-0.6,-0.7,1075.156,1.1123,0.6816,0,1319.757,1.6914,-0.6,-0.4,2232.173,0.581,0.6816,0,1319.8,1.2531,-0.6,-0.5,1653.7,0.8,0.7
HER14L,HER14L_1A,HER14L_1A_28,2.9,2.8,1,2.8,2.7,7.7,2.197,0,1327.493,0.8447,-0.7,-0.8,1121.277,1.0941,0.67,0,1327.493,1.7007,-0.7,-0.4,2257.612,0.5754,0.67,0,1327.5,1.2727,-0.7,-0.6,1689.4,0.8,0.7
HER14L,HER14L_1A,HER14L_1A_29,2.9,2.9,1,2.9,2.8,7.8,2.238,0,1344.144,0.842,-0.9,-1.1,1131.745,1.0958,0.6481,0,1344.144,1.6789,-0.9,-0.5,2256.744,0.5885,0.6481,0,1344.1,1.2605,-0.9,-0.8,1694.2,0.8,0.6
HER14L,HER14L_1A,HER14L_1A_30,2.9,3,1,3,2.9,7.9,2.304,0,1371.429,0.7997,-0.9,-1.1,1096.757,1.1214,0.6377,0,1371.429,1.6175,-0.9,-0.6,2218.231,0.6258,0.6377,0,1371.4,1.2086,-0.9,-0.8,1657.5,0.9,0.6
HER14L,HER14L_1A,HER14L_1A_31,2.9,3.1,1,3.1,3,8,2.301,0,1369.643,0.7827,-0.9,-1.1,1072.086,1.1317,0.6275,0,1369.643,1.6062,-0.9,-0.6,2199.988,0.6326,0.6275,0,1369.6,1.1945,-0.9,-0.9,1636,0.9,0.6
HER14L,HER14L_1A,HER14L_1A_32,2.9,3.2,1,3.2,3.1,8.1,2.31,0,1375,0.8071,-1,-1.2,1109.826,1.1169,0.6177,0,1375,1.6203,-1,-0.6,2227.881,0.6241,0.6177,0,1375,1.2137,-1,-0.9,1668.9,0.9,0.6
HER14L,HER14L_1A,HER14L_1A_33,2.9,3.3,1,3.3,3.2,8.2,2.326,0,1384.524,0.813,-1.1,-1.4,1125.589,1.1133,0.6082,0,1384.524,1.6175,-1.1,-0.7,2239.505,0.6257,0.6082,0,1384.5,1.2153,-1.1,-1,1682.5,0.9,0.6
HER14L,HER14L_1A,HER14L_1A_34,2.9,3.4,1,3.4,3.3,8.3,2.312,0,1372.107,0.7743,-1.3,-1.7,1062.467,1.1368,0.599,0,1372.107,1.5951,-1.3,-0.8,2188.693,0.6393,0.599,0,1372.1,1.1847,-1.3,-1.2,1625.6,0.9,0.6
HER14L,HER14L_1A,HER14L_1A_35,2.9,3.5,1,3.5,3.4,8.4,2.327,0,1385.119,0.8155,-1.5,-1.8,1129.543,1.1118,0.599,0,1385.119,1.6189,-1.5,-0.9,2242.418,0.6249,0.599,0,1385.1,1.2172,-1.5,-1.4,1686,0.9,0.6
HER14L,HER14L_1A,HER14L_1A_36,2.9,3.6,1,3.6,3.5,8.5,2.34,0,1397.015,0.8588,-1.6,-1.9,1199.826,1.0855,0.59,0,1397.015,1.6451,-1.6,-1,2298.272,0.609,0.59,0,1397,1.252,-1.6,-1.4,1749,0.8,0.6
HER14L,HER14L_1A,HER14L_1A_37,2.9,3.7,1,3.7,3.6,8.6,2.327,0,1389.254,0.7994,-1.8,-2.3,1110.513,1.1216,0.5813,0,1389.254,1.607,-1.8,-1.1,2232.593,0.6321,0.5813,0,1389.3,1.2032,-1.8,-1.7,1671.6,0.9,0.6
HER14L,HER14L_1A,HER14L_1A_38,2.9,3.8,1,3.8,3.7,8.7,2.395,0,1434.132,0.8025,-1.7,-2.1,1150.938,1.1197,0.5813,0,1434.132,1.5805,-1.7,-1.1,2266.619,0.6482,0.5813,0,1434.1,1.1915,-1.7,-1.6,1708.8,0.9,0.6
HER14L,HER14L_1A,HER14L_1A_39,2.9,3.9,1,3.9,3.8,8.8,2.382,0,1422.09,0.8097,-1.8,-2.2,1151.494,1.1153,0.5728,0,1422.09,1.5912,-1.8,-1.1,2262.79,0.6417,0.5728,0,1422.1,1.2005,-1.8,-1.7,1707.1,0.9,0.6
HER14L,HER14L_1A,HER14L_1A_40,2.9,4,1,4,3.9,8.9,2.368,0,1417.964,0.8306,-1.8,-2.2,1177.732,1.1027,0.5646,0,1417.964,1.6124,-1.8,-1.1,2286.314,0.6289,0.5646,0,1418,1.2215,-1.8,-1.6,1732,0.9,0.6
HER14L,HER14L_1A,HER14L_1A_41,2.9,4.1,1,4.1,4,9,2.35,0,1407.186,0.8475,-1.8,-2.1,1192.575,1.0924,0.5646,0,1407.186,1.6325,-1.8,-1.1,2297.205,0.6167,0.5646,0,1407.2,1.24,-1.8,-1.6,1744.9,0.9,0.6
HER14L,HER14L_1A,HER14L_1A_42,2.9,4.2,1,4.2,4.1,9.1,2.197,0,1315.569,0.9158,-1.8,-2,1204.776,1.051,0.5566,0,1315.569,1.753,-1.8,-1,2306.148,0.5437,0.5566,0,1315.6,1.3344,-1.8,-1.5,1755.5,0.8,0.6
HER14L,HER14L_1A,HER14L_1A_43,2.9,4.3,1,4.3,4.2,9.2,2.174,0,1294.048,0.8851,-1.8,-2,1145.413,1.0696,0.5566,0,1294.048,1.7419,-1.8,-1,2254.103,0.5504,0.5566,0,1294,1.3135,-1.8,-1.5,1699.8,0.8,0.6
HER14L,HER14L_1A,HER14L_1A_44,2.9,4.4,1,4.4,4.3,9.3,2.256,0,1346.866,0.8838,-1.7,-1.9,1190.365,1.0704,0.5566,0,1346.866,1.7012,-1.7,-1,2291.337,0.575,0.5566,0,1346.9,1.2925,-1.7,-1.5,1740.9,0.8,0.6
HER14L,HER14L_1A,HER14L_1A_45,2.9,4.5,1,4.5,4.4,9.4,2.277,0,1363.473,0.8747,-1.8,-2.1,1192.575,1.076,0.5489,0,1363.473,1.6848,-1.8,-1.1,2297.205,0.585,0.5489,0,1363.5,1.2798,-1.8,-1.6,1744.9,0.8,0.5
HER14L,HER14L_1A,HER14L_1A_46,2.9,4.6,1,4.6,4.5,9.5,2.269,0,1358.683,0.8827,-1.8,-2,1199.347,1.0711,0.5489,0,1358.683,1.6944,-1.8,-1.1,2302.17,0.5791,0.5489,0,1358.7,1.2886,-1.8,-1.6,1750.8,0.8,0.5
HER14L,HER14L_1A,HER14L_1A_47,2.9,4.7,1,4.7,4.6,9.6,2.208,0,1310.386,0.9319,-1.7,-1.8,1221.109,1.0413,0.5489,0,1310.386,1.7593,-1.7,-1,2305.417,0.5398,0.5489,0,1310.4,1.3456,-1.7,-1.4,1763.3,0.8,0.5
HER14L,HER14L_1A,HER14L_1A_48,2.9,4.8,1,4.8,4.7,9.7,2.251,0,1339.881,0.8958,-1.8,-2,1200.308,1.0631,0.5413,0,1339.881,1.7124,-1.8,-1.1,2294.4,0.5682,0.5413,0,1339.9,1.3041,-1.8,-1.5,1747.4,0.8,0.5
HER14L,HER14L_1A,HER14L_1A_49,2.9,4.9,1,4.9,4.8,9.8,2.432,0,1439.054,0.8217,-1.7,-2.1,1182.475,1.1081,0.5413,0,1439.054,1.5795,-1.7,-1.1,2272.962,0.6488,0.5413,0,1439.1,1.2006,-1.7,-1.6,1727.7,0.9,0.5
HER14L,HER14L_1A,HER14L_1A_50,2.9,5,1,5,4.9,9.9,2.448,26,1440,0.8555,-1.8,-2.1,1231.973,1.0876,0.5413,26,1440,1.5978,-1.8,-1.1,2300.874,0.6377,0.5413,26,1440,1.2267,-1.8,-1.6,1766.4,0.9,0.5
HER14L,HER14L_1A,HER14L_1A_51,2.9,5.1,1,5.1,5,10,2.479,20,1445.481,0.818,-1.7,-2.1,1182.44,1.1103,0.5413,20,1445.481,1.5583,-1.7,-1.1,2252.429,0.6617,0.5413,20,1445.5,1.1882,-1.7,-1.6,1717.4,0.9,0.5
HER14L,HER14L_1A,HER14L_1A_52,2.9,5.2,1,5.2,5.1,10.1,2.428,44,1399.424,0.8008,-1.7,-2.1,1120.685,1.1207,0.5413,44,1399.424,1.5658,-1.7,-1.1,2191.165,0.6571,0.5413,44,1399.4,1.1833,-1.7,-1.6,1655.9,0.9,0.5
HER14L,HER14L_1A,HER14L_1A_53,2.9,5.3,1,5.3,5.2,10.2,2.399,34,1386.705,0.8567,-1.8,-2.1,1188.022,1.0868,0.5413,34,1386.705,1.6186,-1.8,-1.1,2244.481,0.6251,0.5413,34,1386.7,1.2377,-1.8,-1.6,1716.3,0.9,0.5
HER14L,HER14L_1A,HER14L_1A_54,2.9,5.4,1,5.4,5.3,10.3,2.398,33,1386.127,0.8315,-1.8,-2.2,1152.521,1.1021,0.5413,33,1386.127,1.6005,-1.8,-1.1,2218.491,0.6361,0.5413,33,1386.1,1.216,-1.8,-1.6,1685.5,0.9,0.5
HER14L,HER14L_1A,HER14L_1A_55,2.9,5.5,1,5.5,5.4,10.4,2.449,0,1423.837,0.794,-1.9,-2.4,1130.458,1.1249,0.5413,0,1423.837,1.5523,-1.9,-1.2,2210.273,0.6653,0.5413,0,1423.8,1.1732,-1.9,-1.8,1670.4,0.9,0.5
HER14L,HER14L_1A,HER14L_1A_56,2.9,5.6,1,5.6,5.5,10.5,2.434,0,1411.015,0.797,-1.9,-2.4,1124.589,1.123,0.5339,0,1411.015,1.5606,-1.9,-1.2,2201.961,0.6603,0.5339,0,1411,1.1788,-1.9,-1.8,1663.3,0.9,0.5
HER14L,HER14L_1A,HER14L_1A_57,2.9,5.7,1,5.7,5.6,10.6,2.428,0,1403.468,0.8465,-1.9,-2.2,1188.022,1.093,0.5339,0,1403.468,1.5992,-1.9,-1.2,2244.481,0.6368,0.5339,0,1403.5,1.2229,-1.9,-1.7,1716.3,0.9,0.5
HER14L,HER14L_1A,HER14L_1A_58,2.9,5.8,1,5.8,5.7,10.7,2.451,0,1412.68,0.8255,-1.9,-2.3,1166.187,1.1057,0.5339,0,1412.68,1.5747,-1.9,-1.2,2224.545,0.6517,0.5339,0,1412.7,1.2001,-1.9,-1.8,1695.4,0.9,0.5
HER14L,HER14L_1A,HER14L_1A_59,2.9,5.9,1,5.9,5.8,10.8,2.394,0,1364.103,0.8566,-1.9,-2.2,1168.491,1.0869,0.5339,0,1364.103,1.6206,-1.9,-1.2,2210.603,0.6239,0.5339,0,1364.1,1.2386,-1.9,-1.7,1689.5,0.9,0.5
HER14L,HER14L_1A,HER14L_1A_60,2.9,6,1,6,5.9,10.9,2.338,0,1317.183,0.8567,-2,-2.3,1128.4,1.0869,0.5339,0,1317.183,1.6444,-2,-1.2,2165.985,0.6095,0.5339,0,1317.2,1.2506,-2,-1.8,1647.2,0.8,0.5
HER14L,HER14L_1A,HER14L_1A_61,2.9,6.1,1,6.1,6,11,2.368,0,1330.337,0.8893,-1.9,-2.1,1183.094,1.0671,0.5339,0,1330.337,1.6554,-1.9,-1.1,2202.198,0.6028,0.5339,0,1330.3,1.2724,-1.9,-1.6,1692.6,0.8,0.5
HER14L,HER14L_1A,HER14L_1A_62,2.9,6.2,1,6.2,6.1,11.1,2.361,0,1330.141,0.8541,-2,-2.3,1136.066,1.0884,0.5268,0,1330.141,1.6326,-2,-1.2,2171.601,0.6166,0.5268,0,1330.1,1.2434,-2,-1.8,1653.8,0.9,0.5
HER14L,HER14L_1A,HER14L_1A_63,2.9,6.3,1,6.3,6.2,11.2,2.411,0,1350.701,0.8525,-1.9,-2.2,1151.416,1.0894,0.5268,0,1350.701,1.6105,-1.9,-1.2,2175.324,0.63,0.5268,0,1350.7,1.2315,-1.9,-1.7,1663.4,0.9,0.5
HER14L,HER14L_1A,HER14L_1A_64,2.9,6.4,1,6.4,6.3,11.3,2.391,0,1332.034,0.8615,-1.9,-2.2,1147.553,1.0839,0.5339,0,1332.034,1.6254,-1.9,-1.2,2165.07,0.621,0.5339,0,1332,1.2435,-1.9,-1.7,1656.3,0.9,0.5
HER14L,HER14L_1A,HER14L_1A_65,2.9,6.5,1,6.5,6.4,11.4,2.363,0,1635.294,0.864,-1.9,-2.2,1412.846,1.0824,0.5339,0,1635.294,1.639,-1.9,-1.2,2680.224,0.6127,0.5339,0,1635.3,1.2515,-1.9,-1.7,2046.5,0.8,0.5
HER14L,HER14L_1A,HER14L_1A_66,2.9,6.6,1,6.6,6.5,11.5,2.411,0,1651.37,0.8449,-1.9,-2.2,1395.205,1.094,0.5268,0,1651.37,1.605,-1.9,-1.2,2650.401,0.6334,0.5268,0,1651.4,1.225,-1.9,-1.7,2022.8,0.9,0.5
HER14L,HER14L_1A,HER14L_1A_67,2.9,6.7,1,6.7,6.6,11.6,2.43,0,1658.703,0.8638,-1.8,-2.1,1432.745,1.0826,0.5268,0,1658.703,1.6111,-1.8,-1.1,2672.256,0.6297,0.5268,0,1658.7,1.2375,-1.8,-1.6,2052.5,0.9,0.5
HER14L,HER14L_1A,HER14L_1A_68,2.9,6.8,1,6.8,6.7,11.7,2.421,0,1652.56,0.9578,-1.8,-1.9,1582.774,1.0256,0.5268,0,1652.56,1.6829,-1.8,-1.1,2781.036,0.5861,0.5268,0,1652.6,1.3204,-1.8,-1.5,2181.9,0.8,0.5
HER14L,HER14L_1A,HER14L_1A_69,2.9,6.9,1,6.9,6.8,11.8,2.5,0,1700.681,0.9285,-1.7,-1.8,1579.036,1.0434,0.5268,0,1700.681,1.6304,-1.7,-1,2772.763,0.6179,0.5268,0,1700.7,1.2795,-1.7,-1.4,2175.9,0.8,0.5
HER14L,HER14L_1A,HER14L_1A_70,2.9,7,1,7,6.9,11.9,2.545,0,1737.201,0.9631,-1.8,-1.9,1673.158,1.0223,0.5268,0,1737.201,1.6382,-1.8,-1.1,2845.941,0.6132,0.5268,0,1737.2,1.3007,-1.8,-1.5,2259.5,0.8,0.5
HER14L,HER14L_1A,HER14L_1A_71,2.9,7.1,1,7.1,7,12,2.445,0,1668.942,1.0656,-1.7,-1.6,1778.379,0.9603,0.5268,0,1668.942,1.7501,-1.7,-1,2920.88,0.5454,0.5268,0,1668.9,1.4079,-1.7,-1.3,2349.6,0.8,0.5
HER14L,HER14L_1A,HER14L_1A_72,2.9,7.2,1,7.2,7.1,12.1,2.392,0,1643.986,1.1973,-1.4,-1.2,1968.396,0.8804,0.5198,0,1643.986,1.865,-1.4,-0.8,3066.008,0.4758,0.5198,0,1644,1.5312,-1.4,-1,2517.2,0.7,0.5
HER14L,HER14L_1A,HER14L_1A_73,2.9,7.3,1,7.3,7.2,12.2,2.491,0,1717.931,1.1972,-1.4,-1.2,2056.683,0.8805,0.5268,0,1717.931,1.8238,-1.4,-0.8,3133.218,0.5007,0.5268,0,1717.9,1.5105,-1.4,-1,2595,0.7,0.5
HER14L,HER14L_1A,HER14L_1A_74,2.9,7.4,1,7.4,7.3,12.3,2.408,0,1323.077,1.3824,-0.9,-0.7,1829.052,0.7682,0.5268,0,1323.077,1.9852,-0.9,-0.5,2626.53,0.4029,0.5268,0,1323.1,1.6838,-0.9,-0.6,2227.8,0.6,0.5
HER14L,HER14L_1A,HER14L_1A_75,2.9,7.5,1,7.5,7.4,12.4,2.428,0,1337.741,1.4047,-0.4,-0.3,1879.132,0.7547,0.5198,0,1337.741,1.9915,-0.4,-0.2,2664.097,0.3991,0.5198,0,1337.7,1.6981,-0.4,-0.2,2271.6,0.6,0.5
HER14L,HER14L_1A,HER14L_1A_76,2.9,7.6,1,7.6,7.5,12.5,2.46,0,1362.881,1.3902,0.3,0.2,1894.626,0.7635,0.5268,0,1362.881,1.9681,0.3,0.2,2682.268,0.4133,0.5268,0,1362.9,1.6792,0.3,0.2,2288.4,0.6,0.5
HER14L,HER14L_1A,HER14L_1A_77,2.9,7.7,1,7.7,7.6,12.6,2.491,0,1387.744,1.5348,1.1,0.7,2129.842,0.6759,0.5198,0,1387.744,2.0505,1.1,0.5,2845.524,0.3634,0.5198,0,1387.7,1.7927,1.1,0.6,2487.7,0.5,0.5
HER14L,HER14L_1A,HER14L_1A_78,2.9,7.8,1,7.8,7.7,12.7,2.482,0,1402.26,1.4884,1.8,1.2,2087.185,0.704,0.5199,0,1402.26,2.024,1.8,0.9,2838.236,0.3794,0.5199,0,1402.3,1.7562,1.8,1,2462.7,0.5,0.5
HER14L,HER14L_1A,HER14L_1A_79,2.9,7.9,1,7.9,7.8,12.8,2.48,0,1409.091,1.4857,2,1.3,2093.504,0.7056,0.5199,0,1409.091,2.0231,2,1,2850.725,0.3799,0.5199,0,1409.1,1.7544,2,1.2,2472.1,0.5,0.5
HER14L,HER14L_1A,HER14L_1A_80,2.9,8,1,8,7.9,12.9,2.478,0,1407.955,1.5769,2.5,1.6,2220.235,0.6504,0.5269,0,1407.955,2.0833,2.5,1.2,2933.18,0.3435,0.5269,0,1408,1.8301,2.5,1.4,2576.7,0.5,0.5
HER14L,HER14L_1A,HER14L_1A_81,2.9,8.1,1,8.1,8,13,2.499,0,1436.207,1.4435,2.9,2,2073.17,0.7312,0.5199,0,1436.207,1.9873,2.9,1.5,2854.237,0.4016,0.5199,0,1436.2,1.7154,2.9,1.7,2463.7,0.6,0.5
HER14L,HER14L_1A,HER14L_1A_82,2.9,8.2,1,8.2,8.1,13.1,2.499,0,1436.207,1.4783,3.5,2.4,2123.171,0.7101,0.5199,0,1436.207,2.0103,3.5,1.7,2887.172,0.3877,0.5199,0,1436.2,1.7443,3.5,2.1,2505.2,0.5,0.5
HER14L,HER14L_1A,HER14L_1A_83,2.9,8.3,1,8.3,8.2,13.2,2.512,0,1443.678,1.4462,4.3,3,2087.884,0.7296,0.5199,0,1443.678,1.9838,4.3,2.2,2863.953,0.4038,0.5199,0,1443.7,1.715,4.3,2.6,2475.9,0.6,0.5
HER14L,HER14L_1A,HER14L_1A_84,2.9,8.4,1,8.4,8.3,13.3,2.562,0,1472.414,1.3217,5.2,3.9,1946.12,0.805,0.5199,0,1472.414,1.8809,5.2,2.8,2769.516,0.4661,0.5199,0,1472.4,1.6013,5.2,3.3,2357.8,0.6,0.5
HER14L,HER14L_1A,HER14L_1A_85,2.9,8.5,1,8.5,8.4,13.4,2.6,0,1468.927,1.2348,5.7,4.6,1813.779,0.8577,0.5199,0,1468.927,1.8077,5.7,3.2,2655.311,0.5105,0.5199,0,1468.9,1.5213,5.7,3.9,2234.5,0.7,0.5
HER14L,HER14L_1A,HER14L_1A_86,2.9,8.6,1,8.6,8.5,13.5,2.655,0,1055.666,1.1486,6.1,5.3,1212.516,0.91,0.5269,0,1055.666,1.7287,6.1,3.5,1824.905,0.5584,0.5269,0,1055.7,1.4387,6.1,4.4,1518.7,0.7,0.5
