SITE,SECTION_ID,MSCL_ID,RCT,SB_DEPTH,SECT_NUM,SECT DEPTH,Field_depth,Strat_depth,CT,PWAmp_SAT,PWVel_SAT,Den1_SAT,MS1_SAT,DCMS1_SAT,Imp_SAT,FP_SAT,RES_SAT,PWAmp_UNSAT,PWVel_UNSAT,Den1_UNSAT,MS1_UNSAT,DCMS1_UNSAT,Imp_UNSAT,FP_UNSAT,RES_UNSAT,PWAmp_SAT_UNSAT,PWVel_SAT_UNSAT,Den1_SAT_UNSAT,MS1_SAT_UNSAT,DCMS1_SAT_UNSAT,Imp_SAT_UNSAT,FP_SAT_UNSAT,RES_SAT_UNSAT
HER34L,HER34L_1A,HER34L_1A_106,2.9,11.5,1,11.5,21.5,21.5,2.426,0,1379.977,0.7749,-0.7,-0.9,1069.413,1.1364,0.5924,0,1379.977,1.6296,-0.7,-0.4,2248.859,0.6184,0.5924,0,1380,1.2023,-0.7,-0.7,1659.1,0.9,0.6
HER34L,HER34L_1A,HER34L_1A_107,2.9,11.6,1,11.6,21.6,21.6,2.459,0,1406.75,0.6799,-0.7,-1,956.4731,1.194,0.5924,0,1406.75,1.5744,-0.7,-0.4,2214.855,0.6518,0.5924,0,1406.8,1.1272,-0.7,-0.7,1585.7,0.9,0.6
HER34L,HER34L_1A,HER34L_1A_108,2.9,11.7,1,11.7,21.7,21.7,2.487,0,1418.711,0.805,-0.6,-0.7,1142.037,1.1182,0.5832,0,1418.711,1.6098,-0.6,-0.4,2283.846,0.6304,0.5832,0,1418.7,1.2074,-0.6,-0.6,1712.9,0.9,0.6
HER34L,HER34L_1A,HER34L_1A_109,2.9,11.8,1,11.8,21.8,21.8,2.508,0,1426.621,0.7401,-0.6,-0.8,1055.885,1.1575,0.5832,0,1426.621,1.5725,-0.6,-0.4,2243.407,0.653,0.5832,0,1426.6,1.1563,-0.6,-0.6,1649.6,0.9,0.6
HER34L,HER34L_1A,HER34L_1A_110,2.9,11.9,1,11.9,21.9,21.9,2.518,0,1432.31,0.7119,-0.6,-0.8,1019.647,1.1746,0.5832,0,1432.31,1.5562,-0.6,-0.4,2228.965,0.6629,0.5832,0,1432.3,1.1341,-0.6,-0.6,1624.3,0.9,0.6
HER34L,HER34L_1A,HER34L_1A_111,2.9,12,1,12,22,22,2.426,0,1704.849,0.7124,-0.5,-0.7,1214.617,1.1743,0.5924,0,1704.849,1.6049,-0.5,-0.3,2736.033,0.6334,0.5924,0,1704.8,1.1587,-0.5,-0.5,1975.3,0.9,0.6
HER34L,HER34L_1A,HER34L_1A_112,2.9,12.1,1,12.1,22.1,22.1,2.397,0,1666.898,0.8677,-0.6,-0.7,1446.381,1.0802,0.5832,0,1666.898,1.6839,-0.6,-0.4,2806.965,0.5855,0.5832,0,1666.9,1.2758,-0.6,-0.5,2126.7,0.8,0.6
HER34L,HER34L_1A,HER34L_1A_113,2.9,12.2,1,12.2,22.2,22.2,2.429,0,1683.299,0.7675,-0.6,-0.8,1291.878,1.1409,0.5832,0,1683.299,1.625,-0.6,-0.4,2735.344,0.6212,0.5832,0,1683.3,1.1963,-0.6,-0.6,2013.6,0.9,0.6
HER34L,HER34L_1A,HER34L_1A_114,2.9,12.3,1,12.3,22.3,22.3,2.473,0,1713.791,0.8016,-0.6,-0.7,1373.819,1.1202,0.5832,0,1713.791,1.6156,-0.6,-0.4,2768.841,0.6269,0.5832,0,1713.8,1.2086,-0.6,-0.6,2071.3,0.9,0.6
HER34L,HER34L_1A,HER34L_1A_115,2.9,12.4,1,12.4,22.4,22.4,2.507,0,1731.354,0.8172,-0.6,-0.7,1414.921,1.1108,0.5832,0,1731.354,1.6048,-0.6,-0.4,2778.475,0.6335,0.5832,0,1731.4,1.211,-0.6,-0.6,2096.7,0.9,0.6
HER34L,HER34L_1A,HER34L_1A_116,2.9,12.5,1,12.5,22.5,22.5,2.52,0,1746.362,0.7758,-0.5,-0.6,1354.787,1.1359,0.5743,0,1746.362,1.581,-0.5,-0.3,2760.969,0.6479,0.5743,0,1746.4,1.1784,-0.5,-0.5,2057.9,0.9,0.6
HER34L,HER34L_1A,HER34L_1A_117,2.9,12.6,1,12.6,22.6,22.6,2.518,0,1744.976,0.8214,-0.6,-0.7,1433.297,1.1083,0.5833,0,1744.976,1.6011,-0.6,-0.4,2793.807,0.6357,0.5833,0,1745,1.2113,-0.6,-0.6,2113.6,0.9,0.6
HER34L,HER34L_1A,HER34L_1A_118,2.9,12.7,1,12.7,22.7,22.7,2.451,0,1698.545,0.7928,-0.6,-0.8,1346.615,1.1256,0.5744,0,1698.545,1.6235,-0.6,-0.4,2757.606,0.6221,0.5744,0,1698.5,1.2082,-0.6,-0.6,2052.1,0.9,0.6
HER34L,HER34L_1A,HER34L_1A_119,2.9,12.8,1,12.8,22.8,22.8,2.487,0,1729.485,0.7559,-0.6,-0.8,1307.391,1.1479,0.5743,0,1729.485,1.5897,-0.6,-0.4,2749.301,0.6426,0.5743,0,1729.5,1.1728,-0.6,-0.6,2028.3,0.9,0.6
HER34L,HER34L_1A,HER34L_1A_120,2.9,12.9,1,12.9,22.9,22.9,2.457,0,1708.623,0.7829,-0.6,-0.8,1337.607,1.1316,0.5833,0,1708.623,1.6163,-0.6,-0.4,2761.584,0.6265,0.5833,0,1708.6,1.1996,-0.6,-0.6,2049.6,0.9,0.6
HER34L,HER34L_1A,HER34L_1A_121,2.9,13,1,13,23,23,2.448,0,1467.626,0.7922,-0.6,-0.8,1162.608,1.126,0.5744,0,1467.626,1.6248,-0.6,-0.4,2384.658,0.6213,0.5744,0,1467.6,1.2085,-0.6,-0.6,1773.6,0.9,0.6
HER34L,HER34L_1A,HER34L_1A_122,2.9,13.1,1,13.1,23.1,23.1,2.477,0,1530.902,0.8365,-0.6,-0.7,1280.675,1.0991,0.5744,0,1530.902,1.6282,-0.6,-0.4,2492.653,0.6193,0.5744,0,1530.9,1.2324,-0.6,-0.5,1886.7,0.9,0.6
HER34L,HER34L_1A,HER34L_1A_123,2.9,13.2,1,13.2,23.2,23.2,2.489,0,1724.879,0.809,-0.6,-0.7,1395.506,1.1157,0.5744,0,1724.879,1.6105,-0.6,-0.4,2777.88,0.63,0.5744,0,1724.9,1.2098,-0.6,-0.6,2086.7,0.9,0.6
HER34L,HER34L_1A,HER34L_1A_124,2.9,13.3,1,13.3,23.3,23.3,2.487,0,1717.541,0.8285,-0.6,-0.7,1422.98,1.1039,0.5744,0,1717.541,1.6197,-0.6,-0.4,2781.884,0.6244,0.5744,0,1717.5,1.2241,-0.6,-0.5,2102.4,0.9,0.6
HER34L,HER34L_1A,HER34L_1A_125,2.9,13.4,1,13.4,23.4,23.4,2.469,0,1705.11,0.7406,-0.6,-0.8,1262.725,1.1572,0.5657,0,1705.11,1.5929,-0.6,-0.4,2716.002,0.6407,0.5657,0,1705.1,1.1668,-0.6,-0.6,1989.4,0.9,0.6
HER34L,HER34L_1A,HER34L_1A_126,2.9,13.5,1,13.5,23.5,23.5,2.454,0,1694.751,0.8142,-0.6,-0.7,1379.89,1.1126,0.5657,0,1694.751,1.6308,-0.6,-0.4,2763.778,0.6177,0.5657,0,1694.8,1.2225,-0.6,-0.6,2071.8,0.9,0.6
HER34L,HER34L_1A,HER34L_1A_127,2.9,13.6,1,13.6,23.6,23.6,2.495,0,1723.066,0.8258,-0.6,-0.7,1422.98,1.1056,0.5657,0,1723.066,1.6145,-0.6,-0.4,2781.884,0.6276,0.5657,0,1723.1,1.2202,-0.6,-0.5,2102.4,0.9,0.6
HER34L,HER34L_1A,HER34L_1A_128,2.9,13.7,1,13.7,23.7,23.7,2.558,0,1772.696,0.8192,-0.7,-0.9,1452.118,1.1096,0.5657,0,1772.696,1.5805,-0.7,-0.4,2801.824,0.6482,0.5657,0,1772.7,1.1999,-0.7,-0.6,2127,0.9,0.6
HER34L,HER34L_1A,HER34L_1A_129,2.9,13.8,1,13.8,23.8,23.8,2.498,0,1731.116,0.8139,-0.6,-0.7,1409.026,1.1128,0.5657,0,1731.116,1.608,-0.6,-0.4,2783.552,0.6315,0.5657,0,1731.1,1.211,-0.6,-0.6,2096.3,0.9,0.6
HER34L,HER34L_1A,HER34L_1A_130,2.9,13.9,1,13.9,23.9,23.9,2.469,0,1711.019,0.8188,-0.6,-0.7,1400.917,1.1098,0.5657,0,1711.019,1.6248,-0.6,-0.4,2780.147,0.6213,0.5657,0,1711,1.2218,-0.6,-0.6,2090.5,0.9,0.6
HER34L,HER34L_1A,HER34L_1A_131,2.9,14,1,14,24,24,2.424,0,1679.834,0.85,-0.7,-0.8,1427.911,1.0909,0.5657,0,1679.834,1.6618,-0.7,-0.4,2791.523,0.5989,0.5657,0,1679.8,1.2559,-0.7,-0.6,2109.7,0.8,0.6
HER34L,HER34L_1A,HER34L_1A_132,2.9,14.1,1,14.1,24.1,24.1,2.426,0,1675.414,0.8509,-0.7,-0.8,1425.665,1.0903,0.5657,0,1675.414,1.6611,-0.7,-0.4,2783.021,0.5993,0.5657,0,1675.4,1.256,-0.7,-0.6,2104.3,0.8,0.6
