"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","Cl","K","Ca","Ti","Mn","Fe","Co","Ni","Br","Rb","Sr","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER42PB","HER42PB_1E","HER42PB_1E_313",192.2,2109.38,6.78,1,19331,47843,1.4,-0.47086887004338,-0.482295360421347,-0.493956660598336,-0.526992528477504,-0.931153236655317,-0.688153815271635,-0.565413655479868,-0.117894016114761,-1.28987845980507,NA,-0.92119303642327,NA,-0.939358371488306,40549,6.38597449908925,0.156593171510882,-0.593774706746742,-2.08281422615848,-1.48903951941173
"HER42PB","HER42PB_1E","HER42PB_1E_314",192.3,2110.87,6.78,1,19450,47162,1.24,-1.33668958849164,-1.04281576879108,-0.871843109520157,-0.896730754351162,-0.767811719586929,-0.792663814814341,-0.772629898046194,-0.208211089743206,-1.41179885897402,-0.483195866095291,-0.975646640986672,NA,-0.472757013827424,40864,6.12040425161178,0.163387900355872,-0.998528830111127,-3.42006586596654,-2.42153703585541
"HER42PB","HER42PB_1E","HER42PB_1E_315",192.4,2112.36,6.78,1,20112,49642,1.25,-1.12897272847712,-0.778198954804746,-0.785231097274615,-0.694817653118618,-0.905863229198598,-0.784085523031896,0.00194791689023208,-1.48109852679102,-1.01580095544247,-1.29340199252565,-0.664641886484607,NA,-0.607989710000416,42343,6.19507221750212,0.161418618684514,-0.759105148351743,-2.39789527279837,-1.63879012444663
"HER42PB","HER42PB_1E","HER42PB_1E_316",192.5,2113.85,6.78,1,20077,49123,1.11,-0.911289914311972,-0.541314697858934,-0.661223659517948,-0.715253671196107,-0.672123925075348,-0.726044334995425,-0.869820053388833,-0.211140905891537,-1.24004374128772,-1.32498979450155,-0.788445256216896,NA,-0.561024480008708,42139,6.16893501190881,0.162102534403353,-0.228841572428848,-2.03936331811243,-1.81052174568358
"HER42PB","HER42PB_1E","HER42PB_1E_317",192.6,2115.33,6.8,1,19690,48404,1.28,-0.324127251858595,-0.876855269779146,-0.56754878515269,-0.42417227135886,-0.45730054519748,-0.693161651291305,-0.0782150971784368,-0.292374079014871,-1.21182224996053,-0.971890356615487,-0.492117588013481,NA,-0.527098886614128,41085,6.15019143752175,0.162596564701887,-1.62186043243266,-2.87285817540346,-1.2509977429708
"HER42PB","HER42PB_1E","HER42PB_1E_318",192.7,2116.82,6.81,1,19714,49322,1.32,-0.870607105173432,-0.752917836432523,-0.904003003906534,-0.635920063839783,-0.0349897313152045,-0.631470122002395,-0.257018822369422,0.720296982578245,-1.21869998273188,-1.29170375998736,-0.938057706625682,NA,-0.628116159959258,41595,6.20634095634096,0.161125533874885,-0.853489830635125,-2.21636391754692,-1.36287408691179
"HER42PB","HER42PB_1E","HER42PB_1E_319",192.8,2118.31,6.8,1,20105,49632,1.2,-0.558108200817626,-0.279374112585205,-0.817229866301069,-0.493819700134479,-0.8885274802707,-0.707028876871674,-0.948278193423694,0.130576110950683,-0.716351647632238,NA,-0.801229942716547,NA,-0.132160219991093,41932,5.94008606421715,0.168347729172471,-0.398639143037764,-1.55059741241117,-1.1519582693734
"HER42PB","HER42PB_1E","HER42PB_1E_320",192.9,2119.8,6.79,1,20251,51061,1.32,-1.29045969903632,NA,-0.757291975393446,-0.616124158449395,-0.654426823928946,-0.650876110815738,0.960167323374479,-1.22232409794858,-0.939206671994357,-1.30458771487398,-0.802856357037774,NA,-0.81875221583274,42501,6.31514629948365,0.158349458995394,NA,NA,-1.46101790731583
"HER42PB","HER42PB_1E","HER42PB_1E_321",193,2121.29,6.79,1,20305,50323,1.24,-0.899366225556559,-0.813969473220987,-0.763002965097428,-0.665055107203186,-0.48045576957242,-0.647845303471521,-0.280008291583865,-0.34007415291872,-0.945117653762484,-1.00583110575201,-0.73350966394401,NA,-0.35657837892669,42459,6.0576795212766,0.165079713525231,-0.936093359170335,-2.51365606307399,-1.57756270390365
"HER42PB","HER42PB_1E","HER42PB_1E_322",193.1,2122.78,6.79,1,20297,52139,1.3,-0.311993631315282,-0.767212493097082,-0.635974121484956,-0.460554235239365,-0.552971225378618,-0.576488295658563,0.0441991525734341,0.337903346210696,-1.35098444671821,-0.395008687505523,-0.359354962894448,NA,-0.430308674416956,43166,6.09733640249918,0.164006040340848,-1.24653241874473,-2.5028604534046,-1.25632803465986
