"Site","label","depth","mean_age","GRD","DCMS","K","Ca","Lncoh_inc"
"HER14L_0ka","HER14L_2A",23.8,1.22066,1.0013,-1.6,NA,NA,NA
"HER14L_0ka","HER14L_2A",24,1.22796,1.0009,-1.6,NA,NA,NA
"HER14L_0ka","HER14L_2A",24.2,1.23526,0.9879,-1.6,NA,NA,NA
"HER14L_0ka","HER14L_2A",24.4,1.24256,0.9586,-1.6,NA,NA,NA
"HER14L_0ka","HER14L_2A",24.6,1.24986,1.2226,-1.1,NA,NA,NA
"HER14L_0ka","HER14L_2A",24.8,1.25716,1.0103,-1.1,NA,NA,NA
"HER14L_0ka","HER14L_2A",25,1.26447,0.9929,-1,NA,NA,NA
"HER14L_0ka","HER14L_2A",25.2,1.27177,0.9114,-0.4,NA,NA,NA
"HER14L_0ka","HER14L_2A",25.4,1.27907,0.8785,0.6,NA,NA,NA
"HER14L_0ka","HER14L_2A",25.6,1.28637,0.8844,1,NA,NA,NA
"HER14L_0ka","HER14L_2A",25.8,1.29367,0.9557,0.1,NA,NA,NA
"HER14L_0ka","HER14L_2A",26,1.30097,1.0492,-0.7,NA,NA,NA
"HER14L_0ka","HER14L_2A",26.2,1.30827,0.91,-1.3,NA,NA,NA
"HER14L_0ka","HER14L_2A",26.4,1.31558,0.8637,-1.6,NA,NA,NA
"HER14L_0ka","HER14L_2A",26.6,1.32288,0.9304,-1.6,NA,NA,NA
"HER14L_0ka","HER14L_2A",26.8,1.33018,0.8948,-1.7,NA,NA,NA
"HER14L_0ka","HER14L_2A",27,1.33748,0.8931,-1.7,NA,NA,NA
"HER14L_0ka","HER14L_2A",27.2,1.34478,0.9146,-1.6,NA,NA,NA
"HER14L_0ka","HER14L_2A",27.4,1.35208,0.8891,-1.8,NA,NA,NA
"HER14L_0ka","HER14L_2A",27.6,1.35938,0.9097,-1.8,NA,NA,NA
"HER14L_0ka","HER14L_2A",27.8,1.36669,0.8913,-1.8,NA,NA,NA
"HER14L_0ka","HER14L_2A",28,1.37399,0.8821,-1.6,NA,NA,NA
"HER14L_0ka","HER14L_2A",28.2,1.38129,0.8701,-1.6,NA,NA,NA
"HER14L_0ka","HER14L_2A",28.4,1.38859,0.8731,-1.8,NA,NA,NA
"HER14L_0ka","HER14L_2A",28.6,1.39589,0.9235,-1.7,NA,NA,NA
"HER14L_0ka","HER14L_2A",28.8,1.40319,0.9568,-1.7,NA,NA,NA
"HER14L_0ka","HER14L_2A",29,1.41049,1.021,-1.7,NA,NA,NA
"HER14L_0ka","HER14L_2A",29.2,1.4178,0.9893,-1.7,NA,NA,NA
"HER14L_0ka","HER14L_2A",29.4,1.4251,1.0212,-1.7,NA,NA,NA
"HER14L_0ka","HER14L_2A",29.6,1.4324,0.9117,-1.8,NA,NA,NA
"HER14L_0ka","HER14L_2A",29.8,1.4397,0.8709,-1.8,NA,NA,NA
"HER14L_0ka","HER14L_2A",30,1.447,0.9084,-1.9,NA,NA,NA
"HER14L_0ka","HER14L_2A",30.2,1.44972,0.8704,-2,NA,NA,NA
"HER14L_0ka","HER14L_2A",30.4,1.45244,0.874,-1.7,NA,NA,NA
"HER14L_0ka","HER14L_2A",30.6,1.45515,0.8742,-1.8,NA,NA,NA
"HER14L_0ka","HER14L_2A",30.8,1.45787,0.8856,-1.9,NA,NA,NA
"HER14L_0ka","HER14L_2A",31,1.46059,0.869,-2,NA,NA,NA
"HER14L_0ka","HER14L_2A",31.2,1.46331,0.9349,-1.8,NA,NA,NA
"HER14L_0ka","HER14L_2A",31.4,1.46603,0.9442,-1.8,NA,NA,NA
"HER14L_0ka","HER14L_2A",31.6,1.46874,0.9146,-1.7,NA,NA,NA
"HER14L_0ka","HER14L_2A",31.8,1.47146,0.9008,-1.8,NA,NA,NA
"HER14L_0ka","HER14L_2A",32,1.47418,0.8867,-2,NA,NA,NA
"HER14L_0ka","HER14L_2A",32.2,1.4769,0.9214,-1.8,NA,NA,NA
"HER14L_0ka","HER14L_2A",32.4,1.47961,0.9391,-1.9,NA,NA,NA
"HER14L_0ka","HER14L_2A",32.6,1.48233,0.9523,-1.8,NA,NA,NA
"HER14L_0ka","HER14L_2A",32.8,1.48505,0.9487,-1.8,NA,NA,NA
"HER14L_0ka","HER14L_2A",33,1.48777,0.9019,-1.9,NA,NA,NA
"HER14L_0ka","HER14L_2A",33.2,1.49049,0.927,-1.8,NA,NA,NA
"HER14L_0ka","HER14L_2A",33.4,1.4932,0.9223,-2,NA,NA,NA
"HER14L_0ka","HER14L_2A",33.6,1.49592,0.893,-1.9,NA,NA,NA
"HER14L_0ka","HER14L_2A",33.8,1.49864,0.9409,-1.8,NA,NA,NA
"HER14L_0ka","HER14L_2A",34,1.50136,0.9207,-2,NA,NA,NA
"HER14L_0ka","HER14L_2A",34.2,1.50407,0.8779,-1.9,NA,NA,NA
"HER14L_0ka","HER14L_2A",34.4,1.50679,0.957,-1.8,NA,NA,NA
"HER14L_0ka","HER14L_2A",34.6,1.50951,1.0174,-1.7,NA,NA,NA
"HER14L_0ka","HER14L_2A",34.8,1.51223,1.0724,-1.5,NA,NA,NA
"HER14L_0ka","HER14L_2A",35,1.51495,1.0253,-1.7,NA,NA,NA
"HER14L_0ka","HER14L_2A",35.2,1.51766,0.9612,-1.7,NA,NA,NA
"HER14L_0ka","HER14L_2A",35.4,1.52038,0.8346,-2.2,NA,NA,NA
"HER14L_0ka","HER14L_2A",35.6,1.5231,0.9487,-1.7,NA,NA,NA
"HER14L_0ka","HER14L_2A",35.8,1.52582,0.9606,-1.9,NA,NA,NA
"HER14L_0ka","HER14L_2A",36,1.52853,0.9561,-1.8,NA,NA,NA
"HER14L_0ka","HER14L_2A",36.2,1.53125,0.9405,-1.8,NA,NA,NA
"HER14L_0ka","HER14L_2A",36.4,1.53397,0.9709,-1.8,NA,NA,NA
"HER14L_0ka","HER14L_2A",36.6,1.53669,0.9289,-1.7,NA,NA,NA
"HER14L_0ka","HER14L_2A",36.8,1.53941,0.9358,-1.4,NA,NA,NA
"HER14L_0ka","HER14L_2A",37,1.54212,0.89,-1.7,NA,NA,NA
"HER14L_0ka","HER14L_2A",37.2,1.54484,0.8518,-2,NA,NA,NA
"HER14L_0ka","HER14L_2A",37.4,1.54756,0.9231,-1.9,NA,NA,NA
"HER14L_0ka","HER14L_2A",37.6,1.55028,0.8874,-2,NA,NA,NA
"HER14L_0ka","HER14L_2A",37.8,1.55299,0.9274,-1.9,NA,NA,NA
"HER14L_0ka","HER14L_2A",38,1.55571,0.9581,-2,NA,NA,NA
"HER14L_0ka","HER14L_2A",38.2,1.55843,1.0493,-1.7,NA,NA,NA
"HER14L_0ka","HER14L_2A",38.4,1.56115,0.9462,-1.9,NA,NA,NA
"HER14L_0ka","HER14L_2A",38.6,1.56387,0.9021,-2,NA,NA,NA
"HER14L_0ka","HER14L_2A",38.8,1.56658,0.9009,-2,NA,NA,NA
"HER14L_0ka","HER14L_2A",39,1.5693,0.8789,-2,NA,NA,NA
"HER14L_0ka","HER14L_2A",39.2,1.57202,0.9062,-1.8,NA,NA,NA
"HER14L_0ka","HER14L_2A",39.4,1.57474,0.8541,-2.1,NA,NA,NA
"HER14L_0ka","HER14L_2A",39.6,1.57745,0.9198,-2,NA,NA,NA
"HER14L_0ka","HER14L_2A",39.8,1.58017,0.9218,-2,NA,NA,NA
"HER14L_0ka","HER14L_2A",40,1.58289,0.8971,-2,NA,NA,NA
"HER14L_0ka","HER14L_2A",40.2,1.58454,0.8347,-2.2,NA,NA,NA
"HER14L_0ka","HER14L_2A",40.4,1.58619,0.8895,-2.1,NA,NA,NA
"HER14L_0ka","HER14L_2A",40.6,1.58785,0.8298,-2.2,NA,NA,NA
"HER14L_0ka","HER14L_2A",40.8,1.5895,0.8357,-2.2,NA,NA,NA
"HER14L_0ka","HER14L_2A",41,1.59115,0.8313,-2.2,NA,NA,NA
"HER14L_0ka","HER14L_2A",41.2,1.5928,0.801,-2.1,NA,NA,NA
"HER14L_0ka","HER14L_2A",41.4,1.59445,0.8503,-2.1,NA,NA,NA
"HER14L_0ka","HER14L_2A",41.6,1.59611,0.8311,-2.2,NA,NA,NA
"HER14L_0ka","HER14L_2A",41.8,1.59776,0.8806,-1.9,NA,NA,NA
"HER14L_0ka","HER14L_2A",42,1.59941,0.802,-2.2,NA,NA,NA
"HER14L_0ka","HER14L_2A",42.2,1.60106,0.8046,-2.2,NA,NA,NA
"HER14L_0ka","HER14L_2A",42.4,1.60272,0.8493,-2,NA,NA,NA
