"Site","label","ID","depth","SH20_age","surface","validity","kcps","cps","MSE","S","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Br","Rb","Sr","Mo_inc","Mo_coh","TS_sum","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca"
"HER49L","HER49L_1D","HER49L_1D_136",139.5,6170.51,7.14,1,28700,76103,1.31,-2.0435846251309,0.618977904114086,0.748744905447244,0.973959421600496,1.3376898622103,0.53876314154971,0.136827596091425,0.0231576122152604,1.30747888911193,0.426091700892221,-0.814354779240359,1.32454985260232,-1.14134617687062,-0.276703544235696,56413,5.6003276003276,0.178560982743492,-1.33190028905409,-1.88349821666478,-0.551597927610691
"HER49L","HER49L_1D","HER49L_1D_137",139.6,6173.74,7.14,1,28506,75071,1.39,0.0371067181711101,0.596746165317917,0.467587797247434,0.707891674152944,0.409498753509999,0.358842378725527,0.40223737670535,-1.80699646654027,0.945802074235898,0.678961843991274,1.15171296537869,1.3871401573906,-1.11946746778875,-0.620492171070307,56419,5.69026443732954,0.175738757137498,-1.2110902720948,-1.81528996663825,-0.604199694543449
"HER49L","HER49L_1D","HER49L_1D_138",139.7,6176.97,7.13,1,28143,74240,1.39,-0.291423493929207,0.819063553279611,1.50721524384673,1.61252201547462,0.527364291122735,0.378683264851502,0.558360777066483,-0.621262838050772,0.644404728505871,0.195563498147301,NA,1.67922824640257,-1.19731920760508,-0.150044576454524,56148,5.53719874257772,0.180596732479657,-1.49218665025475,-1.97141790860253,-0.479231258347773
"HER49L","HER49L_1D","HER49L_1D_139",139.8,6180.21,7.13,1,28393,76935,1.37,0.0371067181711101,0.796831814483441,1.31759765924686,1.39966781751658,0.586297059929103,0.615120491186038,2.55674030168898,-1.18835283428488,-0.78220937461626,0.501241863901578,2.90232123113539,1.67140445830404,-1.08628475901458,-0.876825796341727,56516,5.77000479156684,0.17331008138183,-1.42323787631157,-1.93820001062935,-0.514962134317771
"HER49L","HER49L_1D","HER49L_1D_140",139.9,6183.44,7.13,1,28694,78647,1.34,0.42039196562148,1.06361268003747,1.94529724964644,1.2067687006171,1.67655328284692,0.901610862065648,0.339788016560897,-1.23990647030616,-0.259787308684212,0.407811931511566,0.720794007653971,1.35323707563029,-1.11600333885079,-0.204326991217884,56576,5.60086337650216,0.178543901676909,-1.22377543162212,-1.95538889300986,-0.731613461387741
"HER49L","HER49L_1D","HER49L_1D_141",140,6186.67,7.14,1,28513,76755,1.37,-1.16750405953005,0.974685724852797,1.39606010804681,1.61252201547462,1.529221360831,0.525385574389015,-0.440828985244765,-0.724370110093337,1.08645416890991,0.334692853988948,0.451469659076018,1.86960709013359,-1.07133430780864,0.220885257761766,56962,5.53833792470156,0.180559585492228,-1.4203609156835,-1.87408441448406,-0.453723498800561
"HER49L","HER49L_1D","HER49L_1D_142",140.1,6189.73,7.13,1,28526,77680,1.34,-0.72946377672963,2.13073614225361,1.76221820244656,1.85198298817742,1.19035794019438,0.635863235772285,1.61999989952218,0.538693972428086,1.18691995081992,0.531708146202669,2.08088196797263,1.89829431316155,-1.15994307959021,0.0701007723079897,56426,5.51419995382129,0.181349970689222,-1.08765927664891,-1.54044504094715,-0.452785764298236
"HER49L","HER49L_1D","HER49L_1D_143",140.2,6192.8,7.13,1,28431,74353,1.21,-1.22225909488011,0.685673120502594,2.20683874564626,1.47283644806466,0.7778285585498,0.299770649577738,-1.28389534719488,-0.750146928103979,0.825243135943887,0.426091700892221,0.424537224218223,1.31411813513761,-1.14353404777881,-0.0656052646004092,56471,5.55344087269351,0.180068541814686,-1.50659946620898,-2.1845179260671,-0.677918459858121
"HER49L","HER49L_1D","HER49L_1D_144",140.3,6195.87,7.13,1,28051,76033,1.37,1.24171749587227,2.19743135864211,2.31799388144619,1.89854484398074,1.58815412963736,0.632706731161334,NA,-1.21412965229552,-0.279880465066214,0.0452631721285861,0.43800344164712,1.91394188935862,-1.19841314305917,-0.539068548925268,56013,5.6209219858156,0.177906756671503,-1.08354203574711,-1.63350493851674,-0.549962902769626
"HER49L","HER49L_1D","HER49L_1D_145",140.4,6198.93,7.13,1,27706,74173,1.34,-0.400933564629313,2.73099308975018,2.93261639704577,3.7610190761136,1.82388520486284,0.551088540506755,-1.33073236730322,-0.18305693186987,-1.36491090969431,0.133615390801749,-1.1375439975339,1.59838243605104,-1.47536113552051,-0.89491993459618,54376,5.51834092543754,0.18121388538906,-1.41504377440588,-1.60162972998629,-0.186585955580412
