"depth","label","MSE","cps","kcps","Cl","K","Ca","Ti","Mn","Fe","Co","Ni","Br","Rb","Sr","Mo_inc","Mo_coh","inc_coh","coh_inc","LnK_Ti","LnK_Ca","LnTi_Ca","cps_sum_all","cps_sum_filtered"
810,"B",1.38,47817,15742,0.290691595039421,0.248865466256771,1.09584457410544,0.742413785892047,0.292782901478554,27.1075140640358,0.355522094652529,0.342974256017734,3.47156868895999,0.468452642365686,2.31716753455884,49.7229018968149,10.3122320513625,4.82174001216792,0.20739401076716,-1.09299429636389,-1.48236819120951,-0.389373894845626,100,96.7689315515402
810,"C",1.41,53235,19028,0.356908049215742,0.23105100028177,1.21536583075045,0.484643561566638,0.40574809805579,24.0537240537241,0.110829341598572,0.368178829717291,5.2841175918099,0.278012585704893,1.70752324598478,52.6777496008265,9.30966469428008,5.65839386602098,0.176728595371394,-0.7407752295492,-1.66016193912848,-0.919386709579283,100,96.4835164835165
811,"B",1.25,46610,15836,0.293928341557606,0.128727740828148,1.05771293713795,0.620038618322248,0.336837588500322,27.1229349924909,0.369019523707359,0.411928770650075,3.70521347350354,0.308946577987556,2.21197167989702,50.0879639562326,10.0622184080669,4.97782515991471,0.200890944915617,-1.57208212589033,-2.10616461182059,-0.534082485930258,100,96.7174426088822
811,"C",1.63,52970,18392,0.375684349631867,0.171795355861809,1.40456862374929,0.589012648669058,0.311497073815367,24.838587879932,0.101944496885029,0.360581461204455,4.55729658297149,0.247309797998867,1.91995469133472,50.911836888805,9.67151217670379,5.26410306461058,0.189965885493919,-1.23214368129263,-2.10118152831624,-0.869037847023609,100,95.4615820275628
812,"B",1.17,47229,15593,0.423468631561117,0.243494463147642,1.18359482521332,0.573799995765314,0.290076012619365,29.9222935061085,0.21596900209617,0.368417709458172,3.79427893878761,0.209616972622753,2.44129666094984,46.9160896906562,9.94516081221284,4.71747924206941,0.211977615308241,-0.857186692516451,-1.58121734479185,-0.724030652275398,100,96.5275572211988
812,"C",1.31,51460,17770,0.35172949863972,0.211815001943257,1.34862028760202,0.555771472988729,0.36144578313253,24.9300427516518,0.336183443451224,0.307034589972794,4.15856976292266,0.130198212203653,2.35911387485426,51.7411581811115,9.66575981344734,5.35303578608766,0.186809885074739,-0.964643928590709,-1.85112407827766,-0.886480149686952,100,96.4574426739215
813,"B",1.29,46192,15392,0.318236924142709,0.209993072393488,1.30758572913059,0.58884655351576,0.266279875303083,27.0479736750953,0.337720817457568,0.31390717007274,3.75389677866297,0.108243851749221,2.79485625216488,48.60581918947,10.6317111188085,4.5717776420281,0.218733297701764,-1.03109108779261,-1.82886321943143,-0.797772131638818,100,96.2850710079667
813,"C",1.3,51699,18156,0.27853536818894,0.299812375481151,1.25340915685023,0.611230391303507,0.31915510938316,23.8805392754212,0.247586993945724,0.355906303796979,4.55714810731349,0.591887657401497,2.22441439873112,52.5348652778584,9.71585523897948,5.40712721481187,0.184941089837997,-0.712317096667666,-1.43046557943303,-0.718148482765363,100,96.8703456546548
814,"B",1.3,52098,16300,0.355100003838919,0.345502706437867,1.45878920495988,0.61614649314753,0.439556220968175,32.7498176513494,0.0729394602479942,0.2034627049023,3.26692003531805,0.527851357057852,2.17474759107835,45.0151637298937,9.54163307612576,4.71776302554818,0.211964864403889,-0.578484272239806,-1.44036158239017,-0.861877310150361,100,96.7676302353257
814,"C",1.2,50937,18003,0.278775742583976,0.272886114219526,1.15044074052261,0.932524491037949,0.347488073502562,23.3778981879577,0.302334256041777,0.321966350589944,4.73133478610833,0.402457938237431,1.81007911734103,53.1460431513438,9.85531146318001,5.39262948207171,0.18543829189908,-1.22884087090395,-1.43884585644632,-0.210004985542371,100,96.9295404126666
