Site,Section,ID,filename,position_mm,Section_depth_cm,Field_depth_cm,Strat_depth_cm,SH20_min_age_95CI,SH20_max_age_95CI,SH20_median_age,SH20_mean_age,surface,validity,E_gain,E_offset,F_slope,F_offset,kcps,MSE,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Br,Rb,Sr,Y,Zr,Sn,I,Cs,Ba,Ta,W,Ir,Pt,Au,Hg,Pb,Th,U,D1,S1,S2,S3,Mo_inc,Mo_coh
HER14L,HER14L_2A,HER14L_2A_14,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000013.spe,329,2.8,2.8,2.8,212.93,296.01,256.31,255.24,6.79,1,0.018356,-0.018,0.007145,0.110437,28404,1.47,0,28,28,16,53,21,144,43,729,120,13,33,63,7441,100,140,184,38,0,141,2268,0,1216,0,1105,0,0,0,0,0,40,0,0,0,0,230,173,22,0,14,7,0,49796,8314
HER14L,HER14L_2A,HER14L_2A_15,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000014.spe,330,2.9,2.9,2.9,219.82,303.26,263.44,262.44,6.79,1,0.018356,-0.018,0.007078,0.110437,28269,1.46,23,25,43,37,58,23,153,67,662,76,0,19,84,6529,120,186,43,82,0,88,2339,173,1194,0,1094,6,8,0,0,69,34,0,0,0,0,280,129,0,100,13,15,1.76E+15,50134,8187
HER14L,HER14L_2A,HER14L_2A_16,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000015.spe,331,3,3,3,227.06,310.28,270.67,269.63,6.79,1,0.018354,-0.018,0.007112,0.110437,28496,1.59,29,24,0,16,43,34,141,51,608,112,0,0,72,6777,122,144,118,105,0,113,2345,61,965,0,1127,0,18,0,0,17,31,0,0,0,0,176,190,49,69,26,18,1.33E+15,51110,8573
HER14L,HER14L_2A,HER14L_2A_17,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000016.spe,332,3.1,3.1,3.1,234.43,317.01,277.79,276.83,6.79,1,0.01835,-0.018,0.007081,0.110437,29090,1.39,0,26,0,7,27,38,126,43,435,148,0,0,36,6626,85,209,146,17,0,0,2254,0,842,0,1044,0,0,0,0,0,6,0,38,0,0,35,0,0,139,26,4,1.83E+15,52255,8510
HER14L,HER14L_2A,HER14L_2A_18,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000017.spe,333,3.2,3.2,3.2,241.88,323.62,284.83,284.03,6.8,1,0.018352,-0.018,0.007117,0.110437,29874,1.49,0,7,0,23,56,54,140,36,378,57,0,15,21,6784,150,157,31,24,0,148,2252,0,670,0,852,0,0,11,0,123,63,5,0,0,0,5,145,0,32,0,19,5.69E+14,53961,8537
HER14L,HER14L_2A,HER14L_2A_19,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000018.spe,334,3.3,3.3,3.3,248.65,330.5,291.95,291.22,6.81,1,0.018356,-0.018,0.007117,0.110437,30212,1.23,0,0,10,29,24,38,122,20,302,94,0,14,56,6315,95,192,88,79,0,28,2343,0,711,0,1172,7,8,0,0,0,13,0,0,0,0,114,0,0,0,16,28,6.69E+15,55093,8812
HER14L,HER14L_2A,HER14L_2A_20,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000019.spe,335,3.4,3.4,3.4,255.67,337.61,298.98,298.42,6.82,1,0.018354,-0.018,0.007175,0.110437,30283,1.42,0,0,0,0,33,18,129,4,285,106,0,5,25,5343,189,238,157,90,0,167,2390,109,570,0,1163,0,0,0,0,0,48,23,0,0,0,26,84,0,78,0,36,0,55695,8741
HER14L,HER14L_2A,HER14L_2A_21,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000020.spe,336,3.5,3.5,3.5,262.78,345.05,306.16,305.62,6.83,1,0.018351,-0.018,0.007175,0.110437,30431,1.31,0,21,4,7,11,20,107,31,243,78,0,0,18,4969,18,138,93,76,0,175,2598,0,756,0,1369,0,0,0,0,7,53,0,0,0,0,9,31,92,107,76,0,1.42E+15,56574,8695
HER14L,HER14L_2A,HER14L_2A_22,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000021.spe,337,3.6,3.6,3.6,270.13,352.33,313.34,312.82,6.83,1,0.018353,-0.018,0.007199,0.110437,30788,1.53,0,21,0,22,48,32,147,30,321,69,0,8,13,5741,0,159,95,6,0,159,2662,0,488,0,1104,0,0,0,0,30,59,0,0,0,0,261,170,0,0,89,0,0,57311,8701
HER14L,HER14L_2A,HER14L_2A_23,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000022.spe,338,3.7,3.7,3.7,277.16,359.6,320.45,320.01,6.83,1,0.018357,-0.018,0.007223,0.110437,30759,1.23,0,17,0,15,7,34,128,9,273,65,0,0,55,5056,44,188,161,117,0,99,2482,27,364,0,1308,0,0,0,0,21,36,0,0,0,0,74,38,20,0,0,16,7.47E+13,56933,9072
HER14L,HER14L_2A,HER14L_2A_24,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000023.spe,339,3.8,3.8,3.8,283.9,366.82,327.7,327.21,6.85,1,0.018359,-0.018,0.007211,0.110437,30776,1.32,0,5,0,5,21,11,116,24,240,82,0,11,15,4738,0,220,84,30,0,18,2405,0,503,0,1097,18,6,0,0,26,73,0,0,0,0,55,0,57,220,45,0,1.66E+15,57153,8764
HER14L,HER14L_2A,HER14L_2A_25,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000024.spe,340,3.9,3.9,3.9,291.06,373.83,335.06,334.41,6.86,1,0.018357,-0.018,0.007168,0.110437,30763,1.47,0,54,20,0,43,32,141,19,244,69,17,15,34,4717,0,165,43,142,0,155,2707,55,371,0,1163,7,0,0,0,41,0,0,0,0,0,133,0,0,0,66,12,5.61E+14,56914,8737
HER14L,HER14L_2A,HER14L_2A_26,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000025.spe,341,4,4,4,298.54,380.04,342.04,341.6,6.87,1,0.018353,-0.018,0.007118,0.110437,31132,1.22,12,32,0,23,59,27,133,34,266,41,0,0,45,4819,23,200,135,56,0,33,2457,14,475,0,1318,0,10,0,0,20,20,0,0,17,0,83,95,64,0,52,29,0,57654,8544
HER14L,HER14L_2A,HER14L_2A_27,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000026.spe,342,4.1,4.1,4.1,305.4,387.67,349.27,348.8,6.88,1,0.018354,-0.018,0.00718,0.110437,30880,1.28,0,49,15,21,22,22,106,25,312,90,9,0,25,4434,118,184,74,96,0,160,2456,53,531,0,1114,0,10,0,0,16,32,0,0,0,0,69,0,0,9,0,9,0,57444,8567
HER14L,HER14L_2A,HER14L_2A_28,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000027.spe,343,4.2,4.2,4.2,311.89,394.63,356.48,356,6.88,1,0.018352,-0.018,0.007201,0.110437,30329,1.38,0,0,0,11,34,39,142,26,329,60,0,0,32,4129,63,174,25,50,0,32,2206,0,623,0,1096,7,0,0,16,116,0,0,0,0,0,47,171,0,17,31,0,2.33E+14,56525,8642
HER14L,HER14L_2A,HER14L_2A_29,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000028.spe,344,4.3,4.3,4.3,318.01,402.1,363.71,363.19,6.89,1,0.018351,-0.018,0.007245,0.110437,30377,1.33,0,47,8,22,40,34,101,17,284,74,0,6,14,3690,45,215,63,112,0,173,2558,26,714,0,1368,0,12,0,0,72,0,0,0,0,0,88,166,31,0,20,20,1.85E+15,57619,8843
HER14L,HER14L_2A,HER14L_2A_30,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000029.spe,345,4.4,4.4,4.4,324.5,408.94,370.89,370.39,6.89,1,0.018352,-0.018,0.007266,0.110437,31057,1.38,0,0,0,0,30,36,141,22,357,73,0,0,49,5038,20,233,147,66,0,184,2476,39,481,0,1218,0,0,0,0,0,17,0,0,0,106,103,69,208,59,52,29,1.01E+15,57899,8935
HER14L,HER14L_2A,HER14L_2A_31,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000030.spe,346,4.5,4.5,4.5,330.45,416.13,378.11,377.59,6.9,1,0.018351,-0.018,0.007266,0.110437,30926,1.41,5,34,0,0,30,22,115,6,259,68,0,8,28,4240,0,215,123,45,0,60,2459,0,491,0,1295,0,0,0,0,61,27,0,0,0,0,0,0,0,0,87,7,0,57882,8747
HER14L,HER14L_2A,HER14L_2A_32,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000031.spe,347,4.6,4.6,4.6,336.69,423.38,385.33,384.78,6.9,1,0.018348,-0.018,0.007226,0.110437,31046,1.34,0,24,0,24,25,32,119,16,297,31,0,18,14,4297,119,169,19,31,0,120,2588,0,551,0,1444,0,0,0,14,45,36,0,0,0,0,0,60,0,27,0,0,1.20E+15,57957,8906
HER14L,HER14L_2A,HER14L_2A_33,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000032.spe,348,4.7,4.7,4.7,343.3,430.74,392.52,391.98,6.91,1,0.01835,-0.018,0.007197,0.110437,30728,1.43,0,30,21,0,36,30,123,11,305,82,0,0,14,4276,30,152,63,74,0,197,2403,57,638,0,1320,5,0,11,0,6,60,0,0,0,34,177,22,0,0,55,0,0,56927,9062
HER14L,HER14L_2A,HER14L_2A_34,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000033.spe,349,4.8,4.8,4.8,350.35,438.21,399.64,399.18,6.9,1,0.018348,-0.018,0.00721,0.110437,30715,1.64,0,28,0,13,45,46,146,39,286,35,0,43,47,4712,81,212,37,4,0,61,2559,0,553,0,1296,11,19,0,28,55,19,0,0,0,0,0,119,83,120,0,0,7.37E+14,57572,8806
HER14L,HER14L_2A,HER14L_2A_35,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000034.spe,350,4.9,4.9,4.9,356.33,445.28,406.74,406.37,6.91,1,0.018348,-0.018,0.007263,0.110437,30887,1.64,6,35,23,0,53,54,145,38,344,82,0,7,46,5082,71,222,21,53,0,90,2605,0,483,0,1304,15,17,0,0,66,49,0,0,0,0,167,76,0,0,32,42,3.27E+15,57843,8952
HER14L,HER14L_2A,HER14L_2A_36,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000035.spe,351,5,5,5,362.59,453.06,413.82,413.57,6.91,1,0.018345,-0.018,0.007291,0.110437,31266,1.41,5,37,0,33,62,43,115,32,341,74,0,11,33,5303,22,271,134,95,0,278,2607,114,463,0,1201,0,0,0,0,0,67,0,0,0,0,47,60,0,41,89,23,8.53E+14,58872,8984
HER14L,HER14L_2A,HER14L_2A_37,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000036.spe,352,5.1,5.1,5.1,370.4,460.63,421,420.77,6.91,1,0.018348,-0.018,0.00733,0.110437,31490,1.34,0,15,18,19,36,42,127,21,394,73,17,13,47,5741,5,245,129,46,0,178,2719,96,677,0,1453,0,0,0,0,37,31,0,0,0,0,185,0,92,112,83,6,0,59571,8871
HER14L,HER14L_2A,HER14L_2A_38,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000037.spe,353,5.2,5.2,5.2,378.2,467.49,428.23,427.96,6.92,1,0.018347,-0.018,0.007345,0.110437,30994,1.39,0,5,9,0,35,28,117,53,359,54,0,0,23,5721,19,167,32,49,0,102,2568,238,672,0,1357,0,8,0,0,50,57,0,0,0,0,129,226,0,0,38,12,0,57824,9195
HER14L,HER14L_2A,HER14L_2A_39,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000038.spe,354,5.3,5.3,5.3,385,475.24,435.44,435.16,6.91,1,0.018345,-0.018,0.007286,0.110437,30916,1.33,0,34,0,6,53,32,125,24,387,76,0,5,26,5702,88,138,84,91,0,142,2678,22,661,0,1436,0,0,0,0,101,61,0,0,0,0,0,35,0,6,0,10,3.58E+14,58010,9112
HER14L,HER14L_2A,HER14L_2A_40,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000039.spe,355,5.4,5.4,5.4,393.29,482.91,442.53,442.36,6.91,1,0.018347,-0.018,0.007224,0.110437,31181,1.54,0,5,0,0,43,47,109,40,361,85,27,0,30,5061,174,141,115,15,0,45,2695,0,580,0,1386,0,10,0,0,0,57,0,0,28,0,29,0,0,48,0,19,2.59E+15,58079,8735
HER14L,HER14L_2A,HER14L_2A_41,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000040.spe,356,5.5,5.5,5.5,401.49,490.55,449.68,449.55,6.9,1,0.01835,-0.018,0.007136,0.110437,31270,1.37,0,6,7,14,53,30,141,17,402,63,0,0,19,4822,0,223,50,24,0,133,2714,33,359,0,1502,5,19,0,0,97,90,0,0,0,0,211,83,0,0,70,17,1.58E+15,58461,8961
HER14L,HER14L_2A,HER14L_2A_42,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000041.spe,357,5.6,5.6,5.6,409.43,497.32,456.84,456.75,6.91,1,0.018348,-0.018,0.007149,0.110437,31060,1.55,0,12,5,18,56,48,144,18,303,55,6,25,36,4294,78,217,140,87,0,0,2598,44,343,0,1318,15,12,0,0,30,24,0,0,0,0,86,116,0,168,0,0,3.88E+14,58494,8935
HER14L,HER14L_2A,HER14L_2A_43,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000042.spe,358,5.7,5.7,5.7,416.59,504.06,464,463.95,6.91,1,0.018344,-0.018,0.007199,0.110437,31215,1.26,6,57,0,7,33,38,123,20,308,45,0,0,15,3727,89,295,211,186,0,0,2672,0,464,0,1407,0,9,0,0,39,92,11,0,0,0,0,0,0,83,0,33,2.68E+15,59485,8625
HER14L,HER14L_2A,HER14L_2A_44,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000043.spe,359,5.8,5.8,5.8,423.62,511.89,471.24,471.15,6.91,1,0.018343,-0.018,0.00718,0.110437,31509,1.32,0,41,0,6,40,38,132,14,341,78,0,0,7,3985,0,185,154,79,0,86,2790,0,713,0,1389,11,0,0,0,39,57,0,0,14,0,0,100,0,123,107,0,7.72E+14,58906,9000
HER14L,HER14L_2A,HER14L_2A_45,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000044.spe,360,5.9,5.9,5.9,432.29,518.33,478.45,478.34,6.92,1,0.018345,-0.018,0.007145,0.110437,31439,1.5,0,0,0,42,26,39,142,24,287,96,17,0,17,3936,90,178,84,88,0,0,2721,0,466,0,1205,0,0,0,0,9,93,0,29,0,0,71,122,0,100,0,0,0,58357,8785
HER14L,HER14L_2A,HER14L_2A_46,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000045.spe,361,6,6,6,440.66,525.25,485.53,485.54,6.91,1,0.018346,-0.018,0.007283,0.110437,31313,1.48,0,0,0,8,46,38,129,34,279,52,17,0,16,3339,121,190,59,0,0,169,2504,0,398,0,1436,11,12,0,0,50,0,0,0,0,0,0,65,38,155,0,24,0,59060,9126
HER14L,HER14L_2A,HER14L_2A_47,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000046.spe,362,6.1,6.1,6.1,447.67,532.46,492.69,492.74,6.91,1,0.018348,-0.018,0.007328,0.110437,31298,1.45,0,0,0,5,32,37,138,15,290,66,0,17,8,3333,30,187,146,7,0,225,2685,8,488,0,1182,35,8,0,0,54,90,0,0,0,0,98,64,22,33,46,26,7.55E+14,58995,8979
HER14L,HER14L_2A,HER14L_2A_48,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000047.spe,363,6.2,6.2,6.2,454.72,540.16,499.82,499.93,6.91,1,0.018347,-0.018,0.007315,0.110437,31053,1.47,0,12,24,17,51,35,135,46,313,78,0,15,15,2993,99,230,59,161,0,42,2639,0,457,0,1275,7,13,0,0,45,0,0,0,38,0,105,0,0,298,47,25,1.19E+15,58514,8989
HER14L,HER14L_2A,HER14L_2A_49,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000048.spe,364,6.3,6.3,6.3,462.41,547.3,506.87,507.13,6.91,1,0.018348,-0.018,0.007297,0.110437,31103,1.49,0,40,0,19,32,32,146,30,274,37,22,0,44,2781,8,165,174,38,0,193,2658,0,420,0,1059,19,16,0,0,0,5,0,0,0,0,306,144,0,0,26,0,1.04E+15,59674,8956
HER14L,HER14L_2A,HER14L_2A_50,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000049.spe,365,6.4,6.4,6.4,468.97,554.78,514.01,514.33,6.93,1,0.01835,-0.018,0.007242,0.110437,31433,1.43,0,0,0,17,27,47,150,21,382,76,8,0,33,3646,95,154,104,68,0,36,2724,0,285,0,1121,9,0,0,0,0,0,0,0,0,0,67,181,75,29,0,23,0,59244,9173
HER14L,HER14L_2A,HER14L_2A_51,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000050.spe,366,6.5,6.5,6.5,475.51,562.42,521.12,521.52,6.94,1,0.018353,-0.018,0.007314,0.110437,31641,1.27,0,0,6,5,48,33,128,40,298,77,13,0,0,3205,0,172,126,0,0,271,2622,94,400,0,1219,0,0,0,0,27,89,0,0,0,12,52,166,0,107,88,0,0,59123,8765
HER14L,HER14L_2A,HER14L_2A_52,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000051.spe,367,6.6,6.6,6.6,482.03,570.34,528.21,528.72,6.94,1,0.01835,-0.018,0.007314,0.110437,31057,1.67,0,6,0,24,41,52,165,24,366,85,0,0,16,2818,0,216,126,0,0,0,2467,265,189,0,1238,5,0,0,0,17,77,0,10,0,0,79,43,0,32,104,0,0,58582,8910
HER14L,HER14L_2A,HER14L_2A_53,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000052.spe,368,6.7,6.7,6.7,489.68,577.82,535.44,535.92,6.95,1,0.018346,-0.018,0.007334,0.110437,31055,1.39,0,0,22,0,30,22,118,29,328,61,14,0,18,2641,19,176,113,40,0,87,2538,0,292,0,1147,0,6,0,0,0,0,8,0,37,0,134,20,0,0,0,0,4.99E+15,58586,8814
HER14L,HER14L_2A,HER14L_2A_54,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000053.spe,369,6.8,6.8,6.8,495.78,585.45,542.58,543.11,6.94,1,0.018345,-0.018,0.00732,0.110437,31052,1.46,0,39,13,8,30,42,148,23,292,105,0,14,16,2601,25,225,45,57,5,179,2718,0,368,0,1362,13,0,0,0,62,23,0,0,0,0,0,0,0,101,93,25,2.53E+15,58910,8599
HER14L,HER14L_2A,HER14L_2A_55,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000054.spe,370,6.9,6.9,6.9,503.77,592.77,549.92,550.31,6.95,1,0.018342,-0.018,0.007293,0.110437,30826,1.3,0,12,0,12,25,35,152,18,304,60,0,12,6,2676,0,173,159,70,0,69,2659,0,285,0,1251,7,0,0,10,0,0,0,0,0,0,128,236,0,0,75,19,0,58926,8750
HER14L,HER14L_2A,HER14L_2A_56,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000055.spe,371,7,7,7,511.87,600.56,557.08,557.51,6.96,1,0.018341,-0.018,0.007316,0.110437,30781,1.47,0,16,0,19,28,30,143,30,284,67,0,36,14,2412,54,197,96,142,0,143,2759,0,591,0,1359,4,0,0,0,0,25,0,0,69,0,87,58,0,0,29,15,8.43E+14,58689,8618
HER14L,HER14L_2A,HER14L_2A_57,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000056.spe,372,7.1,7.1,7.1,519.94,608.29,564.35,564.7,6.95,1,0.018338,-0.018,0.007352,0.110437,30801,1.26,41,73,23,19,46,20,126,8,273,68,0,0,8,2248,70,197,104,102,0,0,2504,46,374,0,1324,0,0,0,0,25,37,0,0,0,0,227,187,0,0,0,20,2.62E+15,58970,8761
HER14L,HER14L_2A,HER14L_2A_58,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000057.spe,373,7.2,7.2,7.2,526.24,616.01,571.53,571.9,6.96,1,0.018336,-0.018,0.007362,0.110437,30897,1.54,0,10,0,13,35,34,140,31,251,77,0,0,5,2422,0,186,92,113,0,100,2654,0,286,0,1557,24,24,0,0,18,0,0,0,0,0,37,184,0,25,43,11,0,58839,8963
HER14L,HER14L_2A,HER14L_2A_59,C:/Data/BAS_sjro/Sept_2015/HER14/HER2A-XRF/XRF data/L000058.spe,374,7.3,7.3,7.3,533.14,623.74,578.79,579.1,6.95,1,0.018334,-0.018,0.007375,0.110437,30855,1.73,0,26,33,31,38,66,164,32,249,46,18,5,41,2793,111,203,196,110,0,158,2780,141,407,0,1482,8,9,0,0,0,17,0,0,0,0,35,145,0,13,7,33,0,58578,8724
